,group,variable,month,A BAJA < DE 1 AÑO,A BAJA < DE 1 AÑO,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SANTIVAÑES,estado nutricional,a baja,2013-10-01,4,4,6,3,7,8,17,15,32
SANTUARIO DE QUILLACAS,estado nutricional,a baja,2013-10-01,4,2,4,7,12,13,20,22,42
SAPAHAQUI,estado nutricional,a baja,2013-10-01,12,3,16,9,19,16,47,28,75
SENA,estado nutricional,a baja,2013-10-01,4,2,10,8,9,7,23,17,40
SHINAOTA,estado nutricional,a baja,2013-10-01,4,2,7,9,7,14,18,25,43
SICA SICA (VILLA AROMA),estado nutricional,a baja,2013-10-01,9,7,29,23,44,29,82,59,141
SICAYA,estado nutricional,a baja,2013-10-01,4,3,12,12,16,11,32,26,58
SIPE SIPE,estado nutricional,a baja,2013-10-01,22,20,42,32,31,24,95,76,171
SOPACHUY,estado nutricional,a baja,2013-10-01,4,0,20,12,37,30,61,42,103
SORACACHI,estado nutricional,a baja,2013-10-01,10,5,16,13,17,10,43,28,71
SORATA,estado nutricional,a baja,2013-10-01,12,4,13,7,20,15,45,26,71
SUCRE,estado nutricional,a baja,2013-10-01,59,36,137,95,125,114,321,245,566
TACACOMA,estado nutricional,a baja,2013-10-01,1,1,10,1,5,5,16,7,23
TACOBAMBA,estado nutricional,a baja,2013-10-01,12,4,25,11,12,11,49,26,75
TACOPAYA,estado nutricional,a baja,2013-10-01,7,9,21,12,37,30,65,51,116
TAHUA,estado nutricional,a baja,2013-10-01,1,0,0,0,0,0,1,0,1
TAPACARI,estado nutricional,a baja,2013-10-01,34,18,71,52,89,63,194,133,327
TARABUCO,estado nutricional,a baja,2013-10-01,13,7,41,28,121,107,175,142,317
TARACO,estado nutricional,a baja,2013-10-01,1,0,5,4,2,0,8,4,12
TARATA,estado nutricional,a baja,2013-10-01,88,85,55,75,47,49,190,209,399
TARIJA,estado nutricional,a baja,2013-10-01,31,23,58,31,41,62,130,116,246
TARVITA,estado nutricional,a baja,2013-10-01,15,12,41,27,95,98,151,137,288
TEOPONTE,estado nutricional,a baja,2013-10-01,1,0,2,2,1,1,4,3,7
TIAWANACU,estado nutricional,a baja,2013-10-01,13,5,11,12,10,10,34,27,61
TINGUIPAYA,estado nutricional,a baja,2013-10-01,54,36,73,73,65,50,192,159,351
TIPUANI,estado nutricional,a baja,2013-10-01,4,2,8,5,5,5,17,12,29
TIQUIPAYA,estado nutricional,a baja,2013-10-01,19,14,33,38,34,33,86,85,171
TIRAQUE (CBBA),estado nutricional,a baja,2013-10-01,14,13,39,16,11,10,64,39,103
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a baja,2013-10-01,1,1,0,1,4,3,5,5,10
TOCO,estado nutricional,a baja,2013-10-01,4,0,1,3,0,1,5,4,9
TODOS SANTOS,estado nutricional,a baja,2013-10-01,1,0,0,0,0,0,1,0,1
TOLATA,estado nutricional,a baja,2013-10-01,0,0,0,3,1,1,1,4,5
TOLEDO,estado nutricional,a baja,2013-10-01,5,6,8,3,5,0,18,9,27
TOMAVE,estado nutricional,a baja,2013-10-01,10,4,23,14,15,21,48,39,87
TOMINA,estado nutricional,a baja,2013-10-01,3,4,21,12,65,72,89,88,177
TORO TORO,estado nutricional,a baja,2013-10-01,17,9,25,23,62,56,104,88,192
TOTORA(CBBA),estado nutricional,a baja,2013-10-01,13,7,33,13,11,12,57,32,89
TOTORA(ORR),estado nutricional,a baja,2013-10-01,9,3,17,8,5,11,31,22,53
TRIGAL,estado nutricional,a baja,2013-10-01,0,0,1,0,0,0,1,0,1
TRINIDAD,estado nutricional,a baja,2013-10-01,16,6,13,15,25,24,54,45,99
TUPIZA,estado nutricional,a baja,2013-10-01,27,23,37,19,33,28,97,70,167
TURCO,estado nutricional,a baja,2013-10-01,0,0,8,4,5,4,13,8,21
UMALA,estado nutricional,a baja,2013-10-01,2,4,19,10,7,14,28,28,56
UNCIA,estado nutricional,a baja,2013-10-01,36,11,55,36,45,51,136,98,234
URIONDO (A. CONCEPCION),estado nutricional,a baja,2013-10-01,7,3,8,9,4,9,19,21,40
URUBICHA,estado nutricional,a baja,2013-10-01,7,7,14,5,2,2,23,14,37
UYUNI,estado nutricional,a baja,2013-10-01,6,4,19,13,12,13,37,30,67
VACAS,estado nutricional,a baja,2013-10-01,23,7,32,18,16,15,71,40,111
VALLEGRANDE,estado nutricional,a baja,2013-10-01,4,1,2,6,6,6,12,13,25
VIACHA,estado nutricional,a baja,2013-10-01,61,37,56,39,39,33,156,109,265
VILA VILA,estado nutricional,a baja,2013-10-01,7,12,20,20,21,23,48,55,103
VILLA CHARCAS,estado nutricional,a baja,2013-10-01,15,9,40,38,88,98,143,145,288
VILLA MONTES,estado nutricional,a baja,2013-10-01,8,13,5,8,4,17,17,38,55
VILLA NUEVA (LOMA ALTA),estado nutricional,a baja,2013-10-01,4,1,4,2,5,7,13,10,23
VILLA RIVERO,estado nutricional,a baja,2013-10-01,3,1,14,8,3,8,20,17,37
VILLA SERRANO,estado nutricional,a baja,2013-10-01,6,2,20,12,67,58,93,72,165
VILLA TUNARI,estado nutricional,a baja,2013-10-01,48,33,88,78,133,134,269,245,514
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a baja,2013-10-01,5,4,10,8,14,8,29,20,49
VILLAZON,estado nutricional,a baja,2013-10-01,43,31,83,57,63,35,189,123,312
VINTO,estado nutricional,a baja,2013-10-01,9,5,33,24,10,10,52,39,91
VITICHI,estado nutricional,a baja,2013-10-01,8,5,15,9,25,30,48,44,92
WALDO BALLIVIAN,estado nutricional,a baja,2013-10-01,6,1,7,3,2,2,15,6,21
WARNES,estado nutricional,a baja,2013-10-01,35,17,39,16,30,28,104,61,165
YACO,estado nutricional,a baja,2013-10-01,2,4,13,14,15,16,30,34,64
YACUIBA,estado nutricional,a baja,2013-10-01,46,22,49,14,41,31,136,67,203
YAMPARAEZ,estado nutricional,a baja,2013-10-01,7,2,18,11,52,58,77,71,148
YANACACHI,estado nutricional,a baja,2013-10-01,0,1,2,3,2,2,4,6,10
YAPACANI,estado nutricional,a baja,2013-10-01,0,1,1,2,1,0,2,3,5
YOCALLA,estado nutricional,a baja,2013-10-01,8,8,28,10,21,9,57,27,84
YOTALA,estado nutricional,a baja,2013-10-01,1,0,10,6,21,16,32,22,54
YUNCHARA,estado nutricional,a baja,2013-10-01,3,4,15,10,26,19,44,33,77
ZUDAÑEZ,estado nutricional,a baja,2013-10-01,2,1,10,14,29,36,41,51,92
ACACIO,estado nutricional,a baja,2013-11-01,11,3,15,14,22,37,48,54,102
ACHACACHI,estado nutricional,a baja,2013-11-01,20,16,34,21,23,18,77,55,132
ACHOCALLA,estado nutricional,a baja,2013-11-01,10,3,20,10,9,11,39,24,63
AIQUILE,estado nutricional,a baja,2013-11-01,10,7,16,10,17,11,43,28,71
ALALAY,estado nutricional,a baja,2013-11-01,6,2,6,5,7,5,19,12,31
ALCALA,estado nutricional,a baja,2013-11-01,2,0,6,2,14,7,22,9,31
ALTO BENI,estado nutricional,a baja,2013-11-01,3,0,9,3,16,6,28,9,37
ANCORAIMES,estado nutricional,a baja,2013-11-01,18,4,27,10,21,20,66,34,100
ANDAMARCA,estado nutricional,a baja,2013-11-01,14,5,13,8,31,22,58,35,93
ANTEQUERA,estado nutricional,a baja,2013-11-01,4,2,1,5,2,0,7,7,14
ANZALDO,estado nutricional,a baja,2013-11-01,4,1,9,10,14,16,27,27,54
APOLO,estado nutricional,a baja,2013-11-01,5,3,21,17,39,26,65,46,111
ARAMPAMPA,estado nutricional,a baja,2013-11-01,7,0,6,12,6,13,19,25,44
ARANI,estado nutricional,a baja,2013-11-01,4,4,12,7,8,12,24,23,47
ARBIETO,estado nutricional,a baja,2013-11-01,1,0,5,2,4,7,10,9,19
ARQUE,estado nutricional,a baja,2013-11-01,17,13,38,33,59,59,114,105,219
ASCENCION DE GUARAYOS,estado nutricional,a baja,2013-11-01,3,4,3,3,7,10,13,17,30
ATOCHA,estado nutricional,a baja,2013-11-01,5,6,13,11,16,28,34,45,79
AUCAPATA,estado nutricional,a baja,2013-11-01,1,0,7,4,2,4,10,8,18
AYATA,estado nutricional,a baja,2013-11-01,10,8,27,20,25,22,62,50,112
AYO AYO,estado nutricional,a baja,2013-11-01,15,13,22,12,19,14,56,39,95
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a baja,2013-11-01,29,21,47,41,43,40,119,102,221
AZURDUY,estado nutricional,a baja,2013-11-01,6,6,23,24,72,95,101,125,226
BATALLAS,estado nutricional,a baja,2013-11-01,8,7,22,9,10,7,40,23,63
BAURES,estado nutricional,a baja,2013-11-01,0,0,4,3,7,2,11,5,16
BELEN DE ANDAMARCA,estado nutricional,a baja,2013-11-01,1,1,2,5,5,5,8,11,19
BELEN DE URMIRI,estado nutricional,a baja,2013-11-01,3,4,8,4,5,7,16,15,31
BELLA FLOR,estado nutricional,a baja,2013-11-01,1,1,3,0,7,3,11,4,15
BERMEJO,estado nutricional,a baja,2013-11-01,2,4,18,2,7,11,27,17,44
BETANZOS,estado nutricional,a baja,2013-11-01,33,29,122,74,131,110,286,213,499
BOLIVAR,estado nutricional,a baja,2013-11-01,44,31,63,24,45,47,152,102,254
BOLPEBRA,estado nutricional,a baja,2013-11-01,3,0,3,0,10,4,16,4,20
BOYUIBE,estado nutricional,a baja,2013-11-01,7,5,2,6,2,5,11,16,27
BUENA VISTA,estado nutricional,a baja,2013-11-01,0,3,2,1,1,4,3,8,11
CABEZAS,estado nutricional,a baja,2013-11-01,0,1,2,0,2,4,4,5,9
CAIROMA,estado nutricional,a baja,2013-11-01,3,9,22,7,10,19,35,35,70
"CAIZA ""D""",estado nutricional,a baja,2013-11-01,5,5,21,12,18,19,44,36,80
CAJUATA,estado nutricional,a baja,2013-11-01,2,3,6,4,8,8,16,15,31
CALACOTO,estado nutricional,a baja,2013-11-01,1,1,4,4,5,2,10,7,17
CALAMARCA,estado nutricional,a baja,2013-11-01,16,5,31,16,29,26,76,47,123
CAMARGO,estado nutricional,a baja,2013-11-01,11,8,31,18,50,64,92,90,182
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a baja,2013-11-01,1,0,5,5,9,6,15,11,26
CAMIRI,estado nutricional,a baja,2013-11-01,14,5,14,3,6,10,34,18,52
CAPINOTA,estado nutricional,a baja,2013-11-01,6,6,19,18,15,13,40,37,77
CAQUIAVIRI,estado nutricional,a baja,2013-11-01,7,6,14,7,12,9,33,22,55
CARACOLLO,estado nutricional,a baja,2013-11-01,6,7,33,10,18,22,57,39,96
CARANAVI,estado nutricional,a baja,2013-11-01,22,11,38,31,56,62,116,104,220
CARANGAS,estado nutricional,a baja,2013-11-01,0,0,0,0,1,1,1,1,2
CARAPARI,estado nutricional,a baja,2013-11-01,0,1,5,0,4,2,9,3,12
CARIPUYO,estado nutricional,a baja,2013-11-01,17,10,33,27,40,44,90,81,171
CARMEN RIVERO TORREZ,estado nutricional,a baja,2013-11-01,0,0,0,1,1,0,1,1,2
CATACORA,estado nutricional,a baja,2013-11-01,1,0,4,2,12,2,17,4,21
CHACARILLA,estado nutricional,a baja,2013-11-01,0,0,4,0,0,0,4,0,4
CHALLAPATA,estado nutricional,a baja,2013-11-01,33,23,74,45,51,43,158,111,269
CHAQUI,estado nutricional,a baja,2013-11-01,14,9,28,16,27,20,69,45,114
CHARAGUA,estado nutricional,a baja,2013-11-01,1,2,5,0,2,1,8,3,11
CHARAÑA,estado nutricional,a baja,2013-11-01,1,0,2,0,1,3,4,3,7
CHAYANTA,estado nutricional,a baja,2013-11-01,30,16,37,42,38,27,105,85,190
CHIMORE,estado nutricional,a baja,2013-11-01,3,1,14,9,8,5,25,15,40
CHIPAYA,estado nutricional,a baja,2013-11-01,1,0,1,2,6,6,8,8,16
CHOQUE COTA,estado nutricional,a baja,2013-11-01,0,8,1,1,2,2,3,11,14
CHUA COCANI,estado nutricional,a baja,2013-11-01,1,2,2,1,3,3,6,6,12
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a baja,2013-11-01,2,0,8,6,5,7,15,13,28
CHUMA,estado nutricional,a baja,2013-11-01,10,8,16,7,31,20,57,35,92
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a baja,2013-11-01,9,6,24,13,26,25,59,44,103
CKOCHAS,estado nutricional,a baja,2013-11-01,18,16,67,57,84,55,169,128,297
CLIZA,estado nutricional,a baja,2013-11-01,4,4,4,3,5,4,13,11,24
COBIJA,estado nutricional,a baja,2013-11-01,17,16,25,13,17,15,59,44,103
COCAPATA,estado nutricional,a baja,2013-11-01,12,11,41,31,60,65,113,107,220
COCHABAMBA,estado nutricional,a baja,2013-11-01,165,138,240,191,192,168,597,497,1094
COLCAPIRHUA,estado nutricional,a baja,2013-11-01,2,1,7,14,9,8,18,23,41
"COLCHA ""K""",estado nutricional,a baja,2013-11-01,8,2,13,10,4,9,25,21,46
COLLANA,estado nutricional,a baja,2013-11-01,3,0,5,3,2,6,10,9,19
COLOMI,estado nutricional,a baja,2013-11-01,14,14,46,21,31,33,91,68,159
COLQUECHACA,estado nutricional,a baja,2013-11-01,51,53,118,105,70,69,239,227,466
COLQUENCHA,estado nutricional,a baja,2013-11-01,8,6,20,10,14,10,42,26,68
COLQUIRI,estado nutricional,a baja,2013-11-01,12,6,16,15,28,16,56,37,93
COMANCHE,estado nutricional,a baja,2013-11-01,1,2,4,11,5,2,10,15,25
COMARAPA,estado nutricional,a baja,2013-11-01,5,5,8,3,25,17,38,25,63
COMBAYA,estado nutricional,a baja,2013-11-01,0,0,1,0,5,4,6,4,10
CONCEPCION,estado nutricional,a baja,2013-11-01,9,9,16,7,20,23,45,39,84
COPACABANA,estado nutricional,a baja,2013-11-01,0,0,8,8,11,4,19,12,31
CORIPATA,estado nutricional,a baja,2013-11-01,1,2,10,4,7,6,18,12,30
CORO CORO,estado nutricional,a baja,2013-11-01,6,5,16,9,11,18,33,32,65
COROICO,estado nutricional,a baja,2013-11-01,1,7,8,7,8,12,17,26,43
CORQUE,estado nutricional,a baja,2013-11-01,10,2,11,14,22,12,43,28,71
COTAGAITA,estado nutricional,a baja,2013-11-01,16,12,48,31,59,38,123,81,204
COTOCA,estado nutricional,a baja,2013-11-01,8,2,10,4,10,8,28,14,42
CUATRO CAÑADAS,estado nutricional,a baja,2013-11-01,1,0,2,2,0,2,3,4,7
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a baja,2013-11-01,5,0,1,1,8,2,14,3,17
CUEVO,estado nutricional,a baja,2013-11-01,2,1,3,2,6,5,11,8,19
CULPINA,estado nutricional,a baja,2013-11-01,4,3,4,4,11,4,19,11,30
CURAHUARA DE CARANGAS,estado nutricional,a baja,2013-11-01,7,12,16,5,8,8,31,25,56
CURVA,estado nutricional,a baja,2013-11-01,6,2,5,6,20,8,31,16,47
DESAGUADERO,estado nutricional,a baja,2013-11-01,1,1,2,6,1,1,4,8,12
EL ALTO,estado nutricional,a baja,2013-11-01,450,257,611,370,476,371,1537,998,2535
EL CHORO,estado nutricional,a baja,2013-11-01,1,4,1,2,2,4,4,10,14
EL PUENTE(STC),estado nutricional,a baja,2013-11-01,3,2,2,0,4,1,9,3,12
EL PUENTE(TJA),estado nutricional,a baja,2013-11-01,5,5,7,13,18,16,30,34,64
EL TORNO,estado nutricional,a baja,2013-11-01,2,7,8,7,14,19,24,33,57
EL VILLAR,estado nutricional,a baja,2013-11-01,0,2,3,2,3,8,6,12,18
ENTRE RIOS TRJ,estado nutricional,a baja,2013-11-01,8,5,3,4,25,10,36,19,55
ENTRE RIOS CBBA,estado nutricional,a baja,2013-11-01,4,3,15,10,15,11,34,24,58
ESCARA,estado nutricional,a baja,2013-11-01,1,0,0,0,2,0,3,0,3
ESCOMA,estado nutricional,a baja,2013-11-01,2,1,8,3,3,2,13,6,19
ESMERALDA,estado nutricional,a baja,2013-11-01,1,0,0,0,0,1,1,1,2
EUCALIPTUS,estado nutricional,a baja,2013-11-01,8,1,21,1,11,7,40,9,49
EUREKA (SANTOS MERCADO),estado nutricional,a baja,2013-11-01,1,0,0,0,0,3,1,3,4
EXALTACION,estado nutricional,a baja,2013-11-01,0,0,1,0,1,2,2,2,4
FERNANDEZ ALONSO,estado nutricional,a baja,2013-11-01,2,0,2,1,13,4,17,5,22
FILADELFIA,estado nutricional,a baja,2013-11-01,2,0,3,1,1,1,6,2,8
GENERAL SAAVEDRA,estado nutricional,a baja,2013-11-01,4,0,5,4,11,4,20,8,28
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a baja,2013-11-01,9,6,21,13,26,24,56,43,99
GUANAY,estado nutricional,a baja,2013-11-01,5,3,7,6,9,8,21,17,38
GUAQUI,estado nutricional,a baja,2013-11-01,6,0,6,3,12,10,24,13,37
GUAYARAMERIN,estado nutricional,a baja,2013-11-01,34,29,37,20,51,22,122,71,193
GUTIERREZ,estado nutricional,a baja,2013-11-01,24,7,26,12,44,34,94,53,147
HUACARETA,estado nutricional,a baja,2013-11-01,2,1,7,4,10,6,19,11,30
HUACAYA (VILLA DE HUACAYA),estado nutricional,a baja,2013-11-01,4,0,3,0,7,2,14,2,16
HUACHACALLA,estado nutricional,a baja,2013-11-01,2,1,1,1,9,2,12,4,16
HUANUNI,estado nutricional,a baja,2013-11-01,30,14,36,28,27,27,93,69,162
HUARACAJE,estado nutricional,a baja,2013-11-01,0,0,0,2,0,2,0,4,4
HUARINA,estado nutricional,a baja,2013-11-01,1,1,15,2,3,5,19,8,27
HUATAJATA,estado nutricional,a baja,2013-11-01,7,3,6,2,1,4,14,9,23
HUAYLLAMARCA,estado nutricional,a baja,2013-11-01,3,2,5,0,5,4,13,6,19
HUMANATA,estado nutricional,a baja,2013-11-01,10,4,12,10,3,1,25,15,40
ICHOCA,estado nutricional,a baja,2013-11-01,6,3,12,3,16,15,34,21,55
ICLA,estado nutricional,a baja,2013-11-01,11,7,17,19,95,68,123,94,217
INCAHUASI,estado nutricional,a baja,2013-11-01,23,10,45,30,93,74,161,114,275
INGAVI (HUMAITA),estado nutricional,a baja,2013-11-01,0,1,1,0,3,1,4,2,6
INQUISIVI,estado nutricional,a baja,2013-11-01,1,3,2,4,3,7,6,14,20
IRUPANA (VILLA DE LANZA),estado nutricional,a baja,2013-11-01,6,7,3,1,6,6,15,14,29
IXIAMAS,estado nutricional,a baja,2013-11-01,0,0,1,3,5,6,6,9,15
JESUS DE MACHACA,estado nutricional,a baja,2013-11-01,12,2,6,13,10,10,28,25,53
LA ASUNTA,estado nutricional,a baja,2013-11-01,18,7,29,24,19,30,66,61,127
LA GUARDIA,estado nutricional,a baja,2013-11-01,14,14,8,9,9,4,31,27,58
LA PAZ,estado nutricional,a baja,2013-11-01,423,284,400,263,290,239,1113,786,1899
LAGUNILLAS,estado nutricional,a baja,2013-11-01,0,2,3,3,5,5,8,10,18
LAJA,estado nutricional,a baja,2013-11-01,9,3,10,13,10,7,29,23,52
LAS CARRERAS,estado nutricional,a baja,2013-11-01,1,0,2,1,3,7,6,8,14
LICOMA PAMPA,estado nutricional,a baja,2013-11-01,1,0,2,2,2,2,5,4,9
LLALLAGUA,estado nutricional,a baja,2013-11-01,36,22,63,47,59,53,158,122,280
LLICA,estado nutricional,a baja,2013-11-01,9,1,3,1,3,1,15,3,18
LORETO,estado nutricional,a baja,2013-11-01,0,1,2,3,11,8,13,12,25
LURIBAY,estado nutricional,a baja,2013-11-01,1,2,7,1,11,5,19,8,27
MACHACAMARCA,estado nutricional,a baja,2013-11-01,8,7,4,3,4,0,16,10,26
MACHARETI,estado nutricional,a baja,2013-11-01,4,0,2,1,8,3,14,4,18
MAGDALENA,estado nutricional,a baja,2013-11-01,4,2,9,3,3,1,16,6,22
MAIRANA,estado nutricional,a baja,2013-11-01,1,0,0,5,2,5,3,10,13
MALLA,estado nutricional,a baja,2013-11-01,3,3,6,5,11,4,20,12,32
MAPIRI,estado nutricional,a baja,2013-11-01,7,2,25,9,8,11,40,22,62
MECAPACA,estado nutricional,a baja,2013-11-01,4,2,12,4,21,19,37,25,62
MINEROS,estado nutricional,a baja,2013-11-01,2,2,14,8,5,4,21,14,35
MIZQUE,estado nutricional,a baja,2013-11-01,54,29,89,51,59,52,202,132,334
MOCOMOCO,estado nutricional,a baja,2013-11-01,10,3,13,10,6,7,29,20,49
MOJINETE,estado nutricional,a baja,2013-11-01,2,0,1,3,1,0,4,3,7
MOJOCOYA,estado nutricional,a baja,2013-11-01,8,2,11,9,24,43,43,54,97
MONTEAGUDO,estado nutricional,a baja,2013-11-01,6,3,14,4,20,24,40,31,71
MONTERO,estado nutricional,a baja,2013-11-01,10,8,13,17,10,10,33,35,68
MORO MORO,estado nutricional,a baja,2013-11-01,4,1,3,1,1,0,8,2,10
MOROCHATA,estado nutricional,a baja,2013-11-01,17,20,51,26,59,61,127,107,234
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a baja,2013-11-01,1,0,3,0,0,1,4,1,5
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a baja,2013-11-01,0,0,3,3,1,3,4,6,10
OCURI,estado nutricional,a baja,2013-11-01,30,22,79,50,123,80,232,152,384
OKINAWA,estado nutricional,a baja,2013-11-01,3,4,5,1,5,3,13,8,21
OMEREQUE,estado nutricional,a baja,2013-11-01,2,2,4,2,6,1,12,5,17
ORURO,estado nutricional,a baja,2013-11-01,265,152,353,232,165,140,783,524,1307
PADCAYA,estado nutricional,a baja,2013-11-01,2,1,5,7,3,6,10,14,24
PADILLA,estado nutricional,a baja,2013-11-01,3,0,8,4,38,26,49,30,79
PAILON,estado nutricional,a baja,2013-11-01,4,2,5,3,3,4,12,9,21
PALCA,estado nutricional,a baja,2013-11-01,13,5,16,9,16,7,45,21,66
PALOS BLANCOS,estado nutricional,a baja,2013-11-01,7,8,36,23,42,48,85,79,164
PAMPA AULLAGAS,estado nutricional,a baja,2013-11-01,3,2,13,8,7,10,23,20,43
PAMPA GRANDE,estado nutricional,a baja,2013-11-01,1,1,8,4,9,4,18,9,27
PAPEL PAMPA,estado nutricional,a baja,2013-11-01,3,3,2,6,6,3,11,12,23
PASORAPA,estado nutricional,a baja,2013-11-01,3,0,6,3,8,4,17,7,24
PATACAMAYA,estado nutricional,a baja,2013-11-01,13,10,29,22,12,19,54,51,105
PAZÑA,estado nutricional,a baja,2013-11-01,5,5,16,13,7,21,28,39,67
PELECHUCO,estado nutricional,a baja,2013-11-01,8,1,10,7,12,6,30,14,44
POCOATA,estado nutricional,a baja,2013-11-01,26,18,83,59,95,102,204,179,383
POCONA,estado nutricional,a baja,2013-11-01,12,6,13,24,21,16,46,46,92
POJO (CBBA),estado nutricional,a baja,2013-11-01,15,9,22,12,14,22,51,43,94
POOPO,estado nutricional,a baja,2013-11-01,5,6,10,3,6,5,21,14,35
PORCO,estado nutricional,a baja,2013-11-01,20,12,39,22,16,13,75,47,122
POROMA,estado nutricional,a baja,2013-11-01,17,6,26,23,57,54,100,83,183
PORONGO,estado nutricional,a baja,2013-11-01,0,0,0,1,1,1,1,2,3
PORTACHUELO,estado nutricional,a baja,2013-11-01,1,0,1,3,3,1,5,4,9
PORVENIR,estado nutricional,a baja,2013-11-01,6,4,3,1,5,1,14,6,20
POSTRER VALLE,estado nutricional,a baja,2013-11-01,2,0,3,1,0,2,5,3,8
POTOSI,estado nutricional,a baja,2013-11-01,237,130,323,192,140,122,700,444,1144
PRESTO,estado nutricional,a baja,2013-11-01,12,10,34,19,61,48,107,77,184
PUCARA,estado nutricional,a baja,2013-11-01,1,0,1,0,5,3,7,3,10
PUCARANI,estado nutricional,a baja,2013-11-01,13,10,31,20,37,13,81,43,124
PUERTO ACOSTA,estado nutricional,a baja,2013-11-01,5,7,11,12,6,8,22,27,49
PUERTO CARABUCO,estado nutricional,a baja,2013-11-01,0,2,21,10,8,13,29,25,54
PUERTO GONZALO MORENO,estado nutricional,a baja,2013-11-01,12,8,28,19,34,30,74,57,131
PUERTO PEREZ,estado nutricional,a baja,2013-11-01,1,0,4,5,3,5,8,10,18
PUERTO QUIJARRO,estado nutricional,a baja,2013-11-01,4,11,4,4,1,8,9,23,32
PUERTO RICO,estado nutricional,a baja,2013-11-01,7,0,5,4,17,9,29,13,42
PUERTO SILES,estado nutricional,a baja,2013-11-01,0,0,0,2,0,2,0,4,4
PUERTO SUAREZ,estado nutricional,a baja,2013-11-01,1,0,3,3,1,2,5,5,10
PUERTO VILLARROEL,estado nutricional,a baja,2013-11-01,16,9,28,31,42,49,86,89,175
PUNA,estado nutricional,a baja,2013-11-01,14,4,32,28,42,62,88,94,182
PUNATA,estado nutricional,a baja,2013-11-01,23,9,26,15,19,17,68,41,109
QUIABAYA,estado nutricional,a baja,2013-11-01,6,2,8,7,5,4,19,13,32
QUILLACOLLO,estado nutricional,a baja,2013-11-01,30,23,87,54,70,61,187,138,325
QUIME,estado nutricional,a baja,2013-11-01,2,0,3,6,6,5,11,11,22
QUIRUSILLAS,estado nutricional,a baja,2013-11-01,2,0,0,1,0,0,2,1,3
RAVELO,estado nutricional,a baja,2013-11-01,24,23,68,54,132,142,224,219,443
REYES,estado nutricional,a baja,2013-11-01,6,2,12,10,7,2,25,14,39
RIBERALTA,estado nutricional,a baja,2013-11-01,54,34,111,82,71,53,236,169,405
ROBORE,estado nutricional,a baja,2013-11-01,0,0,1,1,1,1,2,2,4
RURRENABAQUE,estado nutricional,a baja,2013-11-01,4,3,8,2,5,4,17,9,26
SABAYA,estado nutricional,a baja,2013-11-01,0,0,1,0,4,5,5,5,10
SACABA,estado nutricional,a baja,2013-11-01,55,28,80,63,66,62,201,153,354
SACABAMBA,estado nutricional,a baja,2013-11-01,9,6,14,8,18,23,41,37,78
SACACA,estado nutricional,a baja,2013-11-01,64,48,91,54,113,95,268,197,465
SAIPINA,estado nutricional,a baja,2013-11-01,0,0,1,3,2,4,3,7,10
SALINAS DE GARCI MENDOZA,estado nutricional,a baja,2013-11-01,20,7,30,17,25,32,75,56,131
SAMAIPATA,estado nutricional,a baja,2013-11-01,3,1,3,2,5,1,11,4,15
SAN AGUSTIN,estado nutricional,a baja,2013-11-01,2,1,1,3,1,1,4,5,9
SAN ANDRES,estado nutricional,a baja,2013-11-01,1,0,11,1,7,11,19,12,31
SAN ANDRES DE MACHACA,estado nutricional,a baja,2013-11-01,3,3,4,2,3,2,10,7,17
SAN ANTONIO DE ESMORUCO,estado nutricional,a baja,2013-11-01,3,1,3,5,4,3,10,9,19
SAN ANTONIO DE LOMERIO,estado nutricional,a baja,2013-11-01,5,2,8,4,10,26,23,32,55
SAN BENITO,estado nutricional,a baja,2013-11-01,6,3,7,7,8,6,21,16,37
SAN BORJA,estado nutricional,a baja,2013-11-01,31,9,48,27,80,73,159,109,268
SAN BUENA VENTURA,estado nutricional,a baja,2013-11-01,1,1,7,8,7,4,15,13,28
SAN CARLOS,estado nutricional,a baja,2013-11-01,1,2,3,2,5,4,9,8,17
SAN IGNACIO,estado nutricional,a baja,2013-11-01,21,9,22,14,22,21,65,44,109
SAN IGNACIO DE VELASCO,estado nutricional,a baja,2013-11-01,26,10,33,34,35,29,94,73,167
SAN JAVIER(STC),estado nutricional,a baja,2013-11-01,0,2,0,1,1,0,1,3,4
SAN JOAQUIN,estado nutricional,a baja,2013-11-01,0,0,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,estado nutricional,a baja,2013-11-01,7,2,2,4,2,1,11,7,18
SAN JUAN DE YAPACANI,estado nutricional,a baja,2013-11-01,0,0,1,2,0,0,1,2,3
SAN JULIAN,estado nutricional,a baja,2013-11-01,0,5,4,10,13,10,17,25,42
