,group,variable,month,A NORMAL < DE 1 AÑO,A NORMAL < DE 1 AÑO,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
HUACHACALLA,estado nutricional,a normal,2013-10-01,12,22,2,6,16,13,30,41,71
HUANUNI,estado nutricional,a normal,2013-10-01,194,221,132,136,181,149,507,506,1013
HUARACAJE,estado nutricional,a normal,2013-10-01,31,35,27,31,25,32,83,98,181
HUARINA,estado nutricional,a normal,2013-10-01,24,25,15,30,16,26,55,81,136
HUATAJATA,estado nutricional,a normal,2013-10-01,31,21,27,31,33,34,91,86,177
HUAYLLAMARCA,estado nutricional,a normal,2013-10-01,38,41,25,20,44,39,107,100,207
HUMANATA,estado nutricional,a normal,2013-10-01,17,19,11,15,17,19,45,53,98
ICHOCA,estado nutricional,a normal,2013-10-01,20,34,23,15,22,26,65,75,140
ICLA,estado nutricional,a normal,2013-10-01,56,42,36,47,95,124,187,213,400
INCAHUASI,estado nutricional,a normal,2013-10-01,92,96,71,56,114,127,277,279,556
INGAVI (HUMAITA),estado nutricional,a normal,2013-10-01,4,12,8,4,5,3,17,19,36
INQUISIVI,estado nutricional,a normal,2013-10-01,78,95,82,74,69,80,229,249,478
IRUPANA (VILLA DE LANZA),estado nutricional,a normal,2013-10-01,71,61,60,55,68,94,199,210,409
IXIAMAS,estado nutricional,a normal,2013-10-01,95,85,62,68,65,94,222,247,469
JESUS DE MACHACA,estado nutricional,a normal,2013-10-01,83,100,42,79,87,67,212,246,458
LA ASUNTA,estado nutricional,a normal,2013-10-01,447,410,371,350,315,289,1133,1049,2182
LA GUARDIA,estado nutricional,a normal,2013-10-01,719,687,290,380,305,298,1314,1365,2679
LA PAZ,estado nutricional,a normal,2013-10-01,5213,4549,3334,3030,4291,3846,12838,11425,24263
LA RIVERA,estado nutricional,a normal,2013-10-01,3,4,6,2,0,4,9,10,19
LAGUNILLAS,estado nutricional,a normal,2013-10-01,82,62,47,49,103,102,232,213,445
LAJA,estado nutricional,a normal,2013-10-01,123,110,98,87,90,87,311,284,595
LAS CARRERAS,estado nutricional,a normal,2013-10-01,29,24,26,28,41,46,96,98,194
LICOMA PAMPA,estado nutricional,a normal,2013-10-01,17,19,23,20,22,26,62,65,127
LLALLAGUA,estado nutricional,a normal,2013-10-01,336,348,279,229,165,173,780,750,1530
LLICA,estado nutricional,a normal,2013-10-01,38,33,34,28,19,22,91,83,174
LORETO,estado nutricional,a normal,2013-10-01,32,41,27,31,61,70,120,142,262
LURIBAY,estado nutricional,a normal,2013-10-01,57,52,41,55,72,53,170,160,330
MACHACAMARCA,estado nutricional,a normal,2013-10-01,37,56,29,29,28,39,94,124,218
MACHARETI,estado nutricional,a normal,2013-10-01,49,65,64,37,126,111,239,213,452
MAGDALENA,estado nutricional,a normal,2013-10-01,114,110,74,82,72,83,260,275,535
MAIRANA,estado nutricional,a normal,2013-10-01,99,100,82,76,46,72,227,248,475
MALLA,estado nutricional,a normal,2013-10-01,11,17,7,8,19,9,37,34,71
MAPIRI,estado nutricional,a normal,2013-10-01,135,137,72,101,110,95,317,333,650
MECAPACA,estado nutricional,a normal,2013-10-01,90,88,79,59,75,77,244,224,468
MINEROS,estado nutricional,a normal,2013-10-01,234,223,154,164,168,163,556,550,1106
MIZQUE,estado nutricional,a normal,2013-10-01,313,293,243,219,219,176,775,688,1463
MOCOMOCO,estado nutricional,a normal,2013-10-01,84,68,98,94,79,72,261,234,495
MOJINETE,estado nutricional,a normal,2013-10-01,9,5,2,5,8,11,19,21,40
MOJOCOYA,estado nutricional,a normal,2013-10-01,58,60,48,41,98,109,204,210,414
MONTEAGUDO,estado nutricional,a normal,2013-10-01,218,203,218,211,255,215,691,629,1320
MONTERO,estado nutricional,a normal,2013-10-01,1085,989,694,706,644,661,2423,2356,4779
MORO MORO,estado nutricional,a normal,2013-10-01,13,13,23,22,17,25,53,60,113
MOROCHATA,estado nutricional,a normal,2013-10-01,82,80,52,71,103,88,237,239,476
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a normal,2013-10-01,20,20,19,10,18,15,57,45,102
NAZACARA DE PACAJES,estado nutricional,a normal,2013-10-01,1,9,6,1,10,10,17,20,37
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a normal,2013-10-01,30,28,27,22,51,40,108,90,198
OCURI,estado nutricional,a normal,2013-10-01,121,117,76,82,87,91,284,290,574
OKINAWA,estado nutricional,a normal,2013-10-01,173,140,107,116,145,131,425,387,812
OMEREQUE,estado nutricional,a normal,2013-10-01,82,66,66,38,64,52,212,156,368
ORURO,estado nutricional,a normal,2013-10-01,2341,2179,1487,1609,1125,1181,4953,4969,9922
PADCAYA,estado nutricional,a normal,2013-10-01,138,135,134,135,155,168,427,438,865
PADILLA,estado nutricional,a normal,2013-10-01,91,99,63,82,175,185,329,366,695
PAILON,estado nutricional,a normal,2013-10-01,281,201,166,143,197,182,644,526,1170
PALCA,estado nutricional,a normal,2013-10-01,138,133,129,90,101,117,368,340,708
PALOS BLANCOS,estado nutricional,a normal,2013-10-01,270,255,173,204,196,201,639,660,1299
PAMPA AULLAGAS,estado nutricional,a normal,2013-10-01,25,17,20,11,12,20,57,48,105
PAMPA GRANDE,estado nutricional,a normal,2013-10-01,75,70,47,69,53,34,175,173,348
PAPEL PAMPA,estado nutricional,a normal,2013-10-01,38,42,42,53,56,46,136,141,277
PASORAPA,estado nutricional,a normal,2013-10-01,22,23,23,16,23,21,68,60,128
PATACAMAYA,estado nutricional,a normal,2013-10-01,148,144,112,100,80,78,340,322,662
PAZÑA,estado nutricional,a normal,2013-10-01,66,53,42,48,85,59,193,160,353
PELECHUCO,estado nutricional,a normal,2013-10-01,58,57,55,34,48,51,161,142,303
POCOATA,estado nutricional,a normal,2013-10-01,185,193,124,152,167,189,476,534,1010
POCONA,estado nutricional,a normal,2013-10-01,99,104,93,72,87,93,279,269,548
POJO (CBBA),estado nutricional,a normal,2013-10-01,134,100,94,94,92,92,320,286,606
POOPO,estado nutricional,a normal,2013-10-01,58,75,62,49,55,33,175,157,332
PORCO,estado nutricional,a normal,2013-10-01,121,127,91,83,69,69,281,279,560
POROMA,estado nutricional,a normal,2013-10-01,123,125,92,117,176,168,391,410,801
PORONGO,estado nutricional,a normal,2013-10-01,76,81,58,49,106,99,240,229,469
PORTACHUELO,estado nutricional,a normal,2013-10-01,105,115,60,42,37,37,202,194,396
PORVENIR,estado nutricional,a normal,2013-10-01,54,54,49,54,44,53,147,161,308
POSTRER VALLE,estado nutricional,a normal,2013-10-01,8,12,11,13,17,20,36,45,81
POTOSI,estado nutricional,a normal,2013-10-01,1337,1494,755,880,570,587,2662,2961,5623
PRESTO,estado nutricional,a normal,2013-10-01,59,69,42,45,61,75,162,189,351
PUCARA,estado nutricional,a normal,2013-10-01,17,6,15,6,21,16,53,28,81
PUCARANI,estado nutricional,a normal,2013-10-01,195,154,162,203,103,115,460,472,932
PUERTO ACOSTA,estado nutricional,a normal,2013-10-01,66,62,56,45,47,35,169,142,311
PUERTO CARABUCO,estado nutricional,a normal,2013-10-01,66,82,76,73,84,76,226,231,457
PUERTO GONZALO MORENO,estado nutricional,a normal,2013-10-01,134,94,77,99,137,82,348,275,623
PUERTO PEREZ,estado nutricional,a normal,2013-10-01,35,31,23,35,41,31,99,97,196
PUERTO QUIJARRO,estado nutricional,a normal,2013-10-01,179,180,104,103,91,108,374,391,765
PUERTO RICO,estado nutricional,a normal,2013-10-01,70,69,43,53,45,42,158,164,322
PUERTO SILES,estado nutricional,a normal,2013-10-01,11,4,17,10,13,17,41,31,72
PUERTO SUAREZ,estado nutricional,a normal,2013-10-01,117,119,79,61,86,75,282,255,537
PUERTO VILLARROEL,estado nutricional,a normal,2013-10-01,780,633,510,444,421,387,1711,1464,3175
PUNA,estado nutricional,a normal,2013-10-01,156,147,124,122,173,161,453,430,883
PUNATA,estado nutricional,a normal,2013-10-01,251,266,167,136,135,151,553,553,1106
QUIABAYA,estado nutricional,a normal,2013-10-01,14,24,14,16,16,13,44,53,97
QUILLACOLLO,estado nutricional,a normal,2013-10-01,1192,1117,851,831,787,718,2830,2666,5496
QUIME,estado nutricional,a normal,2013-10-01,83,68,76,55,58,47,217,170,387
QUIRUSILLAS,estado nutricional,a normal,2013-10-01,8,13,6,8,20,19,34,40,74
RAVELO,estado nutricional,a normal,2013-10-01,117,100,78,94,147,163,342,357,699
REYES,estado nutricional,a normal,2013-10-01,97,106,82,81,70,81,249,268,517
RIBERALTA,estado nutricional,a normal,2013-10-01,1242,1218,850,902,666,689,2758,2809,5567
ROBORE,estado nutricional,a normal,2013-10-01,138,112,104,121,132,129,374,362,736
RURRENABAQUE,estado nutricional,a normal,2013-10-01,123,153,100,109,60,65,283,327,610
SABAYA,estado nutricional,a normal,2013-10-01,22,22,28,20,39,36,89,78,167
SACABA,estado nutricional,a normal,2013-10-01,1404,1342,1101,931,791,799,3296,3072,6368
SACABAMBA,estado nutricional,a normal,2013-10-01,42,34,32,25,31,48,105,107,212
SACACA,estado nutricional,a normal,2013-10-01,208,169,110,130,150,134,468,433,901
SAIPINA,estado nutricional,a normal,2013-10-01,52,54,59,45,75,65,186,164,350
SALINAS DE GARCI MENDOZA,estado nutricional,a normal,2013-10-01,88,92,100,88,111,121,299,301,600
SAMAIPATA,estado nutricional,a normal,2013-10-01,90,83,68,72,65,53,223,208,431
SAN AGUSTIN,estado nutricional,a normal,2013-10-01,8,12,11,11,17,12,36,35,71
SAN ANDRES,estado nutricional,a normal,2013-10-01,87,88,85,87,146,133,318,308,626
SAN ANDRES DE MACHACA,estado nutricional,a normal,2013-10-01,29,19,18,15,8,13,55,47,102
SAN ANTONIO DE ESMORUCO,estado nutricional,a normal,2013-10-01,16,12,8,17,10,13,34,42,76
SAN ANTONIO DE LOMERIO,estado nutricional,a normal,2013-10-01,56,66,56,60,142,140,254,266,520
SAN BENITO,estado nutricional,a normal,2013-10-01,99,118,83,97,120,61,302,276,578
SAN BORJA,estado nutricional,a normal,2013-10-01,416,419,256,243,307,281,979,943,1922
SAN BUENA VENTURA,estado nutricional,a normal,2013-10-01,92,102,58,59,93,68,243,229,472
SAN CARLOS,estado nutricional,a normal,2013-10-01,184,193,144,182,126,139,454,514,968
SAN IGNACIO,estado nutricional,a normal,2013-10-01,256,349,217,194,262,296,735,839,1574
SAN IGNACIO DE VELASCO,estado nutricional,a normal,2013-10-01,633,613,431,368,429,411,1493,1392,2885
SAN JAVIER(BNI),estado nutricional,a normal,2013-10-01,24,8,14,21,27,29,65,58,123
SAN JAVIER(STC),estado nutricional,a normal,2013-10-01,120,132,67,91,91,97,278,320,598
SAN JOAQUIN,estado nutricional,a normal,2013-10-01,53,64,49,28,53,49,155,141,296
SAN JOSE DE CHIQUITOS,estado nutricional,a normal,2013-10-01,106,131,71,75,104,87,281,293,574
SAN JUAN DE YAPACANI,estado nutricional,a normal,2013-10-01,99,78,69,47,46,46,214,171,385
SAN JULIAN,estado nutricional,a normal,2013-10-01,422,423,409,376,386,354,1217,1153,2370
SAN LORENZO(PND),estado nutricional,a normal,2013-10-01,51,48,35,56,42,45,128,149,277
SAN LORENZO(TJA),estado nutricional,a normal,2013-10-01,218,211,174,199,212,175,604,585,1189
SAN LUCAS,estado nutricional,a normal,2013-10-01,70,69,49,61,86,79,205,209,414
SAN MATIAS,estado nutricional,a normal,2013-10-01,124,116,83,55,104,83,311,254,565
SAN MIGUEL DE VELASCO,estado nutricional,a normal,2013-10-01,111,138,128,123,212,212,451,473,924
SAN PABLO DE LIPEZ,estado nutricional,a normal,2013-10-01,13,18,13,11,12,12,38,41,79
SAN PEDRO,estado nutricional,a normal,2013-10-01,111,127,134,131,190,131,435,389,824
SAN PEDRO DE BUENA VISTA,estado nutricional,a normal,2013-10-01,265,268,163,204,243,188,671,660,1331
SAN PEDRO DE CURAHUARA,estado nutricional,a normal,2013-10-01,31,25,27,30,24,33,82,88,170
SAN PEDRO DE QUEMES,estado nutricional,a normal,2013-10-01,10,6,4,0,2,2,16,8,24
SAN PEDRO DE TIQUINA,estado nutricional,a normal,2013-10-01,24,16,24,20,43,33,91,69,160
SAN PEDRO(PND),estado nutricional,a normal,2013-10-01,9,9,17,17,29,18,55,44,99
SAN RAFAEL,estado nutricional,a normal,2013-10-01,61,52,46,55,61,60,168,167,335
SAN RAMON BENI,estado nutricional,a normal,2013-10-01,51,39,28,20,32,42,111,101,212
SAN RAMON SCZ,estado nutricional,a normal,2013-10-01,84,79,67,55,60,69,211,203,414
SANTA ANA,estado nutricional,a normal,2013-10-01,183,158,116,113,110,81,409,352,761
SANTA CRUZ DE LA SIERRA,estado nutricional,a normal,2013-10-01,9026,8229,4939,4971,4603,4283,18568,17483,36051
SANTA ROSA,estado nutricional,a normal,2013-10-01,98,103,80,79,86,92,264,274,538
SANTA ROSA DEL SARA,estado nutricional,a normal,2013-10-01,133,141,123,99,103,106,359,346,705
SANTIAGO DE CALLAPA,estado nutricional,a normal,2013-10-01,30,21,19,21,11,12,60,54,114
SANTIAGO DE HUARI,estado nutricional,a normal,2013-10-01,72,75,72,82,94,88,238,245,483
SANTIAGO DE HUATA,estado nutricional,a normal,2013-10-01,47,37,39,45,64,70,150,152,302
SANTIAGO DE MACHACA,estado nutricional,a normal,2013-10-01,25,44,23,20,19,10,67,74,141
SANTIVAÑES,estado nutricional,a normal,2013-10-01,75,32,48,35,49,54,172,121,293
SANTUARIO DE QUILLACAS,estado nutricional,a normal,2013-10-01,31,24,19,25,41,26,91,75,166
SAPAHAQUI,estado nutricional,a normal,2013-10-01,52,46,55,43,41,37,148,126,274
SENA,estado nutricional,a normal,2013-10-01,53,40,30,27,30,13,113,80,193
SHINAOTA,estado nutricional,a normal,2013-10-01,433,359,288,239,340,288,1061,886,1947
SICA SICA (VILLA AROMA),estado nutricional,a normal,2013-10-01,131,156,106,121,141,159,378,436,814
SICAYA,estado nutricional,a normal,2013-10-01,30,37,18,21,30,29,78,87,165
SIPE SIPE,estado nutricional,a normal,2013-10-01,580,465,357,382,265,298,1202,1145,2347
SOPACHUY,estado nutricional,a normal,2013-10-01,56,60,47,37,71,85,174,182,356
SORACACHI,estado nutricional,a normal,2013-10-01,90,83,87,90,116,88,293,261,554
SORATA,estado nutricional,a normal,2013-10-01,140,121,112,112,174,134,426,367,793
SUCRE,estado nutricional,a normal,2013-10-01,2902,2822,2380,2254,2120,2191,7402,7267,14669
TACACHI,estado nutricional,a normal,2013-10-01,4,5,3,12,0,3,7,20,27
TACACOMA,estado nutricional,a normal,2013-10-01,32,35,33,33,35,37,100,105,205
TACOBAMBA,estado nutricional,a normal,2013-10-01,71,81,45,51,55,35,171,167,338
TACOPAYA,estado nutricional,a normal,2013-10-01,76,66,47,54,70,73,193,193,386
TAHUA,estado nutricional,a normal,2013-10-01,10,8,9,6,3,6,22,20,42
TAPACARI,estado nutricional,a normal,2013-10-01,188,177,166,179,184,175,538,531,1069
TARABUCO,estado nutricional,a normal,2013-10-01,107,122,99,83,132,145,338,350,688
TARACO,estado nutricional,a normal,2013-10-01,34,31,20,18,35,25,89,74,163
TARATA,estado nutricional,a normal,2013-10-01,23,12,17,23,21,12,61,47,108
TARIJA,estado nutricional,a normal,2013-10-01,1622,1636,1283,1167,1237,1098,4142,3901,8043
TARVITA,estado nutricional,a normal,2013-10-01,109,90,86,88,149,152,344,330,674
TEOPONTE,estado nutricional,a normal,2013-10-01,110,129,87,99,133,125,330,353,683
TIAWANACU,estado nutricional,a normal,2013-10-01,84,85,51,65,47,79,182,229,411
TINGUIPAYA,estado nutricional,a normal,2013-10-01,140,131,113,91,131,118,384,340,724
TIPUANI,estado nutricional,a normal,2013-10-01,119,101,119,77,101,83,339,261,600
TIQUIPAYA,estado nutricional,a normal,2013-10-01,591,554,450,349,444,430,1485,1333,2818
TIRAQUE (CBBA),estado nutricional,a normal,2013-10-01,148,147,130,139,107,105,385,391,776
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a normal,2013-10-01,3,2,9,5,7,12,19,19,38
TOCO,estado nutricional,a normal,2013-10-01,61,45,40,41,54,37,155,123,278
TODOS SANTOS,estado nutricional,a normal,2013-10-01,3,1,1,1,1,0,5,2,7
TOLATA,estado nutricional,a normal,2013-10-01,31,16,25,28,31,27,87,71,158
TOLEDO,estado nutricional,a normal,2013-10-01,53,33,39,37,36,21,128,91,219
TOMAVE,estado nutricional,a normal,2013-10-01,85,82,82,78,66,52,233,212,445
TOMINA,estado nutricional,a normal,2013-10-01,58,68,64,61,135,141,257,270,527
TORO TORO,estado nutricional,a normal,2013-10-01,89,84,57,55,78,79,224,218,442
TOTORA(CBBA),estado nutricional,a normal,2013-10-01,193,174,122,104,81,67,396,345,741
TOTORA(ORR),estado nutricional,a normal,2013-10-01,45,32,26,22,43,52,114,106,220
TRIGAL,estado nutricional,a normal,2013-10-01,14,10,13,10,20,18,47,38,85
TRINIDAD,estado nutricional,a normal,2013-10-01,987,844,553,541,502,480,2042,1865,3907
TUPIZA,estado nutricional,a normal,2013-10-01,341,330,271,257,282,299,894,886,1780
TURCO,estado nutricional,a normal,2013-10-01,26,57,31,36,32,46,89,139,228
UMALA,estado nutricional,a normal,2013-10-01,44,57,55,45,61,45,160,147,307
UNCIA,estado nutricional,a normal,2013-10-01,163,161,108,131,101,85,372,377,749
URIONDO (A. CONCEPCION),estado nutricional,a normal,2013-10-01,172,173,140,120,160,136,472,429,901
URUBICHA,estado nutricional,a normal,2013-10-01,65,67,57,52,121,116,243,235,478
UYUNI,estado nutricional,a normal,2013-10-01,203,208,158,164,73,71,434,443,877
VACAS,estado nutricional,a normal,2013-10-01,68,67,47,56,48,41,163,164,327
VALLEGRANDE,estado nutricional,a normal,2013-10-01,105,117,128,97,107,94,340,308,648
VIACHA,estado nutricional,a normal,2013-10-01,729,474,316,299,291,321,1336,1094,2430
VILA VILA,estado nutricional,a normal,2013-10-01,32,40,33,46,37,36,102,122,224
VILLA CHARCAS,estado nutricional,a normal,2013-10-01,132,118,97,97,122,126,351,341,692
VILLA MONTES,estado nutricional,a normal,2013-10-01,404,406,256,265,307,297,967,968,1935
VILLA NUEVA (LOMA ALTA),estado nutricional,a normal,2013-10-01,48,39,49,40,40,69,137,148,285
VILLA RIVERO,estado nutricional,a normal,2013-10-01,114,125,83,67,50,52,247,244,491
VILLA SERRANO,estado nutricional,a normal,2013-10-01,85,80,73,77,173,181,331,338,669
VILLA TUNARI,estado nutricional,a normal,2013-10-01,890,793,626,656,763,765,2279,2214,4493
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a normal,2013-10-01,94,78,63,71,124,101,281,250,531
VILLAZON,estado nutricional,a normal,2013-10-01,298,281,236,241,259,277,793,799,1592
VINTO,estado nutricional,a normal,2013-10-01,365,378,268,274,165,145,798,797,1595
VITICHI,estado nutricional,a normal,2013-10-01,68,75,57,61,84,92,209,228,437
WALDO BALLIVIAN,estado nutricional,a normal,2013-10-01,10,6,8,14,9,9,27,29,56
WARNES,estado nutricional,a normal,2013-10-01,655,688,468,461,536,504,1659,1653,3312
YACO,estado nutricional,a normal,2013-10-01,59,54,44,36,39,49,142,139,281
YACUIBA,estado nutricional,a normal,2013-10-01,911,770,648,669,576,560,2135,1999,4134
YAMPARAEZ,estado nutricional,a normal,2013-10-01,52,55,38,41,70,82,160,178,338
YANACACHI,estado nutricional,a normal,2013-10-01,62,65,58,47,96,64,216,176,392
YAPACANI,estado nutricional,a normal,2013-10-01,179,189,128,143,132,110,439,442,881
YOCALLA,estado nutricional,a normal,2013-10-01,103,83,80,70,70,73,253,226,479
YOTALA,estado nutricional,a normal,2013-10-01,51,59,63,56,121,123,235,238,473
YUNCHARA,estado nutricional,a normal,2013-10-01,48,34,37,47,79,69,164,150,314
YUNGUYO DE LITORAL,estado nutricional,a normal,2013-10-01,1,0,1,1,1,1,3,2,5
ZUDAÑEZ,estado nutricional,a normal,2013-10-01,44,46,45,42,73,82,162,170,332
ACACIO,estado nutricional,a normal,2013-11-01,42,40,35,39,48,46,125,125,250
ACHACACHI,estado nutricional,a normal,2013-11-01,259,231,197,190,198,180,654,601,1255
ACHOCALLA,estado nutricional,a normal,2013-11-01,79,79,55,67,86,80,220,226,446
AIQUILE,estado nutricional,a normal,2013-11-01,270,232,209,214,151,174,630,620,1250
ALALAY,estado nutricional,a normal,2013-11-01,26,18,21,23,11,9,58,50,108
ALCALA,estado nutricional,a normal,2013-11-01,20,25,27,24,43,49,90,98,188
ALTO BENI,estado nutricional,a normal,2013-11-01,103,99,83,68,75,73,261,240,501
ANCORAIMES,estado nutricional,a normal,2013-11-01,88,89,61,70,61,78,210,237,447
ANDAMARCA,estado nutricional,a normal,2013-11-01,26,30,13,30,52,62,91,122,213
ANTEQUERA,estado nutricional,a normal,2013-11-01,25,29,18,14,23,18,66,61,127
ANZALDO,estado nutricional,a normal,2013-11-01,34,28,28,38,23,44,85,110,195
APOLO,estado nutricional,a normal,2013-11-01,164,161,157,154,149,137,470,452,922
ARAMPAMPA,estado nutricional,a normal,2013-11-01,35,36,36,29,44,34,115,99,214
ARANI,estado nutricional,a normal,2013-11-01,114,103,86,84,67,72,267,259,526
ARBIETO,estado nutricional,a normal,2013-11-01,161,173,128,124,140,174,429,471,900
ARQUE,estado nutricional,a normal,2013-11-01,120,120,92,98,115,96,327,314,641
ASCENCION DE GUARAYOS,estado nutricional,a normal,2013-11-01,273,246,138,120,132,137,543,503,1046
ATOCHA,estado nutricional,a normal,2013-11-01,124,131,117,91,127,117,368,339,707
AUCAPATA,estado nutricional,a normal,2013-11-01,37,36,36,43,29,19,102,98,200
AYATA,estado nutricional,a normal,2013-11-01,46,51,41,47,35,33,122,131,253
AYO AYO,estado nutricional,a normal,2013-11-01,53,59,42,66,28,46,123,171,294
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a normal,2013-11-01,229,231,205,209,240,161,674,601,1275
AZURDUY,estado nutricional,a normal,2013-11-01,70,85,72,81,132,138,274,304,578
BATALLAS,estado nutricional,a normal,2013-11-01,137,140,98,125,118,106,353,371,724
BAURES,estado nutricional,a normal,2013-11-01,48,52,35,35,44,37,127,124,251
BELEN DE ANDAMARCA,estado nutricional,a normal,2013-11-01,13,13,21,19,16,13,50,45,95
BELEN DE URMIRI,estado nutricional,a normal,2013-11-01,11,15,10,11,13,12,34,38,72
BELLA FLOR,estado nutricional,a normal,2013-11-01,23,32,27,30,52,53,102,115,217
BERMEJO,estado nutricional,a normal,2013-11-01,317,293,221,249,195,206,733,748,1481
BETANZOS,estado nutricional,a normal,2013-11-01,230,260,190,244,253,260,673,764,1437
BOLIVAR,estado nutricional,a normal,2013-11-01,47,50,38,40,64,46,149,136,285
BOLPEBRA,estado nutricional,a normal,2013-11-01,25,17,18,15,32,36,75,68,143
BOYUIBE,estado nutricional,a normal,2013-11-01,40,26,23,12,36,42,99,80,179
BUENA VISTA,estado nutricional,a normal,2013-11-01,103,110,115,109,197,166,415,385,800
CABEZAS,estado nutricional,a normal,2013-11-01,150,149,92,102,108,95,350,346,696
CAIROMA,estado nutricional,a normal,2013-11-01,72,64,68,64,64,76,204,204,408
"CAIZA ""D""",estado nutricional,a normal,2013-11-01,84,77,71,70,66,59,221,206,427
CAJUATA,estado nutricional,a normal,2013-11-01,119,95,64,65,79,71,262,231,493
CALACOTO,estado nutricional,a normal,2013-11-01,32,35,26,23,26,30,84,88,172
CALAMARCA,estado nutricional,a normal,2013-11-01,65,78,63,85,73,64,201,227,428
CAMARGO,estado nutricional,a normal,2013-11-01,113,119,84,97,129,133,326,349,675
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a normal,2013-11-01,23,17,21,19,40,36,84,72,156
CAMIRI,estado nutricional,a normal,2013-11-01,298,305,240,226,260,258,798,789,1587
CAPINOTA,estado nutricional,a normal,2013-11-01,113,82,85,75,74,57,272,214,486
CAQUIAVIRI,estado nutricional,a normal,2013-11-01,77,72,49,46,49,58,175,176,351
CARACOLLO,estado nutricional,a normal,2013-11-01,173,155,128,131,139,113,440,399,839
CARANAVI,estado nutricional,a normal,2013-11-01,430,394,267,243,259,270,956,907,1863
CARANGAS,estado nutricional,a normal,2013-11-01,3,0,1,2,2,1,6,3,9
CARAPARI,estado nutricional,a normal,2013-11-01,146,163,121,141,145,133,412,437,849
CARIPUYO,estado nutricional,a normal,2013-11-01,87,59,45,57,31,32,163,148,311
CARMEN RIVERO TORREZ,estado nutricional,a normal,2013-11-01,29,35,34,26,23,24,86,85,171
CATACORA,estado nutricional,a normal,2013-11-01,2,9,0,3,12,8,14,20,34
CHACARILLA,estado nutricional,a normal,2013-11-01,3,3,10,3,8,2,21,8,29
CHALLAPATA,estado nutricional,a normal,2013-11-01,403,349,190,193,219,166,812,708,1520
CHAQUI,estado nutricional,a normal,2013-11-01,65,57,42,167,34,46,141,270,411
CHARAGUA,estado nutricional,a normal,2013-11-01,252,245,170,184,236,232,658,661,1319
CHARAÑA,estado nutricional,a normal,2013-11-01,12,12,8,5,16,7,36,24,60
CHAYANTA,estado nutricional,a normal,2013-11-01,76,114,73,83,63,69,212,266,478
CHIMORE,estado nutricional,a normal,2013-11-01,317,273,234,234,267,296,818,803,1621
CHIPAYA,estado nutricional,a normal,2013-11-01,21,14,12,11,15,5,48,30,78
CHOQUE COTA,estado nutricional,a normal,2013-11-01,10,8,4,3,14,14,28,25,53
CHUA COCANI,estado nutricional,a normal,2013-11-01,9,11,7,4,13,9,29,24,53
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a normal,2013-11-01,119,123,95,64,116,87,330,274,604
CHUMA,estado nutricional,a normal,2013-11-01,73,75,61,59,96,69,230,203,433
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a normal,2013-11-01,66,57,40,45,60,42,166,144,310
CKOCHAS,estado nutricional,a normal,2013-11-01,125,141,106,107,87,87,318,335,653
CLIZA,estado nutricional,a normal,2013-11-01,230,179,138,133,161,125,529,437,966
COBIJA,estado nutricional,a normal,2013-11-01,579,552,349,316,309,329,1237,1197,2434
COCAPATA,estado nutricional,a normal,2013-11-01,179,145,127,119,148,140,454,404,858
COCHABAMBA,estado nutricional,a normal,2013-11-01,3662,3358,2362,2194,1927,1951,7951,7503,15454
COIPASA,estado nutricional,a normal,2013-11-01,12,4,6,5,9,9,27,18,45
COLCAPIRHUA,estado nutricional,a normal,2013-11-01,360,283,213,190,213,191,786,664,1450
"COLCHA ""K""",estado nutricional,a normal,2013-11-01,135,130,101,122,79,78,315,330,645
COLLANA,estado nutricional,a normal,2013-11-01,13,21,24,11,30,16,67,48,115
COLOMI,estado nutricional,a normal,2013-11-01,214,180,138,135,122,92,474,407,881
COLPA BELGICA,estado nutricional,a normal,2013-11-01,9,7,0,1,0,3,9,11,20
COLQUECHACA,estado nutricional,a normal,2013-11-01,275,266,188,202,89,65,552,533,1085
COLQUENCHA,estado nutricional,a normal,2013-11-01,56,62,43,50,53,46,152,158,310
COLQUIRI,estado nutricional,a normal,2013-11-01,126,127,74,92,72,64,272,283,555
COMANCHE,estado nutricional,a normal,2013-11-01,20,13,27,13,11,9,58,35,93
COMARAPA,estado nutricional,a normal,2013-11-01,131,138,125,101,112,105,368,344,712
COMBAYA,estado nutricional,a normal,2013-11-01,16,11,12,13,14,21,42,45,87
CONCEPCION,estado nutricional,a normal,2013-11-01,170,138,78,119,100,124,348,381,729
COPACABANA,estado nutricional,a normal,2013-11-01,82,57,62,66,96,83,240,206,446
CORIPATA,estado nutricional,a normal,2013-11-01,156,146,100,101,413,99,669,346,1015
CORO CORO,estado nutricional,a normal,2013-11-01,54,62,33,36,39,41,126,139,265
