,group,variable,month,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,5,4,2,1,12
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,1,0,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,26,33,9,9,77
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,1,0,0,1,2
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,4,3,1,0,8
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,9,9,22,27,67
VITICHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,5,2,1,1,9
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,40,44,5,4,93
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,25,19,9,5,58
YAMPARAEZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,0,0,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,22,25,24,21,92
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,0,0,11,14,25
YUNCHARA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,0,1,0,0,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-10-01,0,0,4,7,11
ACACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,2,5,7
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,3,6,6,17
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,1,5,4,12
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,1,15,13,33
ALALAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,4,1,5
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,0,2,3
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,1,0,2
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,1,2
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,2,0,0,4
ANZALDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,1,18,22,46
APOLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,3,1,5,12
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,1,1,3
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,2,0,1,6
ARQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,1,2,3,11
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,7,13,10,36
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,3,1,0,6
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,1,0,2
AYATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,2,0,1,3
AYO AYO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,2,11,10,25
AZURDUY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,2,0,1,4
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,3,11,8,26
BAURES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,3,0,3
BELEN DE URMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,1,0,2
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,1,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,3,5,4,16
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,0,3,1,7
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,3,4,7
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,2,0,2
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,3,0,0,4
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,7,5,7,23
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,14,19,31,28,92
CAIROMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,0,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,13,7,26,19,65
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,8,11,6,34
CALACOTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,2,3
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,0,1,2
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,3,4,9
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,4,6,10
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,13,11,1,4,29
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,4,14,20,44
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,2,3
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,5,5,10,26
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,8,1,1,19
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,0,0,1
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,3,0,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,3,5,9,20
CATACORA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,10,6,9,26
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,8,10,8,4,30
CHARAÑA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,1,0,2
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,11,4,4,6,25
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,11,10,19,12,52
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,7,4,2,3,16
CHUMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,3,2,1,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,2,27,7,40
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,7,12,2,6,27
CLIZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,2,1,7,14
COBIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,28,18,31,25,102
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,0,8,5,15
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,131,136,62,54,383
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,8,6,4,4,22
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,5,1,3,11
COLLANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,3,1,4
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,2,7,2,13
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,1,4,2,10
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,4,15,20,43
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,0,2
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,0,13,13,29
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,5,18,9,38
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,13,7,9,11,40
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,3,4,1,12
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,0,0,0,5
COROICO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,1,8,12,25
CORQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,1,2,4
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,2,3,0,7
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,51,57,66,66,240
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,3,3,6,14
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,5,6,11
CULPINA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,7,9,6,4,26
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,2,5,1,8
CURVA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,6,5,12
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,1,5,4,12
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,163,178,167,203,711
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,12,14,8,6,40
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,3,2,1,6
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,15,13,16,53
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,4,1,0,11
ESCOMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,2,4,8
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,1,1,3,7
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,0,1,2
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,1,1,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,3,0,1,7
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,0,2
GUANAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,4,2,5,13
GUAQUI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,2,1,2,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,12,46,24,86
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,11,7,18
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,3,1,2,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,0,1,1
HUACHACALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,0,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,4,1,1,10
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,10,0,1,14
HUARINA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,1,1,0,4
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,2,0,3
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,4,0,4
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,0,1
ICLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,2,2,4
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,4,4,9
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,1,3
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,3,1,8,12
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,1,3
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,5,4,6,18
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,3,1,1,5
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,15,18,2,2,37
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,35,33,8,6,82
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,158,142,69,81,450
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,2,3,2,8
LAJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,10,9,9,10,38
LAS CARRERAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,4,3,8
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,2,7,8,19
LORETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,0,1,1
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,1,0,0,1
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,5,5,10
MACHARETI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,2,3,0,5
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,4,17,17,43
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,0,3,3
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,4,11,10,30
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,0,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,0,0,0,2
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,10,41,50,110
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,2,14,3,24
MOJINETE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,12,14,26
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,1,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,27,20,8,24,79
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,8,5,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,0,4,4
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,3,0,1,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,2,0,0,6
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,1,0,2,5
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,35,42,55,76,208
PADCAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,2,1,1,6
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,4,21,21,48
PALCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,8,7,13,13,41
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,19,13,2,3,37
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,8,6,4,1,19
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,1,0,3
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,2,4,7
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,2,0,1,5
POCOATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,3,23,19,47
POCONA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,3,1,6
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,4,5
POOPO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,0,1
PORCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,10,38,24,77
PORONGO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,9,4,7,8,28
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,7,3,2,0,12
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,6,6,13
POSTRER VALLE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,52,54,77,110,293
PRESTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,3,2,7
PUCARA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,0,0,1
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,2,6,9,16,33
PUERTO ACOSTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,8,11,19
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,4,3,22,15,44
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,0,1,3,4
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,0,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,0,0,1
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,0,4,0,4,8
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,1,0,0,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,6,2,5,8,21
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,18,21,20,11,70
PUNA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,3,0,5,2,10
PUNATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,5,6,1,1,13
QUIABAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 4ta. dosis (1er. refuerzo),2015-11-01,1,0,0,0,1
