,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES
LORETO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,8,4,12
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,1,1,2
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,1,23,26,55
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,4,2,5,6,17
MONTERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,7,2,3,17
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,9,4,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,7,0,0,12
ORURO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,8,9,1,5,23
PADCAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,12,8,20
PAILON,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,2,1,3,7
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,2,1,0,0,3
POCOATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,1,2,4
POROMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,5,4,10
PORONGO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,2,3
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,1,0,1
POSTRER VALLE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,12,15,2,2,31
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,5,0,0,5
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,2,2,5
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,2,2,5
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,6,5,4,3,18
REYES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,2,1,0,1,4
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,4,1,4,1,10
ROBORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,1,0,2,4
SACABA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,6,0,1,12
SACACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,1,1,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,3,2,6
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,2,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,2,1,3
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,0,3,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,4,1,1,0,6
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,9,6,2,2,19
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,1,0,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,1,6,2,10
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,11,6,18
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,32,29,2,1,64
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,1,2,4
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,3,0,5,3,11
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,2,2,5
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,9,0,74,76,159
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,187,195,101,101,584
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,0,1,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,2,0,0,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,2,3,5,15
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,3,2,4,10
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,1,1,2,9
SOPACHUY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,3,4,2,4,13
SORATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,3,1,5
SUCRE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,19,27,41,40,127
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,15,9,36,40,100
TARABUCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,2,1,0,0,3
TARIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,4,2,2,4,12
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,7,4,5,5,21
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,4,1,1,11
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,1,0,2
TOLATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,4,5,9,23
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,3,2,12,11,28
TURCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
UNCIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,47,35,246,224,552
VACAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,1,0,1
VILA VILA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,3,4,13,20
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,3,6,2,16
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,15,7,16,10,48
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,2,3,3,9
VITICHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,0,1,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,23,20,0,0,43
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,4,1,8,8,21
YANACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,6,5,0,0,11
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,30,20,5,4,59
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,0,1,9,14
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
ALALAY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,5,4,9
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,4,2,7
APOLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,5,10,1,3,19
ARQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,21,25,0,0,46
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,2,1,0,3
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,0,0,0,3
AYO AYO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,0,1,3,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,10,5,7,7,29
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,38,44,66,69,217
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,1,0,0,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,5,9,6,6,26
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,2,1,2,6
CAIROMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,0,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,23,24,31,30,108
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,19,22,0,0,41
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,3,0,0,3
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,3,7,8,22
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,14,20,6,10,50
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,2,0,3
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,10,7,0,0,17
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,9,12,22,16,59
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,4,7,12
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,55,82,92,82,311
CHARAÑA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,6,6,0,1,13
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,0,4,10,16
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,1,0,1,4
CHUMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,9,17,48,44,118
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,9,2,50,34,95
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,3,0,0,7
COBIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,2,6,3,12
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,40,43,12,18,113
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,2,1,1,7
COLLANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,1,0,0,4
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,1,0,1
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,19,13,9,4,45
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,15,21,78,89,203
COMANCHE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,14,12,26
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,13,7,0,0,20
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,0,0,0,2
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,5,7,17,12,41
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,15,17,0,0,32
COROICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,1,0,0,2
CORQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,1,5,2,10
COTOCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,6,10,19,7,42
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,2,0,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,5,3,3,12
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,151,165,148,94,558
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,6,3,13,18,40
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,3,6,2,13
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,1,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,24,14,0,0,38
ESMERALDA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,0,0,1,3
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,4,17,18,43
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,2,0,3
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,14,20,14,16,64
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,4,1,0,8
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,2,14,4,21
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,0,0,0,2
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,6,6,4,17
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,9,8,30,23,70
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,18,17,15,10,60
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,2,1,1,5
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,150,133,34,32,349
LAJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,1,0,0,2
LAS CARRERAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,1,0,0,2
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,1,58,50,112
LLICA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
LORETO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,5,3,0,2,10
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,7,8,74,79,168
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,1,0,0,2
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,2,13,9,24
MINEROS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,1,1,0,3
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,5,4,4,16
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,3,0,0,7
MONTERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,32,32,2,1,67
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,0,1,2
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,4,0,0,7
OCURI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,10,6,0,1,17
ORURO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,22,24,11,9,66
PADCAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,21,21,81,62,185
PAILON,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,2,6,3,14
PALCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,21,15,73,65,174
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,0,0,1
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,13,8,8,4,33
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,2,2,4
PORONGO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,0,1,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,2,0,0,4
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
POSTRER VALLE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,5,0,0,7
PRESTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,31,22,44,45,142
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,5,4,45,52,106
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,67,52,2,5,126
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,1,3,0,7
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,3,0,0,7
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,14,8,2,0,24
PUNATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,1,0,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,7,3,6,7,23
QUIME,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,6,2,0,0,8
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,1,1,1,5
ROBORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
SABAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,0,0,1,3
SACABA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,16,17,5,1,39
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,0,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,9,6,7,9,31
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,0,0,1
SAN AGUSTIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,1,1,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,2,4,2,10
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,0,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,6,4,4,18
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,2,0,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,16,18,30,40,104
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,42,32,47,54,175
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,33,43,10,11,97
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,1,1,1,4
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,11,10,21
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,1,0,0,5
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,5,7,13
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,3,1,4
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,3,0,0,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,781,689,80,85,1635
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,7,2,10,12,31
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,3,0,0,6
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,4,1,2,11
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,12,16,33,30,91
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,1,1,1,5
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,4,5,2,15
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,1,1,0,4
SORATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,8,8,18,14,48
SUCRE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,32,39,13,25,109
TACACOMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,4,9,8,14,35
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,6,0,11,12,29
TARABUCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,1,0,1
TARATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,7,3,2,3,15
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,20,10,2,9,41
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,1,0,0,0,1
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,2,39,28,72
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,2,5,2,0,9
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,2,0,2
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,1,0,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,6,7,2,2,17
TURCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-07-01,3,6,1,3,13
