,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,2,4,6
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,2,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,9,5,14
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,1,1,2
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,0,1,1,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,29,37,44,43,153
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,1,0,1,3
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,0,0,2,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,1,2,0,4
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,5,2,0,0,7
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,9,5,14
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,1,1,2
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,1,0,2
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,2,4,6
VACAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,1,0,1,3
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,0,0,1
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,1,1
ACACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,1,1,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,1,0,2
APOLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,1,7,5,14
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,1,3,4
CAIROMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,2,7,3,0,12
CALACOTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,2,0,0,0,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,2,1,0,3
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,2,1,2,1,6
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,4,0,0,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,5,4,0,0,9
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,4,6,3,9,22
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,1,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,3,2,6
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,3,1,0,0,4
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,1,2,3,7
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,1,1,2
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
MALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,1,1,2
MOJINETE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,1,2,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,3,4
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,3,8,11
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,4,4,8
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,4,0,0,4
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,4,5,9
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,2,0,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,2,2,4
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,3,0,0,3
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,2,2,3,2,9
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,2,1,0,1,4
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,2,3,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,1,1,2
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,0,4,4
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,4,3,7
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,20,26,4,2,52
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,6,1,8
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,6,6,12
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,0,1,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,2,1,0,0,3
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,3,1,4
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,2,2,5
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,2,2,4
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,2,0,0,2
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
VITICHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,3,1,2,2,8
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-12-01,0,0,1,0,1
