,group,variable,month,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
PUERTO RICO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO SUAREZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,5,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,20
PUNA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
QUILLACOLLO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,39,28,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,43,98
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,37
SABAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SACABAMBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SACACA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAIPINA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
SAMAIPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SAN ANDRES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,15,16,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,17
SAN CARLOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,10,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,27
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN JAVIER(STC),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,13,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,32
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
SAN LORENZO(PND),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN LUCAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,2,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18
SAN RAFAEL,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,635,544,37,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,577,1249
SANTA ROSA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAPAHAQUI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SICAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
SORATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
SUCRE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
TACACOMA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TARABUCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
TARIJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,30,19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,56
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,3,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14
TIPUANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TIQUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,16,10,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,27,62
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TORO TORO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOTORA(CBBA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,10,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,25
TUPIZA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,11,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,24
UNCIA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
URUBICHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,6,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
UYUNI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
VALLEGRANDE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
VILLA CHARCAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,13,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,30
VILLAZON,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
WARNES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,44,31,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,34,79
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,31,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,60
YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
YOTALA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-09-01,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
ANTEQUERA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
BATALLAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BELLA FLOR,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
BOLPEBRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CALAMARCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CAQUIAVIRI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,7,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
CARAPARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
CHAYANTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHOQUE COTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHUA COCANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COBIJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,78,64,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,67,146
"COLCHA ""K""",vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLQUIRI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
COMARAPA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
COPACABANA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CORIPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CORQUE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COTOCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,130,117,43,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,158,331
EL PUENTE(STC),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
EL PUENTE(TJA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
EL TORNO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
ESCOMA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
EXALTACION,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,42
GUTIERREZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUACARAJE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUAYLLAMARCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
HUMANATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ICHOCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IXIAMAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
LA ASUNTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
LA GUARDIA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,173,154,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,158,333
LLICA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
LURIBAY,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
MACHACAMARCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MECAPACA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
MOJINETE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MONTERO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,50,36,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,40,98
MORO MORO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OCURI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
ORURO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,59,82,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,88,149
PADCAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PAILON,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,11,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,36
PATACAMAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
PAZÑA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
POCOATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-10-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
