,group,variable,month,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
SAN IGNACIO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,3,4,4,0,0,0,5,0,0,0,0,0,0,1,0,7,12,19
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,51,47,8,5,3,0,2,0,3,3,1,0,0,1,0,1,68,57,125
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN JAVIER(STC),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,13,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,17,30
SAN JOAQUIN,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,13,10,17,19,1,0,5,6,0,0,3,1,0,0,3,1,42,37,79
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
SAN JULIAN,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,22,27,7,10,0,1,2,2,1,0,0,1,2,0,0,0,34,41,75
SAN LORENZO(PND),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,1,7,16,0,0,2,0,0,0,0,2,0,0,0,0,11,19,30
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,10,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
SAN LUCAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,10,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,17,31
SAN MATIAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,6,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,5,4,13,0,0,0,0,0,0,0,0,0,0,0,0,6,18,24
SAN PEDRO DE CURAHUARA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,8,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN PEDRO(PND),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN RAFAEL,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
SAN RAMON BENI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN RAMON SCZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SANTA ANA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,7,5,6,4,0,2,5,1,0,0,3,2,0,0,3,2,24,16,40
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,692,608,117,109,25,22,32,20,10,18,23,17,12,17,20,13,931,824,1755
SANTA ROSA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,2,1,4,0,0,0,1,0,0,1,0,0,0,0,0,4,7,11
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,3,3,6
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,1,3,7,10
SANTIAGO DE MACHACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SANTIVAÑES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SAPAHAQUI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
SENA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,2,7,10,0,0,1,0,1,0,4,0,0,0,2,4,17,16,33
SHINAOTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,8,9,2,6,0,0,0,0,0,0,1,1,0,0,0,0,11,16,27
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,9,11,11,3,0,0,0,1,1,0,0,0,0,0,0,0,21,15,36
SIPE SIPE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,38,30,13,14,2,0,4,0,0,1,1,1,2,1,0,1,60,48,108
SOPACHUY,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
SORACACHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
SORATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,8,4,13,5,0,0,0,0,0,0,0,0,1,0,0,0,22,9,31
SUCRE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,175,202,4,7,1,3,0,3,1,3,0,1,4,0,1,0,186,219,405
TACACHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TACACOMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
TACOBAMBA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
TACOPAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
TAPACARI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,6,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21
TARABUCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
TARACO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
TARATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,5,7,12
TARIJA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,93,86,11,18,0,1,2,1,4,4,1,0,0,2,2,1,113,113,226
TARVITA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
TEOPONTE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
TIAHUANACU,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
TINGUIPAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,5,8,9,0,0,0,0,0,0,1,1,0,0,0,0,10,15,25
TIPUANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
TIQUIPAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,26,26,13,18,2,1,1,2,0,0,0,2,1,1,0,0,43,50,93
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,6,8,3,6,0,0,0,0,0,0,0,1,0,0,0,0,9,15,24
TOCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
TODOS SANTOS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TOLATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
TOLEDO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOMAVE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TOMINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
TORO TORO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,3,1,7,4,0,0,1,0,0,0,0,0,0,0,0,0,11,5,16
TOTORA(CBBA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,7,8,8,4,0,1,1,0,0,0,0,0,0,0,0,0,16,13,29
TOTORA(ORR),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
TRIGAL,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
TRINIDAD,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,44,42,16,15,2,0,6,7,1,2,5,4,1,2,4,4,79,76,155
TUPIZA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,26,35,3,0,0,1,0,0,0,1,0,0,0,1,0,0,29,38,67
TURCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,5,2,7
UMALA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
UNCIA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,8,8,6,5,0,0,0,0,1,0,0,0,0,0,0,0,15,13,28
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
URUBICHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
UYUNI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,12,14,0,3,0,1,0,0,0,0,0,0,0,0,0,0,12,18,30
VACAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
VALLEGRANDE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,10,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,16,26
VIACHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,33,35,8,8,1,0,0,0,0,0,0,1,0,0,1,0,43,44,87
VILA VILA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
VILLA CHARCAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,2,1,7,1,0,0,1,0,1,0,0,0,0,0,0,4,11,15
VILLA MONTES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,14,14,3,1,1,1,0,0,0,0,0,0,0,1,0,0,18,17,35
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
VILLA RIVERO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
VILLA SERRANO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
VILLA TUNARI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,56,61,12,9,2,0,0,1,1,0,2,0,0,0,0,1,73,72,145
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
VILLAZON,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,18,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,19,16,35
VINTO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,23,11,14,21,0,1,0,1,1,1,1,0,0,1,2,1,41,37,78
VITICHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
WARNES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,69,69,11,7,3,4,4,1,1,2,2,1,3,1,1,0,94,85,179
YACO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
YACUIBA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,16,25,34,29,2,0,7,6,1,1,7,5,0,0,5,3,72,69,141
YAMPARAEZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
YANACACHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
YAPACANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,22,16,23,28,1,0,0,0,0,0,0,0,0,0,0,0,46,44,90
YOCALLA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
YOTALA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
YUNCHARA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
YUNGUYO DE LITORAL,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3
ZUDAÑEZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-11-01,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
ACACIO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ACHACACHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,4,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,7,12
ACHOCALLA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,8,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,13,22
AIQUILE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,7,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20
ALCALA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ALTO BENI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
ANCORAIMES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ANZALDO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4
APOLO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
ARAMPAMPA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ARANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4
ARBIETO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ARQUE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,16,23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18,23,41
ATOCHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
AUCAPATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
AYATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
AYO AYO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,0,5,8,8,0,0,1,0,0,0,0,0,0,0,0,0,9,13,22
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,6,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,13,9,22
AZURDUY,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
BATALLAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,5,8
BAURES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
BELEN DE URMIRI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELLA FLOR,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
BERMEJO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,16,14,7,3,0,0,0,1,1,1,1,0,0,0,0,0,25,19,44
BETANZOS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,8,12,6,9,0,0,0,0,0,0,0,0,0,0,0,0,14,21,35
BOLIVAR,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
BUENA VISTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,4,5,6,8,0,0,0,0,0,1,0,0,0,0,0,0,10,14,24
CAIROMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
"CAIZA ""D""",vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
CAJUATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
CALACOTO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CALAMARCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
CAMARGO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,4,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,8,13
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CAPINOTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,18,32
CAQUIAVIRI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,7,5,12
CARACOLLO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,6,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9,16,25
CARANAVI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,19,16,4,3,0,1,0,0,0,0,0,0,0,1,0,0,23,21,44
CARAPARI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
CARIPUYO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,2,3,5,2,0,0,0,0,0,0,1,0,0,0,0,0,8,5,13
CATACORA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHALLAPATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,6,8,6,4,0,0,0,0,0,0,0,0,0,1,0,0,12,13,25
CHAQUI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-12-01,0,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
