,group,variable,month,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
SAN BENITO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
SAN BORJA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,38,28,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,35,76
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,9,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
SAN CARLOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,17,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23
SAN IGNACIO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,7,10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,28
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,48,52,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,57,115
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN JAVIER(STC),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,14,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29
SAN JOAQUIN,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,7,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,12,13,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,36
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,9,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,26
SAN JULIAN,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,23,41,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,42,70
SAN LORENZO(PND),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,11,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24
SAN LUCAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,14,13,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,38
SAN MATIAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,16,18,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,39
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,19,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,32
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,7,11,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,33
SAN PEDRO DE CURAHUARA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
SAN PEDRO DE QUEMES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
SAN PEDRO(PND),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SAN RAFAEL,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
SAN RAMON BENI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
SAN RAMON SCZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,8,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
SANTA ANA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,16,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,30
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,889,849,60,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,921,1870
SANTA ROSA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,8,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SANTIAGO DE MACHACA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SANTIVAÑES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SAPAHAQUI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
SENA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,6,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
SHINAOTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,22,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,39
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,5,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
SICAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
SIPE SIPE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,35,38,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,46,88
SOPACHUY,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SORACACHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
SORATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
SUCRE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,173,189,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,192,367
TACACOMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
TACOBAMBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
TACOPAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
TAPACARI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,10,8,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29
TARABUCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
TARACO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TARATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
TARIJA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,102,107,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,113,223
TARVITA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
TEOPONTE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
TIAHUANACU,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
TINGUIPAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,2,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
TIPUANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,6,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
TIQUIPAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,20,25,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35,60
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,4,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
TITO YUPANQUI (PARQUIPUJIO),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TOCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
TOLATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
TOLEDO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
TOMAVE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
TOMINA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TORO TORO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,5,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18
TOTORA(CBBA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,11,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,30
TOTORA(ORR),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
TRINIDAD,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,73,70,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,78,159
TUPIZA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,25,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,47
TURCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
UMALA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
UNCIA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,9,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
URUBICHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,2,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15
UYUNI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,21,17,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,43
VACAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
VALLEGRANDE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24
VIACHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,39,36,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,95
VILA VILA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
VILLA CHARCAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
VILLA MONTES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,29,23,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,26,62
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
VILLA RIVERO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
VILLA SERRANO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
VILLA TUNARI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,68,72,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,77,155
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17
VILLAZON,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,22,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,46
VINTO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,14,25,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,75
VITICHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
WARNES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,102,98,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,104,209
YACO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
YACUIBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,60,60,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,68,133
YAMPARAEZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
YANACACHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YAPACANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,22,24,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,41,79
YOCALLA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
YOTALA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
YUNCHARA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ZUDAÑEZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-09-01,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
ACACIO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
ACHACACHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,18,9,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,40
ACHOCALLA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,33
AIQUILE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,10,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
ALALAY,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALCALA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ALTO BENI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
ANCORAIMES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
ANDAMARCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANTEQUERA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ANZALDO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
APOLO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,17,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,29
ARAMPAMPA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,9,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
ARBIETO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24
ARQUE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,24,24,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,56
ATOCHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,10,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
AUCAPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
AYATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,1,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
AYO AYO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,25
AZURDUY,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
BATALLAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,11,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,26
BAURES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
BELEN DE URMIRI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BELLA FLOR,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BERMEJO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,17,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,35
BETANZOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,5,13,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,25
BOLIVAR,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
BOLPEBRA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BOYUIBE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
BUENA VISTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
CABEZAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,14,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,33
CAIROMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
"CAIZA ""D""",vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
CAJUATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
CALACOTO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-10-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
