,group,variable,month,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - D,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - D,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - F,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - F,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
ICHOCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
INQUISIVI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,1,4,5,0,1,1,3,1,0,1,0,0,0,0,1,10,11,21
IXIAMAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11
LA ASUNTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,25,16,3,4,7,5,5,4,4,2,0,1,1,2,1,2,46,36,82
LA GUARDIA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,10,11,1,1,10,5,0,0,7,3,0,0,1,3,0,1,29,24,53
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,256,221,5,4,64,54,3,8,36,38,3,2,38,38,17,21,422,386,808
LAGUNILLAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LICOMA PAMPA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,3,4,7
LLALLAGUA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6
LLICA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
LURIBAY,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,4,6
MACHACAMARCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MAGDALENA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
MAIRANA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,3,3,6
MECAPACA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,7
MINEROS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,10,10,1,2,2,1,0,0,1,0,0,0,0,0,0,1,14,14,28
MIZQUE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MOCOMOCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
MONTEAGUDO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MONTERO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,46,57,18,11,1,0,0,0,0,0,0,0,0,0,0,0,65,68,133
MORO MORO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,3,5
OCURI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,13
OKINAWA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,6,4,5,7,3,0,0,0,0,0,0,0,0,0,0,1,14,12,26
ORURO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,106,123,10,9,5,7,1,1,9,5,3,0,0,5,6,0,140,150,290
PADCAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,3,5
PAILON,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,9,14,7,11,1,0,1,1,0,0,0,0,0,0,0,0,18,26,44
PALCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,0,5,2,0,0,0,1,2,0,0,0,0,0,7,3,10
PAZÑA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
POCOATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
POCONA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,2,1,1,2,2,4,1,0,0,0,0,0,0,0,0,8,6,14
POJO (CBBA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,1,8,9,0,0,6,3,1,0,0,0,0,0,0,0,18,13,31
POOPO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PORCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
POROMA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PORONGO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PORTACHUELO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
PORVENIR,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,2,2,2,0,0,1,0,0,0,2,1,0,0,0,0,7,5,12
POTOSI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,43,45,0,5,3,8,0,1,1,5,2,2,1,3,0,0,50,69,119
PRESTO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
PUCARANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,1,0,3,4,6,10
PUERTO ACOSTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,2,1,2,2,1,0,0,0,0,3,0,0,0,1,5,9,10,19
PUERTO CARABUCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
PUERTO PEREZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PUERTO RICO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,1,2,0,0,0,1,3,0,0,1,2,0,0,0,0,4,6,10
PUERTO SILES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO SUAREZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,7,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23
QUILLACOLLO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,37,39,41,39,11,14,62,55,0,0,0,0,0,0,0,0,151,147,298
QUIME,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
REYES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,6,4,10
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,29,16,4,2,2,0,1,0,2,3,4,4,4,5,6,1,52,31,83
ROBORE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,3
RURRENABAQUE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SABAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
SACACA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,2,1,2,0,0,2,0,0,0,2,1,0,0,2,0,7,5,12
SAIPINA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
SAMAIPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SAN ANDRES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,4
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,36,32,13,11,4,6,1,2,4,4,1,2,1,8,2,2,62,67,129
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,4,3,5,0,3,1,0,0,1,1,0,0,0,1,0,9,13,22
SAN CARLOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,10
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,6,9,10,8,0,0,0,0,0,0,0,0,0,0,0,0,16,17,33
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,35,24,3,3,0,3,7,9,2,1,6,5,4,11,7,8,64,64,128
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAN JAVIER(STC),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,6
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,9,10,7,6,0,0,0,0,0,0,0,0,0,0,0,0,16,16,32
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,5,9
SAN LORENZO(PND),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4
SAN LUCAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,3,4,0,0,7,7,14
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,1,0,1,1,7,32,35,5,5,17,15,7,1,0,1,65,66,131
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3
SAN RAFAEL,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,6,5,11
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,7,9,5,5,0,0,1,1,0,0,0,1,0,0,0,0,13,16,29
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,651,610,94,86,123,100,96,94,75,74,52,52,98,105,70,57,1259,1178,2437
SANTA ROSA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,3,4,2,1,1,5,7,0,0,0,0,0,0,0,0,13,13,26
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
SAPAHAQUI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,5,11
SENA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,4,3,7
SICAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SORATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,8,6,11,9,1,3,3,10,1,1,5,1,0,0,10,5,39,35,74
SUCRE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,11,13,7,2,1,2,2,6,1,0,4,2,6,5,0,3,32,33,65
TACACOMA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,3,7,2,0,0,0,0,0,0,2,1,0,0,3,2,14,8,22
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TARABUCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TARIJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,26,25,12,7,9,10,9,1,2,5,3,3,5,3,6,2,72,56,128
TARVITA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,3,5
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,4,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,6,4,10
TIPUANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
TIQUIPAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,35,43,42,45,23,34,38,43,0,0,0,0,0,0,0,0,138,165,303
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TOMAVE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
TORO TORO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
TOTORA(ORR),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRIGAL,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,19,14,2,3,3,3,2,1,5,1,3,0,1,1,1,5,36,28,64
TUPIZA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,7,6,3,5,1,3,4,2,1,0,0,0,2,2,0,0,18,18,36
TURCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UNCIA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,3,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,5,10
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,3,2,1,1,1,5,5,1,1,1,3,0,1,4,6,16,21,37
URUBICHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5,6,11
UYUNI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4
VALLEGRANDE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
VIACHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
VILLA CHARCAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,8,7,0,2,4,4,7,2,0,0,0,0,1,1,3,0,23,16,39
VILLAZON,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,1,0,4,1,2,0,0,1,0,0,1,0,0,0,0,4,8,12
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
WARNES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,40,39,2,4,3,6,4,8,3,8,2,2,12,14,3,0,69,81,150
YACO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,42,36,12,6,2,2,3,5,3,0,5,5,3,3,24,21,94,78,172
YAPACANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,6
YOTALA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,7
YUNCHARA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-09-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,6
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,2,2,0,0,2,0,0,0,2,1,0,0,0,1,0,0,6,4,10
APOLO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,4,8,2,2,2,2,1,3,1,0,3,2,1,0,4,2,18,19,37
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
AUCAPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
AYO AYO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BATALLAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
BELLA FLOR,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,4
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,3,6,1,0,0,1,0,1,3,0,5,0,1,0,1,0,14,8,22
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
CALAMARCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,0,0,12,5,2,0,1,1,0,0,0,0,0,0,0,0,15,6,21
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CAQUIAVIRI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,11,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,14,3,17
CARANGAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
CHAQUI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CHARAGUA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CHIPAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4
COBIJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,4,6,4,4,3,3,0,1,0,0,0,0,0,0,0,0,11,14,25
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,85,72,4,6,12,13,4,12,4,2,9,7,12,7,4,3,134,122,256
"COLCHA ""K""",vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-10-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
