,group,variable,month,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
CALAMARCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
CAQUIAVIRI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,9,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
CARAPARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
CHAQUI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CHARAGUA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CHAYANTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
CHIPAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHOQUE COTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHUA COCANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,6,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CKOCHAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
COBIJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,13,17,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,33,53
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,164,179,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,193,364
"COLCHA ""K""",vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
COLPA BELGICA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COLQUIRI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
COMANCHE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COMARAPA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
COMBAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COPACABANA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
CORIPATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
COROICO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14
CORQUE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
COTAGAITA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COTOCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,26,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,53
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,19
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,295,248,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,347,741
EL PUENTE(STC),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
EL PUENTE(TJA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EL TORNO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,22,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,38
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
ESCOMA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
EUCALIPTUS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
EXALTACION,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,30,38,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,45,82
GUTIERREZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HUACARAJE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
HUACARETA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
HUANUNI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUARINA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUAYLLAMARCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HUMANATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
ICHOCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
INQUISIVI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
IXIAMAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
LA ASUNTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
LA GUARDIA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,13,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,253,231,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,239,499
LAGUNILLAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
LICOMA PAMPA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
LLALLAGUA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
LLICA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MACHACAMARCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
MAGDALENA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
MECAPACA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
MINEROS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,13,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,31
MIZQUE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
MOJINETE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MONTEAGUDO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MONTERO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,58,45,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,49,113
MORO MORO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OCURI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9
OKINAWA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
ORURO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,115,121,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,129,246
PADCAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PAILON,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,12,14,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,41
PALCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PATACAMAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
PAZÑA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
POCOATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
POOPO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PORCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
POROMA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
PORTACHUELO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,34
PORVENIR,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
POTOSI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,52,57,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,62,123
PUCARANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUERTO ACOSTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
PUERTO CARABUCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
PUERTO QUIJARRO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO RICO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PUERTO SUAREZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,9,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
PUNA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
QUILLACOLLO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,21,22,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,75
QUIME,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,35,50,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,51,89
RURRENABAQUE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SABAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SACABAMBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SACACA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
SAIPINA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
SAMAIPATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
SAN ANDRES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,27,27,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,61
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,7,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
SAN CARLOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,6,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,37,41,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,46,87
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN JAVIER(STC),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,22,15,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,46
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
SAN LORENZO(PND),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN LUCAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,10,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,5,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SAN RAFAEL,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,10,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,738,818,34,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,866,1638
SANTA ROSA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-09-01,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
