,group,variable,month,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,TOTALES
MOCOMOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,2,2
MOJOCOYA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,2,2
MONTEAGUDO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,41,62,103
MONTERO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,145,298,443
NACEBE (SANTA ROSA DEL ABUNA),vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,1,1
OCURI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,5,2,7
OKINAWA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,14,24,38
OMEREQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,8,9
ORURO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,561,1291,1852
PADCAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,3,4
PADILLA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,20,40,60
PAILON,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,57,109,166
PALOS BLANCOS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,10,36,46
PAMPA AULLAGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,14,15
PAMPA GRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,6,8
PASORAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,3,9,12
PATACAMAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,45,59,104
PAZÑA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,2,3
POCOATA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,49,121,170
POCONA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,2,3
POOPO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,40,13,53
PORCO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,0,2
POROMA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,6,7
PORONGO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,4,7,11
PORTACHUELO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,9,6,15
PORVENIR,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,0,1
POSTRER VALLE,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,0,1
POTOSI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,58,210,268
PRESTO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,3,5
PUCARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,4,8,12
PUERTO CARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,1,1
PUERTO PEREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,29,30
PUERTO QUIJARRO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,10,14,24
PUERTO RICO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,1,1
PUERTO SUAREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,12,47,59
PUERTO VILLARROEL,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,237,304,541
PUNA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,4,4
PUNATA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,149,255,404
QUILLACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,39,104,143
QUIME,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,10,10
QUIRUSILLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,1,1
RAVELO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,3,4,7
REYES,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,4,6
RIBERALTA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,422,611,1033
ROBORE,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,17,13,30
RURRENABAQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,30,38,68
SABAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,12,23,35
SACABA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,409,451,860
SACABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,1,1
SACACA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,3,5,8
SAIPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,0,1
SALINAS DE GARCI MENDOZA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,3,5
SAMAIPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,38,41,79
SAN BENITO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,3,3,6
SAN BORJA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,47,74,121
SAN BUENA VENTURA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,22,32,54
SAN CARLOS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,20,31,51
SAN IGNACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,39,54,93
SAN IGNACIO DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,18,36,54
SAN JAVIER(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,10,15,25
SAN JOAQUIN,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,0,1
SAN JUAN DE YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,54,29,83
SAN JULIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,122,166,288
SAN LORENZO(PND),vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,5,5
SAN LORENZO(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,1,3
SAN LUCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,50,70,120
SAN MATIAS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,10,17,27
SAN MIGUEL DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,6,12,18
SAN PEDRO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,66,60,126
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,12,13,25
SAN PEDRO DE TIQUINA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,7,14,21
SAN RAFAEL,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,5,0,5
SAN RAMON BENI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,3,9,12
SAN RAMON SCZ,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,5,0,5
SANTA ANA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,25,37,62
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1710,3462,5172
SANTA ROSA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,3,5
SANTA ROSA DEL SARA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,13,3,16
SANTIAGO DE HUARI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,13,14,27
SANTIVAÑES,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,4,6,10
SANTUARIO DE QUILLACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,14,10,24
SAPAHAQUI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,3,3
SENA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,1,3
SHINAOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,52,117,169
SICA SICA (VILLA AROMA),vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,5,12,17
SICAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,9,21,30
SIPE SIPE,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,14,36,50
SOPACHUY,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,15,23,38
SORATA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,9,10,19
SUCRE,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,212,395,607
TACACOMA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,9,7,16
TACOPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,11,13
TAPACARI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,15,16,31
TARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,13,30,43
TARACO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,0,1
TARIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,230,233,463
TARVITA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,9,15,24
TEOPONTE,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,14,11,25
TIAHUANACU,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,13,13,26
TINGUIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,2,3
TIPUANI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,34,26,60
TIQUIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,54,128,182
TITO YUPANQUI (PARQUIPUJIO),vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,3,4,7
TOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,9,11
TODOS SANTOS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,10,1,11
TOLATA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,5,3,8
TOLEDO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,3,7,10
TOMINA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,3,0,3
TORO TORO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,2,12,14
TOTORA(CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,51,51
TOTORA(ORR),vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,2,2
TRINIDAD,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,306,88,394
TUPIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,46,47
UNCIA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,10,16,26
URUBICHA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,5,16,21
UYUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,7,25,32
VACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,4,4
VALLEGRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,34,42,76
VIACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,117,299,416
VILA VILA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,1,2
VILLA CHARCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,13,4,17
VILLA MONTES,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,42,160,202
VILLA SERRANO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,5,5
VILLA TUNARI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,285,509,794
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,5,18,23
VILLAZON,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,61,98,159
VINTO,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,77,125,202
WARNES,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,32,69,101
YACUIBA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,258,305,563
YAMPARAEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,4,4
YANACACHI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,1,1
YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,7,7
YOTALA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,0,2,2
YUNCHARA,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,1,0,1
ZUDAÑEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-10-01,6,9,15
AIQUILE,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,17,30,47
ANCORAIMES,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,1,1
ANTEQUERA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,7,8
ANZALDO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,9,8,17
ARBIETO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,10,21,31
ARQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,5,7
ASCENCION DE GUARAYOS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,60,110,170
ATOCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,3,4
AYATA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,9,11
AZURDUY,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,9,14,23
BELLA FLOR,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,1,1
BERMEJO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,34,32,66
BETANZOS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,13,7,20
BOLIVAR,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,4,5
BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,7,10
CABEZAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,24,58,82
"CAIZA ""D""",vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,1,2
CALAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,13,11,24
CAMARGO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,19,57,76
CAMIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,140,227,367
CAPINOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,6,22,28
CARACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,8,12,20
CARANAVI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,71,42,113
CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,1,2
CARIPUYO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,4,4
CARMEN RIVERO TORREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,12,24,36
CHALLAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,50,95,145
CHARAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,3,6
CHAYANTA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
CHIMORE,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,44,124,168
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,19,30,49
CHUMA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,5,8
CKOCHAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,1,3
COBIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,357,502,859
COCAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
COCHABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2274,3386,5660
COLCAPIRHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,197,171,368
COLLANA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,1,2
COLOMI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,5,28,33
COLPA BELGICA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,1,3
COLQUECHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,24,34,58
COLQUENCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,11,6,17
COLQUIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
COMARAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,7,4,11
COMBAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
CONCEPCION,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,12,16,28
CORO CORO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,8,8
COROICO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,12,29,41
COTAGAITA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,2,5
COTOCA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,87,148,235
CRUZ DE MACHACAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,37,50,87
CUCHUMUELA (V. G. VILLARROEL),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,15,16
CUEVO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,1,2
CULPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,7,6,13
CURAHUARA DE CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,2,3
CURVA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,2,2
DESAGUADERO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,5,6
EL ALTO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1091,2208,3299
EL PUENTE(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,30,52,82
EL TORNO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,9,2,11
ENTRE RIOS TRJ,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,14,24,38
ENTRE RIOS CBBA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,64,266,330
ESCARA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,3,4
ESMERALDA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,2,5
EUCALIPTUS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,22,59,81
GENERAL SAAVEDRA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,1,1
GUANAY,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,55,79,134
GUAYARAMERIN,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,95,86,181
GUTIERREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
HUACHACALLA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,7,13,20
HUANUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,128,175,303
HUATAJATA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,4,6
HUAYLLAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,12,12,24
HUMANATA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,6,16,22
ICLA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,6,9,15
INCAHUASI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,10,27,37
IRUPANA (VILLA DE LANZA),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
IXIAMAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,34,73,107
JESUS DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,16,20,36
LA ASUNTA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,36,57,93
LA GUARDIA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,50,88,138
LA PAZ,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1569,2600,4169
LA RIVERA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
LAJA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,1,2
LAS CARRERAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,1,1
LLALLAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,9,4,13
LLICA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,8,10
LURIBAY,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,5,6
MACHACAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,6,8
MACHARETI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
MAIRANA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,5,22,27
MALLA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,2,4
MAPIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,8,12,20
MINEROS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,5,6
MIZQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,23,14,37
MOCOMOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
MOJOCOYA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,6,6
MONTEAGUDO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,183,68,251
MONTERO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,196,347,543
NACEBE (SANTA ROSA DEL ABUNA),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
OCURI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,5,5,10
OKINAWA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,26,22,48
OMEREQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,5,11,16
ORURO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,546,949,1495
PADILLA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,13,17,30
PAILON,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,16,12,28
PALCA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,6,14,20
PALOS BLANCOS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,14,59,73
PAMPA AULLAGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,6,9
PATACAMAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,31,40,71
PAZÑA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,9,12
POCOATA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,50,87,137
POCONA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,5,8
POJO (CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,6,9
POOPO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,50,66,116
PORCO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,1,2
POROMA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,2,3
PORONGO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,6,9,15
PORVENIR,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,4,6,10
POSTRER VALLE,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,1,1
POTOSI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,55,152,207
PRESTO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,2,5
PUCARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,23,11,34
PUERTO CARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,1,3
PUERTO QUIJARRO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,15,13,28
PUERTO RICO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,2,2
PUERTO SUAREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,12,44,56
PUERTO VILLARROEL,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,139,210,349
PUNA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,4,5
PUNATA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,106,120,226
QUILLACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,269,678,947
QUIME,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,5,5,10
QUIRUSILLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,1,1
RAQAYPAMPA(ETA),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,1,2
RAVELO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,5,10,15
REYES,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,4,3,7
RIBERALTA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,644,889,1533
ROBORE,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,13,22,35
RURRENABAQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,25,26,51
SABAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,8,32,40
SACABA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,364,404,768
SACABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,1,2
SACACA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,4,9,13
SAIPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,3,5
SALINAS DE GARCI MENDOZA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,20,16,36
SAMAIPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,7,21,28
SAN ANDRES,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,2,4,6
SAN BENITO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,4,7,11
SAN BORJA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,27,62,89
SAN BUENA VENTURA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,17,7,24
SAN CARLOS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,22,41,63
SAN IGNACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,3,0,3
SAN IGNACIO DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,30,52,82
SAN JAVIER(BNI),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,5,8,13
SAN JAVIER(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,10,15,25
SAN JOAQUIN,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,0,1
SAN JULIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,98,152,250
SAN LORENZO(PND),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,1,6,7
SAN LORENZO(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,43,57,100
SAN LUCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,22,40,62
SAN MATIAS,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,6,14,20
SAN MIGUEL DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,9,6,15
SAN PEDRO,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,15,41,56
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,16,24,40
SAN PEDRO DE MACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,0,1,1
SAN PEDRO DE TIQUINA,vih - sifilis,no de personas con prueba rapida de vih,2024-11-01,62,107,169
