,group,variable,month,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,TOTALES
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,99,99
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,4,4
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,24,24
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,12,12
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,29,29
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,5,5
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,15,15
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,325,325
EL CHORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,5,5
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,6,6
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,55,55
ESCOMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,5,5
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,9,9
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,55,55
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,7,7
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,15,15
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
LA ASUNTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,18,18
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,11,11
LAJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
LLICA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,4,4
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,13,13
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,7,7
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,35,35
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,120,120
NACEBE (SANTA ROSA DEL ABUNA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,11,11
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,310,310
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,12,12
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,6,6
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,5,5
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
POOPO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,18,18
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,4,4
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,11,11
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,8,8
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,6,6
PUERTO GONZALO MORENO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,12,12
QUILLACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,4,4
QUIME,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,5,5
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,9,9
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,12,12
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,16,16
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,11,11
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,10,10
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,6,6
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,36,36
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,11,11
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,6,6
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,8,8
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,155,155
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,11,11
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,6,6
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,450,450
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,15,15
TARACO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,111,111
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,13,13
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,8,8
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,23,23
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,6,6
TORO TORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,12,12
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,38,38
VILLA NUEVA (LOMA ALTA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,7,7
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,7,7
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,13,13
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,111,111
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,6,6
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,27,27
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,16,16
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,6,6
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,8,8
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,14,14
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,4,4
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,12,12
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,7,7
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,5,5
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,25,25
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,14,14
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,32,32
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,4,4
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,30,30
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,21,21
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,11,11
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,35,35
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,11,11
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,69,69
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,32,32
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,8,8
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,310,310
EL CHORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,8,8
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,8,8
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,11,11
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,21,21
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,8,8
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,46,46
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,12,12
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
LAJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,5,5
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
LLICA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,5,5
MAGDALENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,10,10
MINEROS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,17,17
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,26,26
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,88,88
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,5,5
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,401,401
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,17,17
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,15,15
PAILON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,6,6
PAZÑA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,22,22
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,17,17
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,9,9
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,4,4
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,7,7
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,22,22
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,15,15
PUNATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,5,5
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,6,6
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,7,7
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,7,7
SACACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,14,14
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,5,5
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,4,4
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,29,29
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,8,8
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,7,7
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,5,5
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,96,96
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,5,5
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,12,12
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
SANTIVAÑES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,12,12
SENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,2,2
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,23,23
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,455,455
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,7,7
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,10,10
TARACO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,92,92
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,10,10
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,8,8
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,17,17
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,4,4
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,6,6
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,1,1
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,12,12
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,25,25
VILLA NUEVA (LOMA ALTA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,3,3
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,14,14
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,29,29
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,8,8
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,21,21
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,88,88
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,13,13
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,52,52
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,7,7
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-09-01,0,5,5
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,12,12
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,6,6
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,4,4
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,16,16
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,9,9
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,17,17
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,3,3
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,32,32
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,11,11
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-10-01,0,1,1
