,group,variable,month,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,TOTALES
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,7,7
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,5,5
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,6,6
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,16,16
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,9,9
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,17,17
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,32,32
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,14,14
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,38,38
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,5,5
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,34,34
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,5,5
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,7,7
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,49,49
COLLANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,12,12
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,13,13
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,19,19
COROICO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,9,9
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,34,34
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,5,5
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,329,329
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,7,7
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,30,30
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,5,5
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,13,13
HUACHACALLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,47,47
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,17,17
LA ASUNTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,6,6
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,10,10
LAJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,8,8
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,2,2
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,7,7
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,7,7
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,5,5
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,30,30
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,29,29
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,201,201
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,8,8
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,14,14
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,8,8
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,16,16
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,9,9
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,6,6
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,17,17
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,5,5
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,18,18
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,12,12
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,10,10
SABAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
SACACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,12,12
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,8,8
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,33,33
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,5,5
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,5,5
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,2,2
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,154,154
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,7,7
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,8,8
SANTUARIO DE QUILLACAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,2,2
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,2,2
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,503,503
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,1,1
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,7,7
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,22,22
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,14,14
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,6,6
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,6,6
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,19,19
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,4,4
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,2,2
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,9,9
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,7,7
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,24,24
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,13,13
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,14,14
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,76,76
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,2,2
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,3,3
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,8,8
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-10-01,0,7,7
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,3,3
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,3,3
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,9,9
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,2,2
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,9,9
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,20,20
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,9,9
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,7,7
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,42,42
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,30,30
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,2,2
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,10,10
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,12,12
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,54,54
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,2,2
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,10,10
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,17,17
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,58,58
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,26,26
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,4,4
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,8,8
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,311,311
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,4,4
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,12,12
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,56,56
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,7,7
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,4,4
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,37,37
ICLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,2,2
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,11,11
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
LA ASUNTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,6,6
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,4,4
LURIBAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,6,6
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,11,11
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,30,30
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,20,20
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,19,19
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,8,8
OMEREQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,213,213
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,15,15
PAILON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,20,20
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,2,2
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,16,16
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,7,7
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,13,13
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,7,7
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,10,10
QUILLACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,18,18
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,3,3
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,9,9
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,15,15
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,3,3
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,2,2
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,42,42
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,3,3
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,135,135
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,6,6
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,4,4
SANTIVAÑES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,18,18
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,3,3
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,296,296
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,3,3
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,6,6
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,26,26
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,7,7
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,2,2
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,4,4
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,5,5
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,6,6
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,7,7
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,20,20
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,8,8
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,10,10
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,63,63
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,2,2
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,8,8
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,3,3
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,1,1
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-11-01,0,3,3
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,7,7
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,11,11
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,12,12
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,13,13
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,32,32
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,25,25
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,47,47
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,7,7
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,23,23
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,4,4
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,38,38
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,42,42
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,7,7
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,11,11
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,53,53
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,8,8
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,5,5
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,3,3
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,275,275
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,8,8
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-12-01,0,1,1
