,group,variable,month,L 18.2 ANTI AMARÍLICA,L 18.2 ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,4,0,4,4
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,7,18,7,18,25
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,12,34,12,34,46
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,7,0,7,7
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,7,20,7,20,27
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,6,25,6,25,31
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,17,0,17,0,17
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,13,6,13,6,19
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,66,30,66,30,96
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,118,13,118,13,131
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1159,250,1159,250,1409
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,12,4,12,16
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,20,7,20,7,27
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,9,1,9,10
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,5,0,5,0,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,31,58,31,58,89
LLICA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,1,1,1,2
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,8,0,8,8
LURIBAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,4,2,4,6
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,6,0,6,0,6
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,3,5,3,5,8
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,13,17,13,17,30
MAIRANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,14,2,14,2,16
MALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,11,19,11,19,30
MECAPACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,14,22,14,22,36
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,38,55,38,55,93
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,52,24,52,24,76
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,11,12,11,12,23
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,14,3,14,3,17
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,38,28,38,28,66
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,185,29,185,29,214
MORO MORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,3,2,3,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,42,0,42,42
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,14,0,14,14
OCURI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,5,36,5,36,41
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,7,0,7,0,7
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,10,1,10,11
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,462,7,462,7,469
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,11,59,11,59,70
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,12,3,12,3,15
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,26,82,26,82,108
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,22,4,22,26
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,33,21,33,21,54
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,16,11,16,11,27
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,10,0,10,10
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,5,0,5,0,5
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,33,5,33,5,38
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,6,4,6,4,10
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,5,2,5,7
POCOATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,8,60,8,60,68
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,9,0,9,9
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,8,6,8,6,14
POOPO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,4,0,4,4
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,20,2,20,22
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,23,15,23,15,38
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,6,18,6,18,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,24,6,24,6,30
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,9,13,9,13,22
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,355,81,355,81,436
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,20,2,20,22
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,20,33,20,33,53
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,23,0,23,23
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,11,4,11,15
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,23,4,23,27
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,6,1,6,7
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,13,44,13,44,57
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,9,6,9,6,15
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,8,0,8,8
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,15,2,15,17
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,88,75,88,75,163
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,5,21,5,21,26
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,35,11,35,11,46
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,201,28,201,28,229
QUIME,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,3,10,3,10,13
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,1,4,1,5
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,15,18,15,18,33
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,6,5,6,5,11
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,122,110,122,110,232
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,9,48,9,48,57
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,57,23,57,23,80
SABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,7,3,7,3,10
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,248,55,248,55,303
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,10,10,10,10,20
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,19,17,19,17,36
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,14,0,14,14
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,4,1,4,5
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,20,1,20,21
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,10,0,10,10
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,21,8,21,8,29
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,2,2,2,4
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,5,0,5,0,5
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,5,9,5,9,14
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,12,2,12,14
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,47,40,47,40,87
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,12,39,12,39,51
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,30,22,30,22,52
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,30,23,30,23,53
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,115,14,115,14,129
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,10,4,10,14
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,30,0,30,0,30
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,7,2,7,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,40,60,40,60,100
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,5,10,5,10,15
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,32,81,32,81,113
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,26,0,26,26
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,24,22,24,22,46
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,15,41,15,41,56
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,30,20,30,20,50
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,15,20,15,20,35
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,3,0,3,0,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,20,9,20,9,29
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,24,31,24,31,55
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,4,0,4,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,3,1,3,1,4
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,8,2,8,10
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,9,0,9,9
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,8,9,8,9,17
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,12,0,12,0,12
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,54,2,54,2,56
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2056,257,2056,257,2313
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,17,19,17,19,36
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,11,3,11,3,14
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,8,0,8,8
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,5,0,5,5
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,9,1,9,10
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,1,0,1,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,6,12,6,12,18
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,22,1,22,23
SENA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,7,23,7,23,30
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,25,15,25,15,40
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,16,4,16,20
SICAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,9,1,9,10
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,106,4,106,4,110
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,5,2,5,7
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,15,4,15,19
SORATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,9,27,9,27,36
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,467,141,467,141,608
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,1,1,1,2
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,5,19,5,19,24
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,6,5,6,5,11
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,17,19,17,19,36
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,13,26,13,26,39
TARACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,6,3,6,3,9
TARATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,12,0,12,0,12
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,343,54,343,54,397
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,18,20,18,20,38
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,7,10,7,10,17
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,16,1,16,1,17
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,31,23,31,23,54
TIPUANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,3,15,3,15,18
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,84,75,84,75,159
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,27,12,27,12,39
TOCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,7,2,7,9
TOLATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,9,4,9,4,13
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,7,4,7,4,11
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,9,11,9,11,20
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,8,14,8,14,22
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,10,20,10,20,30
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,32,11,32,11,43
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,3,4,3,4,7
TRIGAL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,1,2,1,2,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,134,50,134,50,184
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,57,35,57,35,92
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,6,0,6,6
UMALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,6,0,6,6
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,45,18,45,18,63
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,9,8,9,8,17
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,13,6,13,6,19
UYUNI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,66,6,66,6,72
VACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,3,16,3,16,19
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,26,2,26,2,28
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,105,26,105,26,131
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,22,24,22,24,46
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,49,39,49,39,88
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,6,4,6,10
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,9,16,9,16,25
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,102,30,102,30,132
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,17,4,17,4,21
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,62,23,62,23,85
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,104,16,104,16,120
VITICHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,13,6,13,6,19
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,2,0,2,2
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,123,21,123,21,144
YACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,3,1,3,1,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,112,134,112,134,246
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,2,9,2,9,11
YANACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,6,7,6,7,13
YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,66,45,66,45,111
YOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,5,12,5,12,17
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,8,11,8,11,19
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,0,11,0,11,11
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-11-01,4,10,4,10,14
ACACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,1,8,1,8,9
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,34,31,34,31,65
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,17,9,17,9,26
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,29,25,29,25,54
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,3,0,3,0,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,3,1,3,1,4
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,9,6,9,6,15
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,9,6,9,6,15
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,2,4,2,4,6
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,1,8,1,8,9
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,3,0,3,0,3
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,17,7,17,7,24
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,2,19,2,19,21
ARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,19,2,19,2,21
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,17,18,17,18,35
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,15,9,15,9,24
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,20,4,20,4,24
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,3,15,3,15,18
AYATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,3,13,3,13,16
AYO AYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,8,3,8,3,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,15,28,15,28,43
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,6,19,6,19,25
BATALLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,12,6,12,6,18
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,10,2,10,2,12
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,1,3,1,3,4
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,0,3,0,3,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,0,5,0,5,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,35,32,35,32,67
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,41,62,41,62,103
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,1,10,1,10,11
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,12,4,12,4,16
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,2,3,2,3,5
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,19,7,19,7,26
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,43,56,43,56,99
CAIROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,5,5,5,5,10
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,3,7,3,7,10
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,7,10,7,10,17
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,0,4,0,4,4
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-12-01,5,9,5,9,14
