,group,variable,month,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,TOTALES,TOTALES,TOTALES
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,67,37,67,37,104
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,3,0,3,0,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,4,2,4,2,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,1,0,1,1
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,2,1,2,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,8,1,8,1,9
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
