,group,variable,month,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,50,5,55
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,6,6
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,18,3,21
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,4,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,5,1,6
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,5,5,10
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,8,40,48
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,1,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,14,0,14
ICHOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,15,3,18
LORETO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,8,8
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,3,4
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,4,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,30,18,48
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,23,23
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,5,0,5
PADCAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,3,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,10,0,10
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,8,8
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,6,35,41
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,2,3
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,13,0,13
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,1,1
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,8,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,3,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,7,16,23
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,4,0,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,2,0,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,62,60,122
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,2,0,2
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,5,0,5
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,3,3,6
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,24,65,89
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,4,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,12,18,30
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,2,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,2,0,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,6,7
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,3,3,6
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,2,0,2
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,10,33,43
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,5,2,7
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,2,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,4,4
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,2,2
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,3,6,9
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,2,2,4
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,2,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,2,2
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,3,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,4,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,68,2,70
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,4,0,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,8,2,10
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,8,9
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,5,1,6
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,4,4
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,7,7
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,7,2,9
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,2,0,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,20,21
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,2,3,5
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,2,1,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,2,2,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,5,0,5
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,6,6,12
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,3,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,5,6
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,3,4,7
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,5,0,5
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,1,1
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,0,1
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,18,18
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,13,13
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,7,0,7
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,64,47,111
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,2,2
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,4,2,6
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,13,0,13
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,4,15,19
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,7,1,8
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,5,5
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,1,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,4,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,32,7,39
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-12-01,0,2,2
