,group,variable,month,L 19.2 DPT 2DA DOSIS CANTIDAD,L 19.2 DPT 2DA DOSIS CANTIDAD,TOTALES
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,6,38,44
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,2,1,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,2,3
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,13,0,13
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,4,5
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,0,24,24
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,0,8,8
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,0,3,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,7,16,23
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,4,0,4
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,2,3,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,2,0,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,58,56,114
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,2,0,2
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,5,0,5
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,3,3,6
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,25,65,90
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,4,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,12,18,30
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,2,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,2,0,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,4,6,10
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,3,5,8
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,2,0,2
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,8,37,45
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,5,2,7
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-11-01,0,2,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,4,4
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,6,7
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,2,1,3
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,2,2
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,2,2
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,8,8
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,12,48,60
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,3,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,4,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,55,2,57
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,4,0,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,6,2,8
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,8,9
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,3,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,5,1,6
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,2,2
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,7,7
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,6,2,8
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,14,14
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,20,20
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,7,0,7
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,20,21
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,2,3,5
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,2,1,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,2,2,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,5,0,5
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,2,4,6
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,5,6
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,5,0,5
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,3,0,3
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,2,1,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,1,2
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,18,18
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,3,13,16
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,7,0,7
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,60,8,68
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,1,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,4,2,6
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,2,0,2
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,26,8,34
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,12,1,13
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,4,17,21
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,7,1,8
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,2,5,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,4,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,32,7,39
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-12-01,0,2,2
