,group,variable,month,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 50 Y +,PRIMER CONTROL POST PARTO 50 Y +,TOTALES,TOTALES,TOTALES
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,1,0,8,0,37,2,6,0,0,0,52,2,54
CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,1,0,7,4,26,9,4,1,0,0,38,14,52
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,2,1,0,0,0,0,3,1,4
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,1,5,7,1,1,0,0,6,9,15
CHARAÑA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,2,1,1,0,0,0,0,2,3,5
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,5,0,10,0,2,0,0,0,17,0,17
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,11,0,2,0,0,0,15,0,15
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,2,0,5,1,1,0,0,3,8,11
CHUQUIHUTA AYLLU JUCUMANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,8,2,2,0,0,0,11,2,13
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,2,1,3,0,2,0,0,2,7,9
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,17,0,0,0,0,0,19,0,19
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,12,0,6,0,0,0,20,0,20
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,4,0,0,0,58,1,446,2,73,0,0,0,581,3,584
COIPASA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3
COLLANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,14,1,2,0,0,0,18,1,19
COLPA BELGICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
COLQUECHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,5,5,1,2,0,0,6,7,13
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,5,1,1,0,0,0,7,1,8
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,2,4,4,1,1,0,0,5,7,12
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,3,0,6,1,1,0,0,0,10,1,11
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,2,0,10,0,20,0,1,0,0,0,33,0,33
COPACABANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,6,0,3,2,0,0,10,2,12
CORIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
CORO CORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,5,0,12,2,9,0,0,0,26,2,28
CORQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,2,3,0,0,0,0,2,3,5
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,3,1,0,0,0,0,4,1,5
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,22,5,3,2,0,0,25,7,32
CUCHUMUELA (V. G. VILLARROEL),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CUEVO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
CULPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,1,0,0,0,1,3,7,0,1,0,0,3,10,13
CURAHUARA DE CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
CURVA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
DESAGUADERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,2,0,0,1,0,0,2,1,3
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,35,0,317,18,57,1,0,0,409,19,428
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,3,0,0,0,0,0,5,0,5
EL PUENTE(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,37,2,1,0,0,0,39,2,41
EL VILLAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,8,0,1,0,0,0,10,0,10
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,4,0,11,1,0,1,0,0,15,2,17
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,2,2,0,0,0,0,4,2,6
FERNANDEZ ALONSO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
FILADELFIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,0,2,0,0,0,0,1,2,3
GAIOC JATUN AYLLU YURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,1,3,2,0,0,0,0,4,3,7
GENERAL SAAVEDRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,2,0,7,0,0,0,0,0,9,9
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,15,0,4,0,0,0,21,0,21
GUAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,3,3,1,0,0,0,4,3,7
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,8,0,22,0,3,0,0,0,33,0,33
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,4,0,5,5,0,0,0,0,9,5,14
HUACARAJE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
HUACARETA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,4,0,10,0,5,0,0,0,19,0,19
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,2,3,1,0,0,0,3,3,6
HUATAJATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
HUAYLLAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,1,1,2,0,1,0,0,1,4,5
ICHOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,1,1,7,0,1,0,0,2,9,11
INGAVI (HUMAITA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
INQUISIVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,3,3,3,0,2,0,0,3,8,11
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,2,3,2,2,0,0,0,5,4,9
IXIAMAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,4,2,2,0,0,0,7,2,9
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,5,0,32,1,6,0,0,0,43,1,44
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,5,0,81,0,5,0,0,0,91,0,91
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,2,0,25,0,300,1,135,0,0,0,462,1,463
LAGUNILLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,3,7,0,1,0,0,3,8,11
LICOMA PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,1,17,2,1,0,0,0,18,3,21
LLICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
LURIBAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
MACHARETI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,5,1,0,0,0,0,5,1,6
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,4,0,2,0,0,0,8,0,8
MALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MAPIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,8,1,1,0,0,0,9,1,10
MECAPACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,2,0,3,0,0,0,5,0,5
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,3,0,7,0,3,0,0,0,13,0,13
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,6,0,10,1,3,0,0,0,19,1,20
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,5,1,4,0,1,0,0,1,10,11
MOJOCOYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,31,0,4,0,0,0,37,0,37
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,2,2,2,0,0,0,0,3,4,7
NACEBE (SANTA ROSA DEL ABUNA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
NAZACARA DE PACAJES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
OCURI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,1,2,0,3,2,0,0,0,0,5,3,8
OKINAWA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7
OMEREQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,27,2,256,6,32,0,0,0,315,8,323
PADCAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,4,0,1,0,0,0,6,0,6
PADILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,6,0,0,0,0,0,7,0,7
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,6,0,15,0,2,0,0,0,23,0,23
PALCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,1,4,2,1,0,0,0,5,3,8
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,3,0,13,1,2,3,0,0,18,4,22
PAMPA GRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,1,0,0,1,0,0,2,1,3
PAPEL PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PATACAMAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,6,0,19,3,2,1,0,0,27,4,31
PELECHUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,4,3,1,0,0,0,6,3,9
POCOATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,2,10,5,1,1,0,0,13,8,21
POCONA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,6,1,0,0,0,0,7,1,8
POJO (CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
POOPO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
PORCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,4,0,4,0,2,0,0,0,10,0,10
POROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,3,2,4,0,2,0,0,4,9,13
PORONGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,1,0,40,0,260,11,42,0,0,0,343,11,354
PRESTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,1,2,0,0,0,0,0,3,1,4
PUCARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,1,5,9,1,0,0,0,6,10,16
PUERTO ACOSTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
PUERTO CARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,4,0,0,0,0,1,4,5
PUERTO GONZALO MORENO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
PUERTO PEREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,7,0,1,0,0,0,9,0,9
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,9,0,1,0,0,0,11,0,11
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,1,0,6,0,28,0,5,0,0,0,40,0,40
PUNA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,2,1,2,0,0,0,6,1,7
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,3,0,22,11,1,0,0,0,26,11,37
QUIABAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,24,0,122,3,25,0,0,0,171,3,174
QUIME,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
RAQAYPAMPA(ETA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,1,1,1,6,0,1,0,0,2,8,10
RAVELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,5,1,0,0,0,0,5,1,6
REYES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
RIBERALTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,2,0,39,0,105,0,15,0,0,0,161,0,161
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,9,0,3,0,0,0,14,0,14
RURRENABAQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,2,0,17,0,1,0,0,0,20,0,20
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,3,0,74,15,10,0,0,0,87,15,102
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,5,2,3,3,1,3,0,0,9,8,17
SAIPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SALINAS DE GARCI MENDOZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-11-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
