,group,variable,month,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
RIBERALTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,148,168,877,777,1025,945,1970
ROBORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,11,15,100,93,111,108,219
RURRENABAQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,10,6,48,44,58,50,108
SABAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,2,0,32,18,34,18,52
SACABA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,187,148,1211,1079,1398,1227,2625
SACABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,7,4,23,29,30,33,63
SACACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,33,27,196,143,229,170,399
SAIPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,4,7,52,42,56,49,105
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,8,2,77,78,85,80,165
SAMAIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,7,3,77,78,84,81,165
SAN AGUSTIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,7,4,7,12,14,16,30
SAN ANDRES,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,14,7,86,57,100,64,164
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,0,0,10,13,10,13,23
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,7,3,14,12,21,15,36
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,4,1,42,47,46,48,94
SAN BENITO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,14,7,193,66,207,73,280
SAN BORJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,50,51,377,383,427,434,861
SAN BUENA VENTURA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,3,5,94,82,97,87,184
SAN CARLOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,28,16,185,180,213,196,409
SAN IGNACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,76,62,163,165,239,227,466
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,68,79,520,485,588,564,1152
SAN JAVIER(BNI),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,11,5,11,5,22,10,32
SAN JAVIER(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,12,19,102,86,114,105,219
SAN JOAQUIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,4,5,32,25,36,30,66
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,32,32,140,124,172,156,328
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,3,0,58,82,61,82,143
SAN JULIAN,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,44,57,434,398,478,455,933
SAN LORENZO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,11,2,31,33,42,35,77
SAN LORENZO(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,33,20,206,194,239,214,453
SAN LUCAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,24,22,231,224,255,246,501
SAN MATIAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,11,12,75,102,86,114,200
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,16,13,123,109,139,122,261
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,2,2,16,22,18,24,42
SAN PEDRO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,13,31,151,152,164,183,347
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,33,35,229,181,262,216,478
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,4,6,28,37,32,43,75
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,0,0,5,5,5,5,10
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,3,4,33,20,36,24,60
SAN PEDRO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,1,0,9,11,10,11,21
SAN RAFAEL,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,1,2,62,37,63,39,102
SAN RAMON BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,6,6,25,25,31,31,62
SAN RAMON SCZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,2,8,50,73,52,81,133
SANTA ANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,74,70,109,85,183,155,338
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,2225,2001,5597,5093,7822,7094,14916
SANTA ROSA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,4,6,78,62,82,68,150
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,17,12,105,109,122,121,243
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,5,5,13,19,18,24,42
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,14,10,73,48,87,58,145
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,7,6,41,33,48,39,87
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,0,0,28,34,28,34,62
SANTIVAÑES,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,1,2,69,50,70,52,122
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,3,13,18,27,21,40,61
SAPAHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,5,5,78,55,83,60,143
SENA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,12,6,66,61,78,67,145
SHINAOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,36,25,217,283,253,308,561
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,21,14,163,151,184,165,349
SICAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,6,2,62,40,68,42,110
SIPE SIPE,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,76,60,525,279,601,339,940
SOPACHUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,7,2,49,63,56,65,121
SORACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,5,10,78,82,83,92,175
SORATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,82,39,100,101,182,140,322
SUCRE,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,460,359,2345,2177,2805,2536,5341
TACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,0,1,7,8,7,9,16
TACACOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,4,12,27,13,31,25,56
TACOBAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,10,10,53,74,63,84,147
TACOPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,8,10,70,58,78,68,146
TAHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,2,0,8,8,10,8,18
TAPACARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,19,19,201,181,220,200,420
TARABUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,8,12,92,97,100,109,209
TARACO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,2,2,38,9,40,11,51
TARATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,9,9,106,73,115,82,197
TARIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,503,408,1936,1773,2439,2181,4620
TARVITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,9,15,104,100,113,115,228
TEOPONTE,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,9,7,158,104,167,111,278
TIAWANACU,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,19,10,105,90,124,100,224
TINGUIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,23,27,157,130,180,157,337
TIPUANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,12,7,183,118,195,125,320
TIQUIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,101,77,583,478,684,555,1239
TIRAQUE (CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,34,28,141,135,175,163,338
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,0,0,9,3,9,3,12
TOCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,5,3,85,54,90,57,147
TODOS SANTOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,1,1,1,0,2,1,3
TOLATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,22,16,53,33,75,49,124
TOLEDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,1,4,41,46,42,50,92
TOMAVE,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,12,12,109,104,121,116,237
TOMINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,10,5,71,61,81,66,147
TORO TORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,13,5,78,80,91,85,176
TOTORA(CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,26,27,130,108,156,135,291
TOTORA(ORR),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,5,4,46,46,51,50,101
TRIGAL,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,1,2,6,4,7,6,13
TRINIDAD,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,269,170,627,550,896,720,1616
TUPIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,34,45,311,270,345,315,660
TURCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,5,2,36,27,41,29,70
UMALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,7,8,58,49,65,57,122
UNCIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,26,21,161,146,187,167,354
URIONDO (A. CONCEPCION),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,47,42,113,117,160,159,319
URUBICHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,3,7,66,68,69,75,144
UYUNI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,28,29,204,171,232,200,432
VACAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,9,4,60,53,69,57,126
VALLEGRANDE,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,8,15,133,107,141,122,263
VIACHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,111,91,514,457,625,548,1173
VILA VILA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,11,7,42,44,53,51,104
VILLA CHARCAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,19,20,129,109,148,129,277
VILLA MONTES,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,69,52,314,314,383,366,749
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,0,6,32,18,32,24,56
VILLA RIVERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,9,5,101,74,110,79,189
VILLA SERRANO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,5,6,76,85,81,91,172
VILLA TUNARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,128,95,938,952,1066,1047,2113
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,13,7,73,70,86,77,163
VILLAZON,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,44,32,310,268,354,300,654
VINTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,109,160,305,249,414,409,823
VITICHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,14,11,19,15,33,26,59
WALDO BALLIVIAN,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,1,3,21,11,22,14,36
WARNES,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,102,112,526,532,628,644,1272
YACO,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,13,15,51,50,64,65,129
YACUIBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,159,149,727,640,886,789,1675
YAMPARAEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,8,6,49,30,57,36,93
YANACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,2,2,38,46,40,48,88
YAPACANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,59,55,492,488,551,543,1094
YOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,3,8,58,64,61,72,133
YOTALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,7,4,62,44,69,48,117
YUNCHARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,3,7,42,37,45,44,89
YUNGUYO DE LITORAL,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,2,0,1,0,3,0,3
ZUDAÑEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-11-01,8,1,48,62,56,63,119
ACACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,8,31,29,39,37,76
ACHACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,41,21,236,206,277,227,504
ACHOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,9,6,96,108,105,114,219
AIQUILE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,20,24,180,196,200,220,420
ALALAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,1,13,10,14,11,25
ALCALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,1,27,29,28,30,58
ALTO BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,10,78,87,84,97,181
ANCORAIMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,6,81,51,88,57,145
ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,2,31,31,35,33,68
ANTEQUERA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,1,23,19,24,20,44
ANZALDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,4,36,28,44,32,76
APOLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,56,58,129,114,185,172,357
ARAMPAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,1,27,29,30,30,60
ARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,10,91,60,98,70,168
ARBIETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,37,9,175,130,212,139,351
ARQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,10,87,99,95,109,204
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,51,36,207,203,258,239,497
ATOCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,9,77,70,84,79,163
AUCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,2,36,24,37,26,63
AYATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,8,61,53,66,61,127
AYO AYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,6,75,42,80,48,128
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,19,14,227,157,246,171,417
AZURDUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,15,7,89,53,104,60,164
BATALLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,9,7,114,108,123,115,238
BAURES,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,16,15,36,39,52,54,106
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,17,8,17,8,25
BELEN DE URMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,2,6,12,9,14,23
BELLA FLOR,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,4,17,26,22,30,52
BERMEJO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,92,76,113,130,205,206,411
BETANZOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,31,27,239,235,270,262,532
BOLIVAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,6,48,50,56,56,112
BOLPEBRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,7,5,7,5,12
BOYUIBE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,11,24,25,30,36,66
BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,17,101,123,108,140,248
CABEZAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,11,160,142,170,153,323
CAIROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,10,64,57,74,67,141
"CAIZA ""D""",control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,9,4,73,55,82,59,141
CAJUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,9,73,84,80,93,173
CALACOTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,6,29,25,32,31,63
CALAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,9,9,96,91,105,100,205
CAMARGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,17,8,122,110,139,118,257
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,1,24,21,24,22,46
CAMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,25,23,185,196,210,219,429
CAPINOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,28,27,201,194,229,221,450
CAQUIAVIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,11,9,85,45,96,54,150
CARACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,16,177,155,184,171,355
CARANAVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,65,80,318,313,383,393,776
CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,2,1,2,1,3
CARAPARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,9,135,97,140,106,246
CARIPUYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,6,46,67,50,73,123
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,13,9,19,16,32,25,57
CATACORA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,7,10,7,10,17
CHACARILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,2,0,14,3,16,3,19
CHALLAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,57,56,297,294,354,350,704
CHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,7,59,54,67,61,128
CHARAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,41,25,161,158,202,183,385
CHARAÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,3,19,12,19,15,34
CHAYANTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,24,10,100,107,124,117,241
CHIMORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,75,71,120,65,195,136,331
CHIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,2,17,11,17,13,30
CHOQUE COTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,0,10,3,11,3,14
CHUA COCANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,3,13,11,16,14,30
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,14,5,57,80,71,85,156
CHUMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,12,15,67,67,79,82,161
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,12,9,40,43,52,52,104
CKOCHAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,13,15,111,126,124,141,265
CLIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,66,46,194,175,260,221,481
COBIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,67,48,508,418,575,466,1041
COCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,11,18,125,97,136,115,251
COCHABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1271,1255,3596,2935,4867,4190,9057
COLCAPIRHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,63,93,313,319,376,412,788
"COLCHA ""K""",control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,10,128,110,138,120,258
COLLANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,1,16,16,17,17,34
COLOMI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,19,13,206,183,225,196,421
COLPA BELGICA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,6,0,2,1,8,9
COLQUECHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,38,38,272,203,310,241,551
COLQUENCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,4,62,60,70,64,134
COLQUIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,14,15,121,111,135,126,261
COMANCHE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,2,18,18,18,20,38
COMARAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,17,13,127,99,144,112,256
COMBAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,2,1,13,16,15,17,32
CONCEPCION,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,18,18,149,155,167,173,340
COPACABANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,8,59,48,64,56,120
CORIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,6,167,120,177,126,303
CORO CORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,5,55,37,59,42,101
COROICO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,9,4,79,84,88,88,176
CORQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,6,41,53,46,59,105
COTAGAITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,18,19,105,119,123,138,261
COTOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,95,78,369,355,464,433,897
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,18,27,147,148,165,175,340
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,15,13,15,13,28
CULPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,4,148,130,152,134,286
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,2,38,39,42,41,83
CURVA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,2,26,21,30,23,53
DESAGUADERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,4,28,32,34,36,70
EL ALTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1109,962,6663,6180,7772,7142,14914
EL CHORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,4,48,35,51,39,90
EL PUENTE(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,8,97,78,105,86,191
EL PUENTE(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,23,25,81,77,104,102,206
EL TORNO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,52,61,383,403,435,464,899
EL VILLAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,5,34,27,35,32,67
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,12,13,178,168,190,181,371
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,59,49,416,371,475,420,895
ESCARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,1,1,1,2,2,4
ESCOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,9,6,22,17,31,23,54
ESMERALDA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,1,2,1,2,3
EUCALIPTUS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,6,42,30,48,36,84
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,4,10,11,10,15,25
EXALTACION,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,2,1,9,6,11,7,18
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,17,12,111,81,128,93,221
FILADELFIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,3,46,42,49,45,94
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,16,16,105,81,121,97,218
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,20,19,50,36,70,55,125
GUANAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,13,160,150,166,163,329
GUAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,3,22,28,28,31,59
GUAYARAMERIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,50,49,340,338,390,387,777
GUTIERREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,49,39,96,93,145,132,277
HUACARETA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,13,60,64,64,77,141
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,8,18,26,26,34,60
HUANUNI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,18,22,202,194,220,216,436
HUARACAJE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,6,25,41,29,47,76
HUARINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,4,31,40,35,44,79
HUATAJATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,10,15,6,18,16,34
HUAYLLAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,1,16,20,17,21,38
HUMANATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,3,23,24,27,27,54
ICHOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,3,24,24,31,27,58
ICLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,8,54,64,60,72,132
