,group,variable,month,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - F,COVID-19 DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
PAPEL PAMPA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,3,0,0,1,1,0,0,8,6,14
PASORAPA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,2,5,7
PELECHUCO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,2,4,6
POCOATA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,4,0,0,1,7,3,17,20
POCONA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,4
POJO (CBBA),otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,7,6,0,2,0,0,9,13,22
POOPO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,27,5,1,4,11,8,0,0,1,1,42,19,61
PORCO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,1,2,0,0,0,0,6,7,13
POROMA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3
PORONGO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,3
PORTACHUELO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,24,58,24,36,7,1,9,10,70,112,182
PRESTO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PUCARANI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,2,3,5
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,0,1,11,10,4,0,0,0,0,67,17,84
PUNA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,1,1,4,6,10
PUNATA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,2,4,4,8
QUIABAYA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,3,5
QUILLACOLLO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,2,3,1,0,0,2,2,15,7,22
QUIME,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,4,4,8
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,3
RAVELO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,6,4,6,1,0,13,16,24,30,54
RIBERALTA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,2,1,0,0,0,0,0,15,5,20
ROBORE,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,6,2,0,0,0,0,0,9,8,17
RURRENABAQUE,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,1,5,2,7
SACABA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,12,19,5,11,0,0,0,0,18,36,54
SACABAMBA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAIPINA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,4,0,4
SAMAIPATA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,7,4,10,6,16
SAN BENITO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,2,4,3,7
SAN BORJA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,3
SAN CARLOS,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,1,8,9
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN JOAQUIN,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,8,0,8
SAN JULIAN,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,7,12,0,0,4,2,12,21,33
SAN LORENZO(TJA),otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LUCAS,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,6,8
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,3
SAN RAMON BENI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,1,2,4,6,10
SANTA ANA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,14,21,38,12,108,85,95,53,0,1,4,6,259,178,437
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,3,3,6
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTIVAÑES,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
SAPAHAQUI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SENA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,4
SHINAOTA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,3,1,10,4,0,0,0,0,35,7,42
SICAYA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
SIPE SIPE,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,1,0,0,1,2,7,5,12
SORACACHI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SORATA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,4,2,8,10
SUCRE,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,4,7,0,0,0,1,10,10,20
TACACHI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TAPACARI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,1,0,0,1,1,0,1,7,11,18
TARABUCO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TARACO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,3,3,6
TARATA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2
TARIJA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,1,5,0,1,2,1,2,0,21,8,29
TINGUIPAYA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,0,0,3,6,8,11,19
TIQUIPAYA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,4,0,0,0,0,0,8,2,10
TOMAVE,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,4,3,7
TOTORA(CBBA),otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,3,4,0,0,0,0,3,9,12
TOTORA(ORR),otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
TRIGAL,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TRINIDAD,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
TUPIZA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3,6,0,0,0,0,0,1,33,7,40
TURCO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
UNCIA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,1,1,5,6,3,1,0,0,1,38,10,48
VACAS,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,2,5,7
VALLEGRANDE,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
VIACHA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,10,0,0,0,0,0,59,0,59
VILA VILA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA CHARCAS,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,4,5
VILLA MONTES,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,13,2,0,1,0,0,23,9,32
VILLA RIVERO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA SERRANO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,11,3,8,5,6,0,0,1,1,15,26,41
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,4,5,0,1,0,0,0,27,6,33
VILLAZON,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8,2,0,0,0,0,10,3,13
VINTO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,7,0,0,2,7,3,19,22
WARNES,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,7,10,1,1,0,0,0,0,14,14,28
YACO,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
YACUIBA,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YAPACANI,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,2,5
ZUDAÑEZ,otras vacunaciones,covid-19 dosis unica,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ACACIO,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,7,7
ACHACACHI,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,7,0,1,5,6,9,17,26
ALTO BENI,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,1,15,15,8,7,11,0,0,0,0,0,0,23,35,58
ANDAMARCA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,3,3,6
ANTEQUERA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
APOLO,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ARAMPAMPA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
ARBIETO,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
ATOCHA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,0,0,1,0,6,10,16
AYO AYO,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3
BATALLAS,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1,0,0,1,4,4,8
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
BERMEJO,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
BOLIVAR,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,3
BOLPEBRA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
BOYUIBE,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2,2,4
BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,1,0,0,0,0,0,21,0,21
CABEZAS,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
CALACOTO,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,2,3,5
CALAMARCA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,9,2,11
CAMIRI,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CAPINOTA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAQUIAVIRI,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,2,5,7
CARACOLLO,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,0,0,0,0,0,6,7,13
CARANAVI,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,2,3,5
CARAPARI,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,5,0,5
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,3,2,5
CATACORA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,1,0,1,1,0,0,2,2,10,5,15
CHAYANTA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,5,0,0,0,0,0,0,0,7,8,15
CHIMORE,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,2,1,0,0,0,0,26,2,28
CHIPAYA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CHUA COCANI,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,3,4,0,0,4,0,17,5,22
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,4,6,0,0,1,0,6,12,18
CKOCHAS,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CLIZA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,5
COBIJA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,3,3,6
COCAPATA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,31,31,26,43,63,60,1,2,3,10,127,147,274
COIPASA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
COLCAPIRHUA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
COLOMI,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,1,0,0,0,5,7,12
COMANCHE,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
COMBAYA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,3,1,4
CONCEPCION,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COPACABANA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,6,3,7,6,13
CORO CORO,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,3,0,0,0,0,1,8,9
COROICO,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,13,9,4,0,4,5,23,21,44
CORQUE,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1,4
COTAGAITA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,2,2,7,9
COTOCA,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,1,6,7
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
