,group,variable,month,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - F,COVID-19 DOSIS ANUAL 60 Y MAS - F,TOTALES,TOTALES,TOTALES
TINGUIPAYA,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,0,0,0,0,6,10,16
TIQUIPAYA,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,3,29,41,0,0,6,5,41,54,95
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,2,0,0,1,1,5,6,11
TOMAVE,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,2,3,8,11
TORO TORO,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,2,7,9
TOTORA(CBBA),otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,10,8,1,0,13,15,28
TOTORA(ORR),otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,4,5,5,15,20
TRINIDAD,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
TUPIZA,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,126,1,0,0,30,24,6,8,2,2,1,2,165,37,202
TURCO,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,4,1,5
UMALA,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,1,1,3,7,5,17,13,30
UNCIA,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,2,0,3,1,0,1,0,0,30,4,34
VACAS,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,1,1,1,0,1,6,14,20
VALLEGRANDE,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,2,4,6,8,14
VIACHA,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58,7,1,0,38,11,0,0,5,4,104,22,126
VILA VILA,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,3,2,5
VILLA CHARCAS,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,2,2,14,16
VILLA MONTES,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,37,6,40,2,1,0,2,1,82,12,94
VILLA RIVERO,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,4
VILLA SERRANO,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
VILLA TUNARI,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,26,24,13,15,24,22,1,0,4,2,69,68,137
VILLAZON,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,3,8,15,20,17,5,2,3,2,45,43,88
VINTO,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,12,25,16,35,4,3,14,22,49,91,140
WARNES,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,1,0,5,6,1,0,16,45,2,2,0,0,0,1,25,54,79
YACO,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,4,0,0,0,0,0,0,9,7,16
YACUIBA,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,4,0,0,2,0,17,5,22
YANACACHI,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,10,18,0,0,6,2,17,26,43
YAPACANI,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,11,3,0,1,0,0,0,0,47,5,52
ZUDAÑEZ,otras vacunaciones,covid-19 dosis anual,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,5,4,8,12
ACACIO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,5,6
ACHACACHI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,3,0,7,9,16
ALTO BENI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,1,2,6,8,4,6,1,4,0,0,0,0,0,0,0,20,12,32
ANDAMARCA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,2,0,0,1,1,4,7,11
ANTEQUERA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,1,2,7,9
ARAMPAMPA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,3,6
ARBIETO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
ARQUE,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,3,2,6,6,12
ATOCHA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,8,6,10,10,18,0,0,0,4,24,43,67
AUCAPATA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
AYO AYO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,1,1,1,1,5,9,14
BATALLAS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,7,16,11,4,2,0,1,27,22,49
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,3,3,6
BERMEJO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,1,1,0,1,7,7,14
BOLIVAR,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,4,6,7,7,14
BOLPEBRA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,2,3,5
BOYUIBE,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,8,0,0,13,19,18,29,47
BUENA VISTA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,3,0,0,0,0,0,16,1,17
CABEZAS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,7,0,0,0,0,0,0,19,7,26
CAIROMA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,2,5,7,12
CALACOTO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CALAMARCA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,3
CAMARGO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,4,0,1,3,8,8,16,24
CAMIRI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,6,0,0,1,1,0,0,14,8,22
CAPINOTA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,5,8,0,0,1,0,9,14,23
CAQUIAVIRI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,2,1,1,0,0,0,1,1,9,4,13
CARACOLLO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,24,3,1,0,55,25,6,5,1,0,1,4,88,37,125
CARANAVI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,8,2,2,0,0,1,1,9,11,20
CARANGAS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2
CARAPARI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,1,12,4,16
CARIPUYO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,3,5,8
CATACORA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,6
CHALLAPATA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,2,7,27,13,25,1,7,8,7,38,69,107
CHARAGUA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHARAÑA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,4,5
CHAYANTA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,3,5,8
CHIMORE,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,5,8,4,4,0,0,1,1,28,17,45
CHIPAYA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,3,8
CHUA COCANI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,4,11,0,0,3,4,22,16,38
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,3,9,14,0,2,2,6,17,26,43
CLIZA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,2,0,0,2,5,7,12
COBIJA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,9,23,14,2,1,0,1,33,27,60
COCAPATA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
COCHABAMBA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,31,46,181,184,262,429,434,453,44,51,86,101,1038,1264,2302
COIPASA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,13,5,6,1,0,1,4,11,24,35
"COLCHA ""K""",otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,1,0,0,0,0,6,6,12
COLOMI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,7,12,9,0,1,2,3,22,20,42
COMBAYA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,3,6,1,0,3,5,15,14,29
CONCEPCION,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,6,6
COPACABANA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,2,0,5,2,7
CORO CORO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,1,7,1,3,0,4,1,28,3,31
COROICO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,11,7,12,14,11,6,5,17,7,49,49,98
CORQUE,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,11,6,2,0,4,1,0,0,30,8,38
COTAGAITA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,5,10,2,0,2,3,3,6,15,21,36
COTOCA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,9,9,0,2,2,0,0,0,12,13,25
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5,6,4,0,0,1,0,12,9,21
CUEVO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CULPINA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8,10,0,0,0,1,4,7,14,19,33
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,1,3,0,0,0,0,0,32,1,33
EL ALTO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,22,32,31,40,58,121,106,107,7,14,24,37,248,351,599
EL TORNO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,1,0,0,5,7,12
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,1,25,26,31,10,0,2,1,0,103,40,143
ESCARA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,9,3,1,1,1,11,11,22
ESCOMA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,1,2,5,7
ESMERALDA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,3,4,7
EUCALIPTUS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,2,0,0,1,1,4,4,13,17
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,1,4
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,2,4,6
FILADELFIA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,7,8,9,11,0,1,3,1,22,24,46
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,3,0,2,0,1,4,8,12
GUANAY,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,21,27,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,52
GUTIERREZ,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
HUACHACALLA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,11,0,11
HUANUNI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,5,13,0,0,0,0,4,0,11,17,28
HUARINA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,5,7,0,1,0,0,0,0,6,12,18
HUATAJATA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,7,9,0,0,0,0,11,11,22
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,8,9,6,10,1,0,3,4,25,24,49
HUMANATA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,2,4,6
ICLA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,6,2,6,9,13,8,6,30,43,73
INCAHUASI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,2,0,3,6,14,20
INQUISIVI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,0,0,14,13,0,0,3,5,24,23,47
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,6,14,10,1,1,7,3,30,22,52
LA ASUNTA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,10,7,19,11,0,0,1,1,37,31,68
LA GUARDIA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,55,60,0,5,3,2,2,0,62,70,132
LA PAZ,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,39,58,40,80,276,514,265,233,143,146,52,29,815,1060,1875
LA RIVERA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,3,2,5
LAGUNILLAS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,0,0,2,1,8,6,14
LAJA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,1,2,0,1,0,5,7,12
LLALLAGUA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,2,4,6
LURIBAY,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,8,6,3,0,0,2,3,10,18,28
MACHARETI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,3,3,6,6,12
MALLA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,3,5
MINEROS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,7,5,16,0,3,2,3,15,36,51
MIZQUE,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,6,5,3,3,3,10,18,28
MOCOMOCO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,5,4,3,1,9,8,21,18,39
MOJINETE,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,2,4,6
MONTERO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,4,4,14,33,0,0,3,0,25,62,87
OCURI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,1,4
ORURO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,12,16,20,17,145,163,40,50,19,14,5,7,241,267,508
PADCAYA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,2,1,0,2,1,8,7,15
PADILLA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,9,40,0,0,0,0,0,0,11,46,57
PALCA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,3,4,8,14,16,0,1,5,7,35,35,70
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,9,15,2,4,10,4,23,28,51
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,3
PAZÑA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,8,19,7,0,1,2,1,27,19,46
POCOATA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,15,2,1,0,0,0,0,3,22,25
POCONA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,4,5
POJO (CBBA),otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,3,6
POROMA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,3
PORONGO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,14,2,5,1,0,4,0,20,20,40
PORVENIR,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,7,10
POTOSI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,1,23,53,11,30,6,9,0,2,53,103,156
PRESTO,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,3,4
PUCARA,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,4
PUCARANI,otras vacunaciones,covid-19 dosis anual,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,3,1,2,0,1,1,0,7,10,17
