,group,variable,month,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
BERMEJO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,11,0,0,0,0,0,0,5,14,19
BOLPEBRA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,1,0,0,0,0,6,2,8
BUENA VISTA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CABEZAS,otras vacunaciones,antiamarilica dosis unica,2024-11-01,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,11,3,14
CAIROMA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
CAJUATA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,3,12,0,0,2,0,0,0,4,1,0,6,8,11,9,10,14,24,0,0,0,0,40,64,104
CALACOTO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CALAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,5,7
CAMARGO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,3,5
CAMIRI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,1,0,1,0,0,0,0,7,4,11
CAPINOTA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2,3,5
CAQUIAVIRI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARACOLLO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,4,1,0,1,0,0,0,0,9,7,16
CARANAVI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,2,0,0,0,0,2,0,0,1,0,0,9,25,13,12,14,23,35,0,0,0,0,63,73,136
CARAPARI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,1,6,7,0,0,0,0,12,10,22
CARMEN RIVERO TORREZ,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,11,0,0,0,0,6,16,22
CHACARILLA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
CHALLAPATA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,8,4,4,0,0,0,0,5,14,19
CHARAGUA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,6,7,13
CHIMORE,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,1,0,0,0,0,0,0,0,0,0,3,9,1,3,4,8,16,0,0,0,0,21,25,46
CHOQUE COTA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,3,5
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,2,1,0,0,0,0,1,0,0,1,0,0,3,3,3,4,6,9,0,0,0,0,15,18,33
CLIZA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
COBIJA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,1,0,0,1,2,0,0,0,0,5,5,3,5,11,20,15,22,0,0,0,0,35,55,90
COCAPATA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,2,0,0,0,0,4,5,9
COCHABAMBA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,7,8,4,7,2,5,1,5,2,5,1,4,35,88,29,78,181,292,69,140,0,0,0,0,331,632,963
COIPASA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,4,5,9
COLCAPIRHUA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,12,15,1,2,0,0,0,0,14,22,36
"COLCHA ""K""",otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,3,0,0,0,0,5,7,12
COLOMI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,6,10
COLPA BELGICA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
COLQUIRI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,1,6,7,1,0,1,0,1,0,1,2,6,6,7,10,4,8,3,11,0,0,0,0,30,45,75
COMANCHE,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CONCEPCION,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7,0,0,0,0,0,0,6,9,15
CORIPATA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,1,2,5,0,0,0,0,7,10,17
CORO CORO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,2,5,2,6,0,0,0,0,7,14,21
COROICO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,2,2,0,0,0,0,0,0,0,0,0,5,1,4,5,15,2,3,0,0,0,0,10,29,39
CORQUE,otras vacunaciones,antiamarilica dosis unica,2024-11-01,2,0,0,0,0,1,0,0,0,0,0,1,3,0,37,4,4,4,14,11,0,0,0,0,60,21,81
COTAGAITA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTOCA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,1,0,0,0,0,2,9,11
CRUZ DE MACHACAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,5,9
CUATRO CAÑADAS,otras vacunaciones,antiamarilica dosis unica,2024-11-01,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,0,0,0,0,6,6,12
CULPINA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4
EL ALTO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,5,8,11,12,0,7,6,4,1,2,4,5,105,29,154,127,125,186,192,306,0,0,0,0,603,686,1289
EL CHORO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,5,4,9
EL TORNO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,7,14
EL VILLAR,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,5,3,8
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,1,0,0,0,0,4,6,10
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,1,0,2,0,0,0,0,0,0,2,0,3,6,8,6,16,24,12,26,0,0,0,0,41,65,106
ESCARA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
ESCOMA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,3
ESMERALDA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,11,0,0,0,0,1,13,14
EUREKA (SANTOS MERCADO),otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4
EXALTACION,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,1,0,0,0,0,2,8,10
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GUANAY,otras vacunaciones,antiamarilica dosis unica,2024-11-01,2,3,9,11,1,0,2,4,1,2,9,8,0,0,5,3,0,0,4,7,0,0,0,0,33,38,71
GUAQUI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,7
GUAYARAMERIN,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,3,4,7
GUTIERREZ,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUACARETA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
HUANUNI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2,4,3,6,5,13,0,0,0,0,13,24,37
HUAYLLAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,2,5,7
ICHOCA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,1,0,0,0,0,0,0,0,0,2,6,0,3,1,0,5,7,0,0,0,0,9,17,26
ICLA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,6,0,0,0,0,6,7,13
INCAHUASI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
INGAVI (HUMAITA),otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,1,6,7
INQUISIVI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,1,0,2,0,0,0,1,0,0,0,1,0,2,16,18,3,5,21,27,0,0,0,0,41,57,98
IRUPANA (VILLA DE LANZA),otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,2,2,3,8,5,0,0,0,0,13,13,26
IXIAMAS,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,2,0,0,1,1,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,6,5,11
JESUS DE MACHACA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,2,0,0,0,0,0,7,4,11
LA ASUNTA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,2,6,2,1,0,0,2,6,0,0,8,13,30,42,24,53,26,39,0,0,0,0,94,160,254
LA GUARDIA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,28,19,4,7,0,0,0,0,34,30,64
LA PAZ,otras vacunaciones,antiamarilica dosis unica,2024-11-01,9,8,4,2,4,1,0,1,4,1,0,4,31,45,32,31,184,308,21,23,0,0,0,0,289,424,713
LA RIVERA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,5,4,9
LAGUNILLAS,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,0,0,6,2,8
LAJA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,1,0,1,0,0,0,0,8,3,11
LICOMA PAMPA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,4,3,0,0,0,2,0,0,0,0,0,1,17,23,2,8,10,19,0,0,0,0,33,56,89
LLALLAGUA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,10,26,54,9,30,0,0,0,0,54,99,153
LLICA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,2,0,0,0,0,0,0,0,1,3,8,1,2,22,24,0,3,0,0,0,0,27,40,67
LURIBAY,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,9,2,2,3,1,0,0,0,0,7,15,22
MACHACAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MACHARETI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,5,4,3,3,0,0,0,0,10,10,20
MAGDALENA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,1,5,6
MAPIRI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
MINEROS,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,3
MIZQUE,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MOCOMOCO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,3,0,0,0,4,0,0,0,0,5,9,14
MOJOCOYA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
MONTEAGUDO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,4,3,7
MONTERO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,0,1,0,0,0,0,0,0,1,1,0,1,7,2,2,10,20,1,14,0,0,0,0,17,44,61
MOROCHATA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
OCURI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,3,0,0,0,0,0,4,5,9
OKINAWA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,5,1,4,0,0,0,0,3,13,16
OMEREQUE,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,3,6,9
ORURO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,3,2,1,2,0,0,0,1,0,3,0,0,46,38,1,5,33,70,15,27,0,0,0,0,99,148,247
PADCAYA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,5,0,1,0,0,0,0,14,8,22
PADILLA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
PAILON,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2,6
PALCA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,4
PALOS BLANCOS,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,2,2,0,0,0,1,0,0,0,0,2,3,5,10,4,18,33,40,0,0,0,0,46,74,120
PAMPA AULLAGAS,otras vacunaciones,antiamarilica dosis unica,2024-11-01,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,7,1,8
POCOATA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,3,5,8
POCONA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,0,8,2,10
POOPO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,5,7
PORCO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PORONGO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
PORVENIR,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,4
POTOSI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,3,1,4,3,0,1,1,0,2,0,2,1,56,100,36,4,76,76,12,29,0,0,0,0,192,215,407
PUCARANI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,9,8,0,0,0,0,11,12,23
PUERTO ACOSTA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,5
PUERTO CARABUCO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
PUERTO GONZALO MORENO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,2,3,5
PUERTO PEREZ,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,0,0,0,0,0,3,6,9
PUERTO QUIJARRO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,7,0,0,0,0,0,37,0,37
PUERTO SUAREZ,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,4,2,6
PUERTO VILLARROEL,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,3,1,0,0,0,0,0,0,0,0,4,7,3,6,14,10,6,18,0,0,0,0,30,42,72
PUNATA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,2,6,9,4,6,0,0,0,0,13,21,34
QUIABAYA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,3
QUILLACOLLO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,0,0,0,0,0,0,0,0,0,0,1,0,6,4,11,26,37,12,36,0,0,0,0,43,91,134
QUIME,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,1,0,0,0,0,0,1,0,0,0,0,1,2,15,10,6,4,27,9,0,0,0,0,50,27,77
RAVELO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,9,13,0,0,0,0,14,14,28
RIBERALTA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,1,0,0,1,0,0,0,0,1,0,0,10,0,6,5,2,2,0,0,0,0,19,9,28
ROBORE,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,2,1,3,0,2,0,0,0,0,10,8,18
SABAYA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
SACABA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,0,0,1,0,1,0,1,1,1,0,0,5,3,2,5,47,77,11,18,0,0,0,0,67,107,174
SACACA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,5,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,3,0,0,0,0,4,8,12
SAN BENITO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,8
SAN BORJA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,1,3,2,2,3,5,7,5,5,4,1,0,0,0,0,19,19,38
SAN BUENA VENTURA,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3,5,15,9,6,0,0,0,0,16,28,44
SAN CARLOS,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,2,3,5
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,1,0,0,1,0,0,1,1,1,3,3,8,13,15,2,13,0,0,0,0,21,41,62
SAN JAVIER(STC),otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN JOAQUIN,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,6,0,0,0,0,4,8,12
SAN JOSE DE CHIQUITOS,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,1,0,0,0,0,0,0,3,1,2,0,7,6,10,6,11,17,0,0,0,0,33,31,64
SAN JUAN DE YAPACANI,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JULIAN,otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,1,0,0,0,0,0,0,0,1,0,3,10,0,0,8,17,5,10,0,0,0,0,18,37,55
SAN LORENZO(PND),otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,2,2,14,17,0,0,0,0,20,28,48
SAN LORENZO(TJA),otras vacunaciones,antiamarilica dosis unica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,5,0,0,0,0,4,7,11
