,group,variable,month,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
BOLIVAR,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
BOYUIBE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
CAJUATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,3,0,3
CALACOTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
CAMARGO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
CAMIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,3,5
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,8,5,13
CARAPARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
CHARAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
CHAYANTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
CHIMORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,4,2,6
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,1,3
CLIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,4,6
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,16,6,22
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,2,2
COPACABANA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
CORIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
COROICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,2,3
COTAGAITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,4,6
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
CULPINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,18,16,34
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,5,2,7
EL VILLAR,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,1,3
FILADELFIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
GUANAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
GUAQUI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,2,2
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,4,0,4
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,5,4,9
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,12,16,28
LLALLAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,3,1,4
MONTEAGUDO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,13,7,20
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,4,3,7
PADILLA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,2,3
PALCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,5,1,6
PAMPA GRANDE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
PATACAMAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
POCONA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
PORONGO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,5,4,9
PUERTO CARABUCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,2,2
PUERTO SUAREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,3,4
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,7,2,9
PUNA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,3,3
REYES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,2,3
RURRENABAQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,1,3
SACABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
SAMAIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
SAN BUENA VENTURA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,3,3,6
SAN LORENZO(TJA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
SAN LUCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
SAN MATIAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
SANTA ANA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,76,65,141
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
SANTIAGO DE HUATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,2,2
SENA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,3,3
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
SOPACHUY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,7,3,10
TAPACARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
TARABUCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
TARATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,5,0,5
TEOPONTE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,4,2,6
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,4,5
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
UMALA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
UYUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
VIACHA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
VILLA CHARCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,2,3
VILLA RIVERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,3,1,4
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,11,5,16
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,9,7,16
YAMPARAEZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,7,1,8
YOTALA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
ZUDAÑEZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,1,3
ACHOCALLA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
AYATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
BERMEJO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
BETANZOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,3,3
BOYUIBE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
CABEZAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,1,2
CAMIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,3,0,3
CAPINOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,3,5
CHALLAPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,15,6,21
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,2,2
COLQUECHACA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
COMBAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
CONCEPCION,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
CORIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
COROICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,3,2,5
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,1,2
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,13,14,27
EL PUENTE(STC),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,4,5
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,4,4,8
FILADELFIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,3,3
GUTIERREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
HUANUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,2,3
HUARINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
INCAHUASI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,1,2
IXIAMAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,3,1,4
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,4,1,5
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,10,7,17
LLALLAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
MAPIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
MECAPACA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
MIZQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,5,8,13
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
OCURI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,3,0,3
PADCAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
PALCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,3,1,4
PAMPA GRANDE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,1,2
POCOATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
PORTACHUELO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,5,1,6
PRESTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
PUERTO PEREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
PUERTO RICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,6,3,9
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,2,3
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,2,4
SACACA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
SAMAIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,2,2
SAN BUENA VENTURA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,3,0,3
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,1,3
SAN IGNACIO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,3,0,3
SAN LORENZO(TJA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
SAN MATIAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,1,2
SANTA ANA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,78,46,124
SANTIVAÑES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,0,2
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
SORATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,9,5,14
TACACOMA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
TAPACARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,2,4
TARVITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
TEOPONTE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,1,2
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,2,3
TIQUIPAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,2,2
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,6,1,7
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
UYUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
VIACHA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,3,0,3
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,2,1,3
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,6,4,10
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,4,1,5
YANACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,3,3,6
ZUDAÑEZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-11-01,1,0,1
ACHOCALLA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
AIQUILE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,1,2
BERMEJO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,1,2
BOYUIBE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
CAJUATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
CALAMARCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
CAMIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,0,2
CAPINOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
CARACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,3,2,5
CARAPARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,1,2
CHALLAPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
CHIMORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,1,2
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,10,11,21
COLOMI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
CONCEPCION,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
COTAGAITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,4,1,5
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,14,12,26
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,5,0,5
GUANAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
HUARINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,0,2
IXIAMAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,5,0,5
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,4,2,6
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,13,8,21
LLALLAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
MIZQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,1,3
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,11,6,17
OMEREQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,5,4,9
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
PALCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
PATACAMAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
POJO (CBBA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
PORONGO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,0,2
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,4,1,5
PUERTO SUAREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,3,7,10
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,2,4
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,5,7
RURRENABAQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,0,2
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,6,3,9
SAIPINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
SAMAIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
SAN BENITO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,1,2
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,3,1,4
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,0,1,1
SAN PEDRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,74,57,131
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
SICAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-12-01,4,5,9
