,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
TACACOMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,1,2
TARATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,6,6
TEOPONTE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,1,2
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,3,1,4
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,1,3
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,10,1,11
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,0,2
UNCIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
VILA VILA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,4,5
VILLAZON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,0,2
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,2,4
VITICHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,0,2
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,10,5,15
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,3,6,9
YAMPARAEZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,0,2
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,6,2,8
YOTALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
AIQUILE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
ALTO BENI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,1,3
AYO AYO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,0,2
BOLIVAR,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
BOYUIBE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
CAJUATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,3,1,4
CALACOTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
CAMARGO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
CAMIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,2,4
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,8,5,13
CHAQUI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
CHARAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
CHAYANTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,4,2,6
CHUA COCANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,4,1,5
CLIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,2,4
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,26,13,39
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,3,4
COPACABANA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,4,0,4
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,1,3
COTAGAITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,4,6
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
CULPINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,29,27,56
EL CHORO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,5,2,7
EL VILLAR,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,2,4
FILADELFIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,0,2
GUAQUI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,2,2
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,5,1,6
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,7,4,11
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,40,39,79
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,3,1,4
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,10,6,16
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,8,5,13
PADILLA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
PAILON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
PALCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,5,2,7
PAMPA GRANDE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
PATACAMAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
POCONA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,0,2
PORCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
PORONGO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
PORTACHUELO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,3,4
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,2,2
PUERTO SUAREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,3,5
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,8,2,10
PUNA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,3,3,6
REYES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,2,3
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,2,2
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,1,3
SACABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
SAMAIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
SAN AGUSTIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,2,3
SAN BUENA VENTURA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
SAN CARLOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,3,3,6
SAN LORENZO(TJA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,1,3
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
SAN PEDRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
SANTA ANA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,91,73,164
SANTA ROSA DEL SARA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
SANTIAGO DE HUATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,2,2
SENA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,3,3
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
SOPACHUY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,8,4,12
TACACOMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
TAPACARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
TARATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,7,1,8
TEOPONTE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,5,2,7
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,2,3
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
UMALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
VILA VILA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,0,3,3
VILLA RIVERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,4,0,4
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,11,7,18
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,9,7,16
YAMPARAEZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,7,1,8
YOTALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,1,2
ZUDAÑEZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,1,3
ACHOCALLA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,2,4
ANTEQUERA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
AYATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
BETANZOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,2,2
BOYUIBE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
CABEZAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
CAMIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,3,1,4
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,0,2
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,4,6
CHALLAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,3,0,3
CHARAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,3,0,3
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,30,16,46
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,2,2
COLQUECHACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
COMARAPA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
COMBAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
CONCEPCION,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,0,2
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,3,2,5
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
CULPINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,22,20,42
EL PUENTE(STC),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,4,5
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,4,4,8
FILADELFIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,3,3
GUTIERREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,2,3
HUARINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
IXIAMAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,3,1,4
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,7,2,9
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,23,16,39
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
MAIRANA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
MECAPACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
MIZQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,7,6,13
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
OCURI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,8,2,10
PADCAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
PAILON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
PALCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
PORCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
PORTACHUELO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,89,19,108
PRESTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
PUERTO PEREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,0,2
PUERTO RICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,6,5,11
PUNATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,3,5
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,2,2
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,2,4
SACACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
SAMAIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,2,2
SAN BUENA VENTURA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,5,0,5
SAN CARLOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,0,2
SAN LORENZO(PND),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
SAN MATIAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
SANTA ANA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,86,49,135
SANTIVAÑES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,2,0,2
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
SORATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,11,7,18
TACACOMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
TAPACARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,5,3,8
TARVITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
TEOPONTE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,2,2
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,3,4
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,7,2,9
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
UNCIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,3,0,3
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,3,1,4
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,1,2
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,5,4,9
YACO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,0,1,1
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,5,1,6
YANACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,2,3
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,5,4,9
ZUDAÑEZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-11-01,1,0,1
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,1,2
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,2,3
BOYUIBE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
CALAMARCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
CAMIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
CAPINOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
CARACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,3,2,5
CARAPARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
CHALLAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,0,2
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,2,2,4
CKOCHAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,4,1,5
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,17,12,29
COLOMI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
COLQUECHACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
COLQUENCHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
CONCEPCION,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,0,1,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-12-01,1,0,1
