,group,variable,month,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
PUCARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,8,2,10
PUERTO CARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,1,5
PUERTO GONZALO MORENO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,11,13
PUERTO RICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,9,6,15
PUERTO VILLARROEL,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,56,46,102
PUNA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,6,5,11
PUNATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,15,17,32
QUIABAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,60,53,113
QUIME,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,0,1,1
RAVELO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,6,0,6
REYES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,2,4
RIBERALTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,40,41,81
ROBORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,9,1,10
RURRENABAQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,12,9,21
SABAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,0,1
SACABA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,36,39,75
SACABAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,5,6
SACACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,5,9
SAIPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,0,2
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,0,2
SAMAIPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,3,1,4
SAN AGUSTIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,0,1
SAN ANDRES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,1,2
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,0,1
SAN BENITO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,5,7
SAN BORJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,23,25,48
SAN BUENA VENTURA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,3,1,4
SAN CARLOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,14,8,22
SAN IGNACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,10,5,15
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,19,6,25
SAN JAVIER(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,5,9
SAN JOAQUIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,1,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,7,11
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,1,3
SAN JULIAN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,42,37,79
SAN LORENZO(PND),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,2,6
SAN LORENZO(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,7,11
SAN LUCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,30,17,47
SAN MATIAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,8,0,8
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,2,6
SAN PEDRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,2,6
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,12,10,22
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,1,2
SAN PEDRO DE TIQUINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,0,2
SAN RAMON SCZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,5,9
SANTA ANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,605,557,1162
SANTA ROSA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,1,2
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,9,3,12
SANTIAGO DE HUARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,0,2
SANTIAGO DE HUATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,2,3
SANTIAGO DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,4,6
SANTUARIO DE QUILLACAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,2,4
SAPAHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,3,5
SENA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,0,2,2
SHINAOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,30,16,46
SICA SICA (VILLA AROMA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,0,1
SICAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,0,2,2
SIPE SIPE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,5,8,13
SOPACHUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,9,8,17
SORACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,5,6,11
SORATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,7,3,10
SUCRE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,177,200,377
TACACOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,3,1,4
TACOBAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,4,6
TACOPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,1,2
TAHUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,0,1
TAPACARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,6,10
TARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,7,9,16
TARACO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,0,1,1
TARATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,5,9
TARIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,74,81,155
TARVITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,5,7
TEOPONTE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,13,9,22
TIAWANACU,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,3,1,4
TINGUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,9,9,18
TIPUANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,24,8,32
TIQUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,21,19,40
TIRAQUE (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,3,5
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,0,2
TOCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,6,2,8
TODOS SANTOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,0,1
TOLATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,3,0,3
TOLEDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,1,5
TOMAVE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,6,5,11
TOMINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,5,2,7
TORO TORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,5,2,7
TOTORA(CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,8,5,13
TOTORA(ORR),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,2,3
TRINIDAD,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,73,18,91
TUPIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,30,19,49
TURCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,0,1,1
UNCIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,13,7,20
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,3,4,7
URUBICHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,2,3
UYUNI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,5,9
VALLEGRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,5,8,13
VIACHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,12,17,29
VILLA CHARCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,8,19,27
VILLA MONTES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,34,27,61
VILLA RIVERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,3,5
VILLA SERRANO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,3,8,11
VILLA TUNARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,45,46,91
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,4,6,10
VILLAZON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,25,17,42
VINTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,15,24,39
VITICHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,3,3,6
WARNES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,52,45,97
YACO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,1,1,2
YACUIBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,119,150,269
YAMPARAEZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,5,13,18
YANACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,1,3
YAPACANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,73,55,128
YOCALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,3,3,6
YOTALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,5,4,9
YUNCHARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,2,2,4
ZUDAÑEZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-10-01,5,3,8
ACACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,1,1
ACHACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,9,8,17
ACHOCALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,9,4,13
AIQUILE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,10,12,22
ALCALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,5,10
ALTO BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,3,8
ANCORAIMES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,6,0,6
ANTEQUERA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
ANZALDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,6,4,10
APOLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,6,4,10
ARAMPAMPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,0,2
ARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,1,1
ARBIETO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,2,5
ARQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,2,9
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,1,8
ATOCHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,2,4
AUCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
AYATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,6,7
AYO AYO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,19,23,42
AZURDUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,1,5
BATALLAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,6,1,7
BELEN DE ANDAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,3,4
BELEN DE URMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
BERMEJO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,17,14,31
BETANZOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,8,4,12
BOYUIBE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,0,4
BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,5,9
CABEZAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,11,9,20
CAIROMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,4,9
CAJUATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,6,8
CALACOTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,0,2
CALAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
CAMARGO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,7,14
CAMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,19,14,33
CAPINOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,8,6,14
CAQUIAVIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,2,7
CARACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,5,6
CARANAVI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,68,48,116
CARAPARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,7,12
CARIPUYO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,2,3
CARMEN RIVERO TORREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,2,3
CATACORA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
CHALLAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,13,10,23
CHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,2,5
CHARAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,9,3,12
CHAYANTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,1,5
CHIMORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,8,9,17
CHIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,1,1
CHOQUE COTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
CHUA COCANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,16,15,31
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,3,6
CKOCHAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,4,5
CLIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,11,14
COBIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,30,15,45
COCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,4,7
COCHABAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,161,107,268
COIPASA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,14,12,26
"COLCHA ""K""",tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,3,5
COLOMI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,5,7
COLPA BELGICA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,7,8
COLQUECHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,12,19
COLQUENCHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,0,2
COLQUIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,4,4
COMARAPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,1,6
COMBAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
CONCEPCION,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,6,10
CORIPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,4,9
CORO CORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,2,3
COROICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,8,87,95
CORQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,5,9
COTAGAITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,9,5,14
COTOCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,29,32,61
CUATRO CAÑADAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,13,20
CUEVO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,3,4
CULPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,12,11,23
DESAGUADERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,1,4
EL ALTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,228,209,437
EL CHORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,4,9
EL PUENTE(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,3,3
EL PUENTE(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,1,4
EL TORNO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,29,29,58
EL VILLAR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,3,5
ENTRE RIOS TRJ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,9,14
ENTRE RIOS CBBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,19,15,34
ESCOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,5,10
FILADELFIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,0,5
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,1,8
GUANAY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,2,7
GUAYARAMERIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,11,11,22
GUTIERREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,2,5
HUACARETA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,4,6
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
HUACHACALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
HUANUNI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,33,11,44
HUARINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,3,4
HUATAJATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
ICLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,2,3
INCAHUASI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,8,13
INGAVI (HUMAITA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
INQUISIVI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,10,8,18
IXIAMAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,0,4
JESUS DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,4,8
LA ASUNTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,32,20,52
LA GUARDIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,35,32,67
LA PAZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,324,262,586
LAGUNILLAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
LAS CARRERAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,3,8
LLALLAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,24,18,42
LLICA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
MACHACAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,0,3
MACHARETI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,4,7
MAGDALENA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
MAIRANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,3,5
MAPIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,14,1,15
MINEROS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,14,16,30
MIZQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,8,13
MOJOCOYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,2,2
MONTEAGUDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,19,22,41
MONTERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,65,56,121
MORO MORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,1,1
MOROCHATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,5,9
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,1,3
OCURI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
OKINAWA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,1,2
OMEREQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,0,2
ORURO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,139,111,250
PADCAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,6,11,17
PADILLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,8,15
PAILON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,9,12,21
PALCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,18,9,27
PAMPA AULLAGAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,3,4
PAMPA GRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,1,3
PATACAMAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,3,7
PAZÑA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,6,5,11
POCOATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,5,7,12
POCONA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,1,1
POJO (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
POOPO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,1,1
PORCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,2,3
POROMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,11,18,29
PORONGO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,6,5,11
PORTACHUELO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,3,10
PORVENIR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,3,2,5
POTOSI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,136,59,195
PRESTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,11,14,25
PUCARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,1,1
PUCARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,4,6,10
PUERTO ACOSTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,0,2
PUERTO CARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,4,6
PUERTO GONZALO MORENO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,2,1,3
PUERTO PEREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,7,14
PUERTO QUIJARRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,11,7,18
PUERTO RICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,26,0,26
PUERTO SUAREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,49,55,104
PUNA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,7,6,13
PUNATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,11,22,33
QUIABAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,39,47,86
QUIME,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-11-01,1,0,1
