,group,variable,month,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ACHACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,39,22,39,22,61
ACHOCALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,13,5,13,18
AIQUILE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,20,14,20,14,34
ALALAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,0,1,0,1
ALCALA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,3,2,3,5
ALTO BENI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,19,2,19,2,21
ANCORAIMES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,9,5,9,5,14
ANDAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,2,3,2,5
ANTEQUERA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,7,1,7,1,8
ANZALDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,0,6,0,6
APOLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,24,5,24,5,29
ARAMPAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,4,1,4,5
ARANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,3,11,3,14
ARBIETO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,14,15,14,15,29
ARQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,10,9,10,9,19
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,44,3,44,3,47
ATOCHA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,22,6,22,6,28
AUCAPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,6,5,6,11
AYATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,4,11,4,15
AYO AYO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,8,4,8,4,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,17,18,17,18,35
AZURDUY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,11,11,11,22
BATALLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,23,5,23,5,28
BAURES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,1,6,1,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,3,2,3,5
BELLA FLOR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,5,4,5,9
BERMEJO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,52,10,52,10,62
BETANZOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,31,14,31,14,45
BOLIVAR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,2,4,2,6
BOLPEBRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,1,1,1,2
BOYUIBE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,1,4,1,5
BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,1,11,1,12
CABEZAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,40,19,40,19,59
CAIROMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,10,4,10,4,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,14,6,14,6,20
CAJUATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,10,0,10,0,10
CALACOTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,9,1,9,10
CALAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,9,8,9,8,17
CAMARGO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,19,4,19,4,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,0,4,0,4
CAMIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,74,3,74,3,77
CAPINOTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,24,2,24,2,26
CAQUIAVIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,3,13,3,16
CARACOLLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,25,10,25,10,35
CARANAVI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,61,13,61,13,74
CARAPARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,22,8,22,8,30
CARIPUYO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,8,11,8,11,19
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,7,12,7,12,19
CHACARILLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,1,2,1,3
CHALLAPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,35,10,35,10,45
CHAQUI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,9,2,9,2,11
CHARAGUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,35,44,35,44,79
CHARAÑA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,14,10,14,10,24
CHIMORE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,42,3,42,3,45
CHIPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,0,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,0,3,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,28,10,28,10,38
CHUMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,8,4,8,4,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,6,13,6,19
CKOCHAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,9,11,9,20
CLIZA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,34,4,34,4,38
COBIJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,120,7,120,7,127
COCAPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,15,22,15,22,37
COCHABAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1159,8,1159,8,1167
COLCAPIRHUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,52,1,52,1,53
"COLCHA ""K""",vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,18,0,18,0,18
COLLANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,0,2,0,2
COLOMI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,31,5,31,5,36
COLPA BELGICA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,9,1,9,1,10
COLQUECHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,27,34,27,34,61
COLQUENCHA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,15,0,15,0,15
COLQUIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,13,13,13,26
COMANCHE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,1,3,1,4
COMARAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,26,6,26,6,32
COMBAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,4,2,4,6
CONCEPCION,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,0,6,0,6
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,10,13,10,23
CORIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,29,0,29,0,29
CORO CORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,2,4,2,6
COROICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,21,5,21,5,26
CORQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,2,4,2,6
COTAGAITA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,14,3,14,3,17
COTOCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,137,12,137,12,149
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,24,1,24,1,25
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,6,4,6,10
CULPINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,17,10,17,10,27
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,3,5,3,8
CURVA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,3,2,3,5
DESAGUADERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,3,6,3,9
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1248,245,1248,245,1493
EL CHORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,2,3,2,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,18,1,18,1,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,6,11,6,17
EL TORNO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,102,6,102,6,108
EL VILLAR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,1,3,1,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,10,13,10,23
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,67,3,67,3,70
ESCOMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,1,2,1,3
EUCALIPTUS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,8,3,8,3,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,16,3,16,3,19
FILADELFIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,8,2,8,2,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,30,0,30,0,30
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,14,4,14,4,18
GUANAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,6,6,6,12
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,2,3,2,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,76,19,76,19,95
GUTIERREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,7,5,7,12
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,3,6,3,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,1,5,1,6
HUANUNI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,43,9,43,9,52
HUARACAJE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,5,5,5,10
HUARINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,1,5,1,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,1,3,1,4
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,7,2,7,9
ICHOCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,2,5,2,7
ICLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,3,5,3,8
INCAHUASI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,9,6,9,15
INQUISIVI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,9,8,9,8,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,19,4,19,4,23
IXIAMAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,18,8,18,8,26
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,19,3,19,3,22
LA ASUNTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,66,13,66,13,79
LA GUARDIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,157,6,157,6,163
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1013,43,1013,43,1056
LAGUNILLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,10,1,10,1,11
LAJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,18,7,18,7,25
LAS CARRERAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,2,4,2,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,2,5,2,7
LLALLAGUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,46,45,46,45,91
LLICA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,2,2,2,4
LORETO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,5,4,5,9
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,7,6,7,13
MACHACAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,0,6,0,6
MACHARETI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,10,2,10,2,12
MAGDALENA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,36,5,36,5,41
MAIRANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,9,0,9,0,9
MALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,2,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,24,1,24,1,25
MECAPACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,10,6,10,6,16
MINEROS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,35,10,35,10,45
MIZQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,43,4,43,4,47
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,9,11,9,11,20
MOJOCOYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,7,3,7,3,10
MONTEAGUDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,46,2,46,2,48
MONTERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,119,3,119,3,122
MORO MORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,0,1,0,1
MOROCHATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,14,6,14,20
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,0,1,0,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,4,4,4,8
OCURI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,11,6,11,17
OKINAWA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,22,5,22,5,27
OMEREQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,3,1,3,4
ORURO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,579,7,579,7,586
PADCAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,25,2,25,2,27
PADILLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,0,6,0,6
PAILON,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,53,0,53,0,53
PALCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,14,3,14,3,17
PALOS BLANCOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,41,9,41,9,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,8,2,8,2,10
PAMPA GRANDE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,0,13,0,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,3,4,3,7
PASORAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,0,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,28,6,28,6,34
PAZÑA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,2,6,2,8
PELECHUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,7,0,7,0,7
POCOATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,28,13,28,41
POCONA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,10,7,10,7,17
POJO (CBBA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,16,3,16,3,19
POOPO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,9,2,9,2,11
PORCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,26,3,26,3,29
POROMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,7,16,7,16,23
PORONGO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,12,13,12,25
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,34,2,34,2,36
PORVENIR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,9,2,9,2,11
POSTRER VALLE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,2,5,2,7
POTOSI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,396,23,396,23,419
PRESTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,6,5,6,11
PUCARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,0,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,29,17,29,17,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,8,9,8,9,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,13,6,13,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,6,6,6,12
PUERTO PEREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,1,2,1,3
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,22,6,22,6,28
PUERTO RICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,10,4,10,4,14
PUERTO SILES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,0,4,0,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,41,2,41,2,43
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,108,4,108,4,112
PUNA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,12,13,12,25
PUNATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,33,2,33,2,35
QUIABAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,0,6,0,6
QUILLACOLLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,153,77,153,77,230
QUIME,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,0,6,0,6
RAVELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,15,6,15,21
REYES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,34,3,34,3,37
RIBERALTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,244,9,244,9,253
ROBORE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,0,13,0,13
RURRENABAQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,25,5,25,5,30
SABAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,0,3,0,3
SACABA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,234,10,234,10,244
SACABAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,5,0,5,0,5
SACACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,21,11,21,11,32
SAIPINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,20,1,20,1,21
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,12,9,12,9,21
SAMAIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,22,0,22,0,22
SAN AGUSTIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,2,1,2,3
SAN ANDRES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,3,11,3,14
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,1,3,1,4
SAN BENITO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,19,11,19,11,30
SAN BORJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,107,15,107,15,122
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,12,5,12,5,17
SAN CARLOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,42,2,42,2,44
SAN IGNACIO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,44,4,44,4,48
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,85,17,85,17,102
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,0,9,0,9,9
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,19,0,19,0,19
SAN JOAQUIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,12,0,12,0,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,28,21,28,21,49
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,9,11,9,20
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,47,16,47,16,63
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,7,1,7,8
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,38,5,38,5,43
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,26,20,26,20,46
SAN MATIAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,16,2,16,2,18
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,4,11,4,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,0,3,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,27,2,27,2,29
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,37,28,37,28,65
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,3,1,3,1,4
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,1,2,1,2,3
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,0,4,0,4,4
SAN RAFAEL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,8,0,8,0,8
SAN RAMON BENI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,4,4,4,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,11,0,11,0,11
SANTA ANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,48,2,48,2,50
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2148,39,2148,39,2187
SANTA ROSA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,20,2,20,2,22
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,22,1,22,1,23
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,2,3,2,3,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,7,4,7,11
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,4,6,4,6,10
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,6,1,6,1,7
SANTIVAÑES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-11-01,13,1,13,1,14
