,group,variable,month,TOTAL 17.1 BCG CANTIDAD,TOTAL 17.1 BCG CANTIDAD,TOTALES,TOTALES,TOTALES
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,17,2,17,19
CATACORA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,1,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,1,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,68,16,68,16,84
CHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,7,4,7,11
CHARAGUA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,25,65,25,65,90
CHARAÑA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,18,25,18,25,43
CHIMORE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,21,2,21,2,23
CHIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,2,2,2,4
CHOQUE COTA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,0,1,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,2,3,2,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      bcg,2014-10-01,32,3,32,3,35
CHUMA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,5,1,5,1,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,12,6,12,18
CKOCHAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,22,1,22,23
CLIZA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,32,9,32,9,41
COBIJA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,153,0,153,0,153
COCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,17,16,17,16,33
COCHABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1729,6,1729,6,1735
COIPASA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,0,3,0,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,62,0,62,0,62
"COLCHA ""K""",vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,2,9,2,11
COLLANA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,4,1,4,5
COLOMI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,21,12,21,12,33
COLQUECHACA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,23,39,23,39,62
COLQUENCHA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,14,4,14,18
COLQUIRI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,22,0,22,22
COMANCHE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,4,2,4,6
COMARAPA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,35,1,35,1,36
COMBAYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,3,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,      bcg,2014-10-01,34,7,34,7,41
COPACABANA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,5,9,5,14
CORIPATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,26,7,26,7,33
CORO CORO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,2,0,2,2
COROICO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,11,8,11,8,19
CORQUE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,5,2,5,7
COTAGAITA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,10,4,10,14
COTOCA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,97,10,97,10,107
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,32,4,32,4,36
CUEVO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,5,4,5,4,9
CULPINA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,21,13,21,13,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,1,3,1,4
DESAGUADERO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,5,4,5,9
EL ALTO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1389,146,1389,146,1535
EL CHORO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,2,3,2,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,      bcg,2014-10-01,10,0,10,0,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,12,2,12,14
EL TORNO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,93,1,93,1,94
EL VILLAR,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,0,4,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      bcg,2014-10-01,35,4,35,4,39
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,32,0,32,0,32
ESCOMA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,11,1,11,1,12
EUCALIPTUS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,7,1,7,1,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,1,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,19,7,19,7,26
FILADELFIA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,1,0,1,1
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,15,1,15,1,16
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,7,6,7,13
GUANAY,vacunaciones en menores de 1 ano,      bcg,2014-10-01,12,2,12,2,14
GUAQUI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,3,4,3,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,      bcg,2014-10-01,132,4,132,4,136
GUTIERREZ,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,6,4,6,10
HUACARETA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,5,2,5,2,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,1,1,1,2
HUANUNI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,36,4,36,4,40
HUARACAJE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,1,4,1,5
HUARINA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,4,3,4,7
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,2,0,2,2
HUMANATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,4,0,4,4
ICHOCA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,3,1,3,4
ICLA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,7,3,7,3,10
INCAHUASI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,4,9,4,13
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,0,1,0,1
INQUISIVI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,12,6,12,6,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,14,6,14,6,20
IXIAMAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,8,3,8,3,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,10,6,10,6,16
LA ASUNTA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,96,10,96,10,106
LA GUARDIA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,127,10,127,10,137
LA PAZ,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1949,29,1949,29,1978
LAGUNILLAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,2,6,2,8
LAJA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,15,6,15,6,21
LAS CARRERAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,7,3,7,10
LICOMA PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,1,0,1,1
LLALLAGUA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,31,71,31,71,102
LLICA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,5,5,5,5,10
LORETO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,10,0,10,10
LURIBAY,vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,4,9,4,13
MACHACAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,1,3,1,4
MACHARETI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,7,1,7,1,8
MAGDALENA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,17,6,17,6,23
MAIRANA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,28,0,28,0,28
MALLA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,2,0,2,2
MAPIRI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,27,0,27,0,27
MECAPACA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,8,6,8,6,14
MINEROS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,30,0,30,0,30
MIZQUE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,30,22,30,22,52
MOCOMOCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,7,12,7,12,19
MOJINETE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,3,1,3,4
MOJOCOYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,9,0,9,9
MONTEAGUDO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,47,0,47,0,47
MONTERO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,245,2,245,2,247
MORO MORO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,0,2,0,2
MOROCHATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,4,4,4,8
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,4,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,1,3,1,4
OCURI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,7,13,7,13,20
OKINAWA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,8,0,8,0,8
OMEREQUE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,0,4,0,4
ORURO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,774,13,774,13,787
PADCAYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,13,4,13,4,17
PADILLA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,26,1,26,1,27
PAILON,vacunaciones en menores de 1 ano,      bcg,2014-10-01,103,0,103,0,103
PALCA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,12,10,12,10,22
PALOS BLANCOS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,32,10,32,10,42
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,7,1,7,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,13,1,13,1,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,1,3,1,4
PASORAPA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,2,1,2,3
PATACAMAYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,47,2,47,2,49
PAZÑA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,1,1,1,2
PELECHUCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,5,6,5,11
POCOATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,41,4,41,45
POCONA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,7,6,7,13
POJO (CBBA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,27,4,27,4,31
POOPO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,3,2,3,5
PORCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,15,2,15,2,17
POROMA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,8,9,8,17
PORONGO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,2,2,2,4
PORTACHUELO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,42,0,42,0,42
PORVENIR,vacunaciones en menores de 1 ano,      bcg,2014-10-01,7,2,7,2,9
POTOSI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,327,18,327,18,345
PRESTO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,15,2,15,17
PUCARANI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,18,28,18,28,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,15,1,15,16
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,14,1,14,15
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,3,3,3,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,3,1,3,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,39,0,39,0,39
PUERTO RICO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,7,9,7,16
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      bcg,2014-10-01,122,7,122,7,129
PUNA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,11,12,11,12,23
PUNATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,68,0,68,0,68
QUILLACOLLO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,230,25,230,25,255
QUIME,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,18,6,18,24
QUIRUSILLAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,10,9,10,9,19
REYES,vacunaciones en menores de 1 ano,      bcg,2014-10-01,24,29,24,29,53
RIBERALTA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,276,0,276,0,276
ROBORE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,31,0,31,0,31
RURRENABAQUE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,44,0,44,0,44
SABAYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,3,3,3,6
SACABA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,243,3,243,3,246
SACABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,2,2,2,4
SACACA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,29,13,29,13,42
SAIPINA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,5,1,5,1,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,7,7,7,7,14
SAMAIPATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,12,0,12,0,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,      bcg,2014-10-01,5,1,5,1,6
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,1,1,1,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,2,2,2,4
SAN BENITO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,5,4,5,9
SAN BORJA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,62,7,62,7,69
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,11,6,11,17
SAN CARLOS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,40,6,40,6,46
SAN IGNACIO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,28,13,28,13,41
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,119,14,119,14,133
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,4,1,4,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      bcg,2014-10-01,37,1,37,1,38
SAN JOAQUIN,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,86,0,86,0,86
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,1,4,1,5
SAN JULIAN,vacunaciones en menores de 1 ano,      bcg,2014-10-01,73,4,73,4,77
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      bcg,2014-10-01,5,8,5,8,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,8,2,8,2,10
SAN LUCAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,33,25,33,25,58
SAN MATIAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,11,0,11,0,11
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,0,4,0,4
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,1,2,1,3
SAN PEDRO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,12,0,12,0,12
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,50,18,50,18,68
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,2,1,2,3
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,1,2,1,3
SAN RAFAEL,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,0,3,0,3
SAN RAMON BENI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,8,0,8,0,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      bcg,2014-10-01,18,0,18,0,18
SANTA ANA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,38,4,38,4,42
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2823,104,2823,104,2927
SANTA ROSA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,8,2,8,2,10
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,12,6,12,6,18
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,4,1,4,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,5,2,5,7
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,2,2,2,4
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,1,6,1,7
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,9,4,9,13
SAPAHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,9,1,9,10
SENA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,4,4,4,8
SHINAOTA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,32,2,32,2,34
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,21,11,21,11,32
SICAYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,5,5,5,5,10
SIPE SIPE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,64,0,64,0,64
SOPACHUY,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,7,4,7,11
SORACACHI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,2,4,2,6
SORATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,5,14,5,14,19
SUCRE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,693,1,693,1,694
TACACOMA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,3,2,3,5
TACOBAMBA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,4,1,4,5
TACOPAYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,4,9,4,13
TAHUA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,1,1,1,2
TAPACARI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,31,13,31,13,44
TARABUCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,12,5,12,5,17
TARACO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,2,1,2,3
TARATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,10,3,10,3,13
TARIJA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,461,0,461,0,461
TARVITA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,10,6,10,6,16
TEOPONTE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,12,3,12,3,15
TIAWANACU,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,2,3,2,5
TINGUIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,14,9,14,23
TIPUANI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,17,1,17,1,18
TIQUIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,111,18,111,18,129
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,24,12,24,12,36
TOCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,1,3,1,4
TOLATA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,1,2,1,3
TOLEDO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,2,4,2,6
TOMAVE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,9,6,9,15
TOMINA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,4,3,4,7
TORO TORO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,3,9,3,9,12
TOTORA(CBBA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,24,8,24,8,32
TOTORA(ORR),vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,1,1,1,2
TRINIDAD,vacunaciones en menores de 1 ano,      bcg,2014-10-01,299,1,299,1,300
TUPIZA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,66,4,66,4,70
TURCO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,2,0,2,2
UMALA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,7,1,7,8
UNCIA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,32,21,32,21,53
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,1,6,1,7
URUBICHA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,12,0,12,0,12
UYUNI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,37,17,37,17,54
VACAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,6,0,6,6
VALLEGRANDE,vacunaciones en menores de 1 ano,      bcg,2014-10-01,28,1,28,1,29
VIACHA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,76,2,76,2,78
VILA VILA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,7,2,7,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,      bcg,2014-10-01,10,20,10,20,30
VILLA MONTES,vacunaciones en menores de 1 ano,      bcg,2014-10-01,106,1,106,1,107
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,1,1,1,1,2
VILLA RIVERO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,7,9,7,9,16
VILLA SERRANO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,8,4,8,4,12
VILLA TUNARI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,152,19,152,19,171
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,4,2,4,6
VILLAZON,vacunaciones en menores de 1 ano,      bcg,2014-10-01,67,2,67,2,69
VINTO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,94,4,94,4,98
VITICHI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,0,9,0,9
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,1,0,1,1
WARNES,vacunaciones en menores de 1 ano,      bcg,2014-10-01,172,2,172,2,174
YACO,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,11,4,11,15
YACUIBA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,176,0,176,0,176
YAMPARAEZ,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,1,6,1,7
YANACACHI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,2,1,2,1,3
YAPACANI,vacunaciones en menores de 1 ano,      bcg,2014-10-01,108,3,108,3,111
YOCALLA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,6,5,6,5,11
YOTALA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,4,0,4,0,4
YUNCHARA,vacunaciones en menores de 1 ano,      bcg,2014-10-01,0,6,0,6,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,      bcg,2014-10-01,9,3,9,3,12
ACACIO,vacunaciones en menores de 1 ano,      bcg,2014-11-01,4,4,4,4,8
ACHACACHI,vacunaciones en menores de 1 ano,      bcg,2014-11-01,37,22,37,22,59
ACHOCALLA,vacunaciones en menores de 1 ano,      bcg,2014-11-01,9,8,9,8,17
AIQUILE,vacunaciones en menores de 1 ano,      bcg,2014-11-01,50,8,50,8,58
ALALAY,vacunaciones en menores de 1 ano,      bcg,2014-11-01,1,0,1,0,1
ALCALA,vacunaciones en menores de 1 ano,      bcg,2014-11-01,5,0,5,0,5
ALTO BENI,vacunaciones en menores de 1 ano,      bcg,2014-11-01,10,4,10,4,14
ANCORAIMES,vacunaciones en menores de 1 ano,      bcg,2014-11-01,6,4,6,4,10
ANDAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-11-01,1,2,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,      bcg,2014-11-01,1,3,1,3,4
ANZALDO,vacunaciones en menores de 1 ano,      bcg,2014-11-01,6,5,6,5,11
APOLO,vacunaciones en menores de 1 ano,      bcg,2014-11-01,21,1,21,1,22
ARAMPAMPA,vacunaciones en menores de 1 ano,      bcg,2014-11-01,1,6,1,6,7
ARANI,vacunaciones en menores de 1 ano,      bcg,2014-11-01,26,0,26,0,26
ARBIETO,vacunaciones en menores de 1 ano,      bcg,2014-11-01,9,14,9,14,23
ARQUE,vacunaciones en menores de 1 ano,      bcg,2014-11-01,9,9,9,9,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      bcg,2014-11-01,68,0,68,0,68
ATOCHA,vacunaciones en menores de 1 ano,      bcg,2014-11-01,6,2,6,2,8
AUCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-11-01,0,4,0,4,4
AYATA,vacunaciones en menores de 1 ano,      bcg,2014-11-01,6,2,6,2,8
AYO AYO,vacunaciones en menores de 1 ano,      bcg,2014-11-01,5,18,5,18,23
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      bcg,2014-11-01,27,19,27,19,46
AZURDUY,vacunaciones en menores de 1 ano,      bcg,2014-11-01,5,1,5,1,6
BATALLAS,vacunaciones en menores de 1 ano,      bcg,2014-11-01,11,11,11,11,22
BAURES,vacunaciones en menores de 1 ano,      bcg,2014-11-01,4,1,4,1,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-11-01,1,2,1,2,3
