,group,variable,month,TOTAL 17.3 PENTAVALENTE 2DA. DOSIS CANTIDAD,TOTAL 17.3 PENTAVALENTE 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
BOLIVAR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,2,4,2,6
BOLPEBRA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,2,1,2,3
BOYUIBE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,1,4,1,5
BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,10,3,10,3,13
CABEZAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,34,25,34,25,59
CAIROMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,11,4,11,4,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,14,5,14,5,19
CAJUATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,10,1,10,1,11
CALACOTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,9,2,9,11
CALAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,8,7,8,15
CAMARGO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,16,3,16,3,19
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,0,4,0,4
CAMIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,60,3,60,3,63
CAPINOTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,25,2,25,2,27
CAQUIAVIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,11,5,11,5,16
CARACOLLO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,26,10,26,10,36
CARANAVI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,61,17,61,17,78
CARAPARI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,26,8,26,8,34
CARIPUYO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,11,8,11,19
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,13,7,13,20
CHACARILLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,1,2,1,3
CHALLAPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,33,10,33,10,43
CHAQUI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,9,2,9,2,11
CHARAGUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,34,56,34,56,90
CHAYANTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,12,10,12,10,22
CHIMORE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,39,3,39,3,42
CHIPAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,0,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,3,0,3,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,30,11,30,11,41
CHUMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,4,8,4,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,6,13,6,19
CKOCHAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,9,13,9,22
CLIZA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,31,3,31,3,34
COBIJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,116,9,116,9,125
COCAPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,15,20,15,20,35
COCHABAMBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1144,2,1144,2,1146
COLCAPIRHUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,55,2,55,2,57
"COLCHA ""K""",vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,20,1,20,1,21
COLLANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,0,2,0,2
COLOMI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,33,7,33,7,40
COLPA BELGICA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,1,8,1,9
COLQUECHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,23,44,23,44,67
COLQUENCHA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,15,0,15,0,15
COLQUIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,16,13,16,29
COMANCHE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,1,2,1,3
COMARAPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,29,5,29,5,34
COMBAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,4,2,4,6
CONCEPCION,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,10,2,10,2,12
COPACABANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,9,13,9,22
CORIPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,27,0,27,0,27
CORO CORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,2,7,2,9
COROICO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,21,5,21,5,26
CORQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,3,2,3,2,5
COTAGAITA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,14,3,14,3,17
COTOCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,127,7,127,7,134
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,51,3,51,3,54
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,6,4,6,10
CULPINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,19,10,19,10,29
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,3,4,3,7
CURVA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,3,4,3,7
DESAGUADERO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,0,8,0,8
EL ALTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1235,254,1235,254,1489
EL CHORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,2,2,2,4
EL PUENTE(STC),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,18,2,18,2,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,12,6,12,6,18
EL TORNO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,105,4,105,4,109
EL VILLAR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,3,1,3,1,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,10,13,10,23
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,80,4,80,4,84
ESCOMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,1,1,1,2
EUCALIPTUS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,3,8,3,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,0,2,0,2,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,23,2,23,2,25
FILADELFIA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,0,8,0,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,21,0,21,0,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,11,5,11,5,16
GUANAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,6,6,6,12
GUAQUI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,3,2,3,2,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,78,18,78,18,96
GUTIERREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,9,5,9,14
HUACARETA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,3,6,3,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,1,8,1,9
HUANUNI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,39,7,39,7,46
HUARACAJE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,4,2,4,6
HUARINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,1,5,1,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,1,4,1,5
HUMANATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,7,2,7,9
ICHOCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,1,4,1,5
ICLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,3,6,3,9
INCAHUASI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,8,6,8,14
INQUISIVI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,10,8,10,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,18,5,18,5,23
IXIAMAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,20,8,20,8,28
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,16,6,16,6,22
LA ASUNTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,70,18,70,18,88
LA GUARDIA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,137,3,137,3,140
LA PAZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,964,39,964,39,1003
LAGUNILLAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,1,8,1,9
LAJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,17,7,17,7,24
LAS CARRERAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,2,4,2,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,2,5,2,7
LLALLAGUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,46,44,46,44,90
LLICA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,3,2,3,2,5
LORETO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,3,6,3,9
LURIBAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,7,8,7,15
MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,0,7,0,7
MACHARETI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,12,2,12,2,14
MAGDALENA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,32,6,32,6,38
MAIRANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,19,1,19,1,20
MALLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,2,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,23,0,23,0,23
MECAPACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,12,6,12,6,18
MINEROS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,32,9,32,9,41
MIZQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,42,4,42,4,46
MOCOMOCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,9,10,9,10,19
MOJOCOYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,3,7,3,10
MONTEAGUDO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,44,2,44,2,46
MONTERO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,188,4,188,4,192
MORO MORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,0,1,0,1
MOROCHATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,14,6,14,20
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,0,1,0,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,3,5,3,8
OCURI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,12,7,12,19
OKINAWA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,21,5,21,5,26
OMEREQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,3,1,3,4
ORURO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,529,7,529,7,536
PADCAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,22,1,22,1,23
PADILLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,0,6,0,6
PAILON,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,73,0,73,0,73
PALCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,12,4,12,4,16
PALOS BLANCOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,39,8,39,8,47
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,2,8,2,10
PAMPA GRANDE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,15,0,15,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,3,4,3,7
PASORAPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,0,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,27,5,27,5,32
PAZÑA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,2,6,2,8
PELECHUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,9,0,9,0,9
POCOATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,26,13,26,39
POCONA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,10,7,10,7,17
POJO (CBBA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,15,4,15,4,19
POOPO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,9,2,9,2,11
PORCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,25,3,25,3,28
POROMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,19,7,19,26
PORONGO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,14,10,14,10,24
PORTACHUELO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,39,2,39,2,41
PORVENIR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,9,2,9,2,11
POSTRER VALLE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,2,5,2,7
POTOSI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,401,23,401,23,424
PRESTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,6,5,6,11
PUCARA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,0,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,29,16,29,16,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,8,9,8,9,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,13,5,13,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,7,6,7,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,0,2,0,2
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,22,6,22,6,28
PUERTO RICO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,24,5,24,5,29
PUERTO SILES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,0,6,0,6
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,41,2,41,2,43
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,113,4,113,4,117
PUNA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,8,13,8,21
PUNATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,31,2,31,2,33
QUIABAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,1,4,1,5
QUILLACOLLO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,165,76,165,76,241
QUIME,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,0,6,0,6
RAVELO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,13,5,13,18
REYES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,27,3,27,3,30
RIBERALTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,221,18,221,18,239
ROBORE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,18,0,18,0,18
RURRENABAQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,36,5,36,5,41
SABAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,0,2,0,2
SACABA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,227,12,227,12,239
SACABAMBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,0,6,0,6
SACACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,21,12,21,12,33
SAIPINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,15,2,15,2,17
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,11,10,11,10,21
SAMAIPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,19,0,19,0,19
SAN AGUSTIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,2,1,2,3
SAN ANDRES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,11,4,11,4,15
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,3,1,3,1,4
SAN BENITO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,19,11,19,11,30
SAN BORJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,106,16,106,16,122
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,16,6,16,6,22
SAN CARLOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,28,2,28,2,30
SAN IGNACIO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,45,2,45,2,47
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,94,15,94,15,109
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,0,11,0,11,11
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,23,0,23,0,23
SAN JOAQUIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,12,0,12,0,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,26,30,26,30,56
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,12,5,12,5,17
SAN JULIAN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,66,23,66,23,89
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,6,6,6,12
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,34,3,34,3,37
SAN LUCAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,26,19,26,19,45
SAN MATIAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,15,2,15,2,17
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,11,4,11,4,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,3,0,3,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,23,2,23,2,25
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,34,32,34,32,66
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,1,6,1,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,4,1,4,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,0,4,0,4,4
SAN RAFAEL,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,9,0,9,0,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,3,4,3,7
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,15,0,15,0,15
SANTA ANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,40,2,40,2,42
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2254,49,2254,49,2303
SANTA ROSA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,17,2,17,2,19
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,22,2,22,2,24
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,5,1,5,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,6,4,6,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,6,4,6,10
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,2,6,2,8
SANTIVAÑES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,1,13,1,14
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,5,1,5,6
SAPAHAQUI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,2,7,2,9
SENA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,10,2,10,2,12
SHINAOTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,46,13,46,13,59
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,23,15,23,15,38
SICAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,6,0,6,0,6
SIPE SIPE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,85,2,85,2,87
SOPACHUY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,12,3,12,3,15
SORACACHI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,4,13,4,17
SORATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,15,13,15,28
SUCRE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,537,3,537,3,540
TACACHI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,1,0,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,3,4,3,7
TACOBAMBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,5,9,5,9,14
TACOPAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,6,4,6,10
TAHUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,4,0,4,0,4
TAPACARI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,28,14,28,14,42
TARABUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,14,7,14,21
TARACO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,2,0,2,0,2
TARATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,13,3,13,3,16
TARIJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,387,10,387,10,397
TARVITA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,7,7,7,7,14
TEOPONTE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,21,0,21,0,21
TIAWANACU,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,14,1,14,1,15
TINGUIPAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,29,11,29,11,40
TIPUANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-11-01,14,3,14,3,17
