,group,variable,month,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
PAILON,vih,       n de personas con prueba rapida,2014-07-01,7,35,42
PAMPA GRANDE,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
PATACAMAYA,vih,       n de personas con prueba rapida,2014-07-01,11,20,31
PAZÑA,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
POCOATA,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
POCONA,vih,       n de personas con prueba rapida,2014-07-01,1,4,5
POJO (CBBA),vih,       n de personas con prueba rapida,2014-07-01,1,8,9
POROMA,vih,       n de personas con prueba rapida,2014-07-01,1,21,22
PORVENIR,vih,       n de personas con prueba rapida,2014-07-01,30,5,35
POTOSI,vih,       n de personas con prueba rapida,2014-07-01,53,75,128
PRESTO,vih,       n de personas con prueba rapida,2014-07-01,6,5,11
PUCARANI,vih,       n de personas con prueba rapida,2014-07-01,0,7,7
PUERTO GONZALO MORENO,vih,       n de personas con prueba rapida,2014-07-01,25,25,50
PUERTO QUIJARRO,vih,       n de personas con prueba rapida,2014-07-01,8,4,12
PUERTO RICO,vih,       n de personas con prueba rapida,2014-07-01,0,25,25
PUERTO SUAREZ,vih,       n de personas con prueba rapida,2014-07-01,5,42,47
PUERTO VILLARROEL,vih,       n de personas con prueba rapida,2014-07-01,32,63,95
PUNATA,vih,       n de personas con prueba rapida,2014-07-01,7,180,187
QUIME,vih,       n de personas con prueba rapida,2014-07-01,1,6,7
QUIRUSILLAS,vih,       n de personas con prueba rapida,2014-07-01,0,4,4
RAVELO,vih,       n de personas con prueba rapida,2014-07-01,0,29,29
REYES,vih,       n de personas con prueba rapida,2014-07-01,0,10,10
RIBERALTA,vih,       n de personas con prueba rapida,2014-07-01,4,37,41
ROBORE,vih,       n de personas con prueba rapida,2014-07-01,1,5,6
RURRENABAQUE,vih,       n de personas con prueba rapida,2014-07-01,29,100,129
SABAYA,vih,       n de personas con prueba rapida,2014-07-01,11,4,15
SACABA,vih,       n de personas con prueba rapida,2014-07-01,23,147,170
SACACA,vih,       n de personas con prueba rapida,2014-07-01,0,2,2
SAIPINA,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
SAN ANTONIO DE LOMERIO,vih,       n de personas con prueba rapida,2014-07-01,1,2,3
SAN BORJA,vih,       n de personas con prueba rapida,2014-07-01,1,1,2
SAN BUENA VENTURA,vih,       n de personas con prueba rapida,2014-07-01,0,6,6
SAN CARLOS,vih,       n de personas con prueba rapida,2014-07-01,1,100,101
SAN IGNACIO,vih,       n de personas con prueba rapida,2014-07-01,1,20,21
SAN IGNACIO DE VELASCO,vih,       n de personas con prueba rapida,2014-07-01,19,26,45
SAN JAVIER(BNI),vih,       n de personas con prueba rapida,2014-07-01,0,1,1
SAN JAVIER(STC),vih,       n de personas con prueba rapida,2014-07-01,2,40,42
SAN JOSE DE CHIQUITOS,vih,       n de personas con prueba rapida,2014-07-01,4,24,28
SAN JUAN DE YAPACANI,vih,       n de personas con prueba rapida,2014-07-01,2,1,3
SAN JULIAN,vih,       n de personas con prueba rapida,2014-07-01,5,21,26
SAN LORENZO(PND),vih,       n de personas con prueba rapida,2014-07-01,0,6,6
SAN LORENZO(TJA),vih,       n de personas con prueba rapida,2014-07-01,1,0,1
SAN LUCAS,vih,       n de personas con prueba rapida,2014-07-01,1,27,28
SAN MATIAS,vih,       n de personas con prueba rapida,2014-07-01,1,37,38
SAN PEDRO,vih,       n de personas con prueba rapida,2014-07-01,4,12,16
SAN PEDRO DE BUENA VISTA,vih,       n de personas con prueba rapida,2014-07-01,8,2,10
SAN RAFAEL,vih,       n de personas con prueba rapida,2014-07-01,3,0,3
SAN RAMON BENI,vih,       n de personas con prueba rapida,2014-07-01,1,0,1
SAN RAMON SCZ,vih,       n de personas con prueba rapida,2014-07-01,1,2,3
SANTA ANA,vih,       n de personas con prueba rapida,2014-07-01,19,18,37
SANTA CRUZ DE LA SIERRA,vih,       n de personas con prueba rapida,2014-07-01,301,2367,2668
SANTA ROSA DEL SARA,vih,       n de personas con prueba rapida,2014-07-01,1,1,2
SANTIVAÑES,vih,       n de personas con prueba rapida,2014-07-01,0,6,6
SENA,vih,       n de personas con prueba rapida,2014-07-01,1,32,33
SHINAOTA,vih,       n de personas con prueba rapida,2014-07-01,19,27,46
SICAYA,vih,       n de personas con prueba rapida,2014-07-01,0,2,2
SIPE SIPE,vih,       n de personas con prueba rapida,2014-07-01,3,39,42
SOPACHUY,vih,       n de personas con prueba rapida,2014-07-01,10,66,76
SORACACHI,vih,       n de personas con prueba rapida,2014-07-01,3,4,7
SORATA,vih,       n de personas con prueba rapida,2014-07-01,0,4,4
SUCRE,vih,       n de personas con prueba rapida,2014-07-01,113,86,199
TAPACARI,vih,       n de personas con prueba rapida,2014-07-01,2,11,13
TARABUCO,vih,       n de personas con prueba rapida,2014-07-01,0,31,31
TARATA,vih,       n de personas con prueba rapida,2014-07-01,2,32,34
TARIJA,vih,       n de personas con prueba rapida,2014-07-01,48,139,187
TARVITA,vih,       n de personas con prueba rapida,2014-07-01,3,5,8
TEOPONTE,vih,       n de personas con prueba rapida,2014-07-01,5,9,14
TIAWANACU,vih,       n de personas con prueba rapida,2014-07-01,0,7,7
TIPUANI,vih,       n de personas con prueba rapida,2014-07-01,2,1,3
TIQUIPAYA,vih,       n de personas con prueba rapida,2014-07-01,9,39,48
TOCO,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
TOLATA,vih,       n de personas con prueba rapida,2014-07-01,1,15,16
TOLEDO,vih,       n de personas con prueba rapida,2014-07-01,3,11,14
TOMINA,vih,       n de personas con prueba rapida,2014-07-01,1,0,1
TOTORA(CBBA),vih,       n de personas con prueba rapida,2014-07-01,8,65,73
TRINIDAD,vih,       n de personas con prueba rapida,2014-07-01,74,125,199
TUPIZA,vih,       n de personas con prueba rapida,2014-07-01,1,25,26
UNCIA,vih,       n de personas con prueba rapida,2014-07-01,0,17,17
UYUNI,vih,       n de personas con prueba rapida,2014-07-01,1,19,20
VALLEGRANDE,vih,       n de personas con prueba rapida,2014-07-01,1,53,54
VIACHA,vih,       n de personas con prueba rapida,2014-07-01,10,9,19
VILLA CHARCAS,vih,       n de personas con prueba rapida,2014-07-01,0,42,42
VILLA MONTES,vih,       n de personas con prueba rapida,2014-07-01,25,36,61
VILLA NUEVA (LOMA ALTA),vih,       n de personas con prueba rapida,2014-07-01,0,1,1
VILLA RIVERO,vih,       n de personas con prueba rapida,2014-07-01,0,8,8
VILLA SERRANO,vih,       n de personas con prueba rapida,2014-07-01,0,22,22
VILLA TUNARI,vih,       n de personas con prueba rapida,2014-07-01,31,82,113
VILLA VACA GUZMAN (MUYUPAMPA),vih,       n de personas con prueba rapida,2014-07-01,12,24,36
VILLAZON,vih,       n de personas con prueba rapida,2014-07-01,13,43,56
VINTO,vih,       n de personas con prueba rapida,2014-07-01,0,68,68
WARNES,vih,       n de personas con prueba rapida,2014-07-01,7,14,21
YACUIBA,vih,       n de personas con prueba rapida,2014-07-01,34,94,128
YAPACANI,vih,       n de personas con prueba rapida,2014-07-01,9,28,37
YOTALA,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
YUNCHARA,vih,       n de personas con prueba rapida,2014-07-01,14,31,45
ZUDAÑEZ,vih,       n de personas con prueba rapida,2014-07-01,6,3,9
ACHACACHI,vih,       n de personas con prueba rapida,2014-08-01,1,6,7
AIQUILE,vih,       n de personas con prueba rapida,2014-08-01,6,10,16
ALCALA,vih,       n de personas con prueba rapida,2014-08-01,22,7,29
ANCORAIMES,vih,       n de personas con prueba rapida,2014-08-01,2,1,3
APOLO,vih,       n de personas con prueba rapida,2014-08-01,1,17,18
ARANI,vih,       n de personas con prueba rapida,2014-08-01,1,29,30
ARBIETO,vih,       n de personas con prueba rapida,2014-08-01,2,13,15
ARQUE,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
ASCENCION DE GUARAYOS,vih,       n de personas con prueba rapida,2014-08-01,30,75,105
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de personas con prueba rapida,2014-08-01,2,11,13
AZURDUY,vih,       n de personas con prueba rapida,2014-08-01,1,35,36
BELEN DE ANDAMARCA,vih,       n de personas con prueba rapida,2014-08-01,0,1,1
BELLA FLOR,vih,       n de personas con prueba rapida,2014-08-01,10,17,27
BERMEJO,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
BETANZOS,vih,       n de personas con prueba rapida,2014-08-01,0,25,25
BUENA VISTA,vih,       n de personas con prueba rapida,2014-08-01,24,23,47
CABEZAS,vih,       n de personas con prueba rapida,2014-08-01,0,14,14
CAMARGO,vih,       n de personas con prueba rapida,2014-08-01,9,22,31
CAMATAQUI (C. VILLA ABECIA),vih,       n de personas con prueba rapida,2014-08-01,0,6,6
CAMIRI,vih,       n de personas con prueba rapida,2014-08-01,14,15,29
CAPINOTA,vih,       n de personas con prueba rapida,2014-08-01,10,39,49
CARACOLLO,vih,       n de personas con prueba rapida,2014-08-01,16,20,36
CARANAVI,vih,       n de personas con prueba rapida,2014-08-01,14,0,14
CARAPARI,vih,       n de personas con prueba rapida,2014-08-01,2,21,23
CHARAGUA,vih,       n de personas con prueba rapida,2014-08-01,2,1,3
CHIMORE,vih,       n de personas con prueba rapida,2014-08-01,0,44,44
CHULUMANI (V. DE LA LIBERTAD),vih,       n de personas con prueba rapida,2014-08-01,12,19,31
CLIZA,vih,       n de personas con prueba rapida,2014-08-01,3,6,9
COBIJA,vih,       n de personas con prueba rapida,2014-08-01,94,78,172
COCHABAMBA,vih,       n de personas con prueba rapida,2014-08-01,134,546,680
COLCAPIRHUA,vih,       n de personas con prueba rapida,2014-08-01,0,3,3
COLPA BELGICA,vih,       n de personas con prueba rapida,2014-08-01,1,0,1
COLQUIRI,vih,       n de personas con prueba rapida,2014-08-01,3,0,3
COMARAPA,vih,       n de personas con prueba rapida,2014-08-01,4,41,45
CONCEPCION,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
COPACABANA,vih,       n de personas con prueba rapida,2014-08-01,2,0,2
CORO CORO,vih,       n de personas con prueba rapida,2014-08-01,3,9,12
COROICO,vih,       n de personas con prueba rapida,2014-08-01,2,0,2
CORQUE,vih,       n de personas con prueba rapida,2014-08-01,1,0,1
COTAGAITA,vih,       n de personas con prueba rapida,2014-08-01,0,1,1
COTOCA,vih,       n de personas con prueba rapida,2014-08-01,5,6,11
CUATRO CAÑADAS,vih,       n de personas con prueba rapida,2014-08-01,0,1,1
CULPINA,vih,       n de personas con prueba rapida,2014-08-01,8,17,25
DESAGUADERO,vih,       n de personas con prueba rapida,2014-08-01,1,10,11
EL ALTO,vih,       n de personas con prueba rapida,2014-08-01,185,1004,1189
EL PUENTE(STC),vih,       n de personas con prueba rapida,2014-08-01,22,27,49
EL TORNO,vih,       n de personas con prueba rapida,2014-08-01,42,155,197
EL VILLAR,vih,       n de personas con prueba rapida,2014-08-01,12,19,31
ENTRE RIOS TRJ,vih,       n de personas con prueba rapida,2014-08-01,4,21,25
ENTRE RIOS CBBA,vih,       n de personas con prueba rapida,2014-08-01,2,18,20
ESCOMA,vih,       n de personas con prueba rapida,2014-08-01,0,1,1
EUREKA (SANTOS MERCADO),vih,       n de personas con prueba rapida,2014-08-01,1,8,9
FERNANDEZ ALONSO,vih,       n de personas con prueba rapida,2014-08-01,7,17,24
FILADELFIA,vih,       n de personas con prueba rapida,2014-08-01,0,9,9
GENERAL SAAVEDRA,vih,       n de personas con prueba rapida,2014-08-01,1,37,38
GUANAY,vih,       n de personas con prueba rapida,2014-08-01,3,1,4
GUAQUI,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
GUAYARAMERIN,vih,       n de personas con prueba rapida,2014-08-01,103,271,374
GUTIERREZ,vih,       n de personas con prueba rapida,2014-08-01,0,6,6
HUACAYA (VILLA DE HUACAYA),vih,       n de personas con prueba rapida,2014-08-01,0,5,5
HUANUNI,vih,       n de personas con prueba rapida,2014-08-01,3,10,13
HUAYLLAMARCA,vih,       n de personas con prueba rapida,2014-08-01,0,1,1
ICLA,vih,       n de personas con prueba rapida,2014-08-01,59,38,97
INCAHUASI,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
INGAVI (HUMAITA),vih,       n de personas con prueba rapida,2014-08-01,0,4,4
IRUPANA (VILLA DE LANZA),vih,       n de personas con prueba rapida,2014-08-01,4,0,4
LA GUARDIA,vih,       n de personas con prueba rapida,2014-08-01,0,7,7
LA PAZ,vih,       n de personas con prueba rapida,2014-08-01,613,1746,2359
LLALLAGUA,vih,       n de personas con prueba rapida,2014-08-01,7,207,214
MACHARETI,vih,       n de personas con prueba rapida,2014-08-01,0,18,18
MAIRANA,vih,       n de personas con prueba rapida,2014-08-01,1,1,2
MAPIRI,vih,       n de personas con prueba rapida,2014-08-01,3,0,3
MINEROS,vih,       n de personas con prueba rapida,2014-08-01,0,3,3
MIZQUE,vih,       n de personas con prueba rapida,2014-08-01,3,60,63
MOJOCOYA,vih,       n de personas con prueba rapida,2014-08-01,2,6,8
MONTEAGUDO,vih,       n de personas con prueba rapida,2014-08-01,55,120,175
MONTERO,vih,       n de personas con prueba rapida,2014-08-01,57,71,128
NACEBE (SANTA ROSA DEL ABUNA),vih,       n de personas con prueba rapida,2014-08-01,0,14,14
NUEVO MANOA (NUEVA ESPERANZA),vih,       n de personas con prueba rapida,2014-08-01,0,4,4
OMEREQUE,vih,       n de personas con prueba rapida,2014-08-01,2,1,3
ORURO,vih,       n de personas con prueba rapida,2014-08-01,42,360,402
PADCAYA,vih,       n de personas con prueba rapida,2014-08-01,0,40,40
PADILLA,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
PAILON,vih,       n de personas con prueba rapida,2014-08-01,12,120,132
PAMPA GRANDE,vih,       n de personas con prueba rapida,2014-08-01,0,3,3
PATACAMAYA,vih,       n de personas con prueba rapida,2014-08-01,11,6,17
POCONA,vih,       n de personas con prueba rapida,2014-08-01,0,3,3
POROMA,vih,       n de personas con prueba rapida,2014-08-01,0,24,24
PORONGO,vih,       n de personas con prueba rapida,2014-08-01,9,9,18
PORVENIR,vih,       n de personas con prueba rapida,2014-08-01,2,4,6
POSTRER VALLE,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
POTOSI,vih,       n de personas con prueba rapida,2014-08-01,2,44,46
PRESTO,vih,       n de personas con prueba rapida,2014-08-01,32,28,60
PUCARANI,vih,       n de personas con prueba rapida,2014-08-01,0,17,17
PUERTO GONZALO MORENO,vih,       n de personas con prueba rapida,2014-08-01,54,73,127
PUERTO QUIJARRO,vih,       n de personas con prueba rapida,2014-08-01,5,14,19
PUERTO RICO,vih,       n de personas con prueba rapida,2014-08-01,1,16,17
PUERTO SUAREZ,vih,       n de personas con prueba rapida,2014-08-01,2,18,20
PUERTO VILLARROEL,vih,       n de personas con prueba rapida,2014-08-01,32,38,70
PUNA,vih,       n de personas con prueba rapida,2014-08-01,1,3,4
PUNATA,vih,       n de personas con prueba rapida,2014-08-01,15,176,191
QUILLACOLLO,vih,       n de personas con prueba rapida,2014-08-01,1,17,18
QUIME,vih,       n de personas con prueba rapida,2014-08-01,1,4,5
RAVELO,vih,       n de personas con prueba rapida,2014-08-01,0,28,28
REYES,vih,       n de personas con prueba rapida,2014-08-01,1,19,20
RIBERALTA,vih,       n de personas con prueba rapida,2014-08-01,18,41,59
RURRENABAQUE,vih,       n de personas con prueba rapida,2014-08-01,43,56,99
SACABA,vih,       n de personas con prueba rapida,2014-08-01,9,110,119
SACACA,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
SAMAIPATA,vih,       n de personas con prueba rapida,2014-08-01,3,4,7
SAN ANTONIO DE LOMERIO,vih,       n de personas con prueba rapida,2014-08-01,1,0,1
SAN BORJA,vih,       n de personas con prueba rapida,2014-08-01,1,1,2
SAN BUENA VENTURA,vih,       n de personas con prueba rapida,2014-08-01,0,3,3
SAN CARLOS,vih,       n de personas con prueba rapida,2014-08-01,28,33,61
SAN IGNACIO,vih,       n de personas con prueba rapida,2014-08-01,4,18,22
SAN IGNACIO DE VELASCO,vih,       n de personas con prueba rapida,2014-08-01,39,210,249
SAN JAVIER(STC),vih,       n de personas con prueba rapida,2014-08-01,2,33,35
SAN JOSE DE CHIQUITOS,vih,       n de personas con prueba rapida,2014-08-01,10,18,28
SAN JUAN DE YAPACANI,vih,       n de personas con prueba rapida,2014-08-01,1,1,2
SAN JULIAN,vih,       n de personas con prueba rapida,2014-08-01,6,20,26
SAN LORENZO(TJA),vih,       n de personas con prueba rapida,2014-08-01,2,8,10
SAN LUCAS,vih,       n de personas con prueba rapida,2014-08-01,2,15,17
SAN MATIAS,vih,       n de personas con prueba rapida,2014-08-01,3,29,32
SAN MIGUEL DE VELASCO,vih,       n de personas con prueba rapida,2014-08-01,0,1,1
SAN PEDRO,vih,       n de personas con prueba rapida,2014-08-01,5,11,16
SAN PEDRO DE BUENA VISTA,vih,       n de personas con prueba rapida,2014-08-01,3,4,7
SAN PEDRO DE QUEMES,vih,       n de personas con prueba rapida,2014-08-01,4,2,6
SAN RAFAEL,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
SANTA ANA,vih,       n de personas con prueba rapida,2014-08-01,4,0,4
SANTA CRUZ DE LA SIERRA,vih,       n de personas con prueba rapida,2014-08-01,406,2326,2732
SANTA ROSA DEL SARA,vih,       n de personas con prueba rapida,2014-08-01,1,3,4
SANTIVAÑES,vih,       n de personas con prueba rapida,2014-08-01,0,3,3
SENA,vih,       n de personas con prueba rapida,2014-08-01,1,25,26
SHINAOTA,vih,       n de personas con prueba rapida,2014-08-01,20,23,43
SIPE SIPE,vih,       n de personas con prueba rapida,2014-08-01,2,50,52
SOPACHUY,vih,       n de personas con prueba rapida,2014-08-01,7,21,28
SORACACHI,vih,       n de personas con prueba rapida,2014-08-01,1,10,11
SORATA,vih,       n de personas con prueba rapida,2014-08-01,2,22,24
SUCRE,vih,       n de personas con prueba rapida,2014-08-01,58,157,215
TAPACARI,vih,       n de personas con prueba rapida,2014-08-01,1,13,14
TARABUCO,vih,       n de personas con prueba rapida,2014-08-01,0,12,12
TARATA,vih,       n de personas con prueba rapida,2014-08-01,1,17,18
TARIJA,vih,       n de personas con prueba rapida,2014-08-01,62,98,160
TARVITA,vih,       n de personas con prueba rapida,2014-08-01,1,12,13
TEOPONTE,vih,       n de personas con prueba rapida,2014-08-01,2,19,21
TIAWANACU,vih,       n de personas con prueba rapida,2014-08-01,0,6,6
TIPUANI,vih,       n de personas con prueba rapida,2014-08-01,2,2,4
TIQUIPAYA,vih,       n de personas con prueba rapida,2014-08-01,23,62,85
TOCO,vih,       n de personas con prueba rapida,2014-08-01,0,1,1
TOLATA,vih,       n de personas con prueba rapida,2014-08-01,60,8,68
TOTORA(CBBA),vih,       n de personas con prueba rapida,2014-08-01,2,77,79
TRINIDAD,vih,       n de personas con prueba rapida,2014-08-01,43,64,107
TUPIZA,vih,       n de personas con prueba rapida,2014-08-01,2,10,12
TURCO,vih,       n de personas con prueba rapida,2014-08-01,8,3,11
UNCIA,vih,       n de personas con prueba rapida,2014-08-01,0,21,21
URUBICHA,vih,       n de personas con prueba rapida,2014-08-01,14,19,33
UYUNI,vih,       n de personas con prueba rapida,2014-08-01,0,31,31
VACAS,vih,       n de personas con prueba rapida,2014-08-01,0,6,6
VALLEGRANDE,vih,       n de personas con prueba rapida,2014-08-01,1,58,59
VIACHA,vih,       n de personas con prueba rapida,2014-08-01,11,6,17
VILLA CHARCAS,vih,       n de personas con prueba rapida,2014-08-01,5,37,42
VILLA MONTES,vih,       n de personas con prueba rapida,2014-08-01,21,20,41
VILLA NUEVA (LOMA ALTA),vih,       n de personas con prueba rapida,2014-08-01,0,5,5
VILLA RIVERO,vih,       n de personas con prueba rapida,2014-08-01,0,4,4
VILLA SERRANO,vih,       n de personas con prueba rapida,2014-08-01,0,25,25
VILLA TUNARI,vih,       n de personas con prueba rapida,2014-08-01,22,317,339
VILLA VACA GUZMAN (MUYUPAMPA),vih,       n de personas con prueba rapida,2014-08-01,2,9,11
VILLAZON,vih,       n de personas con prueba rapida,2014-08-01,13,51,64
VINTO,vih,       n de personas con prueba rapida,2014-08-01,0,4,4
VITICHI,vih,       n de personas con prueba rapida,2014-08-01,1,0,1
WARNES,vih,       n de personas con prueba rapida,2014-08-01,9,28,37
YACUIBA,vih,       n de personas con prueba rapida,2014-08-01,28,79,107
YAMPARAEZ,vih,       n de personas con prueba rapida,2014-08-01,0,6,6
YAPACANI,vih,       n de personas con prueba rapida,2014-08-01,10,34,44
YOTALA,vih,       n de personas con prueba rapida,2014-08-01,0,2,2
YUNCHARA,vih,       n de personas con prueba rapida,2014-08-01,1,4,5
ZUDAÑEZ,vih,       n de personas con prueba rapida,2014-08-01,6,4,10
ACACIO,vih,       n de personas con prueba rapida,2014-09-01,5,5,10
ACHACACHI,vih,       n de personas con prueba rapida,2014-09-01,3,7,10
AIQUILE,vih,       n de personas con prueba rapida,2014-09-01,6,10,16
ALCALA,vih,       n de personas con prueba rapida,2014-09-01,10,46,56
APOLO,vih,       n de personas con prueba rapida,2014-09-01,2,23,25
ARANI,vih,       n de personas con prueba rapida,2014-09-01,0,2,2
ARBIETO,vih,       n de personas con prueba rapida,2014-09-01,1,22,23
ASCENCION DE GUARAYOS,vih,       n de personas con prueba rapida,2014-09-01,37,139,176
ATOCHA,vih,       n de personas con prueba rapida,2014-09-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de personas con prueba rapida,2014-09-01,2,4,6
AZURDUY,vih,       n de personas con prueba rapida,2014-09-01,22,44,66
BELEN DE ANDAMARCA,vih,       n de personas con prueba rapida,2014-09-01,0,3,3
BELLA FLOR,vih,       n de personas con prueba rapida,2014-09-01,1,5,6
BERMEJO,vih,       n de personas con prueba rapida,2014-09-01,2,0,2
BETANZOS,vih,       n de personas con prueba rapida,2014-09-01,1,37,38
BOYUIBE,vih,       n de personas con prueba rapida,2014-09-01,0,6,6
BUENA VISTA,vih,       n de personas con prueba rapida,2014-09-01,0,2,2
CABEZAS,vih,       n de personas con prueba rapida,2014-09-01,2,13,15
CALAMARCA,vih,       n de personas con prueba rapida,2014-09-01,3,12,15
CAMARGO,vih,       n de personas con prueba rapida,2014-09-01,55,132,187
CAMATAQUI (C. VILLA ABECIA),vih,       n de personas con prueba rapida,2014-09-01,1,9,10
CAMIRI,vih,       n de personas con prueba rapida,2014-09-01,9,9,18
CAPINOTA,vih,       n de personas con prueba rapida,2014-09-01,14,34,48
CARACOLLO,vih,       n de personas con prueba rapida,2014-09-01,2,4,6
CARANAVI,vih,       n de personas con prueba rapida,2014-09-01,45,17,62
CARAPARI,vih,       n de personas con prueba rapida,2014-09-01,1,32,33
CHALLAPATA,vih,       n de personas con prueba rapida,2014-09-01,1,131,132
CHARAGUA,vih,       n de personas con prueba rapida,2014-09-01,1,1,2
CHIMORE,vih,       n de personas con prueba rapida,2014-09-01,1,9,10
CHULUMANI (V. DE LA LIBERTAD),vih,       n de personas con prueba rapida,2014-09-01,8,9,17
CHUMA,vih,       n de personas con prueba rapida,2014-09-01,2,9,11
CLIZA,vih,       n de personas con prueba rapida,2014-09-01,4,2,6
COBIJA,vih,       n de personas con prueba rapida,2014-09-01,24,46,70
COCHABAMBA,vih,       n de personas con prueba rapida,2014-09-01,102,560,662
COLCAPIRHUA,vih,       n de personas con prueba rapida,2014-09-01,1,6,7
COLOMI,vih,       n de personas con prueba rapida,2014-09-01,1,0,1
COLQUENCHA,vih,       n de personas con prueba rapida,2014-09-01,2,6,8
COMARAPA,vih,       n de personas con prueba rapida,2014-09-01,3,43,46
CONCEPCION,vih,       n de personas con prueba rapida,2014-09-01,0,1,1
CORO CORO,vih,       n de personas con prueba rapida,2014-09-01,5,26,31
COROICO,vih,       n de personas con prueba rapida,2014-09-01,4,0,4
COTOCA,vih,       n de personas con prueba rapida,2014-09-01,10,1,11
CULPINA,vih,       n de personas con prueba rapida,2014-09-01,2,5,7
DESAGUADERO,vih,       n de personas con prueba rapida,2014-09-01,1,4,5
EL ALTO,vih,       n de personas con prueba rapida,2014-09-01,187,2658,2845
EL PUENTE(STC),vih,       n de personas con prueba rapida,2014-09-01,23,18,41
EL TORNO,vih,       n de personas con prueba rapida,2014-09-01,62,122,184
EL VILLAR,vih,       n de personas con prueba rapida,2014-09-01,5,5,10
ENTRE RIOS TRJ,vih,       n de personas con prueba rapida,2014-09-01,9,35,44
ENTRE RIOS CBBA,vih,       n de personas con prueba rapida,2014-09-01,6,25,31
ESCOMA,vih,       n de personas con prueba rapida,2014-09-01,0,10,10
EUREKA (SANTOS MERCADO),vih,       n de personas con prueba rapida,2014-09-01,0,9,9
FERNANDEZ ALONSO,vih,       n de personas con prueba rapida,2014-09-01,11,18,29
FILADELFIA,vih,       n de personas con prueba rapida,2014-09-01,4,15,19
GUANAY,vih,       n de personas con prueba rapida,2014-09-01,2,0,2
GUAQUI,vih,       n de personas con prueba rapida,2014-09-01,1,2,3
GUAYARAMERIN,vih,       n de personas con prueba rapida,2014-09-01,44,128,172
GUTIERREZ,vih,       n de personas con prueba rapida,2014-09-01,0,4,4
HUACARETA,vih,       n de personas con prueba rapida,2014-09-01,0,1,1
HUACAYA (VILLA DE HUACAYA),vih,       n de personas con prueba rapida,2014-09-01,1,6,7
HUANUNI,vih,       n de personas con prueba rapida,2014-09-01,2,13,15
HUAYLLAMARCA,vih,       n de personas con prueba rapida,2014-09-01,1,4,5
ICLA,vih,       n de personas con prueba rapida,2014-09-01,1,0,1
INCAHUASI,vih,       n de personas con prueba rapida,2014-09-01,0,5,5
LA ASUNTA,vih,       n de personas con prueba rapida,2014-09-01,16,12,28
LA GUARDIA,vih,       n de personas con prueba rapida,2014-09-01,4,9,13
LA PAZ,vih,       n de personas con prueba rapida,2014-09-01,634,1364,1998
LAS CARRERAS,vih,       n de personas con prueba rapida,2014-09-01,8,1,9
LLALLAGUA,vih,       n de personas con prueba rapida,2014-09-01,9,219,228
MACHARETI,vih,       n de personas con prueba rapida,2014-09-01,0,17,17
MAPIRI,vih,       n de personas con prueba rapida,2014-09-01,3,2,5
MINEROS,vih,       n de personas con prueba rapida,2014-09-01,3,13,16
MIZQUE,vih,       n de personas con prueba rapida,2014-09-01,5,68,73
MOJOCOYA,vih,       n de personas con prueba rapida,2014-09-01,0,2,2
MONTEAGUDO,vih,       n de personas con prueba rapida,2014-09-01,1,54,55
MONTERO,vih,       n de personas con prueba rapida,2014-09-01,62,248,310
NACEBE (SANTA ROSA DEL ABUNA),vih,       n de personas con prueba rapida,2014-09-01,1,8,9
NUEVO MANOA (NUEVA ESPERANZA),vih,       n de personas con prueba rapida,2014-09-01,0,2,2
OKINAWA,vih,       n de personas con prueba rapida,2014-09-01,0,46,46
ORURO,vih,       n de personas con prueba rapida,2014-09-01,53,342,395
PADCAYA,vih,       n de personas con prueba rapida,2014-09-01,1,27,28
PADILLA,vih,       n de personas con prueba rapida,2014-09-01,15,42,57
PAILON,vih,       n de personas con prueba rapida,2014-09-01,11,127,138
PAMPA GRANDE,vih,       n de personas con prueba rapida,2014-09-01,8,5,13
PATACAMAYA,vih,       n de personas con prueba rapida,2014-09-01,28,13,41
PAZÑA,vih,       n de personas con prueba rapida,2014-09-01,13,18,31
POCONA,vih,       n de personas con prueba rapida,2014-09-01,0,2,2
POROMA,vih,       n de personas con prueba rapida,2014-09-01,0,26,26
PORONGO,vih,       n de personas con prueba rapida,2014-09-01,6,7,13
PORVENIR,vih,       n de personas con prueba rapida,2014-09-01,1,5,6
POTOSI,vih,       n de personas con prueba rapida,2014-09-01,6,26,32
