,group,variable,month,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,8,1,8,9
AYATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,7,6,7,13
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,10,5,10,5,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,39,35,39,35,74
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,9,13,9,13,22
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,19,5,19,5,24
BAURES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,0,4,0,4
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,6,0,6,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,35,25,35,25,60
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,38,27,38,27,65
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,9,3,9,12
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,3,0,3,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,6,3,6,9
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,10,10,10,10,20
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,19,52,19,52,71
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,10,7,10,7,17
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,0,3,0,3
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,16,4,16,4,20
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,8,1,8,9
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,14,1,14,1,15
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,15,7,15,7,22
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,1,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,67,7,67,7,74
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,37,3,37,3,40
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,11,3,11,3,14
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,21,15,21,15,36
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,68,24,68,24,92
CARANGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,5,20,5,20,25
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,2,2,2,4
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,17,2,17,19
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,32,45,32,45,77
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,10,4,10,4,14
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,27,58,27,58,85
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,14,11,14,11,25
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,31,1,31,1,32
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,5,0,5,5
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,0,3,0,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,2,3,2,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,20,10,20,10,30
CHUMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,8,4,8,4,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,2,6,2,8
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,16,0,16,16
CLIZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,20,12,20,12,32
COBIJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,83,22,83,22,105
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,16,28,16,28,44
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1194,22,1194,22,1216
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,92,12,92,12,104
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,21,3,21,3,24
COLLANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,3,2,3,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,27,22,27,22,49
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,9,11,9,11,20
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,21,35,21,35,56
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,10,11,10,11,21
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,29,6,29,35
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,0,4,0,4
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,22,9,22,9,31
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,7,2,7,9
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,34,5,34,5,39
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,12,16,12,16,28
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,15,0,15,0,15
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,27,11,27,11,38
CORQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,7,11,7,11,18
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,11,10,11,10,21
COTOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,102,14,102,14,116
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,20,5,20,5,25
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,0,3,0,3
CUEVO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,0,3,0,3
CULPINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,23,13,23,13,36
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,5,4,5,9
CURVA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,2,3,2,5
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,5,8,5,8,13
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1173,352,1173,352,1525
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,5,12,5,12,17
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,34,0,34,0,34
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,3,4,3,7
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,85,11,85,11,96
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,17,10,17,10,27
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,45,0,45,0,45
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,4,6,4,10
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,2,1,2,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,1,0,1,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,0,6,0,6
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,10,5,10,5,15
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,11,1,11,12
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,24,6,24,6,30
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,11,6,11,17
GUANAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,10,10,10,10,20
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,0,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,54,38,54,38,92
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,14,16,14,16,30
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,8,3,8,3,11
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,23,44,23,44,67
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,10,0,10,10
HUARINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,9,2,9,11
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,1,1,1,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,9,2,9,11
HUMANATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,1,1,1,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,25,2,25,27
ICLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,8,5,8,5,13
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,13,13,13,13,26
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,0,2,0,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,7,17,7,17,24
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,16,10,16,10,26
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,14,2,14,2,16
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,15,0,15,0,15
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,58,26,58,26,84
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,151,15,151,15,166
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1259,160,1259,160,1419
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,17,17,17,17,34
LAJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,13,8,13,8,21
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,7,0,7,7
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,3,2,3,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,46,57,46,57,103
LLICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,1,3,1,4
LORETO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,10,0,10,10
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,16,6,16,22
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,5,4,5,4,9
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,5,6,5,6,11
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,9,6,9,15
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,17,0,17,0,17
MALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,27,15,27,15,42
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,13,6,13,6,19
MINEROS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,27,23,27,23,50
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,34,29,34,29,63
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,8,15,8,15,23
MOJINETE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,10,1,10,11
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,28,9,28,9,37
MONTERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,112,11,112,11,123
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,7,13,7,13,20
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,9,0,9,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,7,0,7,7
OCURI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,13,23,13,23,36
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,13,4,13,4,17
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,11,2,11,13
ORURO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,519,185,519,185,704
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,20,11,20,11,31
PADILLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,11,3,11,3,14
PAILON,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,182,0,182,0,182
PALCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,22,9,22,9,31
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,50,6,50,6,56
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,3,3,3,6
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,11,4,11,4,15
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,6,2,6,8
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,3,3,3,6
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,41,6,41,6,47
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,9,4,9,13
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,10,0,10,10
POCOATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,5,38,5,38,43
POCONA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,7,4,7,11
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,17,8,17,8,25
POOPO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,5,2,5,7
PORCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,24,22,24,22,46
POROMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,8,11,8,11,19
PORONGO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,35,4,35,39
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,39,4,39,4,43
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,7,8,7,8,15
POTOSI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,403,29,403,29,432
PRESTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,11,2,11,13
PUCARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,0,3,0,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,40,13,40,13,53
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,13,0,13,13
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,7,6,7,13
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,15,6,15,21
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,10,1,10,1,11
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,17,12,17,12,29
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,17,0,17,17
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,68,8,68,8,76
PUNA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,13,16,13,16,29
PUNATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,51,0,51,0,51
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,2,1,2,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,156,127,156,127,283
QUIME,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,6,2,6,8
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,13,6,13,19
REYES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,11,49,11,49,60
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,192,98,192,98,290
ROBORE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,52,0,52,0,52
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,16,5,16,5,21
SABAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,259,10,259,10,269
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,7,6,7,6,13
SACACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,25,14,25,14,39
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,16,4,16,20
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,10,9,10,9,19
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,12,12,12,12,24
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,0,2,0,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,7,22,7,22,29
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,7,1,7,1,8
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,1,3,1,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,5,3,5,3,8
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,11,9,11,9,20
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,51,2,51,2,53
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,13,2,13,2,15
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,11,15,11,15,26
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,38,14,38,14,52
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,105,33,105,33,138
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,10,2,10,12
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,13,6,13,6,19
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,127,0,127,0,127
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,9,11,9,11,20
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,56,17,56,17,73
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,10,3,10,13
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,28,2,28,2,30
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,31,11,31,11,42
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,20,5,20,5,25
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,19,7,19,7,26
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,0,4,0,4
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,12,14,12,14,26
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,35,55,35,55,90
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,4,4,4,8
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,5,4,5,9
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,16,0,16,0,16
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,20,0,20,0,20
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,33,2,33,2,35
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1963,135,1963,135,2098
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,18,2,18,2,20
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,24,11,24,11,35
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,5,3,5,8
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,8,13,8,13,21
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,1,5,1,5,6
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,3,2,3,2,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,9,6,9,15
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,7,7,7,7,14
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,12,5,12,5,17
SENA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,19,17,19,17,36
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,25,4,25,4,29
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,16,31,16,31,47
SICAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,114,7,114,7,121
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,0,6,0,6,6
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,3,6,3,9
SORATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,25,4,25,29
SUCRE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,561,13,561,13,574
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,0,6,0,6
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,4,6,4,6,10
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-10-01,6,5,6,5,11
