,group,variable,month,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,12,0,12,0,12
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,47,27,47,27,74
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,151,13,151,13,164
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1227,112,1227,112,1339
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,17,17,17,17,34
LAJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,12,6,12,6,18
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,7,0,7,7
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,3,2,3,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,42,53,42,53,95
LLICA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,0,2,0,2
LORETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,20,0,20,20
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,16,6,16,22
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,4,9,4,9,13
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,7,10,7,10,17
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,20,0,20,0,20
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,24,25,24,25,49
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,12,6,12,6,18
MINEROS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,24,23,24,23,47
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,36,29,36,29,65
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,10,15,10,15,25
MOJINETE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,9,1,9,10
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,28,8,28,8,36
MONTERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,113,8,113,8,121
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,19,2,19,21
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,9,0,9,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,7,0,7,7
OCURI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,15,14,15,14,29
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,14,4,14,4,18
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,11,2,11,13
ORURO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,383,71,383,71,454
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,15,16,15,16,31
PADILLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,11,2,11,2,13
PAILON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,188,0,188,0,188
PALCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,16,10,16,10,26
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,34,13,34,13,47
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,9,0,9,9
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,10,2,10,2,12
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,7,1,7,8
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,3,3,3,3,6
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,41,4,41,4,45
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,3,11,3,11,14
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,12,1,12,13
POCOATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,4,33,4,33,37
POCONA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,5,2,5,7
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,23,9,23,9,32
POOPO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,5,2,5,7
PORCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,25,20,25,20,45
POROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,8,11,8,11,19
PORONGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,3,36,3,36,39
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,39,4,39,4,43
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,8,8,8,8,16
POTOSI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,395,30,395,30,425
PRESTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,13,2,13,15
PUCARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,3,0,3,0,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,31,23,31,23,54
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,15,0,15,15
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,7,5,7,12
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,15,6,15,21
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,1,5,1,6
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,13,10,13,10,23
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,17,0,17,17
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,77,6,77,6,83
PUNA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,12,14,12,14,26
PUNATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,53,0,53,0,53
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,159,128,159,128,287
QUIME,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,6,2,6,8
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,8,28,8,28,36
REYES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,13,46,13,46,59
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,195,97,195,97,292
ROBORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,53,0,53,0,53
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,11,5,11,5,16
SACABA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,256,5,256,5,261
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,7,6,7,6,13
SACACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,20,15,20,15,35
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,4,13,4,13,17
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,8,13,8,13,21
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,12,12,12,12,24
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,4,3,4,3,7
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,16,6,16,22
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,4,1,4,1,5
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,3,5,3,8
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,16,12,16,12,28
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,45,3,45,3,48
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,16,9,16,9,25
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,11,15,11,15,26
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,38,18,38,18,56
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,105,33,105,33,138
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,10,2,10,12
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,13,6,13,6,19
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,128,0,128,0,128
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,11,1,11,12
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,54,17,54,17,71
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,9,5,9,14
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,24,2,24,2,26
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,28,8,28,8,36
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,20,1,20,1,21
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,19,7,19,7,26
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,0,2,0,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,11,14,11,14,25
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,36,47,36,47,83
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,2,0,2,2
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,4,5,4,5,9
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,16,0,16,0,16
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,20,0,20,0,20
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,29,0,29,0,29
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2029,130,2029,130,2159
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,20,0,20,0,20
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,16,22,16,22,38
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,3,5,3,5,8
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,11,0,11,11
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,5,1,5,6
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,9,6,9,15
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,7,7,7,7,14
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,14,5,14,5,19
SENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,20,19,20,19,39
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,26,5,26,5,31
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,16,28,16,28,44
SICAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,120,2,120,2,122
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,6,0,6,6
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,10,0,10,10
SORATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,23,5,23,28
SUCRE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,546,13,546,13,559
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,0,6,0,6
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,11,2,11,13
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,7,5,7,5,12
TAHUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,11,10,11,10,21
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,8,20,8,20,28
TARACO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,5,1,5,6
TARATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,14,4,14,4,18
TARIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,349,39,349,39,388
TARVITA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,10,10,10,10,20
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,10,5,10,15
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,8,5,8,5,13
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,37,16,37,16,53
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,17,5,17,22
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,95,19,95,19,114
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,42,16,42,16,58
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,2,0,2,2
TOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,12,0,12,12
TOLATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,0,5,0,5
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,8,2,8,10
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,9,2,9,2,11
TOMINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,9,2,9,2,11
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,2,22,2,22,24
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,12,17,12,17,29
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,3,4,3,4,7
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,196,19,196,19,215
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,57,15,57,15,72
TURCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,0,6,0,6
UMALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,5,0,5,5
UNCIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,25,35,25,35,60
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,11,30,11,30,41
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,16,0,16,0,16
UYUNI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,23,0,23,0,23
VACAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,0,7,0,7,7
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,14,2,14,2,16
VIACHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,88,11,88,11,99
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,20,5,20,25
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,55,19,55,19,74
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,7,5,7,5,12
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,5,15,5,15,20
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,8,6,8,14
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,79,48,79,48,127
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,4,9,4,9,13
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,30,15,30,15,45
VINTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,73,7,73,7,80
VITICHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,7,5,7,5,12
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,1,6,1,7
WARNES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,248,8,248,8,256
YACO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,5,6,5,11
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,120,40,120,40,160
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,4,2,4,2,6
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,16,3,16,3,19
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,62,25,62,25,87
YOCALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,19,12,19,12,31
YOTALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,14,1,14,15
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,1,7,1,7,8
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-10-01,6,14,6,14,20
ACACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,12,0,12,12
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,30,11,30,11,41
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,24,9,24,9,33
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,38,16,38,16,54
ALALAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,2,0,2,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,4,3,4,3,7
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,17,1,17,1,18
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,6,3,6,3,9
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,2,0,2,2
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,1,5,1,5,6
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,2,14,2,14,16
APOLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,24,14,24,14,38
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,4,0,4,0,4
ARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,26,0,26,0,26
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,16,27,16,27,43
ARQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,14,15,14,15,29
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,50,0,50,0,50
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,3,10,3,10,13
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,2,3,2,3,5
AYATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,6,10,6,10,16
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,4,6,4,6,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,14,23,14,23,37
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,7,7,7,7,14
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,28,8,28,8,36
BAURES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,10,5,10,5,15
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,6,0,6,6
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,4,0,4,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,18,19,18,19,37
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,33,45,33,45,78
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,19,0,19,19
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,1,4,1,4,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,2,8,2,8,10
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,7,5,7,5,12
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,9,58,9,58,67
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,13,8,13,8,21
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,3,10,3,10,13
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,14,13,14,13,27
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,11,0,11,11
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,4,8,4,8,12
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,19,7,19,7,26
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,59,9,59,9,68
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,29,4,29,4,33
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,11,0,11,0,11
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,14,8,14,8,22
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,56,14,56,14,70
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,12,37,12,37,49
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,3,0,3,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,11,0,11,11
CATACORA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,1,2,1,2,3
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,34,17,34,17,51
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,5,11,5,11,16
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,79,0,79,79
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,4,12,4,12,16
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,31,9,31,9,40
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,30,17,30,17,47
CHUMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,1,10,1,10,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,0,13,0,13,13
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,2,18,2,18,20
CLIZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,24,14,24,14,38
COBIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,66,11,66,11,77
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,14,21,14,21,35
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-11-01,974,19,974,19,993
