,group,variable,month,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,15,12,15,12,27
ARQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,4,3,4,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,38,4,38,4,42
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,11,8,11,8,19
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,1,2,1,3
AYATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,1,8,1,9
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,15,24,15,24,39
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,6,10,6,10,16
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,23,15,23,15,38
BAURES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,8,4,8,12
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,27,1,27,1,28
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,31,12,31,12,43
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,3,5,3,8
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,1,2,1,3
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,18,16,18,16,34
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,0,7,0,7
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,7,5,7,12
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,9,1,9,1,10
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,1,1,1,2
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,3,3,3,6
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,9,5,9,5,14
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,3,3,3,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,34,18,34,18,52
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,6,7,6,13
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,12,6,12,6,18
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,12,5,12,5,17
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,49,5,49,5,54
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,17,3,17,3,20
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,27,13,27,40
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,4,1,4,5
CATACORA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,0,2,0,2
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,18,6,18,6,24
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,32,2,32,34
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,6,0,6,0,6
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,6,11,6,11,17
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,31,1,31,1,32
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,0,2,0,2
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,15,1,15,1,16
CHUMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,12,4,12,4,16
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,1,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,9,21,9,21,30
CLIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,21,2,21,2,23
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,62,10,62,10,72
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,21,8,21,8,29
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,553,15,553,15,568
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,39,6,39,6,45
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,0,13,0,13
COLLANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,23,4,23,4,27
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,32,8,32,40
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,19,0,19,0,19
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,9,2,9,11
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,11,0,11,0,11
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,1,13,1,14
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,2,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,3,0,3,3
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,7,5,7,12
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,20,0,20,0,20
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,3,7,3,10
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,7,5,7,12
CORQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,18,5,18,5,23
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,42,2,42,2,44
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,28,1,28,1,29
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,1,4,1,5
CUEVO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,1,3,1,4
CULPINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,14,13,14,13,27
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,6,5,6,11
CURVA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,465,122,465,122,587
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,15,0,15,0,15
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,0,13,0,13
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,77,7,77,7,84
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,2,1,2,3
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,14,4,14,18
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,56,1,56,1,57
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,2,0,2,2
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,0,8,0,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,7,0,7,7
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,11,2,11,2,13
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,2,3,2,5
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,0,7,0,7
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,1,1,1,2
GUANAY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,10,13,10,23
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,3,2,3,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,54,46,54,46,100
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,1,3,1,4
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,15,1,15,1,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,3,3,3,6
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,15,3,15,3,18
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,3,4,3,7
HUARINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,3,3,3,6
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,2,1,2,3
HUMANATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,1,3,1,4
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,3,0,3,3
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,6,15,6,15,21
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,18,18,18,18,36
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,4,8,4,12
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,5,5,5,10
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,10,1,10,1,11
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,9,2,9,2,11
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,54,15,54,15,69
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,93,3,93,3,96
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,481,44,481,44,525
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
LAJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,11,2,11,2,13
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,5,2,5,7
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,0,3,0,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,12,47,12,47,59
LLICA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,1,1,1,2
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,1,4,1,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,18,3,18,3,21
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,11,2,11,2,13
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,0,8,0,8
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,22,14,22,14,36
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,12,5,12,5,17
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,24,3,24,3,27
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,9,6,9,6,15
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,11,3,11,3,14
MOJINETE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,4,1,4,5
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,1,2,1,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,30,1,30,1,31
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,128,0,128,0,128
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,2,2,2,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,0,5,0,5
OCURI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,0,5,0,5
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,22,3,22,3,25
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,5,1,5,6
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,248,11,248,11,259
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,18,0,18,0,18
PADILLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,11,8,11,8,19
PALCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,0,4,0,4
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,17,2,17,2,19
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,0,13,0,13
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,3,5,3,8
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,3,3,3,6
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,1,0,1,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,4,2,4,6
POCOATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,7,3,7,10
POCONA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,1,5,1,6
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,5,8,5,13
POOPO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,2,3,2,5
POROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,17,25,17,25,42
PORONGO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,5,13,5,18
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,35,0,35,0,35
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,12,0,12,0,12
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,244,6,244,6,250
PRESTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,6,12,6,12,18
PUCARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,23,24,23,24,47
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,5,8,5,13
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,3,1,3,4
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,0,3,0,3
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,4,2,4,6
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,70,0,70,0,70
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,0,4,0,4
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,1,2,1,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,22,1,22,1,23
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,84,4,84,4,88
PUNA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,16,19,16,19,35
PUNATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,31,1,31,1,32
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,4,2,4,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,76,67,76,67,143
QUIME,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,0,2,0,2
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,0,2,0,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,28,3,28,31
REYES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,12,0,12,0,12
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,78,4,78,4,82
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,29,14,29,14,43
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,159,18,159,18,177
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,2,2,2,4
SACACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,17,7,17,24
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,1,0,1,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,6,8,6,14
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,11,0,11,0,11
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,4,8,4,12
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,0,4,0,4
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,1,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,14,7,14,7,21
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,59,6,59,6,65
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,6,5,6,5,11
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,20,3,20,3,23
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,18,12,18,12,30
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,31,14,31,14,45
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,1,4,1,5
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,6,0,6,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,41,8,41,8,49
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,14,12,14,12,26
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,35,18,35,18,53
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,7,5,7,12
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,21,3,21,3,24
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,27,36,27,36,63
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,5,13,5,18
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,19,0,19,0,19
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,11,13,11,24
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,12,1,12,1,13
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,2,3,2,5
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,0,7,0,7,7
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,13,5,13,5,18
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,2,2,2,4
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,0,7,0,7
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,20,0,20,0,20
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1054,191,1054,191,1245
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,0,7,0,7
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,8,4,8,4,12
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,2,1,2,1,3
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,1,4,1,5
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,4,1,4,1,5
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,6,0,6,0,6
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,1,7,1,8
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,0,3,0,3
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,3,2,3,2,5
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,12,3,12,3,15
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,27,8,27,8,35
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,15,7,15,22
SICAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,61,7,61,7,68
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,7,3,7,3,10
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-11-01,5,8,5,8,13
