,group,variable,month,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,3,0,3,0,3
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,4,1,4,1,5
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,9,10,9,10,19
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,2,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,1,1,1,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,2,1,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,19,0,19,0,19
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,4,1,4,5
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,1,1,1,2
OCURI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,1,0,1,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,7,7,7,7,14
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,2,0,2,0,2
POCOATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,4,0,4,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,2,0,2,0,2
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,2,4,2,4,6
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,2,0,2,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,2,0,2,0,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,29,7,29,7,36
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,1,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-12-01,1,0,1,0,1
