,group,variable,month,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,5,7,5,12
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,46,4,46,4,50
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,5,1,5,1,6
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,10,1,10,1,11
CORQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,6,2,6,8
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,12,8,12,8,20
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,22,0,22,0,22
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,27,10,27,10,37
CUEVO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,10,7,10,17
CULPINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,17,8,17,8,25
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,8,7,8,7,15
CURVA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,534,139,534,139,673
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,9,0,9,0,9
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,12,5,12,5,17
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,84,2,84,2,86
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,12,12,12,12,24
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,40,2,40,2,42
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,10,7,10,17
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,19,9,19,9,28
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,4,1,4,5
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,20,0,20,0,20
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,5,5,5,5,10
GUANAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,9,13,9,13,22
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,59,5,59,5,64
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,9,1,9,1,10
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,7,7,7,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,6,2,6,8
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,14,14,14,14,28
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
HUARINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,3,3,3,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,4,4,4,8
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,4,7,4,11
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,11,9,11,9,20
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,10,4,10,14
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,31,11,31,11,42
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,0,6,0,6
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,8,1,8,1,9
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,54,10,54,10,64
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,96,3,96,3,99
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,587,43,587,43,630
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,10,8,10,8,18
LAJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,19,1,19,1,20
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,0,2,0,2
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,1,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,10,2,10,12
LLICA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,0,3,0,3
LORETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,9,0,9,9
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,5,3,5,3,8
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,8,6,8,6,14
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,9,1,9,1,10
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,26,0,26,0,26
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,17,22,17,22,39
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,2,0,2,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,53,2,53,2,55
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,12,6,12,6,18
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,13,14,13,14,27
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,37,6,37,6,43
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,89,12,89,12,101
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,0,3,0,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,5,0,5,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,27,0,27,0,27
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,10,3,10,13
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,328,91,328,91,419
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,19,5,19,5,24
PADILLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,19,6,19,6,25
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,40,0,40,0,40
PALCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,9,7,9,7,16
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,38,14,38,14,52
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,16,2,16,2,18
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,6,1,6,7
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,2,2,2,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,0,2,0,2
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,10,4,10,14
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,11,0,11,11
POCONA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,4,7,4,11
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,14,10,14,10,24
POOPO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,14,6,14,6,20
POROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,13,12,13,12,25
PORONGO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,6,2,6,8
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,25,1,25,1,26
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,3,6,3,9
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,234,4,234,4,238
PRESTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,11,20,11,20,31
PUCARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,14,35,14,35,49
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,4,6,4,10
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,5,7,5,12
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,6,4,6,10
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,5,6,5,11
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,30,0,30,0,30
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,13,0,13,0,13
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,1,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,100,12,100,12,112
PUNA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,29,6,29,35
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,31,0,31,0,31
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,3,6,3,9
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,70,95,70,95,165
QUIME,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,14,19,14,19,33
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,0,2,0,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,5,21,5,21,26
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,20,7,20,7,27
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,102,4,102,4,106
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,27,0,27,0,27
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,0,7,0,7
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,149,21,149,21,170
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,0,3,0,3
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,42,32,42,32,74
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,5,12,5,12,17
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,9,2,9,2,11
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,11,8,11,8,19
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,0,4,0,4
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,8,7,8,7,15
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,11,4,11,4,15
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,53,5,53,5,58
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,0,4,0,4
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,31,18,31,18,49
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,25,14,25,14,39
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,76,27,76,27,103
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,1,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,13,14,13,14,27
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,0,7,0,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,66,0,66,0,66
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,12,5,12,5,17
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,47,10,47,10,57
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,3,3,3,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,24,5,24,5,29
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,39,34,39,34,73
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,14,9,14,9,23
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,27,0,27,0,27
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,0,4,0,4
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,1,1,1,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,5,6,5,6,11
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,19,0,19,0,19
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,13,0,13,0,13
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,22,0,22,0,22
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1204,93,1204,93,1297
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,0,7,0,7
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,21,3,21,3,24
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,2,6,2,8
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,5,3,5,8
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,1,3,1,4
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,3,3,3,6
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,5,1,5,1,6
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,3,1,3,4
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,5,4,5,9
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,9,2,9,11
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,11,0,11,0,11
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,5,59,5,59,64
SICAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,3,2,3,5
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,76,13,76,13,89
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,1,0,1,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,5,0,5,0,5
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,21,4,21,25
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,259,27,259,27,286
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,0,1,0,1
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,10,1,10,1,11
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,4,2,4,6
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,9,9,9,9,18
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,8,1,8,9
TARACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,3,7,3,10
TARATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,11,1,11,1,12
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,303,36,303,36,339
TARVITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,20,15,20,15,35
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,5,4,5,9
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,2,2,2,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,5,4,5,9
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,8,11,8,11,19
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,66,16,66,16,82
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,9,3,9,3,12
TOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,1,4,1,5
TOLATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,3,1,3,1,4
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,1,1,1,1,2
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,9,7,9,16
TOMINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,8,4,8,12
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,20,5,20,5,25
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,12,3,12,3,15
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,108,4,108,4,112
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,45,10,45,10,55
UMALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,11,1,11,1,12
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,10,7,10,7,17
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,0,6,0,6
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,0,7,0,7
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,18,9,18,9,27
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,90,13,90,13,103
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,11,14,11,14,25
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,45,16,45,16,61
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,3,4,3,7
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,9,4,9,4,13
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,54,3,54,3,57
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,7,6,7,13
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,56,17,56,17,73
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,71,8,71,8,79
VITICHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,124,4,124,4,128
YACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,7,5,7,5,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,142,10,142,10,152
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,6,3,6,3,9
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-10-01,2,0,2,0,2
