,group,variable,month,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
LLALLAGUA,vih,total no de personas con prueba rapida,2015-07-01,30,48,78
MACHARETI,vih,total no de personas con prueba rapida,2015-07-01,3,1,4
MAIRANA,vih,total no de personas con prueba rapida,2015-07-01,0,4,4
MAPIRI,vih,total no de personas con prueba rapida,2015-07-01,1,1,2
MIZQUE,vih,total no de personas con prueba rapida,2015-07-01,3,5,8
MOJOCOYA,vih,total no de personas con prueba rapida,2015-07-01,0,3,3
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-07-01,10,28,38
MONTERO,vih,total no de personas con prueba rapida,2015-07-01,399,393,792
MOROCHATA,vih,total no de personas con prueba rapida,2015-07-01,0,3,3
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-07-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-07-01,1,5,6
OCURI,vih,total no de personas con prueba rapida,2015-07-01,0,13,13
ORURO,vih,total no de personas con prueba rapida,2015-07-01,26,323,349
PADCAYA,vih,total no de personas con prueba rapida,2015-07-01,1,9,10
PADILLA,vih,total no de personas con prueba rapida,2015-07-01,1,2,3
PAILON,vih,total no de personas con prueba rapida,2015-07-01,12,45,57
PAMPA GRANDE,vih,total no de personas con prueba rapida,2015-07-01,0,3,3
POCONA,vih,total no de personas con prueba rapida,2015-07-01,4,6,10
POJO (CBBA),vih,total no de personas con prueba rapida,2015-07-01,4,21,25
PORCO,vih,total no de personas con prueba rapida,2015-07-01,1,8,9
POROMA,vih,total no de personas con prueba rapida,2015-07-01,0,6,6
PORONGO,vih,total no de personas con prueba rapida,2015-07-01,3,1,4
PORTACHUELO,vih,total no de personas con prueba rapida,2015-07-01,10,28,38
PORVENIR,vih,total no de personas con prueba rapida,2015-07-01,5,3,8
POTOSI,vih,total no de personas con prueba rapida,2015-07-01,5,26,31
PRESTO,vih,total no de personas con prueba rapida,2015-07-01,1,0,1
PUCARANI,vih,total no de personas con prueba rapida,2015-07-01,2,2,4
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-07-01,2,19,21
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-07-01,7,23,30
PUERTO RICO,vih,total no de personas con prueba rapida,2015-07-01,1,6,7
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-07-01,8,2,10
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-07-01,99,112,211
PUNA,vih,total no de personas con prueba rapida,2015-07-01,0,6,6
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-07-01,2,74,76
QUIME,vih,total no de personas con prueba rapida,2015-07-01,2,3,5
RAVELO,vih,total no de personas con prueba rapida,2015-07-01,0,3,3
RIBERALTA,vih,total no de personas con prueba rapida,2015-07-01,6,27,33
ROBORE,vih,total no de personas con prueba rapida,2015-07-01,1,5,6
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-07-01,8,83,91
SABAYA,vih,total no de personas con prueba rapida,2015-07-01,2,4,6
SACABA,vih,total no de personas con prueba rapida,2015-07-01,41,126,167
SACABAMBA,vih,total no de personas con prueba rapida,2015-07-01,6,19,25
SAMAIPATA,vih,total no de personas con prueba rapida,2015-07-01,4,2,6
SAN ANTONIO DE LOMERIO,vih,total no de personas con prueba rapida,2015-07-01,1,0,1
SAN BENITO,vih,total no de personas con prueba rapida,2015-07-01,2,0,2
SAN BORJA,vih,total no de personas con prueba rapida,2015-07-01,4,8,12
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-07-01,2,0,2
SAN CARLOS,vih,total no de personas con prueba rapida,2015-07-01,23,31,54
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-07-01,6,28,34
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-07-01,34,56,90
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-07-01,1,27,28
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-07-01,6,7,13
SAN JUAN DE YAPACANI,vih,total no de personas con prueba rapida,2015-07-01,3,2,5
SAN JULIAN,vih,total no de personas con prueba rapida,2015-07-01,10,28,38
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-07-01,1,1,2
SAN LUCAS,vih,total no de personas con prueba rapida,2015-07-01,2,4,6
SAN MATIAS,vih,total no de personas con prueba rapida,2015-07-01,0,5,5
SAN PEDRO,vih,total no de personas con prueba rapida,2015-07-01,1,3,4
SAN RAFAEL,vih,total no de personas con prueba rapida,2015-07-01,1,1,2
SAN RAMON BENI,vih,total no de personas con prueba rapida,2015-07-01,5,0,5
SAN RAMON SCZ,vih,total no de personas con prueba rapida,2015-07-01,1,0,1
SANTA ANA,vih,total no de personas con prueba rapida,2015-07-01,4,2,6
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-07-01,577,1626,2203
SANTA ROSA,vih,total no de personas con prueba rapida,2015-07-01,0,6,6
SANTA ROSA DEL SARA,vih,total no de personas con prueba rapida,2015-07-01,2,10,12
SANTIAGO DE HUARI,vih,total no de personas con prueba rapida,2015-07-01,82,75,157
SANTIAGO DE MACHACA,vih,total no de personas con prueba rapida,2015-07-01,0,1,1
SANTIVAÑES,vih,total no de personas con prueba rapida,2015-07-01,1,3,4
SENA,vih,total no de personas con prueba rapida,2015-07-01,2,10,12
SHINAOTA,vih,total no de personas con prueba rapida,2015-07-01,13,9,22
SICAYA,vih,total no de personas con prueba rapida,2015-07-01,3,3,6
SIPE SIPE,vih,total no de personas con prueba rapida,2015-07-01,0,8,8
SOPACHUY,vih,total no de personas con prueba rapida,2015-07-01,29,30,59
SORATA,vih,total no de personas con prueba rapida,2015-07-01,1,0,1
SUCRE,vih,total no de personas con prueba rapida,2015-07-01,183,400,583
TAPACARI,vih,total no de personas con prueba rapida,2015-07-01,2,47,49
TARABUCO,vih,total no de personas con prueba rapida,2015-07-01,4,53,57
TARATA,vih,total no de personas con prueba rapida,2015-07-01,0,2,2
TARIJA,vih,total no de personas con prueba rapida,2015-07-01,45,136,181
TARVITA,vih,total no de personas con prueba rapida,2015-07-01,2,16,18
TEOPONTE,vih,total no de personas con prueba rapida,2015-07-01,1,11,12
TIAWANACU,vih,total no de personas con prueba rapida,2015-07-01,1,8,9
TIPUANI,vih,total no de personas con prueba rapida,2015-07-01,1,1,2
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-07-01,15,61,76
TOLATA,vih,total no de personas con prueba rapida,2015-07-01,13,31,44
TOMINA,vih,total no de personas con prueba rapida,2015-07-01,1,3,4
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-07-01,13,23,36
TOTORA(ORR),vih,total no de personas con prueba rapida,2015-07-01,1,0,1
TRINIDAD,vih,total no de personas con prueba rapida,2015-07-01,32,33,65
TUPIZA,vih,total no de personas con prueba rapida,2015-07-01,1,21,22
TURCO,vih,total no de personas con prueba rapida,2015-07-01,1,0,1
UNCIA,vih,total no de personas con prueba rapida,2015-07-01,1,3,4
URUBICHA,vih,total no de personas con prueba rapida,2015-07-01,20,20,40
UYUNI,vih,total no de personas con prueba rapida,2015-07-01,0,39,39
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-07-01,1,3,4
VIACHA,vih,total no de personas con prueba rapida,2015-07-01,13,262,275
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-07-01,2,8,10
VILLA MONTES,vih,total no de personas con prueba rapida,2015-07-01,16,33,49
VILLA RIVERO,vih,total no de personas con prueba rapida,2015-07-01,2,9,11
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-07-01,13,25,38
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-07-01,59,296,355
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-07-01,31,17,48
VILLAZON,vih,total no de personas con prueba rapida,2015-07-01,18,24,42
VINTO,vih,total no de personas con prueba rapida,2015-07-01,0,43,43
WARNES,vih,total no de personas con prueba rapida,2015-07-01,16,12,28
YACUIBA,vih,total no de personas con prueba rapida,2015-07-01,29,44,73
YAMPARAEZ,vih,total no de personas con prueba rapida,2015-07-01,1,1,2
YAPACANI,vih,total no de personas con prueba rapida,2015-07-01,23,40,63
YOTALA,vih,total no de personas con prueba rapida,2015-07-01,0,9,9
YUNCHARA,vih,total no de personas con prueba rapida,2015-07-01,2,4,6
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-07-01,2,3,5
ACACIO,vih,total no de personas con prueba rapida,2015-08-01,0,3,3
ACHACACHI,vih,total no de personas con prueba rapida,2015-08-01,21,27,48
AIQUILE,vih,total no de personas con prueba rapida,2015-08-01,3,18,21
ALCALA,vih,total no de personas con prueba rapida,2015-08-01,14,8,22
ANDAMARCA,vih,total no de personas con prueba rapida,2015-08-01,0,12,12
APOLO,vih,total no de personas con prueba rapida,2015-08-01,3,21,24
ARBIETO,vih,total no de personas con prueba rapida,2015-08-01,1,0,1
ARQUE,vih,total no de personas con prueba rapida,2015-08-01,3,1,4
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-08-01,61,191,252
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-08-01,99,82,181
AZURDUY,vih,total no de personas con prueba rapida,2015-08-01,2,16,18
BELEN DE ANDAMARCA,vih,total no de personas con prueba rapida,2015-08-01,0,1,1
BERMEJO,vih,total no de personas con prueba rapida,2015-08-01,0,19,19
BETANZOS,vih,total no de personas con prueba rapida,2015-08-01,5,2,7
BOLIVAR,vih,total no de personas con prueba rapida,2015-08-01,0,1,1
BOYUIBE,vih,total no de personas con prueba rapida,2015-08-01,1,0,1
CABEZAS,vih,total no de personas con prueba rapida,2015-08-01,0,2,2
"CAIZA ""D""",vih,total no de personas con prueba rapida,2015-08-01,1,0,1
CAMARGO,vih,total no de personas con prueba rapida,2015-08-01,1,181,182
CAMIRI,vih,total no de personas con prueba rapida,2015-08-01,5,33,38
CAPINOTA,vih,total no de personas con prueba rapida,2015-08-01,4,15,19
CARACOLLO,vih,total no de personas con prueba rapida,2015-08-01,0,2,2
CARANAVI,vih,total no de personas con prueba rapida,2015-08-01,44,24,68
CARAPARI,vih,total no de personas con prueba rapida,2015-08-01,0,4,4
CARIPUYO,vih,total no de personas con prueba rapida,2015-08-01,0,1,1
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-08-01,17,28,45
CHALLAPATA,vih,total no de personas con prueba rapida,2015-08-01,10,158,168
CHIMORE,vih,total no de personas con prueba rapida,2015-08-01,14,10,24
CHIPAYA,vih,total no de personas con prueba rapida,2015-08-01,1,1,2
CHOQUE COTA,vih,total no de personas con prueba rapida,2015-08-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-08-01,3,6,9
CHUQUIHUTA AYLLU JUCUMANI,vih,total no de personas con prueba rapida,2015-08-01,1,14,15
COBIJA,vih,total no de personas con prueba rapida,2015-08-01,236,273,509
COCHABAMBA,vih,total no de personas con prueba rapida,2015-08-01,190,286,476
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-08-01,2,27,29
COLOMI,vih,total no de personas con prueba rapida,2015-08-01,0,43,43
COLPA BELGICA,vih,total no de personas con prueba rapida,2015-08-01,1,2,3
COMARAPA,vih,total no de personas con prueba rapida,2015-08-01,36,28,64
COROICO,vih,total no de personas con prueba rapida,2015-08-01,3,4,7
CORQUE,vih,total no de personas con prueba rapida,2015-08-01,0,1,1
COTOCA,vih,total no de personas con prueba rapida,2015-08-01,3,3,6
CUATRO CAÑADAS,vih,total no de personas con prueba rapida,2015-08-01,3,3,6
CULPINA,vih,total no de personas con prueba rapida,2015-08-01,1,2,3
DESAGUADERO,vih,total no de personas con prueba rapida,2015-08-01,4,7,11
EL ALTO,vih,total no de personas con prueba rapida,2015-08-01,71,916,987
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-08-01,201,127,328
EL PUENTE(TJA),vih,total no de personas con prueba rapida,2015-08-01,1,0,1
EL TORNO,vih,total no de personas con prueba rapida,2015-08-01,53,143,196
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-08-01,0,15,15
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-08-01,225,18,243
EUCALIPTUS,vih,total no de personas con prueba rapida,2015-08-01,0,2,2
FILADELFIA,vih,total no de personas con prueba rapida,2015-08-01,130,43,173
GENERAL SAAVEDRA,vih,total no de personas con prueba rapida,2015-08-01,0,4,4
GUANAY,vih,total no de personas con prueba rapida,2015-08-01,3,9,12
GUAQUI,vih,total no de personas con prueba rapida,2015-08-01,3,4,7
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-08-01,274,145,419
GUTIERREZ,vih,total no de personas con prueba rapida,2015-08-01,0,5,5
HUACARETA,vih,total no de personas con prueba rapida,2015-08-01,0,4,4
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-08-01,0,2,2
HUANUNI,vih,total no de personas con prueba rapida,2015-08-01,13,71,84
ICLA,vih,total no de personas con prueba rapida,2015-08-01,1,5,6
INCAHUASI,vih,total no de personas con prueba rapida,2015-08-01,2,3,5
IRUPANA (VILLA DE LANZA),vih,total no de personas con prueba rapida,2015-08-01,1,3,4
LA ASUNTA,vih,total no de personas con prueba rapida,2015-08-01,3,2,5
LA GUARDIA,vih,total no de personas con prueba rapida,2015-08-01,14,26,40
LA PAZ,vih,total no de personas con prueba rapida,2015-08-01,495,1013,1508
LAJA,vih,total no de personas con prueba rapida,2015-08-01,2,3,5
LAS CARRERAS,vih,total no de personas con prueba rapida,2015-08-01,0,2,2
LLALLAGUA,vih,total no de personas con prueba rapida,2015-08-01,6,249,255
MACHACAMARCA,vih,total no de personas con prueba rapida,2015-08-01,1,0,1
MACHARETI,vih,total no de personas con prueba rapida,2015-08-01,3,19,22
MAIRANA,vih,total no de personas con prueba rapida,2015-08-01,0,2,2
MAPIRI,vih,total no de personas con prueba rapida,2015-08-01,7,0,7
MIZQUE,vih,total no de personas con prueba rapida,2015-08-01,3,9,12
MOJINETE,vih,total no de personas con prueba rapida,2015-08-01,5,9,14
MOJOCOYA,vih,total no de personas con prueba rapida,2015-08-01,11,10,21
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-08-01,34,49,83
MONTERO,vih,total no de personas con prueba rapida,2015-08-01,357,553,910
MOROCHATA,vih,total no de personas con prueba rapida,2015-08-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-08-01,19,85,104
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-08-01,0,3,3
OCURI,vih,total no de personas con prueba rapida,2015-08-01,0,4,4
ORURO,vih,total no de personas con prueba rapida,2015-08-01,175,374,549
PADCAYA,vih,total no de personas con prueba rapida,2015-08-01,0,24,24
PADILLA,vih,total no de personas con prueba rapida,2015-08-01,1,5,6
PAILON,vih,total no de personas con prueba rapida,2015-08-01,12,61,73
POCOATA,vih,total no de personas con prueba rapida,2015-08-01,0,3,3
POJO (CBBA),vih,total no de personas con prueba rapida,2015-08-01,12,21,33
PORCO,vih,total no de personas con prueba rapida,2015-08-01,0,14,14
PORONGO,vih,total no de personas con prueba rapida,2015-08-01,0,14,14
PORTACHUELO,vih,total no de personas con prueba rapida,2015-08-01,10,21,31
POTOSI,vih,total no de personas con prueba rapida,2015-08-01,44,100,144
PUCARANI,vih,total no de personas con prueba rapida,2015-08-01,2,0,2
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-08-01,35,69,104
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-08-01,5,6,11
PUERTO RICO,vih,total no de personas con prueba rapida,2015-08-01,0,3,3
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-08-01,3,1,4
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-08-01,86,132,218
PUNA,vih,total no de personas con prueba rapida,2015-08-01,4,25,29
PUNATA,vih,total no de personas con prueba rapida,2015-08-01,14,160,174
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-08-01,18,103,121
QUIME,vih,total no de personas con prueba rapida,2015-08-01,4,10,14
REYES,vih,total no de personas con prueba rapida,2015-08-01,1,0,1
RIBERALTA,vih,total no de personas con prueba rapida,2015-08-01,21,36,57
ROBORE,vih,total no de personas con prueba rapida,2015-08-01,4,3,7
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-08-01,6,60,66
SABAYA,vih,total no de personas con prueba rapida,2015-08-01,2,2,4
SACABA,vih,total no de personas con prueba rapida,2015-08-01,18,54,72
SAIPINA,vih,total no de personas con prueba rapida,2015-08-01,1,5,6
SAMAIPATA,vih,total no de personas con prueba rapida,2015-08-01,30,40,70
SAN BORJA,vih,total no de personas con prueba rapida,2015-08-01,4,13,17
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-08-01,6,1,7
SAN CARLOS,vih,total no de personas con prueba rapida,2015-08-01,33,30,63
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-08-01,3,28,31
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-08-01,52,67,119
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-08-01,0,25,25
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-08-01,12,9,21
SAN JUAN DE YAPACANI,vih,total no de personas con prueba rapida,2015-08-01,0,3,3
SAN JULIAN,vih,total no de personas con prueba rapida,2015-08-01,16,42,58
SAN LORENZO(PND),vih,total no de personas con prueba rapida,2015-08-01,12,18,30
SAN LUCAS,vih,total no de personas con prueba rapida,2015-08-01,5,38,43
SAN MATIAS,vih,total no de personas con prueba rapida,2015-08-01,1,45,46
SAN MIGUEL DE VELASCO,vih,total no de personas con prueba rapida,2015-08-01,1,0,1
SAN PEDRO,vih,total no de personas con prueba rapida,2015-08-01,1,1,2
SAN PEDRO(PND),vih,total no de personas con prueba rapida,2015-08-01,0,1,1
SAN RAMON BENI,vih,total no de personas con prueba rapida,2015-08-01,0,2,2
SAN RAMON SCZ,vih,total no de personas con prueba rapida,2015-08-01,2,26,28
SANTA ANA,vih,total no de personas con prueba rapida,2015-08-01,1,5,6
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-08-01,508,1715,2223
SANTUARIO DE QUILLACAS,vih,total no de personas con prueba rapida,2015-08-01,3,0,3
SHINAOTA,vih,total no de personas con prueba rapida,2015-08-01,37,38,75
SICAYA,vih,total no de personas con prueba rapida,2015-08-01,2,6,8
SIPE SIPE,vih,total no de personas con prueba rapida,2015-08-01,4,27,31
SOPACHUY,vih,total no de personas con prueba rapida,2015-08-01,13,19,32
SORATA,vih,total no de personas con prueba rapida,2015-08-01,1,1,2
SUCRE,vih,total no de personas con prueba rapida,2015-08-01,316,345,661
TACOBAMBA,vih,total no de personas con prueba rapida,2015-08-01,1,0,1
TAPACARI,vih,total no de personas con prueba rapida,2015-08-01,7,13,20
TARABUCO,vih,total no de personas con prueba rapida,2015-08-01,17,46,63
TARATA,vih,total no de personas con prueba rapida,2015-08-01,0,4,4
TARIJA,vih,total no de personas con prueba rapida,2015-08-01,85,270,355
TARVITA,vih,total no de personas con prueba rapida,2015-08-01,8,43,51
TEOPONTE,vih,total no de personas con prueba rapida,2015-08-01,0,11,11
TIAWANACU,vih,total no de personas con prueba rapida,2015-08-01,0,8,8
TIPUANI,vih,total no de personas con prueba rapida,2015-08-01,2,0,2
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-08-01,16,77,93
TOCO,vih,total no de personas con prueba rapida,2015-08-01,2,10,12
TOLATA,vih,total no de personas con prueba rapida,2015-08-01,0,1,1
TOMINA,vih,total no de personas con prueba rapida,2015-08-01,0,6,6
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-08-01,7,18,25
TOTORA(ORR),vih,total no de personas con prueba rapida,2015-08-01,0,1,1
TRINIDAD,vih,total no de personas con prueba rapida,2015-08-01,75,148,223
TUPIZA,vih,total no de personas con prueba rapida,2015-08-01,7,7,14
UNCIA,vih,total no de personas con prueba rapida,2015-08-01,3,1,4
URUBICHA,vih,total no de personas con prueba rapida,2015-08-01,45,33,78
UYUNI,vih,total no de personas con prueba rapida,2015-08-01,0,25,25
VACAS,vih,total no de personas con prueba rapida,2015-08-01,0,5,5
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-08-01,3,6,9
VIACHA,vih,total no de personas con prueba rapida,2015-08-01,86,226,312
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-08-01,4,5,9
VILLA MONTES,vih,total no de personas con prueba rapida,2015-08-01,36,40,76
VILLA RIVERO,vih,total no de personas con prueba rapida,2015-08-01,0,5,5
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-08-01,5,13,18
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-08-01,37,45,82
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-08-01,31,3,34
VILLAZON,vih,total no de personas con prueba rapida,2015-08-01,14,29,43
VINTO,vih,total no de personas con prueba rapida,2015-08-01,9,72,81
WARNES,vih,total no de personas con prueba rapida,2015-08-01,22,24,46
YACUIBA,vih,total no de personas con prueba rapida,2015-08-01,20,37,57
YAMPARAEZ,vih,total no de personas con prueba rapida,2015-08-01,7,24,31
YAPACANI,vih,total no de personas con prueba rapida,2015-08-01,14,39,53
YOTALA,vih,total no de personas con prueba rapida,2015-08-01,0,8,8
YUNCHARA,vih,total no de personas con prueba rapida,2015-08-01,6,11,17
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-08-01,4,5,9
ACHACACHI,vih,total no de personas con prueba rapida,2015-09-01,31,24,55
AIQUILE,vih,total no de personas con prueba rapida,2015-09-01,8,12,20
ALCALA,vih,total no de personas con prueba rapida,2015-09-01,2,2,4
ANCORAIMES,vih,total no de personas con prueba rapida,2015-09-01,1,2,3
ANDAMARCA,vih,total no de personas con prueba rapida,2015-09-01,1,8,9
ARBIETO,vih,total no de personas con prueba rapida,2015-09-01,6,1,7
ARQUE,vih,total no de personas con prueba rapida,2015-09-01,1,8,9
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-09-01,28,122,150
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-09-01,3,6,9
AZURDUY,vih,total no de personas con prueba rapida,2015-09-01,6,33,39
BELLA FLOR,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
BERMEJO,vih,total no de personas con prueba rapida,2015-09-01,0,18,18
BETANZOS,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
BOLIVAR,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
CABEZAS,vih,total no de personas con prueba rapida,2015-09-01,8,2,10
CAMARGO,vih,total no de personas con prueba rapida,2015-09-01,4,61,65
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-09-01,0,2,2
CAMIRI,vih,total no de personas con prueba rapida,2015-09-01,9,41,50
CAPINOTA,vih,total no de personas con prueba rapida,2015-09-01,3,9,12
CARACOLLO,vih,total no de personas con prueba rapida,2015-09-01,5,13,18
CARANAVI,vih,total no de personas con prueba rapida,2015-09-01,43,33,76
CARAPARI,vih,total no de personas con prueba rapida,2015-09-01,0,3,3
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-09-01,6,34,40
CHALLAPATA,vih,total no de personas con prueba rapida,2015-09-01,10,141,151
CHARAGUA,vih,total no de personas con prueba rapida,2015-09-01,2,0,2
CHIMORE,vih,total no de personas con prueba rapida,2015-09-01,19,73,92
CHIPAYA,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-09-01,6,4,10
CHUMA,vih,total no de personas con prueba rapida,2015-09-01,5,5,10
CHUQUIHUTA AYLLU JUCUMANI,vih,total no de personas con prueba rapida,2015-09-01,1,15,16
CKOCHAS,vih,total no de personas con prueba rapida,2015-09-01,0,3,3
CLIZA,vih,total no de personas con prueba rapida,2015-09-01,1,7,8
COBIJA,vih,total no de personas con prueba rapida,2015-09-01,722,113,835
COCAPATA,vih,total no de personas con prueba rapida,2015-09-01,1,3,4
COCHABAMBA,vih,total no de personas con prueba rapida,2015-09-01,164,395,559
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-09-01,6,21,27
COLOMI,vih,total no de personas con prueba rapida,2015-09-01,1,1,2
COLPA BELGICA,vih,total no de personas con prueba rapida,2015-09-01,13,2,15
COMARAPA,vih,total no de personas con prueba rapida,2015-09-01,5,8,13
COROICO,vih,total no de personas con prueba rapida,2015-09-01,2,1,3
CORQUE,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
COTAGAITA,vih,total no de personas con prueba rapida,2015-09-01,1,2,3
COTOCA,vih,total no de personas con prueba rapida,2015-09-01,27,15,42
CUATRO CAÑADAS,vih,total no de personas con prueba rapida,2015-09-01,7,3,10
CULPINA,vih,total no de personas con prueba rapida,2015-09-01,0,30,30
EL ALTO,vih,total no de personas con prueba rapida,2015-09-01,571,1136,1707
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-09-01,16,30,46
EL PUENTE(TJA),vih,total no de personas con prueba rapida,2015-09-01,1,0,1
EL TORNO,vih,total no de personas con prueba rapida,2015-09-01,70,184,254
EL VILLAR,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
ENTRE RIOS TRJ,vih,total no de personas con prueba rapida,2015-09-01,60,1,61
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-09-01,4,73,77
ESCOMA,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
EUCALIPTUS,vih,total no de personas con prueba rapida,2015-09-01,3,1,4
FERNANDEZ ALONSO,vih,total no de personas con prueba rapida,2015-09-01,1,10,11
FILADELFIA,vih,total no de personas con prueba rapida,2015-09-01,7,24,31
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de personas con prueba rapida,2015-09-01,1,0,1
GUANAY,vih,total no de personas con prueba rapida,2015-09-01,2,2,4
GUAQUI,vih,total no de personas con prueba rapida,2015-09-01,1,2,3
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-09-01,154,10,164
GUTIERREZ,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
HUACARETA,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-09-01,0,2,2
HUANUNI,vih,total no de personas con prueba rapida,2015-09-01,21,125,146
ICLA,vih,total no de personas con prueba rapida,2015-09-01,0,7,7
INCAHUASI,vih,total no de personas con prueba rapida,2015-09-01,0,6,6
IRUPANA (VILLA DE LANZA),vih,total no de personas con prueba rapida,2015-09-01,2,16,18
LA ASUNTA,vih,total no de personas con prueba rapida,2015-09-01,5,3,8
LA GUARDIA,vih,total no de personas con prueba rapida,2015-09-01,58,14,72
LA PAZ,vih,total no de personas con prueba rapida,2015-09-01,531,1168,1699
LAGUNILLAS,vih,total no de personas con prueba rapida,2015-09-01,0,1,1
LLALLAGUA,vih,total no de personas con prueba rapida,2015-09-01,16,9,25
MACHACAMARCA,vih,total no de personas con prueba rapida,2015-09-01,1,0,1
MACHARETI,vih,total no de personas con prueba rapida,2015-09-01,3,13,16
MAIRANA,vih,total no de personas con prueba rapida,2015-09-01,1,5,6
MAPIRI,vih,total no de personas con prueba rapida,2015-09-01,6,2,8
MIZQUE,vih,total no de personas con prueba rapida,2015-09-01,1,12,13
MOJOCOYA,vih,total no de personas con prueba rapida,2015-09-01,2,2,4
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-09-01,14,40,54
