,group,variable,month,VACUNACIONES SRP,VACUNACIONES SRP,TOTALES,TOTALES,TOTALES
VILLA NUEVA (LOMA ALTA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,8,7,8,7,15
VILLA RIVERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,6,2,6,2,8
VILLA SERRANO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,11,14,11,14,25
VILLA TUNARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,106,43,106,43,149
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,9,8,9,8,17
VILLAZON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,88,12,88,12,100
VINTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,78,6,78,6,84
VITICHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,7,7,7,7,14
WALDO BALLIVIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,4,2,4,2,6
WARNES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,80,36,80,36,116
YACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,2,5,2,5,7
YACUIBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,148,31,148,31,179
YAMPARAEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,14,6,14,6,20
YANACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,6,1,6,1,7
YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,72,19,72,19,91
YOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,2,18,2,18,20
YOTALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,5,14,5,14,19
YUNCHARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,5,8,5,8,13
ZUDAÑEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-09-01,1,19,1,19,20
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,10,5,10,15
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,56,55,56,55,111
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,23,3,23,26
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,15,12,15,12,27
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,10,2,10,12
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,10,3,10,13
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,17,6,17,23
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,2,2,2,4
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,2,2,2,4
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,17,4,17,21
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,20,20,20,20,40
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,8,3,8,11
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,8,5,8,5,13
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,15,16,15,16,31
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,11,25,11,25,36
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,88,10,88,10,98
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,7,19,7,19,26
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,6,2,6,8
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,10,5,10,15
AYO AYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,6,2,6,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,23,28,23,28,51
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,18,22,18,22,40
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,18,2,18,2,20
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,7,16,7,16,23
BELEN DE ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,3,1,3,4
BELEN DE URMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,4,0,4,4
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,46,26,46,26,72
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,30,29,30,29,59
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,3,1,3,4
BOLPEBRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,3,0,3,3
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,0,3,0,3
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,17,11,17,11,28
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,18,40,18,40,58
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,8,4,8,12
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,15,0,15,15
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,3,1,3,4
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,7,16,7,16,23
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,14,15,14,15,29
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,2,6,2,8
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,34,6,34,6,40
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,14,0,14,14
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,29,38,29,38,67
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,82,71,82,71,153
CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,1,0,1,1
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,10,8,10,8,18
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,28,6,28,34
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,10,2,10,12
CHACARILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,2,1,2,3
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,47,25,47,25,72
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,14,17,14,17,31
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,9,7,9,7,16
CHARAÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,3,6,3,9
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,17,13,17,13,30
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,36,13,36,13,49
CHIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,0,3,0,3
CHOQUE COTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,17,15,17,15,32
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,14,3,14,17
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,19,14,19,14,33
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,95,4,95,4,99
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1279,128,1279,128,1407
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,76,18,76,18,94
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,14,4,14,4,18
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,0,1,0,1
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,34,29,34,29,63
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,5,6,5,11
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,36,81,36,81,117
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,14,8,14,8,22
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,13,26,13,26,39
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,1,2,1,3
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,24,9,24,9,33
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,3,0,3,3
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,12,2,12,2,14
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,12,10,12,10,22
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,21,16,21,16,37
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,9,2,9,11
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,18,11,18,11,29
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,10,5,10,15
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,11,36,11,36,47
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,94,21,94,21,115
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,30,27,30,27,57
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,4,3,4,7
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,33,12,33,12,45
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,1,3,1,4
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,3,2,3,5
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,3,6,3,9
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1375,202,1375,202,1577
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,11,1,11,12
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,10,10,10,10,20
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,14,8,14,8,22
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,100,29,100,29,129
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,3,0,3,3
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,39,43,39,43,82
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,27,21,27,21,48
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,9,0,9,0,9
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,15,15,15,15,30
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,15,2,15,17
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,36,8,36,8,44
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,9,14,9,14,23
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,17,9,17,9,26
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,10,0,10,10
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,58,16,58,16,74
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,20,7,20,7,27
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,12,6,12,18
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,5,1,5,6
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,40,2,40,2,42
HUARACAJE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,1,4,1,5
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,4,3,4,7
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,7,9,7,9,16
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,17,6,17,23
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,30,28,30,28,58
INGAVI (HUMAITA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,5,1,5,6
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,24,4,24,28
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,20,2,20,22
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,16,4,16,4,20
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,23,1,23,1,24
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,64,42,64,42,106
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,125,8,125,8,133
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1288,89,1288,89,1377
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,5,3,5,8
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,12,7,12,7,19
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,1,3,1,4
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,2,2,2,4
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,40,28,40,28,68
LLICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,7,2,7,2,9
LORETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,7,9,7,9,16
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,3,6,3,9
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,2,5,2,7
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,5,2,5,7
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,10,6,10,6,16
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,8,0,8,0,8
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,7,0,7,7
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,8,15,8,15,23
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,5,4,5,9
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,35,11,35,11,46
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,36,31,36,31,67
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,17,4,17,21
MOJINETE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,0,1,0,1
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,7,3,7,3,10
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,22,17,22,17,39
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,164,54,164,54,218
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,23,57,23,57,80
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,0,4,0,4
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,11,46,11,46,57
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,12,9,12,9,21
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,16,3,16,19
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,483,322,483,322,805
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,18,17,18,17,35
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,10,9,10,9,19
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,42,79,42,79,121
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,17,5,17,22
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,21,11,21,11,32
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,1,6,1,7
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,14,3,14,3,17
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,14,1,14,15
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,1,2,1,3
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,27,11,27,11,38
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,1,5,1,6
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,5,5,5,10
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,49,6,49,55
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,15,19,15,19,34
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,18,21,18,21,39
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,11,5,11,5,16
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,20,8,20,8,28
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,15,19,15,19,34
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,14,15,14,15,29
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,15,2,15,2,17
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,6,0,6,6
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,1,2,1,3
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,370,25,370,25,395
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,8,12,8,12,20
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,0,1,0,1
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,29,34,29,34,63
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,17,28,17,28,45
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,6,16,6,16,22
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,13,2,13,15
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,13,2,13,15
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,10,26,10,26,36
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,10,2,10,2,12
PUERTO SILES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,21,5,21,5,26
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,60,18,60,18,78
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,30,48,30,48,78
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,45,2,45,2,47
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,5,1,5,6
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,167,71,167,71,238
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,0,13,0,13,13
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,0,2,0,2
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,18,39,18,39,57
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,15,14,15,14,29
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,128,65,128,65,193
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,34,3,34,3,37
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,23,9,23,9,32
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,0,5,0,5
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,195,79,195,79,274
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,6,1,6,7
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,9,29,9,29,38
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,8,5,8,13
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,10,13,10,13,23
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,4,4,4,8
SAN AGUSTIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,9,0,9,0,9
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,8,27,8,27,35
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,2,3,2,5
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,5,2,5,2,7
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,6,4,6,10
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,18,5,18,5,23
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,45,61,45,61,106
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,17,6,17,6,23
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,7,7,7,7,14
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,42,31,42,31,73
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,83,44,83,44,127
SAN JAVIER(BNI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,8,2,8,10
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,27,18,27,18,45
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,7,6,7,6,13
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,32,14,32,14,46
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,3,10,3,10,13
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,59,70,59,70,129
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,4,6,4,6,10
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,22,17,22,17,39
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,19,44,19,44,63
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,26,29,26,29,55
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,13,18,13,18,31
SAN PABLO DE LIPEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,9,0,9,0,9
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,18,8,18,8,26
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,16,87,16,87,103
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,1,20,1,20,21
SAN PEDRO DE QUEMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-10-01,2,0,2,0,2
