,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,8,0,8,8
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,4,21,4,21,25
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,3,60,3,60,63
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,10,21,10,21,31
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,23,13,23,13,36
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,0,1,0,1
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,9,8,9,8,17
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,29,5,29,34
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,11,8,11,8,19
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,16,5,16,5,21
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,0,5,0,5
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,2,2,2,4
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,330,33,330,33,363
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,12,33,12,33,45
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,3,2,3,5
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,10,50,10,50,60
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,4,51,4,51,55
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,20,2,20,22
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,3,6,3,6,9
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,13,2,13,15
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,19,22,19,22,41
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,17,7,17,7,24
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,83,30,83,30,113
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,17,59,17,59,76
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,41,7,41,7,48
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,6,0,6,6
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,68,9,68,9,77
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,15,0,15,15
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,0,5,0,5
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,43,5,43,48
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,18,10,18,10,28
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,171,87,171,87,258
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,22,1,22,23
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,19,5,19,5,24
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,2,2,2,4
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,172,46,172,46,218
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,7,8,7,8,15
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,33,27,33,27,60
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,7,0,7,7
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,7,16,7,16,23
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,17,2,17,19
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,9,0,9,9
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,2,1,2,3
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,9,5,9,5,14
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,11,16,11,16,27
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,21,20,21,20,41
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,3,22,3,22,25
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,17,22,17,22,39
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,7,25,7,25,32
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,10,0,10,0,10
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,7,0,7,0,7
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,7,5,7,12
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,15,0,15,0,15
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,9,6,9,6,15
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,31,5,31,36
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,10,10,10,10,20
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,13,12,13,12,25
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,19,61,19,61,80
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,24,4,24,4,28
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,13,60,13,60,73
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,6,0,6,6
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,8,0,8,8
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,10,0,10,0,10
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,15,1,15,16
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,11,19,11,19,30
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,857,29,857,29,886
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,9,10,9,10,19
SANTIAGO DE CALLAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,7,2,7,9
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,3,18,3,18,21
SANTIAGO DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,7,0,7,7
SANTUARIO DE QUILLACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,2,2,2,4
SAPAHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,10,1,10,11
SENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,7,14,7,14,21
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,13,28,13,28,41
SICAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,10,0,10,10
SIPE SIPE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,39,25,39,25,64
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,10,11,10,11,21
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,9,1,9,10
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,12,35,12,35,47
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,338,139,338,139,477
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,9,14,9,14,23
TACOBAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,20,0,20,20
TACOPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,7,10,7,10,17
TAPACARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,24,19,24,19,43
TARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,20,26,20,26,46
TARACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,11,5,11,16
TARATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,8,0,8,8
TARIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,269,54,269,54,323
TARVITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,7,11,7,11,18
TEOPONTE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,7,22,7,22,29
TIAWANACU,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,6,12,6,12,18
TINGUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,8,46,8,46,54
TIPUANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,14,9,14,9,23
TIQUIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,63,18,63,18,81
TIRAQUE (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,72,17,72,17,89
TOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,4,15,4,15,19
TODOS SANTOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,0,2,0,2
TOLATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,9,3,9,3,12
TOLEDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,2,5,2,7
TOMAVE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,14,1,14,15
TOMINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,12,2,12,14
TORO TORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,20,15,20,15,35
TOTORA(CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,9,13,9,13,22
TOTORA(ORR),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,3,4,3,4,7
TRINIDAD,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,94,48,94,48,142
TUPIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,43,8,43,8,51
TURCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,3,1,3,4
UMALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,14,0,14,14
UNCIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,8,36,8,36,44
URIONDO (A. CONCEPCION),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,31,5,31,36
URUBICHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,8,1,8,9
UYUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,21,40,21,40,61
VACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,4,14,4,14,18
VALLEGRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,20,2,20,2,22
VIACHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,75,25,75,25,100
VILA VILA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,6,9,6,9,15
VILLA MONTES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,32,36,32,36,68
VILLA NUEVA (LOMA ALTA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,8,5,8,5,13
VILLA RIVERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,7,4,7,4,11
VILLA SERRANO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,11,16,11,16,27
VILLA TUNARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,94,42,94,42,136
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,12,7,12,7,19
VILLAZON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,10,6,10,6,16
VINTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,82,8,82,8,90
VITICHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,4,8,4,8,12
WALDO BALLIVIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,0,5,0,5,5
WARNES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,46,25,46,25,71
YACO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,2,5,2,5,7
YACUIBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,113,40,113,40,153
YAMPARAEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,16,6,16,6,22
YANACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,6,6,6,6,12
YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,4,6,4,6,10
YOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,1,18,1,18,19
YOTALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,6,12,6,12,18
YUNCHARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,5,6,5,6,11
ZUDAÑEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-09-01,3,23,3,23,26
ACACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,10,3,10,13
ACHACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,27,36,27,36,63
ACHOCALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,18,0,18,18
AIQUILE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,15,10,15,10,25
ALALAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,7,3,7,10
ALCALA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,10,3,10,13
ANCORAIMES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,25,3,25,28
ANDAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,2,2,2,2,4
ANTEQUERA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,7,0,7,7
ANZALDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,2,0,2,2
APOLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,27,19,27,19,46
ARAMPAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,5,17,5,17,22
ARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,6,0,6,0,6
ARBIETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,10,14,10,14,24
ARQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,7,24,7,24,31
ASCENCION DE GUARAYOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,8,0,8,8
ATOCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,23,0,23,23
AUCAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,2,0,2,2
AYATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,5,10,5,10,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,23,15,23,15,38
AZURDUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,15,18,15,18,33
BATALLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,18,4,18,4,22
BAURES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,11,0,11,11
BELEN DE URMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,1,0,1,1
BERMEJO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,15,13,15,13,28
BETANZOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,29,46,29,46,75
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,3,0,3,3
BOLPEBRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,1,0,1,1
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,0,3,0,3
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,11,7,11,7,18
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,11,47,11,47,58
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,4,8,4,8,12
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,21,0,21,21
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,5,0,5,0,5
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,1,0,1,1
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,1,20,1,20,21
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,12,6,12,6,18
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,6,2,6,2,8
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,9,2,9,2,11
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,11,0,11,11
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,26,26,26,26,52
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,61,41,61,41,102
CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,1,0,1,1
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,4,3,4,7
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,5,28,5,28,33
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,2,6,2,6,8
CHACARILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,1,5,1,5,6
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,34,26,34,26,60
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,9,14,9,14,23
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,2,7,2,7,9
CHARAÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,5,4,5,4,9
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,8,26,8,26,34
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,32,12,32,12,44
CHIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,19,6,19,6,25
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,8,23,8,23,31
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,8,3,8,11
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,86,14,86,14,100
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,389,13,389,13,402
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,0,3,0,3
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,6,6,6,6,12
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,1,0,1,0,1
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,1,14,1,14,15
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,36,63,36,63,99
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,5,8,5,8,13
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,19,0,19,19
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,2,6,2,6,8
COMBAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,3,0,3,3
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,11,13,11,13,24
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,9,0,9,9
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,1,11,1,11,12
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,16,13,16,13,29
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,4,10,4,10,14
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,8,29,8,29,37
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,23,5,23,5,28
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,10,10,10,10,20
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,2,4,2,4,6
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,22,3,22,3,25
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,2,3,2,3,5
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,3,2,3,2,5
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,2,6,2,6,8
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,869,84,869,84,953
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,1,10,1,10,11
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,6,7,6,7,13
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,0,3,0,3,3
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,36,42,36,42,78
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,9,24,9,24,33
ESMERALDA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-10-01,2,0,2,0,2
