,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,TOTALES,TOTALES,TOTALES
CORO CORO,consulta externa,personas de 60 anos y mas,2009-10-01,37,35,0,1,37,36,73
COROICO,consulta externa,personas de 60 anos y mas,2009-10-01,102,90,55,79,157,169,326
CORQUE,consulta externa,personas de 60 anos y mas,2009-10-01,69,63,2,3,71,66,137
COTAGAITA,consulta externa,personas de 60 anos y mas,2009-10-01,132,310,6,4,138,314,452
COTOCA,consulta externa,personas de 60 anos y mas,2009-10-01,128,137,49,77,177,214,391
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2009-10-01,28,46,0,8,28,54,82
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2009-10-01,8,14,1,9,9,23,32
CUEVO,consulta externa,personas de 60 anos y mas,2009-10-01,39,69,3,9,42,78,120
CULPINA,consulta externa,personas de 60 anos y mas,2009-10-01,132,185,1,3,133,188,321
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2009-10-01,40,37,1,1,41,38,79
CURVA,consulta externa,personas de 60 anos y mas,2009-10-01,10,17,0,1,10,18,28
DESAGUADERO,consulta externa,personas de 60 anos y mas,2009-10-01,21,20,1,4,22,24,46
EL ALTO,consulta externa,personas de 60 anos y mas,2009-10-01,2371,2698,1166,1217,3537,3915,7452
EL CHORO,consulta externa,personas de 60 anos y mas,2009-10-01,23,37,2,0,25,37,62
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2009-10-01,33,48,2,4,35,52,87
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2009-10-01,93,130,6,4,99,134,233
EL TORNO,consulta externa,personas de 60 anos y mas,2009-10-01,270,460,272,400,542,860,1402
EL VILLAR,consulta externa,personas de 60 anos y mas,2009-10-01,35,80,2,7,37,87,124
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2009-10-01,37,20,2,0,39,20,59
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2009-10-01,145,161,5,5,150,166,316
ESCARA,consulta externa,personas de 60 anos y mas,2009-10-01,1,4,0,0,1,4,5
ESMERALDA,consulta externa,personas de 60 anos y mas,2009-10-01,3,7,0,0,3,7,10
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2009-10-01,32,39,1,7,33,46,79
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2009-10-01,1,1,0,0,1,1,2
EXALTACION,consulta externa,personas de 60 anos y mas,2009-10-01,18,20,0,1,18,21,39
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2009-10-01,65,73,1,8,66,81,147
FILADELFIA,consulta externa,personas de 60 anos y mas,2009-10-01,13,11,1,0,14,11,25
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2009-10-01,26,45,0,1,26,46,72
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2009-10-01,55,66,7,10,62,76,138
GUANAY,consulta externa,personas de 60 anos y mas,2009-10-01,61,53,78,46,139,99,238
GUAQUI,consulta externa,personas de 60 anos y mas,2009-10-01,57,85,2,9,59,94,153
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2009-10-01,713,796,411,428,1124,1224,2348
GUTIERREZ,consulta externa,personas de 60 anos y mas,2009-10-01,58,96,0,1,58,97,155
HUACARETA,consulta externa,personas de 60 anos y mas,2009-10-01,66,109,20,19,86,128,214
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2009-10-01,25,104,0,0,25,104,129
HUACHACALLA,consulta externa,personas de 60 anos y mas,2009-10-01,13,25,0,1,13,26,39
HUANUNI,consulta externa,personas de 60 anos y mas,2009-10-01,142,154,78,71,220,225,445
HUARACAJE,consulta externa,personas de 60 anos y mas,2009-10-01,8,17,0,2,8,19,27
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2009-10-01,44,52,5,4,49,56,105
ICHOCA,consulta externa,personas de 60 anos y mas,2009-10-01,26,22,8,1,34,23,57
ICLA,consulta externa,personas de 60 anos y mas,2009-10-01,53,89,3,0,56,89,145
INCAHUASI,consulta externa,personas de 60 anos y mas,2009-10-01,156,274,51,36,207,310,517
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2009-10-01,4,8,2,5,6,13,19
INQUISIVI,consulta externa,personas de 60 anos y mas,2009-10-01,40,41,4,0,44,41,85
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2009-10-01,133,112,31,34,164,146,310
IXIAMAS,consulta externa,personas de 60 anos y mas,2009-10-01,18,16,3,4,21,20,41
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2009-10-01,180,221,69,62,249,283,532
LA ASUNTA,consulta externa,personas de 60 anos y mas,2009-10-01,52,50,4,2,56,52,108
LA GUARDIA,consulta externa,personas de 60 anos y mas,2009-10-01,212,286,41,52,253,338,591
LA PAZ,consulta externa,personas de 60 anos y mas,2009-10-01,8299,20019,10974,12371,19273,32390,51663
LA RIVERA,consulta externa,personas de 60 anos y mas,2009-10-01,0,6,0,0,0,6,6
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2009-10-01,54,76,5,10,59,86,145
LAJA,consulta externa,personas de 60 anos y mas,2009-10-01,72,41,28,12,100,53,153
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2009-10-01,36,64,1,9,37,73,110
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2009-10-01,25,21,3,4,28,25,53
LLALLAGUA,consulta externa,personas de 60 anos y mas,2009-10-01,77,140,3,5,80,145,225
LLICA,consulta externa,personas de 60 anos y mas,2009-10-01,60,63,14,11,74,74,148
LORETO,consulta externa,personas de 60 anos y mas,2009-10-01,44,36,1,1,45,37,82
LURIBAY,consulta externa,personas de 60 anos y mas,2009-10-01,68,78,4,6,72,84,156
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2009-10-01,52,60,19,28,71,88,159
MACHARETI,consulta externa,personas de 60 anos y mas,2009-10-01,80,106,3,2,83,108,191
MAGDALENA,consulta externa,personas de 60 anos y mas,2009-10-01,60,43,37,43,97,86,183
MAIRANA,consulta externa,personas de 60 anos y mas,2009-10-01,38,46,0,2,38,48,86
MALLA,consulta externa,personas de 60 anos y mas,2009-10-01,7,6,1,0,8,6,14
MAPIRI,consulta externa,personas de 60 anos y mas,2009-10-01,25,47,0,1,25,48,73
MECAPACA,consulta externa,personas de 60 anos y mas,2009-10-01,34,30,7,7,41,37,78
MINEROS,consulta externa,personas de 60 anos y mas,2009-10-01,15,13,0,0,15,13,28
MIZQUE,consulta externa,personas de 60 anos y mas,2009-10-01,63,78,1,3,64,81,145
MOCOMOCO,consulta externa,personas de 60 anos y mas,2009-10-01,87,63,13,16,100,79,179
MOJINETE,consulta externa,personas de 60 anos y mas,2009-10-01,8,10,0,0,8,10,18
MOJOCOYA,consulta externa,personas de 60 anos y mas,2009-10-01,57,92,6,12,63,104,167
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2009-10-01,378,604,66,80,444,684,1128
MONTERO,consulta externa,personas de 60 anos y mas,2009-10-01,272,469,137,258,409,727,1136
MORO MORO,consulta externa,personas de 60 anos y mas,2009-10-01,32,77,1,5,33,82,115
MOROCHATA,consulta externa,personas de 60 anos y mas,2009-10-01,43,39,7,4,50,43,93
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2009-10-01,23,9,2,0,25,9,34
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2009-10-01,0,3,0,0,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2009-10-01,9,6,0,11,9,17,26
OCURI,consulta externa,personas de 60 anos y mas,2009-10-01,61,73,1,3,62,76,138
OKINAWA,consulta externa,personas de 60 anos y mas,2009-10-01,136,121,22,45,158,166,324
OMEREQUE,consulta externa,personas de 60 anos y mas,2009-10-01,31,50,1,1,32,51,83
ORURO,consulta externa,personas de 60 anos y mas,2009-10-01,3390,7839,1804,2253,5194,10092,15286
PADCAYA,consulta externa,personas de 60 anos y mas,2009-10-01,68,81,0,6,68,87,155
PADILLA,consulta externa,personas de 60 anos y mas,2009-10-01,175,262,44,70,219,332,551
PAILON,consulta externa,personas de 60 anos y mas,2009-10-01,19,27,1,7,20,34,54
PALCA,consulta externa,personas de 60 anos y mas,2009-10-01,47,32,2,4,49,36,85
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2009-10-01,82,40,27,17,109,57,166
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2009-10-01,9,12,0,1,9,13,22
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2009-10-01,18,25,0,2,18,27,45
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2009-10-01,59,83,1,2,60,85,145
PASORAPA,consulta externa,personas de 60 anos y mas,2009-10-01,32,36,0,0,32,36,68
PATACAMAYA,consulta externa,personas de 60 anos y mas,2009-10-01,75,74,4,3,79,77,156
PAZÑA,consulta externa,personas de 60 anos y mas,2009-10-01,29,43,27,38,56,81,137
PELECHUCO,consulta externa,personas de 60 anos y mas,2009-10-01,17,14,0,0,17,14,31
POCOATA,consulta externa,personas de 60 anos y mas,2009-10-01,81,101,2,2,83,103,186
POCONA,consulta externa,personas de 60 anos y mas,2009-10-01,24,44,0,1,24,45,69
POJO (CBBA),consulta externa,personas de 60 anos y mas,2009-10-01,21,40,0,0,21,40,61
POOPO,consulta externa,personas de 60 anos y mas,2009-10-01,38,55,15,19,53,74,127
PORCO,consulta externa,personas de 60 anos y mas,2009-10-01,13,24,0,1,13,25,38
POROMA,consulta externa,personas de 60 anos y mas,2009-10-01,58,119,3,1,61,120,181
PORONGO,consulta externa,personas de 60 anos y mas,2009-10-01,20,30,10,13,30,43,73
PORTACHUELO,consulta externa,personas de 60 anos y mas,2009-10-01,144,140,74,55,218,195,413
PORVENIR,consulta externa,personas de 60 anos y mas,2009-10-01,19,15,1,2,20,17,37
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2009-10-01,38,40,0,0,38,40,78
POTOSI,consulta externa,personas de 60 anos y mas,2009-10-01,2176,2767,1215,1513,3391,4280,7671
PRESTO,consulta externa,personas de 60 anos y mas,2009-10-01,57,92,1,2,58,94,152
PUCARA,consulta externa,personas de 60 anos y mas,2009-10-01,36,54,0,1,36,55,91
PUCARANI,consulta externa,personas de 60 anos y mas,2009-10-01,128,132,14,30,142,162,304
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2009-10-01,115,117,42,23,157,140,297
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2009-10-01,66,66,3,2,69,68,137
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2009-10-01,19,14,0,0,19,14,33
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2009-10-01,33,46,3,0,36,46,82
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2009-10-01,67,44,4,3,71,47,118
PUERTO RICO,consulta externa,personas de 60 anos y mas,2009-10-01,29,18,5,2,34,20,54
PUERTO SILES,consulta externa,personas de 60 anos y mas,2009-10-01,4,6,0,1,4,7,11
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2009-10-01,70,74,12,19,82,93,175
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2009-10-01,141,126,4,2,145,128,273
PUNA,consulta externa,personas de 60 anos y mas,2009-10-01,238,470,11,47,249,517,766
PUNATA,consulta externa,personas de 60 anos y mas,2009-10-01,154,236,87,136,241,372,613
QUIABAYA,consulta externa,personas de 60 anos y mas,2009-10-01,34,31,0,1,34,32,66
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2009-10-01,600,281,446,617,1046,898,1944
QUIME,consulta externa,personas de 60 anos y mas,2009-10-01,64,29,2,0,66,29,95
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2009-10-01,10,13,7,22,17,35,52
RAVELO,consulta externa,personas de 60 anos y mas,2009-10-01,105,224,1,2,106,226,332
REYES,consulta externa,personas de 60 anos y mas,2009-10-01,9,12,0,1,9,13,22
RIBERALTA,consulta externa,personas de 60 anos y mas,2009-10-01,530,461,36,39,566,500,1066
ROBORE,consulta externa,personas de 60 anos y mas,2009-10-01,269,255,28,29,297,284,581
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2009-10-01,17,18,0,12,17,30,47
SABAYA,consulta externa,personas de 60 anos y mas,2009-10-01,33,58,2,3,35,61,96
SACABA,consulta externa,personas de 60 anos y mas,2009-10-01,225,297,207,273,432,570,1002
SACABAMBA,consulta externa,personas de 60 anos y mas,2009-10-01,23,61,1,3,24,64,88
SACACA,consulta externa,personas de 60 anos y mas,2009-10-01,40,56,0,4,40,60,100
SAIPINA,consulta externa,personas de 60 anos y mas,2009-10-01,7,21,2,2,9,23,32
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2009-10-01,48,67,4,4,52,71,123
SAMAIPATA,consulta externa,personas de 60 anos y mas,2009-10-01,72,78,3,4,75,82,157
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2009-10-01,18,17,0,0,18,17,35
SAN ANDRES,consulta externa,personas de 60 anos y mas,2009-10-01,9,17,3,2,12,19,31
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2009-10-01,97,157,16,18,113,175,288
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2009-10-01,10,6,0,0,10,6,16
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2009-10-01,50,66,0,0,50,66,116
SAN BENITO,consulta externa,personas de 60 anos y mas,2009-10-01,37,105,7,11,44,116,160
SAN BORJA,consulta externa,personas de 60 anos y mas,2009-10-01,145,168,5,63,150,231,381
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2009-10-01,21,21,8,4,29,25,54
SAN CARLOS,consulta externa,personas de 60 anos y mas,2009-10-01,163,127,24,7,187,134,321
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2009-10-01,165,153,69,65,234,218,452
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2009-10-01,239,351,113,164,352,515,867
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2009-10-01,22,21,1,0,23,21,44
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2009-10-01,36,58,6,8,42,66,108
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2009-10-01,3,0,1,0,4,0,4
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2009-10-01,102,91,17,39,119,130,249
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2009-10-01,83,57,8,20,91,77,168
SAN JULIAN,consulta externa,personas de 60 anos y mas,2009-10-01,104,105,1,10,105,115,220
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2009-10-01,10,38,0,0,10,38,48
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2009-10-01,116,196,8,9,124,205,329
SAN LUCAS,consulta externa,personas de 60 anos y mas,2009-10-01,258,457,7,15,265,472,737
SAN MATIAS,consulta externa,personas de 60 anos y mas,2009-10-01,39,65,0,0,39,65,104
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2009-10-01,38,53,50,82,88,135,223
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2009-10-01,23,19,4,2,27,21,48
SAN PEDRO,consulta externa,personas de 60 anos y mas,2009-10-01,128,85,12,15,140,100,240
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2009-10-01,68,135,2,3,70,138,208
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2009-10-01,32,45,10,5,42,50,92
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2009-10-01,8,3,0,0,8,3,11
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2009-10-01,60,86,7,11,67,97,164
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2009-10-01,17,6,1,0,18,6,24
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2009-10-01,28,46,1,1,29,47,76
SAN RAMON,consulta externa,personas de 60 anos y mas,2009-10-01,27,23,4,15,31,38,69
SAN RAMON,consulta externa,personas de 60 anos y mas,2009-10-01,155,139,6,7,161,146,307
SANTA ANA,consulta externa,personas de 60 anos y mas,2009-10-01,43,64,76,119,119,183,302
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2009-10-01,8396,11399,3476,5850,11872,17249,29121
SANTA ROSA,consulta externa,personas de 60 anos y mas,2009-10-01,151,113,0,0,151,113,264
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2009-10-01,43,26,3,3,46,29,75
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2009-10-01,32,32,1,0,33,32,65
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2009-10-01,73,76,38,42,111,118,229
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2009-10-01,36,48,2,6,38,54,92
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2009-10-01,15,22,1,2,16,24,40
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2009-10-01,107,97,10,3,117,100,217
SENA,consulta externa,personas de 60 anos y mas,2009-10-01,6,6,0,0,6,6,12
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2009-10-01,114,120,4,6,118,126,244
SICAYA,consulta externa,personas de 60 anos y mas,2009-10-01,16,17,0,3,16,20,36
SIPE SIPE,consulta externa,personas de 60 anos y mas,2009-10-01,20,46,3,8,23,54,77
SOPACHUY,consulta externa,personas de 60 anos y mas,2009-10-01,61,117,1,10,62,127,189
SORACACHI,consulta externa,personas de 60 anos y mas,2009-10-01,23,32,2,6,25,38,63
SORATA,consulta externa,personas de 60 anos y mas,2009-10-01,120,126,59,52,179,178,357
SUCRE,consulta externa,personas de 60 anos y mas,2009-10-01,3711,4789,2029,2909,5740,7698,13438
TACACHI,consulta externa,personas de 60 anos y mas,2009-10-01,1,9,1,4,2,13,15
TACACOMA,consulta externa,personas de 60 anos y mas,2009-10-01,35,38,10,14,45,52,97
TACOBAMBA,consulta externa,personas de 60 anos y mas,2009-10-01,52,92,1,4,53,96,149
TACOPAYA,consulta externa,personas de 60 anos y mas,2009-10-01,19,23,1,1,20,24,44
TAHUA,consulta externa,personas de 60 anos y mas,2009-10-01,16,18,2,2,18,20,38
TAPACARI,consulta externa,personas de 60 anos y mas,2009-10-01,56,84,1,6,57,90,147
TARABUCO,consulta externa,personas de 60 anos y mas,2009-10-01,128,262,25,57,153,319,472
TARACO,consulta externa,personas de 60 anos y mas,2009-10-01,51,27,8,2,59,29,88
TARATA,consulta externa,personas de 60 anos y mas,2009-10-01,32,39,4,2,36,41,77
TARIJA,consulta externa,personas de 60 anos y mas,2009-10-01,2626,2946,2551,1895,5177,4841,10018
TARVITA,consulta externa,personas de 60 anos y mas,2009-10-01,121,266,4,4,125,270,395
TEOPONTE,consulta externa,personas de 60 anos y mas,2009-10-01,77,45,27,25,104,70,174
TIAWANACU,consulta externa,personas de 60 anos y mas,2009-10-01,71,72,6,4,77,76,153
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2009-10-01,41,80,7,5,48,85,133
TIPUANI,consulta externa,personas de 60 anos y mas,2009-10-01,58,54,4,2,62,56,118
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2009-10-01,86,155,24,57,110,212,322
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2009-10-01,64,90,9,13,73,103,176
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2009-10-01,28,36,5,2,33,38,71
TOCO,consulta externa,personas de 60 anos y mas,2009-10-01,37,47,3,2,40,49,89
TODOS SANTOS,consulta externa,personas de 60 anos y mas,2009-10-01,6,5,0,1,6,6,12
TOLATA,consulta externa,personas de 60 anos y mas,2009-10-01,14,42,3,11,17,53,70
TOLEDO,consulta externa,personas de 60 anos y mas,2009-10-01,36,25,2,5,38,30,68
TOMAVE,consulta externa,personas de 60 anos y mas,2009-10-01,96,169,11,13,107,182,289
TOMINA,consulta externa,personas de 60 anos y mas,2009-10-01,95,138,0,1,95,139,234
TORO TORO,consulta externa,personas de 60 anos y mas,2009-10-01,34,70,0,1,34,71,105
TOTORA(CBBA),consulta externa,personas de 60 anos y mas,2009-10-01,36,65,7,5,43,70,113
TOTORA(ORR),consulta externa,personas de 60 anos y mas,2009-10-01,30,32,0,1,30,33,63
TRIGAL,consulta externa,personas de 60 anos y mas,2009-10-01,33,38,0,1,33,39,72
TRINIDAD,consulta externa,personas de 60 anos y mas,2009-10-01,324,366,242,301,566,667,1233
TUPIZA,consulta externa,personas de 60 anos y mas,2009-10-01,233,354,30,64,263,418,681
TURCO,consulta externa,personas de 60 anos y mas,2009-10-01,50,51,2,0,52,51,103
UMALA,consulta externa,personas de 60 anos y mas,2009-10-01,59,51,6,4,65,55,120
UNCIA,consulta externa,personas de 60 anos y mas,2009-10-01,33,71,1,0,34,71,105
URIONDO (A. CONCEPCION),consulta externa,personas de 60 anos y mas,2009-10-01,106,140,4,3,110,143,253
URUBICHA,consulta externa,personas de 60 anos y mas,2009-10-01,10,28,0,1,10,29,39
UYUNI,consulta externa,personas de 60 anos y mas,2009-10-01,301,391,31,39,332,430,762
VACAS,consulta externa,personas de 60 anos y mas,2009-10-01,85,103,16,37,101,140,241
VALLEGRANDE,consulta externa,personas de 60 anos y mas,2009-10-01,163,199,251,406,414,605,1019
VIACHA,consulta externa,personas de 60 anos y mas,2009-10-01,328,257,161,194,489,451,940
VILA VILA,consulta externa,personas de 60 anos y mas,2009-10-01,10,13,0,1,10,14,24
VILLA MONTES,consulta externa,personas de 60 anos y mas,2009-10-01,289,233,56,81,345,314,659
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 60 anos y mas,2009-10-01,10,7,2,1,12,8,20
VILLA RIVERO,consulta externa,personas de 60 anos y mas,2009-10-01,35,81,5,15,40,96,136
VILLA SERRANO,consulta externa,personas de 60 anos y mas,2009-10-01,155,235,3,2,158,237,395
VILLA TUNARI,consulta externa,personas de 60 anos y mas,2009-10-01,150,129,21,25,171,154,325
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,personas de 60 anos y mas,2009-10-01,116,152,9,28,125,180,305
VILLAZON,consulta externa,personas de 60 anos y mas,2009-10-01,244,319,131,122,375,441,816
VINTO,consulta externa,personas de 60 anos y mas,2009-10-01,46,68,37,81,83,149,232
VITICHI,consulta externa,personas de 60 anos y mas,2009-10-01,39,102,0,3,39,105,144
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2009-10-01,14,17,5,8,19,25,44
WARNES,consulta externa,personas de 60 anos y mas,2009-10-01,218,302,61,73,279,375,654
YACO,consulta externa,personas de 60 anos y mas,2009-10-01,76,50,1,1,77,51,128
YACUIBA,consulta externa,personas de 60 anos y mas,2009-10-01,732,756,260,375,992,1131,2123
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2009-10-01,114,159,5,13,119,172,291
YANACACHI,consulta externa,personas de 60 anos y mas,2009-10-01,35,38,1,4,36,42,78
YAPACANI,consulta externa,personas de 60 anos y mas,2009-10-01,237,188,103,64,340,252,592
YOCALLA,consulta externa,personas de 60 anos y mas,2009-10-01,99,169,1,2,100,171,271
YOTALA,consulta externa,personas de 60 anos y mas,2009-10-01,86,152,15,26,101,178,279
YUNCHARA,consulta externa,personas de 60 anos y mas,2009-10-01,15,23,1,0,16,23,39
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2009-10-01,49,70,17,14,66,84,150
ACACIO,consulta externa,personas de 60 anos y mas,2009-11-01,26,56,1,7,27,63,90
ACHACACHI,consulta externa,personas de 60 anos y mas,2009-11-01,476,472,88,69,564,541,1105
ACHOCALLA,consulta externa,personas de 60 anos y mas,2009-11-01,14,7,6,0,20,7,27
AIQUILE,consulta externa,personas de 60 anos y mas,2009-11-01,119,151,36,38,155,189,344
ALALAY,consulta externa,personas de 60 anos y mas,2009-11-01,5,13,0,0,5,13,18
ALCALA,consulta externa,personas de 60 anos y mas,2009-11-01,46,78,7,7,53,85,138
ANCORAIMES,consulta externa,personas de 60 anos y mas,2009-11-01,111,113,32,32,143,145,288
ANDAMARCA,consulta externa,personas de 60 anos y mas,2009-11-01,75,48,11,3,86,51,137
ANTEQUERA,consulta externa,personas de 60 anos y mas,2009-11-01,8,8,4,7,12,15,27
ANZALDO,consulta externa,personas de 60 anos y mas,2009-11-01,39,45,5,3,44,48,92
APOLO,consulta externa,personas de 60 anos y mas,2009-11-01,36,47,3,5,39,52,91
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2009-11-01,21,25,1,0,22,25,47
ARANI,consulta externa,personas de 60 anos y mas,2009-11-01,15,28,2,2,17,30,47
ARBIETO,consulta externa,personas de 60 anos y mas,2009-11-01,42,66,19,40,61,106,167
ARQUE,consulta externa,personas de 60 anos y mas,2009-11-01,18,30,0,2,18,32,50
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2009-11-01,49,42,2,0,51,42,93
ATOCHA,consulta externa,personas de 60 anos y mas,2009-11-01,6,26,0,0,6,26,32
AUCAPATA,consulta externa,personas de 60 anos y mas,2009-11-01,15,30,0,0,15,30,45
AYATA,consulta externa,personas de 60 anos y mas,2009-11-01,40,40,0,1,40,41,81
AYO AYO,consulta externa,personas de 60 anos y mas,2009-11-01,34,29,5,9,39,38,77
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2009-11-01,76,91,3,5,79,96,175
AZURDUY,consulta externa,personas de 60 anos y mas,2009-11-01,48,74,1,1,49,75,124
BATALLAS,consulta externa,personas de 60 anos y mas,2009-11-01,84,67,4,2,88,69,157
BAURES,consulta externa,personas de 60 anos y mas,2009-11-01,36,35,11,18,47,53,100
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2009-11-01,28,15,2,1,30,16,46
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2009-11-01,13,20,4,0,17,20,37
BELLA FLOR,consulta externa,personas de 60 anos y mas,2009-11-01,2,6,0,0,2,6,8
BERMEJO,consulta externa,personas de 60 anos y mas,2009-11-01,378,400,154,177,532,577,1109
BETANZOS,consulta externa,personas de 60 anos y mas,2009-11-01,241,333,54,81,295,414,709
BOLIVAR,consulta externa,personas de 60 anos y mas,2009-11-01,22,34,0,0,22,34,56
BOLPEBRA,consulta externa,personas de 60 anos y mas,2009-11-01,7,3,2,0,9,3,12
BOYUIBE,consulta externa,personas de 60 anos y mas,2009-11-01,14,45,5,12,19,57,76
BUENA VISTA,consulta externa,personas de 60 anos y mas,2009-11-01,64,42,19,10,83,52,135
CABEZAS,consulta externa,personas de 60 anos y mas,2009-11-01,72,78,6,2,78,80,158
CAIROMA,consulta externa,personas de 60 anos y mas,2009-11-01,74,50,8,3,82,53,135
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2009-11-01,56,120,9,21,65,141,206
CAJUATA,consulta externa,personas de 60 anos y mas,2009-11-01,55,73,41,27,96,100,196
CALACOTO,consulta externa,personas de 60 anos y mas,2009-11-01,74,73,4,7,78,80,158
CALAMARCA,consulta externa,personas de 60 anos y mas,2009-11-01,61,52,23,19,84,71,155
CAMARGO,consulta externa,personas de 60 anos y mas,2009-11-01,206,270,46,81,252,351,603
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2009-11-01,43,63,1,9,44,72,116
