,group,variable,month,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,11,19,0,0,11,19,30
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,50,47,0,0,50,47,97
LA ASUNTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,23,18,0,0,23,18,41
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,0,2,0,0,0,2,2
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,5,16,0,0,5,16,21
LAS CARRERAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,75,87,0,0,75,87,162
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,45,67,0,0,45,67,112
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,113,81,0,0,113,81,194
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,2,4,0,0,2,4,6
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,7,4,0,0,7,4,11
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,15,11,0,0,15,11,26
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,25,18,2,0,27,18,45
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,59,8,0,0,59,8,67
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,99,82,0,0,99,82,181
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,26,18,0,0,26,18,44
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,159,222,0,0,159,222,381
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,1,2,0,0,1,2,3
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,126,138,0,0,126,138,264
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,6,4,0,0,6,4,10
PORTACHUELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,3,0,0,0,3,0,3
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,106,0,0,0,106,0,106
PRESTO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,0,10,0,0,0,10,10
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,25,33,0,0,25,33,58
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,294,52,0,0,294,52,346
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,8,6,0,0,8,6,14
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,568,797,26,25,594,822,1416
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,1,1,1,1,2,2,4
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,61,76,0,0,61,76,137
SAN BUENA VENTURA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,2,0,0,0,2,0,2
SAN CARLOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,14,15,0,0,14,15,29
SAN JAVIER(STC),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,2,1,1,1,3,2,5
SAN JOSE DE CHIQUITOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,15,35,0,0,15,35,50
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,215,69,0,0,215,69,284
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,42,66,0,0,42,66,108
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,15,13,0,0,15,13,28
SAN PEDRO DE BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,58,27,0,0,58,27,85
SAN PEDRO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,7,5,0,0,7,5,12
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,9,6,0,0,9,6,15
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,179,0,0,0,179,0,179
SHINAOTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,1,0,0,0,1,0,1
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,2,5,0,0,2,5,7
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,49,68,0,0,49,68,117
TARVITA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,8,34,0,0,8,34,42
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,26,33,0,0,26,33,59
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,5,3,0,0,5,3,8
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,34,32,0,0,34,32,66
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,0,3,0,0,0,3,3
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,0,5,0,0,0,5,5
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,140,153,0,0,140,153,293
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,32,31,0,0,32,31,63
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,9,23,0,0,9,23,32
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,74,102,0,0,74,102,176
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,388,489,0,0,388,489,877
YAMPARAEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,20,19,0,0,20,19,39
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,0,4,0,0,0,4,4
YOTALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,10,6,7,2,17,8,25
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-09-01,5,28,0,0,5,28,33
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,2,2,0,0,2,2,4
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,3,0,0,0,3,3
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,14,22,0,0,14,22,36
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,44,31,0,0,44,31,75
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,54,0,0,0,54,0,54
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,6,14,0,0,6,14,20
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,20,17,0,0,20,17,37
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,4,3,0,0,4,3,7
CABEZAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,2,0,0,0,2,2
CAMATAQUI (C. VILLA ABECIA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,8,8,0,0,8,8,16
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,5,7,0,0,5,7,12
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,27,2,0,0,27,2,29
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,12,4,0,0,12,4,16
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,63,26,0,0,63,26,89
COMARAPA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,0,1,0,1,0,1
CULPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,58,81,0,0,58,81,139
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,16,17,0,0,16,17,33
EL VILLAR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,3,10,0,0,3,10,13
ENTRE RIOS TRJ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,120,127,0,0,120,127,247
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,91,33,0,0,91,33,124
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,27,0,0,0,27,0,27
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,1,0,0,0,1,1
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,8,10,0,0,8,10,18
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,494,989,1,0,495,989,1484
GUTIERREZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,25,0,0,0,25,25
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,49,36,12,12,61,48,109
HUACAYA (VILLA DE HUACAYA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,0,26,22,26,22,48
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,21,30,0,0,21,30,51
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,16,46,0,0,16,46,62
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,21,30,0,0,21,30,51
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,11,6,0,0,11,6,17
LA ASUNTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,10,4,0,0,10,4,14
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,1,4,0,0,1,4,5
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,5,11,0,0,5,11,16
LAS CARRERAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,106,89,0,0,106,89,195
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,22,27,0,0,22,27,49
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,78,60,0,0,78,60,138
MAIRANA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,1,0,0,0,1,1
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,24,23,0,0,24,23,47
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,3,3,0,0,3,3,6
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,8,7,0,0,8,7,15
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,297,445,0,0,297,445,742
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,16,8,0,0,16,8,24
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,104,88,0,0,104,88,192
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,21,25,0,0,21,25,46
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,48,60,0,0,48,60,108
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,20,0,0,0,20,20
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,9,13,0,0,9,13,22
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,87,96,0,0,87,96,183
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,3,5,0,0,3,5,8
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,130,0,0,0,130,0,130
PRESTO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,4,36,1,5,5,41,46
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,59,85,0,0,59,85,144
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,185,111,0,0,185,111,296
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,14,5,2,1,16,6,22
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,601,463,89,29,690,492,1182
ROBORE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,4,6,0,0,4,6,10
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,2,1,2,1,4,2,6
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,73,85,0,0,73,85,158
SAN ANTONIO DE LOMERIO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,15,0,0,0,15,15
SAN CARLOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,2,1,0,0,2,1,3
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,15,17,0,0,15,17,32
SAN JAVIER(STC),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,0,1,1,1,1,2
SAN JOSE DE CHIQUITOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,20,60,0,0,20,60,80
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,183,26,0,0,183,26,209
SAN LORENZO(TJA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,0,1,0,0,0,1,1
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,33,67,0,0,33,67,100
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,10,15,0,0,10,15,25
SAN PEDRO DE BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,22,26,0,0,22,26,48
SAN PEDRO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,2,0,0,0,2,0,2
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,7,4,0,0,7,4,11
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,110,72,0,0,110,72,182
SHINAOTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,1,0,0,0,1,0,1
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,6,15,0,0,6,15,21
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,68,89,0,0,68,89,157
TARVITA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,44,57,0,0,44,57,101
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,32,39,0,0,32,39,71
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,1,3,0,0,1,3,4
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,9,14,0,0,9,14,23
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,5,30,0,0,5,30,35
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,202,238,0,0,202,238,440
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,69,42,0,0,69,42,111
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,8,17,0,0,8,17,25
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,2,0,0,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,83,146,0,0,83,146,229
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,547,632,0,0,547,632,1179
YAMPARAEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,19,33,0,0,19,33,52
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,4,2,0,0,4,2,6
YOTALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,1,18,0,0,1,18,19
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-10-01,1,1,0,0,1,1,2
ACACIO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,14,21,0,0,14,21,35
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,2,0,0,0,2,0,2
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,0,1,0,0,0,1,1
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,0,1,0,0,0,1,1
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,13,17,0,0,13,17,30
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,21,21,0,0,21,21,42
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,43,0,0,0,43,0,43
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,36,38,0,0,36,38,74
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,20,12,0,0,20,12,32
CABEZAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,0,2,0,0,0,2,2
CAMATAQUI (C. VILLA ABECIA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,2,10,1,1,3,11,14
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,7,6,0,0,7,6,13
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,6,4,0,0,6,4,10
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,19,5,0,0,19,5,24
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,84,29,0,0,84,29,113
CULPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,17,42,0,3,17,45,62
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,18,18,0,0,18,18,36
EL VILLAR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,30,72,0,0,30,72,102
ENTRE RIOS TRJ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,108,121,0,0,108,121,229
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,56,51,0,0,56,51,107
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,50,0,0,0,50,0,50
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,1,0,0,0,1,0,1
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,629,677,0,0,629,677,1306
GUTIERREZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,0,8,0,0,0,8,8
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,117,133,21,32,138,165,303
HUACAYA (VILLA DE HUACAYA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,51,83,40,32,91,115,206
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,34,25,0,0,34,25,59
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,53,89,0,0,53,89,142
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,69,43,0,0,69,43,112
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,35,10,0,0,35,10,45
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,1,0,0,0,1,0,1
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,1,13,0,0,1,13,14
LAS CARRERAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,87,77,0,0,87,77,164
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,49,86,0,0,49,86,135
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,108,76,0,0,108,76,184
MAIRANA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,2,0,0,0,2,0,2
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,7,8,0,0,7,8,15
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,1,3,0,0,1,3,4
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,2,2,0,0,2,2,4
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,393,686,0,0,393,686,1079
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,78,9,0,0,78,9,87
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,129,85,0,0,129,85,214
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,54,36,0,0,54,36,90
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,123,142,0,0,123,142,265
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,9,6,0,0,9,6,15
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,89,98,0,0,89,98,187
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,10,10,0,0,10,10,20
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,145,144,0,0,145,144,289
PRESTO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,13,41,0,0,13,41,54
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,17,4,0,0,17,4,21
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,353,0,0,0,353,0,353
PUERTO VILLARROEL,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,0,2,0,0,0,2,2
RAVELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,8,2,0,0,8,2,10
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,3,1,0,0,3,1,4
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,647,573,106,58,753,631,1384
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,1,0,1,0,2,0,2
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,51,85,0,0,51,85,136
SAN ANTONIO DE LOMERIO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,17,13,0,0,17,13,30
SAN BORJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,6,1,1,0,7,1,8
SAN BUENA VENTURA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,0,1,0,0,0,1,1
SAN CARLOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,0,2,0,0,0,2,2
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,10,7,0,0,10,7,17
SAN JOSE DE CHIQUITOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,20,30,0,0,20,30,50
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,171,235,0,0,171,235,406
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,38,61,0,0,38,61,99
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,7,2,0,0,7,2,9
SAN PEDRO DE BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,14,6,0,0,14,6,20
SAN PEDRO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,19,9,0,0,19,9,28
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,9,3,0,0,9,3,12
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,278,10,0,0,278,10,288
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,6,24,0,0,6,24,30
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,3,2,0,0,3,2,5
TARVITA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,19,54,0,0,19,54,73
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,7,6,0,0,7,6,13
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,19,17,0,0,19,17,36
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,7,8,0,0,7,8,15
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,1,1,0,0,1,1,2
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,8,6,0,0,8,6,14
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,183,204,0,0,183,204,387
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,48,36,0,0,48,36,84
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,7,1,0,0,7,1,8
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,131,206,0,0,131,206,337
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,385,515,0,0,385,515,900
YAMPARAEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,62,87,0,0,62,87,149
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,1,4,0,0,1,4,5
YOTALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,38,32,0,0,38,32,70
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-11-01,4,3,0,0,4,3,7
ACACIO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,33,37,0,0,33,37,70
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,2,0,0,0,2,0,2
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,1,1,0,0,1,1,2
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,7,7,0,0,7,7,14
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,84,148,0,0,84,148,232
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,27,24,0,0,27,24,51
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,66,0,0,0,66,0,66
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,40,31,0,0,40,31,71
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,4,0,0,0,4,0,4
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-12-01,5,4,0,0,5,4,9
