municipality,group,variable,month,Nro de Primeras visitas Familares realizadas,TOTAL
RAVELO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,137,137
REYES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,100,100
RIBERALTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,1792,1792
ROBORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,42,42
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,107,107
SABAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,49,49
SACABA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,1487,1487
SACABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,92,92
SACACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,87,87
SAIPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,219,219
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,85,85
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,8,8
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,27,27
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,5,5
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,22,22
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,4,4
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,22,22
SAN BENITO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,255,255
SAN BORJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,259,259
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,35,35
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,313,313
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,72,72
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,31,31
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,50,50
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,7,7
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,48,48
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,2125,2125
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,12,12
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,553,553
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,310,310
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,28,28
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,19,19
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,116,116
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,89,89
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,117,117
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,37,37
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,75,75
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,42,42
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,172,172
SAN RAFAEL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,2,2
SAN RAMON BENI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,33,33
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,154,154
SANTA ANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,4,4
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,431,431
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,55,55
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,5,5
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,92,92
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,51,51
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,47,47
SANTIVAÑES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,240,240
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,103,103
SAPAHAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,65,65
SENA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,1413,1413
SHINAOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,50,50
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,106,106
SICAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,188,188
SIPE SIPE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,481,481
SOPACHUY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,76,76
SORACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,511,511
SORATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,155,155
SUCRE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,769,769
TACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,27,27
TACACOMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,39,39
TACOBAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,6,6
TACOPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,20,20
TAHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,10,10
TAPACARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,6,6
TARABUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,33,33
TARACO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,57,57
TARATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,50,50
TARIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,3096,3096
TARVITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,31,31
TIAHUANACU,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,157,157
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,229,229
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,190,190
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,439,439
TOCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,54,54
TOLATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,25,25
TOLEDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,52,52
TORO TORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,4,4
TOTORA(CBBA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,256,256
TOTORA(ORR),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,36,36
TRIGAL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,6,6
TRINIDAD,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,186,186
TUPIZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,1012,1012
UMALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,125,125
UNCIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,226,226
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,201,201
URUBICHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,40,40
UYUNI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,471,471
VACAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,270,270
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,689,689
VIACHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,191,191
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,52,52
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,320,320
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,35,35
VILLA RIVERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,135,135
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,9,9
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,328,328
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,141,141
VILLAZON,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,983,983
VITICHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,53,53
WARNES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,227,227
YACO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,86,86
YACUIBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,586,586
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,87,87
YANACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,82,82
YAPACANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,650,650
YOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,111,111
YOTALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,24,24
YUNCHARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,95,95
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-09-01,3,3
ACACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,3,3
ACHACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,120,120
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,159,159
AIQUILE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,39,39
ALALAY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,17,17
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,207,207
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,20,20
ANTEQUERA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,12,12
ANZALDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,230,230
APOLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,8,8
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,25,25
ARANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,15,15
ARBIETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,422,422
ARQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,188,188
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,54,54
ATOCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,174,174
AYATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,19,19
AYO AYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,170,170
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,138,138
BAURES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,43,43
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,21,21
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,44,44
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,91,91
BERMEJO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,210,210
BETANZOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,446,446
BOLIVAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,57,57
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,12,12
BOYUIBE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,102,102
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,59,59
CABEZAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,55,55
CAIROMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,26,26
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,164,164
CAJUATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,7,7
CALACOTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,65,65
CAMARGO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,112,112
CAMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,257,257
CAPINOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,38,38
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,71,71
CARACOLLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,212,212
CARANGAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,3,3
CARAPARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,134,134
CARIPUYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,67,67
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,26,26
CATACORA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,16,16
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,76,76
CHAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,254,254
CHARAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,141,141
CHARAÑA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,30,30
CHAYANTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,92,92
CHIMORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,178,178
CHIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,59,59
CHUA COCANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,168,168
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,262,262
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,51,51
CKOCHAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,118,118
CLIZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,273,273
COBIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,156,156
COCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,73,73
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,192,192
COIPASA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,26,26
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,294,294
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,248,248
COLLANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,150,150
COLOMI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,113,113
COLPA BELGICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,48,48
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,137,137
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,45,45
COLQUIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,169,169
COMARAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,62,62
COMBAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,49,49
CONCEPCION,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,6,6
COPACABANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,100,100
CORIPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,94,94
CORO CORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,272,272
COROICO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,85,85
CORQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,73,73
COTAGAITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,454,454
COTOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,105,105
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,111,111
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,20,20
CUEVO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,48,48
CULPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,47,47
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,72,72
CURVA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,52,52
DESAGUADERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,25,25
EL ALTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,2390,2390
EL CHORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,44,44
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,291,291
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,95,95
EL TORNO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,686,686
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,366,366
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,13,13
ESCOMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,10,10
EUCALIPTUS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,57,57
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,209,209
FILADELFIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,15,15
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,21,21
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,49,49
GIA-TIM,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,40,40
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,40,40
GUANAY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,44,44
GUAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,29,29
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,330,330
HUACARAJE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,75,75
HUACARETA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,56,56
HUACHACALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,8,8
HUANUNI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,62,62
HUARINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,118,118
HUATAJATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,11,11
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,270,270
HUMANATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,10,10
INQUISIVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,95,95
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,334,334
IXIAMAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,96,96
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,90,90
LA ASUNTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,31,31
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,46,46
LA PAZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,88,88
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,583,583
LAJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,154,154
LICOMA PAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,22,22
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,230,230
LLICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,98,98
LORETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,17,17
LURIBAY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,3,3
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,30,30
MACHARETI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,157,157
MAGDALENA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,187,187
MAIRANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,48,48
MALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,10,10
MECAPACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,21,21
MINEROS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,171,171
MIZQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,347,347
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,167,167
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,122,122
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,32,32
MONTERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,93,93
MOROCHATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,217,217
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,3,3
OCURI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,40,40
OKINAWA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,52,52
OMEREQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,94,94
ORURO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,858,858
PADCAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,394,394
PADILLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,38,38
PAILON,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,41,41
PALCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,128,128
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-10-01,79,79
