municipality,group,variable,month,9.24 Nro de segundas visitas Familiares realizadas,TOTAL
CAPINOTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,8,8
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,12,12
CARACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,223,223
CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,7,7
CARAPARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,25,25
CARIPUYO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,91,91
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,6,6
CATACORA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,5,5
CHACARILLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,57,57
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,63,63
CHARAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,81,81
CHARAÑA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,112,112
CHAYANTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,57,57
CHIMORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,236,236
CHIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,79,79
CHUMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,85,85
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,42,42
CKOCHAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,85,85
CLIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,110,110
COBIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,121,121
COCAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,5,5
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,200,200
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,461,461
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,45,45
COLLANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,2,2
COLOMI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,40,40
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,86,86
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,37,37
COLQUIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,3,3
COMANCHE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,23,23
COMARAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,138,138
COMBAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,144,144
CONCEPCION,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,11,11
COPACABANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,102,102
CORIPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,20,20
CORO CORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,38,38
COROICO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,27,27
CORQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,45,45
COTAGAITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,94,94
COTOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,18,18
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,111,111
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,33,33
CULPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,57,57
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,28,28
CURVA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,12,12
EL ALTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,1130,1130
EL CHORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,29,29
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,15,15
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,211,211
EL TORNO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,251,251
EL VILLAR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,15,15
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,224,224
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,68,68
ESCARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,27,27
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,235,235
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,23,23
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,33,33
GIA-TIM,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,2,2
GUANAY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,111,111
GUAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,49,49
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,316,316
HUACARAJE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,75,75
HUACARETA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,47,47
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,7,7
HUANUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,11,11
HUARINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,34,34
HUATAJATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,46,46
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,127,127
HUMANATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,12,12
ICHOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,57,57
ICLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,15,15
INCAHUASI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,95,95
INQUISIVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,33,33
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,68,68
IXIAMAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,20,20
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,16,16
LA ASUNTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,30,30
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,25,25
LA PAZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,109,109
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,26,26
LAJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,4,4
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,10,10
LICOMA PAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,63,63
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,25,25
LLICA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,110,110
LORETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,40,40
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,13,13
MACHARETI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,20,20
MAGDALENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,40,40
MAIRANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,84,84
MECAPACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,15,15
MINEROS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,184,184
MIZQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,57,57
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,303,303
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,11,11
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,215,215
MONTERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,6,6
MOROCHATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,122,122
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,20,20
OCURI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,38,38
OKINAWA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,96,96
OMEREQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,78,78
ORURO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,452,452
PADCAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,147,147
PADILLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,65,65
PAILON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,43,43
PALCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,41,41
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,59,59
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,55,55
PAMPA GRANDE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,10,10
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,99,99
PASORAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,40,40
PELECHUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,43,43
POCOATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,382,382
POCONA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,108,108
POJO (CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,21,21
POOPO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,61,61
PORCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,49,49
POROMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,281,281
PORONGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,5,5
POTOSI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,751,751
PRESTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,261,261
PUCARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,171,171
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,54,54
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,82,82
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,142,142
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,45,45
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,80,80
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,116,116
PUNA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,53,53
PUNATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,690,690
QUILLACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,412,412
QUIME,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,40,40
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,15,15
RAVELO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,103,103
REYES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,21,21
RIBERALTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,1092,1092
ROBORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,13,13
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,126,126
SABAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,15,15
SACABA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,1082,1082
SACABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,37,37
SACACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,46,46
SAIPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,71,71
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,51,51
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,30,30
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,18,18
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,10,10
SAN BENITO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,430,430
SAN BORJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,325,325
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,50,50
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,115,115
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,53,53
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,61,61
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,3,3
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,145,145
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,22,22
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,172,172
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,9,9
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,26,26
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,7,7
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,58,58
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,9,9
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,8,8
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,74,74
SAN RAFAEL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,15,15
SAN RAMON BENI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,127,127
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,67,67
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,61,61
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,100,100
SANTIVAÑES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,441,441
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,32,32
SENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,150,150
SHINAOTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,5,5
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,198,198
SICAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,176,176
SIPE SIPE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,442,442
SOPACHUY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,39,39
SORATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,21,21
SUCRE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,854,854
TACACOMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,44,44
TACOPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,51,51
TAHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,4,4
TARABUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,255,255
TARACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,3,3
TARATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,39,39
TARIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,394,394
TARVITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,286,286
TIAHUANACU,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,27,27
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,117,117
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,506,506
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,266,266
TOCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,57,57
TOLATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,12,12
TOMAVE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,20,20
TOMINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,295,295
TOTORA(CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,165,165
TOTORA(ORR),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,12,12
TRIGAL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,2,2
TRINIDAD,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,151,151
TUPIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,197,197
UMALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,57,57
UNCIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,108,108
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,157,157
UYUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,10,10
VACAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,248,248
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,93,93
VIACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,343,343
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,140,140
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,174,174
VILLA RIVERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,209,209
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,30,30
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,423,423
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,145,145
VILLAZON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,373,373
VITICHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,47,47
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,6,6
WARNES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,310,310
YACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,46,46
YACUIBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,710,710
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,47,47
YANACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,6,6
YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,445,445
YOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,136,136
YOTALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,36,36
YUNCHARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,29,29
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-10-01,142,142
ACACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,76,76
ACHACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,83,83
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,195,195
AIQUILE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,25,25
ALCALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,139,139
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,11,11
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,24,24
ANTEQUERA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,42,42
ANZALDO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,42,42
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,21,21
ARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,27,27
ARBIETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,112,112
ARQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,68,68
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,12,12
ATOCHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,29,29
AYATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,65,65
AZURDUY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,59,59
BAURES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,22,22
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,34,34
BERMEJO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,323,323
BETANZOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,37,37
BOLIVAR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,47,47
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,13,13
