,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
MONTERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,25,61,21,26,46,87,133
MOROCHATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,2,14,8,14,10,24
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,1,0,4,1,5,6
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,0,0,1,3,1,4
OCURI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,2,1,2,3
OKINAWA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,2,2,2,4
OMEREQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,0,1,1,1,2
ORURO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,53,49,38,62,91,111,202
PADCAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,1,1,3,2,4,6
PADILLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,5,1,5,3,10,13
PAILON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,5,9,8,5,13,14,27
PALCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,16,18,16,19,35
PALOS BLANCOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,6,7,7,6,13,13,26
PAMPA GRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,5,16,14,63,19,79,98
PAPEL PAMPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,1,1,1,2
PASORAPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,41,53,41,53,94
PATACAMAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,10,13,8,9,18,22,40
PELECHUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,1,1,1,2
POCOATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,2,2,2,4
POCONA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,0,5,0,6,6
POJO (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,1,17,12,20,13,33
POOPO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,3,9,3,9,12
PORCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,4,0,4,4
POROMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,7,6,5,13,12,25
PORONGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,18,17,11,20,29,37,66
PORTACHUELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,36,35,36,35,71
PORVENIR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,2,2,2,2,4,6
POSTRER VALLE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,2,0,2,0,4,4
POTOSI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,17,19,8,6,25,25,50
PRESTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,9,4,9,4,13
PUCARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,1,1,0,2,1,3
PUCARANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,26,0,27,0,27
PUERTO CARABUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,4,1,4,5
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,0,3,4,5,4,9
PUERTO PEREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,3,2,3,5
PUERTO QUIJARRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,2,6,3,8,5,13
PUERTO RICO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,1,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,13,9,1,5,14,14,28
PUERTO VILLARROEL,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,15,20,20,30,35,50,85
PUNA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,1,12,19,15,20,35
PUNATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,13,37,9,19,22,56,78
QUILLACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,53,45,152,137,205,182,387
QUIME,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,4,9,4,9,13
QUIRUSILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,3,10,3,10,13
RAVELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,4,4,7,6,11,17
REYES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,12,4,0,0,12,4,16
RIBERALTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,1,2,1,3
ROBORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,3,7,21,7,24,31
RURRENABAQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,2,1,1,1,3,4
SABAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,2,3,4,3,6,9
SACABA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,58,113,149,193,207,306,513
SACABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,6,2,0,3,6,9
SACACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,4,0,2,6,6,6,12
SAIPINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,15,14,12,21,27,48
SALINAS DE GARCI MENDOZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,11,4,11,4,15
SAMAIPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,5,19,6,12,11,31,42
SAN AGUSTIN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,1,1,1,2
SAN ANDRES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,49,39,21,34,70,73,143
SAN BENITO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,9,66,89,73,98,171
SAN BORJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,9,15,20,28,29,43,72
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,2,0,0,2,2,4
SAN CARLOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,8,2,1,9,9,18
SAN IGNACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,4,10,2,5,6,15,21
SAN JAVIER(BNI),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,3,0,3,3
SAN JAVIER(STC),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,4,2,0,0,4,2,6
SAN JOAQUIN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,5,3,0,0,5,3,8
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,11,9,37,54,48,63,111
SAN JUAN DE YAPACANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,10,8,7,4,17,12,29
SAN JULIAN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,19,19,53,56,72,75,147
SAN LORENZO(PND),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,12,32,54,87,66,119,185
SAN LUCAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,4,0,1,3,5,8
SAN MIGUEL DE VELASCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,0,0,0,2,0,2
SAN PABLO DE LIPEZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,2,0,0,1,2,3
SAN PEDRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,6,6,26,8,32,40
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,12,8,19,15,31,46
SAN PEDRO DE QUEMES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,4,4,4,4,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1185,1331,753,573,1938,1904,3842
SANTA ROSA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,3,42,68,43,71,114
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,3,14,5,14,8,22
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,2,0,2,2
SANTIAGO DE HUATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,1,0,2,1,3,4
SANTIAGO DE MACHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,2,0,2,2
SANTIVAÑES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,1,0,1,1
SAPAHAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,6,7,6,12,12,19,31
SHINAOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,6,7,18,10,24,34
SICA SICA (VILLA AROMA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,1,2,2,2,4
SICAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,1,3,1,4,5
SIPE SIPE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,12,17,41,24,53,77
SORACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,5,6,5,6,11
SORATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,0,3,0,3,3
SUCRE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,93,107,85,69,178,176,354
TACACOMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,6,8,9,2,15,10,25
TACOBAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,1,1,1,2,2,4
TACOPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,5,4,18,16,23,20,43
TAPACARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,7,9,48,32,55,41,96
TARABUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,4,2,3,3,7,10
TARACO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,0,0,1,0,1
TARATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,3,3,8,6,11,9,20
TARIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,243,399,424,514,667,913,1580
TARVITA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,2,5,2,6,8
TEOPONTE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,2,3,2,3,4,7
TIAWANACU,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,0,0,0,1,0,1
TINGUIPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,5,5,5,5,10
TIPUANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,1,3,4,4,5,9
TIQUIPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,26,35,131,169,157,204,361
TIRAQUE (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,2,21,15,22,17,39
TOCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,12,7,12,7,19
TOLATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,3,3,6,3,9,12
TOLEDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,10,2,10,2,12
TOMAVE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,3,13,12,14,15,29
TOMINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,5,12,20,12,25,37
TORO TORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,4,3,4,3,7
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,8,19,18,27,26,46,72
TRINIDAD,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,119,74,36,46,155,120,275
TUPIZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,48,39,31,39,79,78,157
UNCIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,2,2,2,2,4,6
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,3,5,1,5,4,9
URUBICHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,2,14,20,16,22,38
UYUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,72,81,0,2,72,83,155
VACAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,1,14,22,16,23,39
VALLEGRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,16,19,13,25,29,44,73
VIACHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,10,15,12,10,22,25,47
VILA VILA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,6,16,43,61,49,77,126
VILLA CHARCAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,18,21,13,12,31,33,64
VILLA MONTES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,6,5,32,27,38,32,70
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,23,0,23,0,23
VILLA SERRANO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,2,7,2,7,9
VILLA TUNARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,49,81,44,43,93,124,217
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,2,12,16,13,18,31
VILLAZON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,21,82,70,85,91,167,258
VINTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,41,60,0,2,41,62,103
VITICHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,13,24,8,9,21,33,54
WALDO BALLIVIAN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,4,1,4,5
WARNES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,54,75,14,19,68,94,162
YACO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,8,4,8,5,13
YACUIBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,27,47,211,355,238,402,640
YAMPARAEZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,1,5,1,7,2,12,14
YANACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,3,3,3,5,6,11
YAPACANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,44,54,3,9,47,63,110
YOCALLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,3,1,3,1,4
YOTALA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,3,10,12,12,15,27
YUNCHARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,1,1,6,1,7,8
YUNGUYO DE LITORAL,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,0,0,1,0,1,0,1
ZUDAÑEZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-07-01,2,0,10,11,12,11,23
ACHACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,1,0,0,2,1,3
AIQUILE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,9,20,24,42,33,62,95
ANCORAIMES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,2,0,0,1,2,3
ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,1,0,2,1,3,4
ANTEQUERA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,3,0,0,0,3,3
ANZALDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,0,2,0,2,2
APOLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,6,5,12,6,18,24
ARAMPAMPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,2,1,2,3
ARANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,4,22,34,23,38,61
ARBIETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,9,20,9,21,30
ARQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,9,18,30,47,39,65,104
ASCENCION DE GUARAYOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,5,5,2,5,7,10,17
AYO AYO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,3,8,3,9,12
BATALLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,3,2,3,2,5
BAURES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,11,30,20,30,31,61
BELEN DE URMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,0,1,0,1
BERMEJO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,6,1,3,2,9,11
BETANZOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,2,1,4,2,6,8
BOYUIBE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,3,1,2,1,5,6
BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,22,20,5,15,27,35,62
CABEZAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,6,14,17,15,23,38
CAIROMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,1,1,1,2
"CAIZA ""D""",otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,1,0,2,0,2
CAJUATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,4,5,4,6,8,14
CALACOTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,26,22,15,10,41,32,73
CALAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,1,0,0,1,1,2
CAMARGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,2,2,12,4,14,18
CAMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,5,12,50,70,55,82,137
CAPINOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,0,0,1,0,1
CAQUIAVIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,1,2,2,4,3,7
CARACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,3,15,3,15,18
CARANAVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,3,5,51,47,54,52,106
CARAPARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,5,0,7,15,12,15,27
CHALLAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,43,14,43,14,57
CHARAGUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,2,5,2,5,7
CHAYANTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,27,45,27,46,73
CHIMORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,8,9,7,11,15,26
CHUA COCANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,7,9,7,9,16
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,12,8,0,0,12,8,20
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,12,2,12,2,14
CKOCHAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,6,3,10,6,16,9,25
CLIZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,6,1,6,7
COBIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,2,24,43,26,45,71
COCAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,7,30,20,32,27,59
COCHABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,261,500,946,909,1207,1409,2616
"COLCHA ""K""",otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,6,6,37,24,43,30,73
COLOMI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,0,0,0,1,1
COLPA BELGICA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,0,1,0,1
COLQUECHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,2,26,36,27,38,65
COLQUENCHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,6,5,2,2,8,7,15
COMANCHE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,2,1,2,1,3
COMARAPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,4,3,23,34,27,37,64
CONCEPCION,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,2,1,5,7,7,8,15
COPACABANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,2,0,2,0,2
CORIPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,2,3,2,3,5
COROICO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,25,21,25,21,46
CORQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,1,2,1,3,4
COTAGAITA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,8,13,8,14,22
COTOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,15,20,0,0,15,20,35
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,17,33,44,42,61,75,136
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,5,1,5,1,6
CUEVO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,5,1,2,2,7,9
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,3,0,2,0,5,5
CURVA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,0,5,0,6,6
EL ALTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,174,326,158,335,332,661,993
EL CHORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,2,17,17,17,19,36
EL PUENTE(TJA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,2,0,3,0,5,5
EL TORNO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,20,47,0,3,20,50,70
ENTRE RIOS TRJ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,2,2,1,3,3,6
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,17,31,6,10,23,41,64
EUCALIPTUS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,0,1,1,1,2
FILADELFIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,1,2,2,2,3,5
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,5,0,0,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,2,1,0,2,2,4
GUANAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,6,6,16,8,22,14,36
GUAYARAMERIN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,13,8,9,13,22,21,43
GUTIERREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,0,0,1,0,1,0,1
HUACARETA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,8,10,0,3,8,13,21
HUANUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,7,16,14,44,21,60,81
HUARACAJE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-08-01,1,0,0,0,1,0,1
