,group,variable,month,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
ASCENCION DE GUARAYOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
AYATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
BATALLAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,1,3
BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
CABEZAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,0,2
"CAIZA ""D""",tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,2,2
CAJUATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,9,3,12
CARAPARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
CHAQUI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,4,0,4
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,16,8,24
COLCAPIRHUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,3,0,3
CONCEPCION,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,9,0,9
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,3,0,3
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,38,17,55
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,7,1,8
EUCALIPTUS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,0,2
GENERAL SAAVEDRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,1,3
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,3,0,3
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,4,2,6
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,52,32,84
LAJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
LICOMA PAMPA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
MAGDALENA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,4,0,4
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,2,3
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,5,6,11
MOROCHATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
OKINAWA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,15,6,21
PADCAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,2,2
PAILON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
PALCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,3,3,6
POCONA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
PORONGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
PORVENIR,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,3,1,4
PRESTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
PUERTO CARABUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,4,1,5
PUNA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,1,3
REYES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,3,3,6
RURRENABAQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,8,0,8
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,4,2,6
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,1,3
SAN JAVIER(STC),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,2,4
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,2,3
SAN MATIAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
SAN PEDRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,2,2
SAN RAMON BENI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
SAN RAMON SCZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
SANTA ANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,101,53,154
SENA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,4,5
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,1,3
SORACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,3,2,5
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,6,6,12
TACACOMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,0,2
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,9,2,11
TARVITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,3,2,5
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
TOMAVE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,0,2
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,6,6,12
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,6,1,7
VILLA CHARCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,0,1,1
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
VILLAZON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,4,1,5
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,3,4,7
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,4,0,4
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,4,4,8
YANACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,1,2
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,6,5,11
YOCALLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-09-01,1,0,1
ACACIO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
AIQUILE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,0,2
APOLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
ARBIETO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,0,2
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,3,0,3
BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
CAMARGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,3,1,4
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,4,4,8
CARMEN RIVERO TORREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
CHAQUI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
CHAYANTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,1,2
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,1,3
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,2,2
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,40,18,58
COLCAPIRHUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,4,0,4
COLLANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
COLQUECHACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
COLQUIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,0,2
CONCEPCION,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,2,4
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,0,2
CULPINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,2,3
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,27,16,43
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,3,5
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,3,4
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,4,3,7
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,57,19,76
MACHARETI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
MAGDALENA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,1,2
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
MOJOCOYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,1,2
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,5,7
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,6,5,11
PADILLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
PAILON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,2,3
PALCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,3,0,3
POCOATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
PORVENIR,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,3,1,4
PUCARANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,3,2,5
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,6,3,9
REYES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,2,2
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,5,5,10
ROBORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,6,2,8
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,1,3
SAN IGNACIO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,5,0,5
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,1,2
SAN RAMON SCZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,92,54,146
SANTA ROSA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,1,3
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,2,2
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,5,7,12
TACACOMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,1,3
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,6,4,10
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,1,3
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,3,4,7
TIRAQUE (CBBA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,1,1
TORO TORO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,8,4,12
UNCIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,0,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,2,3
VILLA CHARCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,0,2,2
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,1,2
VILLA SERRANO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
VILLAZON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,2,2,4
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,3,4,7
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,8,2,10
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,3,2,5
YOTALA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,2,2
ARAMPAMPA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
ATOCHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
AUCAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
BATALLAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,0,2
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,8,0,8
CARAPARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
CHAQUI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
CHAYANTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,0,2
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
CHUMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,3,2,5
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,17,9,26
COLCAPIRHUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,3,2,5
COLOMI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
COLQUECHACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
COMARAPA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,0,2
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,6,7
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
CULPINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,33,23,56
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,2,4
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,5,0,5
ICLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,3,1,4
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,4,6,10
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,37,19,56
LAJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,2,3
MACHARETI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
MAIRANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,4,0,4
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,1,3
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,3,2,5
OKINAWA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,5,4,9
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,3,1,4
PORCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
PORTACHUELO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,5,3,8
PUCARANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
PUERTO PEREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,4,1,5
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,9,6,15
QUIME,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
REYES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,8,3,11
ROBORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,2,4
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,6,0,6
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
SAN BUENA VENTURA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
SAN JAVIER(BNI),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,1,2
SAN MATIAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-11-01,70,51,121
