,group,variable,month,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,TOTALES,TOTALES,TOTALES
TARVITA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,25,26,0,0,25,26,51
TEOPONTE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,8,9,0,0,8,9,17
TIAWANACU,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,11,18,0,0,11,18,29
TINGUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,7,32,0,0,7,32,39
TIPUANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,22,0,0,0,22,0,22
TIQUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,99,6,0,0,99,6,105
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,80,24,0,0,80,24,104
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,1,0,0,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,6,7,0,0,6,7,13
TOLATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,4,1,0,0,4,1,5
TOLEDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,3,7,0,0,3,7,10
TOMAVE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,4,14,0,0,4,14,18
TOMINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,9,5,0,0,9,5,14
TORO TORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,6,16,0,0,6,16,22
TOTORA(CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,20,24,0,0,20,24,44
TOTORA(ORR),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,3,5,0,0,3,5,8
TRIGAL,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,3,0,0,0,3,0,3
TRINIDAD,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,262,19,0,0,262,19,281
TUPIZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,45,17,0,0,45,17,62
TURCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,3,3,0,0,3,3,6
UMALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,0,14,0,0,0,14,14
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,42,33,0,0,42,33,75
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,17,6,0,0,17,6,23
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,5,30,0,0,5,30,35
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,28,25,0,0,28,25,53
VACAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,8,18,0,0,8,18,26
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,18,2,0,0,18,2,20
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,51,36,0,0,51,36,87
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,7,7,0,0,7,7,14
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,56,27,0,0,56,27,83
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,1,5,0,0,1,5,6
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,7,5,0,0,7,5,12
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,5,7,0,0,5,7,12
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,122,41,0,0,122,41,163
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,8,5,0,0,8,5,13
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,56,17,0,0,56,17,73
VINTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,72,19,0,0,72,19,91
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,12,12,0,0,12,12,24
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,2,2,0,0,2,2,4
WARNES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,123,19,0,0,123,19,142
YACO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,7,10,0,0,7,10,17
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,164,12,0,0,164,12,176
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,8,1,0,0,8,1,9
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,4,2,0,0,4,2,6
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,68,24,0,0,68,24,92
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,0,13,0,0,0,13,13
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,11,10,0,0,11,10,21
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,4,8,0,0,4,8,12
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-10-01,7,9,0,0,7,9,16
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,10,0,0,3,10,13
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,27,117,0,0,27,117,144
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,9,22,0,0,9,22,31
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,35,21,0,0,35,21,56
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,2,0,0,0,2,2
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,1,0,0,1,1,2
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,28,0,0,2,28,30
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,2,0,0,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,1,0,0,5,1,6
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,4,9,0,0,4,9,13
APOLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,19,17,0,0,19,17,36
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,6,0,0,2,6,8
ARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,11,13,0,0,11,13,24
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,17,0,0,3,17,20
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,21,18,0,0,21,18,39
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,30,12,0,0,30,12,42
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,18,8,0,0,18,8,26
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,6,3,0,0,6,3,9
AYATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,6,0,0,1,6,7
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,19,0,0,5,19,24
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,24,36,0,0,24,36,60
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,9,14,0,0,9,14,23
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,10,17,0,0,10,17,27
BAURES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,7,0,0,0,7,0,7
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,3,0,0,0,3,3
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,45,19,0,0,45,19,64
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,23,39,0,0,23,39,62
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,8,24,0,0,8,24,32
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,7,0,0,0,7,7
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,2,0,0,2,2,4
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,13,10,0,0,13,10,23
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,22,19,0,0,22,19,41
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,7,15,0,0,7,15,22
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,7,27,0,0,7,27,34
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,11,0,0,0,11,0,11
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,12,0,0,1,12,13
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,12,9,0,0,12,9,21
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,9,6,0,0,9,6,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,3,0,0,1,3,4
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,46,18,0,0,46,18,64
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,20,13,0,0,20,13,33
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,13,0,0,2,13,15
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,17,22,0,0,17,22,39
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,61,59,0,0,61,59,120
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,13,8,0,0,13,8,21
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,12,17,0,0,12,17,29
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,9,3,0,0,9,3,12
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,1,0,0,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,3,0,0,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,27,19,0,0,27,19,46
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,28,0,0,5,28,33
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,23,28,0,0,23,28,51
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,2,0,0,2,2,4
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,18,22,0,0,18,22,40
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,31,6,0,0,31,6,37
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,0,0,0,1,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,18,19,0,0,18,19,37
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,4,27,0,0,4,27,31
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,10,26,0,0,10,26,36
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,59,16,0,0,59,16,75
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1151,77,0,0,1151,77,1228
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,74,2,0,0,74,2,76
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,10,14,0,0,10,14,24
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,1,0,0,1,1,2
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,13,11,0,0,13,11,24
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,11,3,0,0,11,3,14
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,27,103,0,0,27,103,130
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,4,3,0,0,4,3,7
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,7,17,0,0,7,17,24
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,1,0,0,5,1,6
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,33,16,0,0,33,16,49
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,8,0,0,0,8,8
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,43,7,0,0,43,7,50
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,7,16,0,0,7,16,23
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,24,10,0,0,24,10,34
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,6,0,0,3,6,9
COROICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,20,9,0,0,20,9,29
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,4,0,0,5,4,9
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,8,22,0,0,8,22,30
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,97,6,0,0,97,6,103
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,27,51,0,0,27,51,78
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,1,0,0,1,1,2
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,6,1,0,0,6,1,7
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,20,16,0,0,20,16,36
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,6,3,0,0,6,3,9
CURVA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,6,0,0,0,6,6
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,2,0,0,2,2,4
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1247,793,0,0,1247,793,2040
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,1,0,0,1,1,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,14,2,0,0,14,2,16
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,7,13,0,0,7,13,20
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,82,14,0,0,82,14,96
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,3,0,0,5,3,8
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,37,10,0,0,37,10,47
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,14,31,0,0,14,31,45
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,3,0,0,5,3,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,1,0,0,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,8,7,0,0,8,7,15
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,25,7,0,0,25,7,32
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,4,22,0,0,4,22,26
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,35,4,0,0,35,4,39
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,19,0,0,3,19,22
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,11,12,0,0,11,12,23
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,3,0,0,3,3,6
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,66,9,0,0,66,9,75
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,14,12,0,0,14,12,26
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,7,0,0,3,7,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,2,0,0,0,2,2
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,36,17,0,0,36,17,53
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,5,0,0,5,5,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,8,0,0,5,8,13
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,10,0,0,0,10,10
ICLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,9,15,0,0,9,15,24
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,19,22,0,0,19,22,41
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,0,0,0,2,0,2
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,30,0,0,5,30,35
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,11,13,0,0,11,13,24
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,17,2,0,0,17,2,19
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,7,14,0,0,7,14,21
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,74,23,0,0,74,23,97
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,102,7,0,0,102,7,109
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1138,233,0,0,1138,233,1371
LA RIVERA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,2,0,0,0,2,2
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,1,0,0,5,1,6
LAJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,15,22,0,0,15,22,37
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,1,0,0,5,1,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,0,0,0,1,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,26,62,0,0,26,62,88
LLICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,1,0,0,3,1,4
LORETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,14,23,0,0,14,23,37
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,10,7,0,0,10,7,17
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,2,0,0,2,2,4
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,10,6,0,0,10,6,16
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,13,1,0,0,13,1,14
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,22,3,0,0,22,3,25
MALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,2,0,0,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,19,13,0,0,19,13,32
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,9,20,0,0,9,20,29
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,39,2,0,0,39,2,41
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,21,47,0,0,21,47,68
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,24,0,0,3,24,27
MOJINETE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,4,1,0,0,4,1,5
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,6,0,0,3,6,9
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,23,9,0,0,23,9,32
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,147,38,0,0,147,38,185
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,2,1,0,0,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,22,63,0,0,22,63,85
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,4,1,0,0,4,1,5
OCURI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,15,42,0,0,15,42,57
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,14,5,0,0,14,5,19
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,6,10,0,0,6,10,16
ORURO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,393,13,0,0,393,13,406
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,19,10,0,0,19,10,29
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,15,9,0,0,15,9,24
PAILON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,47,20,0,0,47,20,67
PALCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,4,17,0,0,4,17,21
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,36,21,0,0,36,21,57
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,4,2,0,0,4,2,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,8,4,0,0,8,4,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,9,0,0,1,9,10
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,1,0,0,0,1,1
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,24,11,0,0,24,11,35
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,4,2,0,0,4,2,6
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,6,0,0,3,6,9
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,83,0,0,5,83,88
POCONA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,5,6,0,0,5,6,11
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,16,6,0,0,16,6,22
POOPO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,6,5,0,0,6,5,11
PORCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,16,6,0,0,16,6,22
POROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,13,17,0,0,13,17,30
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,13,8,0,0,13,8,21
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,32,7,0,0,32,7,39
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,11,1,0,0,11,1,12
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,1,0,0,1,1,2
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,359,31,0,0,359,31,390
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,15,0,0,1,15,16
PUCARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,1,0,0,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,18,40,0,0,18,40,58
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,13,24,0,0,13,24,37
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,6,15,0,0,6,15,21
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,3,10,0,0,3,10,13
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,0,9,0,0,0,9,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,27,9,0,0,27,9,36
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-11-01,13,0,0,0,13,0,13
