,group,variable,month,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
URIONDO (A. CONCEPCION),otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,1,0,0,0,1,0,1
URUBICHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,0,0,1,3,1,3,4
UYUNI,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,11,10,17,33,28,43,71
VACAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,1,1,0,0,1,1,2
VALLEGRANDE,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,36,49,61,55,97,104,201
VIACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,44,50,1557,1537,1601,1587,3188
VILA VILA,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,0,1,13,9,13,10,23
VILLA MONTES,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,33,6,75,29,108,35,143
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,0,0,2,9,2,9,11
VILLA RIVERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,1,0,2,4,3,4,7
VILLA SERRANO,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,1,2,4,7,5,9,14
VILLA TUNARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,24,27,67,9,91,36,127
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,3,0,2,2,5,2,7
VILLAZON,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,28,60,112,182,140,242,382
VINTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,29,56,7,7,36,63,99
VITICHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,0,0,1,5,1,5,6
WALDO BALLIVIAN,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,0,1,1,0,1,1,2
WARNES,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,66,42,15,27,81,69,150
YACO,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,1,2,1,0,2,2,4
YACUIBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,42,29,85,91,127,120,247
YAMPARAEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,0,4,0,2,0,6,6
YANACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,2,4,2,3,4,7,11
YAPACANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,23,20,4,12,27,32,59
YOCALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,7,5,5,6,12,11,23
YOTALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,8,18,18,44,26,62,88
YUNCHARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,0,1,2,4,2,5,7
ZUDAÑEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-10-01,0,2,2,1,2,3,5
ACACIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,2,2,2,2,4
ACHACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,2,1,2,2,4,6
ACHOCALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,5,4,10,6,15,21
AIQUILE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,7,12,15,15,22,37
ALCALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,4,6,4,6,10
ALTO BENI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,0,4,1,4,5
ANCORAIMES,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,5,6,5,6,11
ANTEQUERA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,1,0,2,1,3
ANZALDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,1,1,2,1,3
APOLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,0,0,5,3,5,8
ARANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,3,0,0,0,3,3
ARBIETO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,4,1,2,2,6,8
ARQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,3,4,4,4,8
ATOCHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,5,6,3,3,8,9,17
AYATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,3,6,15,7,18,25
AYO AYO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,2,3,4,4,6,10
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,10,16,24,21,34,37,71
AZURDUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,6,26,27,30,33,63
BATALLAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,3,0,2,2,5,7
BAURES,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,24,25,0,0,24,25,49
BELEN DE ANDAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,59,16,59,16,75
BERMEJO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,1,3,4,5,5,10
BETANZOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,15,9,12,10,27,19,46
BOLIVAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,1,1,1,2
BOLPEBRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,15,13,15,13,28
BOYUIBE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,12,0,0,0,12,0,12
BUENA VISTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,9,2,6,6,15,8,23
CABEZAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,9,8,17,5,26,13,39
CAIROMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,2,2,4,5,6,11
"CAIZA ""D""",otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,2,0,0,0,2,2
CAJUATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,5,4,4,8,9,17
CALACOTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,4,5,5,5,10
CALAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,3,1,1,2,4,6
CAMARGO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,5,13,5,14,19
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,25,7,0,1,25,8,33
CAPINOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,9,11,0,0,9,11,20
CAQUIAVIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,2,1,3,1,4
CARACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,4,8,5,11,9,20
CARANAVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,5,15,40,4,45,19,64
CARAPARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,1,0,0,2,1,3
CARMEN RIVERO TORREZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,0,0,0,1,1
CATACORA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,2,3,2,3,5
CHALLAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,6,0,0,0,6,6
CHARAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,20,20,20,20,40
CHARAÑA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,13,5,13,5,18
CHIMORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,3,0,1,0,4,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,0,1,1,2,3
CHUMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,3,6,5,8,8,16
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,0,1,0,1
CKOCHAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,3,13,7,17,10,27
CLIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,15,6,4,4,19,10,29
COBIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,10,22,203,144,213,166,379
COCAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,6,0,0,3,6,9
COCHABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,973,1256,308,304,1281,1560,2841
COLCAPIRHUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,6,9,102,112,108,121,229
"COLCHA ""K""",otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,24,12,81,96,105,108,213
COLLANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,0,1,1,2,3
COLOMI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,3,0,3,3,6,9
COLQUECHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,1,4,2,7,3,10
COLQUIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,2,25,49,26,51,77
COMANCHE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,1,0,1,1,2
COMARAPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,0,0,0,1,1
COMBAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,0,1,0,1,1
COPACABANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,0,1,0,1,1
CORIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,2,0,5,1,7,8
CORO CORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,1,2,2,2,4
COROICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,28,21,0,0,28,21,49
CORQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,7,16,0,0,7,16,23
COTAGAITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,6,7,37,44,43,51,94
COTOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,27,30,24,25,51,55,106
CUATRO CAÑADAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,6,0,0,1,6,1,7
CUEVO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,7,3,11,5,18,23
CULPINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,8,1,4,5,12,17
CURAHUARA DE CARANGAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,0,2,0,4,0,4
CURVA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,3,2,3,2,5
DESAGUADERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,12,5,12,5,17
EL ALTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,142,167,102,136,244,303,547
EL CHORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,0,0,0,1,1
EL PUENTE(STC),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,2,1,2,3
EL PUENTE(TJA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,2,0,0,0,2,2
EL TORNO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,38,37,0,0,38,37,75
EL VILLAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,1,0,1,1,2
ENTRE RIOS TRJ,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,2,0,0,1,2,3
ENTRE RIOS CBBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,8,3,11,5,19,8,27
ESCOMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,3,2,3,2,5
ESMERALDA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,0,0,0,1,1
EUCALIPTUS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,6,7,0,0,6,7,13
FERNANDEZ ALONSO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,2,0,0,1,2,3
FILADELFIA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,3,2,3,2,5
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,2,4,2,4,6
GENERAL SAAVEDRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,7,6,7,7,14,13,27
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,3,6,3,6,9
GUANAY,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,25,14,26,15,41
GUAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,4,4,0,8,4,12
GUAYARAMERIN,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,10,11,10,9,20,20,40
GUTIERREZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,5,8,5,8,10,16,26
HUACARETA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,1,3,3,5,4,9
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,2,1,7,1,9,10
HUANUNI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,42,66,0,0,42,66,108
HUARINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,1,4,6,6,7,13
HUATAJATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,0,2,0,2,2
HUMANATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,4,1,1,2,5,7
ICHOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,5,5,5,6,11
INQUISIVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,0,5,4,7,4,11
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,1,1,1,3,2,5
JESUS DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,2,7,7,8,9,17
LA ASUNTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,26,4,3,10,29,14,43
LA GUARDIA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,59,19,2,1,61,20,81
LA PAZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,634,913,567,525,1201,1438,2639
LAGUNILLAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,0,9,16,11,16,27
LAJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,10,16,16,19,26,45
LICOMA PAMPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,2,5,3,5,5,10
LLALLAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,6,12,106,156,112,168,280
MACHACAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,3,6,3,6,9
MAGDALENA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,2,4,7,7,9,16
MAIRANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,1,3,2,4,6
MALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,0,1,0,1
MECAPACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,4,1,3,5,7,12
MINEROS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,6,7,1,2,7,9,16
MIZQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,5,3,12,19,17,22,39
MOCOMOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,2,7,10,7,12,19
MOJOCOYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,1,0,0,2,1,3
MONTEAGUDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,5,6,1,1,6,7,13
MONTERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,48,57,4,7,52,64,116
MOROCHATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,0,2,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,0,5,5,7,5,12
OKINAWA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,5,3,0,0,5,3,8
OMEREQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,12,9,12,9,21
ORURO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,175,225,130,126,305,351,656
PADCAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,7,8,0,0,7,8,15
PAILON,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,0,0,1,0,1
PALCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,16,24,9,7,25,31,56
PALOS BLANCOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,13,16,13,12,26,28,54
PAMPA AULLAGAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,0,0,1,0,1
PAMPA GRANDE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,0,0,1,0,1
PATACAMAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,12,20,12,20,32
PELECHUCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,0,3,0,4,4
POCOATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,2,0,2,0,2
POCONA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,2,3,5,3,7,10
POJO (CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,3,10,15,14,18,32
POOPO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,20,2,0,0,20,2,22
PORCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,0,2,0,2,2
POROMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,14,17,15,17,32
PORONGO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,7,6,4,2,11,8,19
PORTACHUELO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,5,3,0,1,5,4,9
PORVENIR,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,6,10,18,23,24,33,57
POSTRER VALLE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,3,0,1,1,4,5
POTOSI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,86,124,106,202,192,326,518
PRESTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,0,1,0,1,1
PUCARANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,4,0,7,4,11,15
PUERTO ACOSTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,2,1,2,3
PUERTO CARABUCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,8,15,9,16,25
PUERTO GONZALO MORENO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,0,0,1,1,2
PUERTO PEREZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,1,3,2,4,6
PUERTO RICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,2,1,3,5,5,10
PUNA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,1,1,1,5,2,7
PUNATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,11,14,1,0,12,14,26
QUILLACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,67,93,83,86,150,179,329
QUIME,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,14,3,14,3,17
RAQAYPAMPA(ETA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,2,5,2,5,7
RAVELO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,6,13,13,15,19,34
RIBERALTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,8,36,0,1,8,37,45
ROBORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,3,0,0,2,3,5
RURRENABAQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,4,3,2,7,6,13
SABAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,6,5,15,6,21,11,32
SACABA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,94,130,92,139,186,269,455
SACABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,2,3,2,3,4,7
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,0,0,1,0,1
SAMAIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,6,8,6,8,14
SAN ANDRES,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,0,1,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,3,0,0,1,3,4
SAN BENITO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,5,12,0,0,5,12,17
SAN BORJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,1,1,1,2
SAN CARLOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,1,0,0,3,1,4
SAN IGNACIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,1,8,1,9,10
SAN IGNACIO DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,5,9,0,0,5,9,14
SAN JOAQUIN,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,4,4,4,4,8
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,0,0,3,2,3,5
SAN LORENZO(TJA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,0,0,1,0,1
SAN LUCAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,7,10,18,14,25,24,49
SAN MIGUEL DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,9,3,11,5,20,25
SAN PABLO DE LIPEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,7,3,0,0,7,3,10
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,2,24,33,26,35,61
SAN PEDRO DE MACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,1,1,1,2
SAN PEDRO DE TIQUINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,1,1,0,5,1,6
SAN PEDRO(PND),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,10,13,10,13,23
SAN RAFAEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,4,0,0,2,4,6
SAN RAMON BENI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,8,16,13,31,21,47,68
SAN RAMON SCZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,26,50,0,0,26,50,76
SANTA ANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,2,2,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,812,648,39,47,851,695,1546
SANTA ROSA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,0,0,0,2,0,2
SANTA ROSA DEL SARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,7,4,0,1,7,5,12
SANTIAGO DE HUARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,0,38,46,39,46,85
SANTIAGO DE HUATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,2,1,2,1,3
SANTIAGO DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,1,0,1,0,2,2
SANTIVAÑES,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,2,0,0,0,2,2
SANTUARIO DE QUILLACAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,2,0,1,4,3,7
SAPAHAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,5,0,0,1,5,6
SENA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,0,0,1,1,2
SHINAOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,1,0,0,2,1,3
SICA SICA (VILLA AROMA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,14,5,16,26,30,31,61
SIPE SIPE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,4,11,27,13,31,44
SORACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,4,1,1,3,5,8
SORATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,7,2,6,5,13,18
SUCRE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,116,182,5,12,121,194,315
TACACOMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,0,1,0,1
TACOPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,0,1,0,1,1
TAHUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,2,1,3,2,5,7
TAPACARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,8,20,3,7,11,27,38
TARABUCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,2,3,1,0,3,3,6
TARACO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,13,8,0,0,13,8,21
TARATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,3,0,0,1,3,4
TARIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,57,67,144,218,201,285,486
TARVITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,1,3,1,3,4
TEOPONTE,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,1,1,5,5,6,6,12
TINGUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,4,17,14,20,18,38
TIPUANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,3,1,2,4,5,5,10
TIQUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,25,43,21,32,46,75,121
TIRAQUE (CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,13,39,15,43,28,71
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,0,0,3,6,3,6,9
TOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-11-01,4,7,0,0,4,7,11
