,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,2,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,27,1,28
LLICA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,3,1,4
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,6,7,13
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,5,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,3,16,19
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,13,0,13
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,4,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,4,5,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,7,0,7
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,3,0,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,76,5,81
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,10,10
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,3,1,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,2,3
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,3,4
TACACOMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,1,2
TOLATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,2,13,15
TUPIZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,1,1
UMALA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,1,4,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,0,7,7
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,3,0,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-12-01,3,0,3
