,group,variable,month,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
DESAGUADERO,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,0,1,0,1
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-12-01,256,203,256,203,459
EL CHORO,rabia,total no de personas con vacuna antirrabica,2015-12-01,0,1,0,1,1
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-12-01,20,11,20,11,31
GUANAY,rabia,total no de personas con vacuna antirrabica,2015-12-01,0,1,0,1,1
HUANUNI,rabia,total no de personas con vacuna antirrabica,2015-12-01,4,4,4,4,8
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-12-01,31,18,31,18,49
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-12-01,152,115,152,115,267
LAJA,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,1,1,1,2
LLALLAGUA,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,0,1,0,1
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-12-01,4,1,4,1,5
MAPIRI,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,1,2,1,3
MIZQUE,rabia,total no de personas con vacuna antirrabica,2015-12-01,3,0,3,0,3
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-12-01,34,30,34,30,64
MOROCHATA,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,1,1,1,2
ORURO,rabia,total no de personas con vacuna antirrabica,2015-12-01,44,41,44,41,85
PAILON,rabia,total no de personas con vacuna antirrabica,2015-12-01,4,4,4,4,8
PALOS BLANCOS,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,1,2,1,3
PAMPA AULLAGAS,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,1,1,1,2
POOPO,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,0,1,0,1
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-12-01,127,167,127,167,294
PUERTO VILLARROEL,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,0,1,0,1
PUNA,rabia,total no de personas con vacuna antirrabica,2015-12-01,0,1,0,1,1
PUNATA,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,1,2,1,3
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-12-01,19,15,19,15,34
ROBORE,rabia,total no de personas con vacuna antirrabica,2015-12-01,3,0,3,0,3
SACABA,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,2,1,2,3
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-12-01,3,2,3,2,5
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-12-01,3,2,3,2,5
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-12-01,4,1,4,1,5
SAN JAVIER(STC),rabia,total no de personas con vacuna antirrabica,2015-12-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,rabia,total no de personas con vacuna antirrabica,2015-12-01,0,2,0,2,2
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-12-01,4,6,4,6,10
SAN MIGUEL DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,3,2,3,5
SAN PEDRO,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,total no de personas con vacuna antirrabica,2015-12-01,0,1,0,1,1
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,3,2,3,5
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-12-01,665,502,665,502,1167
SANTA ROSA DEL SARA,rabia,total no de personas con vacuna antirrabica,2015-12-01,5,0,5,0,5
SHINAOTA,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,3,1,3,4
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-12-01,97,77,97,77,174
TACOBAMBA,rabia,total no de personas con vacuna antirrabica,2015-12-01,0,25,0,25,25
TARATA,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,0,1,0,1
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-12-01,13,7,13,7,20
TIQUIPAYA,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,1,2,1,3
TOLATA,rabia,total no de personas con vacuna antirrabica,2015-12-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-12-01,22,17,22,17,39
TUPIZA,rabia,total no de personas con vacuna antirrabica,2015-12-01,3,0,3,0,3
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-12-01,4,5,4,5,9
VACAS,rabia,total no de personas con vacuna antirrabica,2015-12-01,2,0,2,0,2
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-12-01,6,7,6,7,13
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-12-01,5,6,5,6,11
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-12-01,10,7,10,7,17
VILLA TUNARI,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,1,1,1,2
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-12-01,11,2,11,2,13
VINTO,rabia,total no de personas con vacuna antirrabica,2015-12-01,1,1,1,1,2
WARNES,rabia,total no de personas con vacuna antirrabica,2015-12-01,11,13,11,13,24
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-12-01,22,9,22,9,31
YANACACHI,rabia,total no de personas con vacuna antirrabica,2015-12-01,0,1,0,1,1
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-12-01,21,12,21,12,33
YOTALA,rabia,total no de personas con vacuna antirrabica,2015-12-01,5,4,5,4,9
