,group,variable,month,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,5,0,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,4,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,1,3
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,4,2,6
SORATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,4,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,13,1,14
TAPACARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
TARATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,18,7,25
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,5,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,5,2,7
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,6,200,206
TOMAVE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,3,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,13,13
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,1,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,13,43,56
UNCIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,2,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,3,2,5
UYUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,4,2,6
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,9,2,11
VILA VILA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,4,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,10,7,17
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,2,1,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,6,1,7
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,14,3,17
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,10,1,11
YANACACHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,1,0,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-06-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,3,4
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,6,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,5,1,6
ATOCHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,2,3
AYATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,3,3
AYO AYO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,1,2
AZURDUY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,5,18,23
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,1,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,3,6
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
CAMARGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,1,3
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,2,5
CARANAVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
CATACORA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,1,2
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,7,0,7
CHIMORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,0,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,11,2,13
CLIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,7,4,11
COCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,14,14
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,117,22,139
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,2,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,5,5
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,0,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
COROICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,13,8,21
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,1,4
CULPINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,66,78,144
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,1,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,6,2,8
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,4,4
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,2,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,5,8
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,1,2
HUACARETA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,6,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,25,0,25
HUMANATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,3,6
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,4,0,4
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,7,0,7
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,17,4,21
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,76,6,82
LAJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,6,0,6
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,5,5
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
MAPIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
MOJINETE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,2,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,27,0,27
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,10,10
OKINAWA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,19,2,21
PAILON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,16,17
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
POOPO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,1,3
PORVENIR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,43,2,45
PUCARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,6,1,7
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,3,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,19,63,82
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,9,6,15
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,1,2
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,23,11,34
SACACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
SAIPINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,4,4
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,3,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,6,9
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,1,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,2,4
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,2,4
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,3,4
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,17,17
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,4,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,1,3
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,1,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,3,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,231,26,257
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,8,9
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,1,2
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
SENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,0,3
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,11,0,11
SORATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,2,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,34,4,38
TACACOMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
TAHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,10,20,30
TAPACARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,20,8,28
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,6,11,17
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,2,3
TOLATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,5,0,5
TORO TORO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,3,4
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,12,8,20
TUPIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,1,3
UNCIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,4,0,4
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,3,2,5
VILA VILA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,1,3
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,9,1,10
VILLAZON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,10,4,14
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,16,0,16
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,10,5,15
YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,4,11,15
YOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,9,10
YOTALA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-07-01,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,1,4
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,1,4
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
ARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,0,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,4,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,0,3
AYATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,2,2
AZURDUY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,8,2,10
BAURES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,12,12
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,8,0,8
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,23,24
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,3,3
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,0,3
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,5,5
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,6,0,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,3,0,3
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,230,230
CLIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,11,3,14
COCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,11,11
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,95,15,110
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,10,7,17
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,4,0,4
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,4,1,5
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,8,8
COMARAPA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,4,3,7
COPACABANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,9,11
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,12,0,12
CULPINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,92,171,263
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,2,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,5,0,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,4,0,4
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
GUANAY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,3,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,2,3
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,14,1,15
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,51,0,51
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
LORETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,17,4,21
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,7,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,0,2
OKINAWA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,26,29,55
PAILON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,2,19,21
PALCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,2,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
PAZÑA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,1,2
POOPO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-08-01,1,0,1
