,group,variable,month,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,1,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,7,0,7
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,3,4
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,19,11,30
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,5,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,1,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,3,4,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,241,33,274
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,7,9
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,1,2
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,4,0,4
SENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,1,2
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,1,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,23,10,33
TARACO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,5,4,9
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,7,2,9
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
TOLATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,6,1,7
TOMINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,1,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,3,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,11,4,15
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,1,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,8,0,8
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,3,1,4
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,6,1,7
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,16,0,16
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,9,3,12
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,0,2,2
YOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-07-01,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,3,3,6
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,1,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,4,4
AYATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,7,7
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,13,8,21
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,12,13
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,1,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,1,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,10,10
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,8,2,10
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,46,12,58
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,3,2,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,2,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,2,4
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,4,0,4
COPACABANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,9,11
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,66,53,119
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,3,0,3
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,2,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,0,2
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
GUANAY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,3,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,1,2
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,10,6,16
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,3,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,29,8,37
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,2,2
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,10,4,14
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,1,2
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,14,16,30
PADILLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,52,14,66
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,10,10
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,2,4
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
POOPO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,3,0,3
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,22,5,27
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,2,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,3,1,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,5,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,8,11,19
RAVELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,11,1,12
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,3,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,3,0,3
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,3,0,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,6,0,6
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,4,0,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,209,27,236
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,5,7
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,4,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,4,0,4
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,14,1,15
TARACO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,4,6,10
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,4,6
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,14,0,14
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,8,10
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,2,4
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,2,2
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,6,7,13
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,3,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,8,1,9
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,11,1,12
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,7,7,14
YANACACHI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-08-01,0,2,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,3,3,6
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,2,2
BAURES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,1,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,9,9
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,17,17
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,1,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,2,2
CARANGAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,2,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,6,6,12
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,36,49,85
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,4,1,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,1,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,1,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,2,3
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,2,2
COROICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,6,8
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,2,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,72,63,135
EL CHORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,1,3
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
EXALTACION,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
GUANAY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,2,2
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,3,2,5
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,2,4
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,6,0,6
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,54,5,59
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,3,4
LORETO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,10,3,13
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,11,4,15
OCURI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,17,8,25
PADILLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,17,2,19
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,23,0,23
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,41,10,51
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,3,1,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,5,17,22
RAVELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,4,4
REYES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,8,5,13
ROBORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,10,5,15
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,2,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,6,10,16
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,2,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,1,2
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,2,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,2,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-09-01,2,0,2
