,group,variable,month,TOTAL 19.8 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTAL 19.8 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,3,4
ANZALDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
APOLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,0,2
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
ARANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,15,37,52
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,10,10
ARQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,7,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,17,0,17
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,33,34
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,2,4
AYATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,15,19
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,5,26,31
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,9,8,17
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,17,30,47
BAURES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,11,13
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,3,4
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,8,5,13
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,31,77,108
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,2,3
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,2,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,32,35
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,0,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,2,3
CAJUATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,0,2
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,0,2
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,8,0,8
CAMARGO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,5,4,9
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,4,14
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,4,14
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,7,0,7
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,4,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,42,14,56
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,11,23,34
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,0,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,4,6
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,9,9
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,38,41
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,1,11
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,0,2
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,5,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,13,5,18
CHUMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,0,4
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,39,42
CLIZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,8,10
COBIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,8,18
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,15,12,27
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,248,31,279
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,15,25
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,19,3,22
COLLANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,7,6,13
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,12,33,45
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,5,0,5
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,5,8
COMANCHE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,0,3
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,1,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,14,17
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,25,0,25
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,2,3
COROICO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,7,13,20
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,12,14,26
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,48,5,53
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,11,2,13
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
CULPINA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,38,9,47
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,6,8
CURVA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,1,3
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,6,0,6
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,238,205,443
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,8,0,8
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,0,3
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,13,6,19
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,2,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,8,0,8
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,5,6,11
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,12,12
EXALTACION,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,21,1,22
GUANAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,5,15
GUAQUI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,11,67,78
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,0,3
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,38,48
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,5,8
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,3,3
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,4,7
ICLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,5,8
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,27,41,68
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,13,6,19
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,3,7
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,19,14,33
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,27,2,29
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,251,65,316
LAJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,8,5,13
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,5,2,7
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,1,5
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,18,159,177
LORETO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,8,1,9
MACHARETI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,4,7
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,0,4
MAIRANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,5,0,5
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,34,99,133
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,13,0,13
MINEROS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,0,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,8,4,12
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,12,22
MOJINETE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,3,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,31,2,33
MORO MORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,0,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,8,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,3,5
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,5,7
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,7,2,9
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,47,32,79
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,3,4
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,27,0,27
PALCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,9,0,9
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,22,6,28
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,2,4
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,11,21
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,1,3
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,13,1,14
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,1,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,9,9
POCONA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,1,5
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,9,13
POOPO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,2,4
POROMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,6,18,24
PORONGO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,11,6,17
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,16,0,16
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,2,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,55,51,106
PRESTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,7,21,28
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,16,39,55
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,3,4
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,3,3
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,5,6,11
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,19,0,19
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,8,0,8
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,25,2,27
PUNA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,13,21,34
PUNATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,15,4,19
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,7,7
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,37,49,86
QUIME,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,7,0,7
RAVELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,32,27,59
REYES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,24,4,28
ROBORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,0,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,4,7
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,45,28,73
SACACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,9,19,28
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,7,3,10
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,6,2,8
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,0,4
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,9,12
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,16,11,27
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,1,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,13,2,15
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,23,25
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,10,6,16
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,64,14,78
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,16,22,38
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,5,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,0,4
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,19,59,78
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,0,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,8,11
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,9,5,14
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,0,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,2,2
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,0,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,1,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,497,428,925
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,0,4
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,2,6
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,5,2,7
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,3,5
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,6,8
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,1,3
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,6,7
SENA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,0,4
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,5,7,12
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,9,71,80
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,44,7,51
SORACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,3,7,10
SORATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,12,50,62
SUCRE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,205,77,282
TACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,1,3
TACACOMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,1,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,12,75,87
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,7,9
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,6,7
TARACO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,29,19,48
TARVITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,5,5
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,7,2,9
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,4,0,4
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,8,9
TIPUANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,22,3,25
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,22,37,59
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,13,57,70
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,1,2
TOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,1,0,1
TODOS SANTOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,0,1,1
TOLATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,2,1,3
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-11-01,16,62,78
