municipality,group,variable,month,Pacientes contrarreferidos al establecimiento,TOTAL
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,7,7
EXALTACION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,9,9
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,163,163
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
HUACARETA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
HUACAYA (VILLA DE HUACAYA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,8,8
ICLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,5,5
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,51,51
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2344,2344
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,14,14
LAS CARRERAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,8,8
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,8,8
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,9,9
MOJOCOYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,7,7
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,219,219
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,865,865
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,5,5
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
PAILON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
PALCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
PALOS BLANCOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
PAMPA GRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
PATACAMAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
PAZÑA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
POCONA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,8,8
POROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
PORONGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,115,115
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
PUCARANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
PUERTO PEREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
PUERTO SUAREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,9,9
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,13,13
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,47,47
QUIME,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
QUIRUSILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,46,46
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,18,18
SACACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
SALINAS DE GARCI MENDOZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
SAMAIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
SAN BORJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
SAN BUENA VENTURA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,19,19
SAN JUAN DE YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
SAN JULIAN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
SAN LORENZO(PND),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,11,11
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,26,26
SAN MATIAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,11,11
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
SAN PEDRO DE BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
SAN PEDRO DE MACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1931,1931
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
SANTIAGO DE HUATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,25,25
SICA SICA (VILLA AROMA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,176,176
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,12,12
TARACO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,63,63
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
TIAHUANACU,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
TIPUANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
TOLEDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,6,6
TOTORA(CBBA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,7,7
TOTORA(ORR),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
TRIGAL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,430,430
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,60,60
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,5,5
VALLEGRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
VIACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,23,23
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,5,5
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,5,5
VINTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,3,3
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,2,2
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,23,23
YAMPARAEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
YANACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-07-01,10,10
ACHACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
AIQUILE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,3,3
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,9,9
ANCORAIMES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
ANTEQUERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
ARBIETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,19,19
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,3,3
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,154,154
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
BOYUIBE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,3,3
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
CALAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
CAMARGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,6,6
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,105,105
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
CARACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,3,3
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,15,15
CHARAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
CHIMORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,3,3
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,91,91
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,617,617
COLOMI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
COLQUECHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
COLQUENCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
COLQUIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
COMARAPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,19,19
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,7,7
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,6,6
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,269,269
CUATRO CAÑADAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
CUEVO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,3,3
CULPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,6,6
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,244,244
EL CHORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,6,6
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,11,11
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,41,41
EL VILLAR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,17,17
EUCALIPTUS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,6,6
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,178,178
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
HUACARETA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
HUACHACALLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
HUATAJATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,3,3
IRUPANA (VILLA DE LANZA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,61,61
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,3813,3813
LA RIVERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
LICOMA PAMPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
LORETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,17,17
MAPIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
MIZQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,12,12
MOCOMOCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,7,7
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,271,271
MORO MORO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,7,7
OKINAWA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,679,679
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
PALCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
PALOS BLANCOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
POJO (CBBA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,7,7
POROMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,17,17
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
PUCARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
PUCARANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
PUERTO QUIJARRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,8,8
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,13,13
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,37,37
QUIME,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,33,33
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,6,6
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,15,15
SAIPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,7,7
SAN BUENA VENTURA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,23,23
SAN IGNACIO DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,19,19
SAN MATIAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,3,3
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,8,8
SAN PEDRO DE MACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1631,1631
SANTUARIO DE QUILLACAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,29,29
SOPACHUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,8,8
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,42,42
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,8,8
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,47,47
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
TIPUANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
TOLEDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,7,7
TOTORA(CBBA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
TOTORA(ORR),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,22,22
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,55,55
UMALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
VIACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,25,25
VILLA NUEVA (LOMA ALTA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,10,10
VILLA TUNARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,4,4
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,6,6
VINTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,2,2
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,21,21
YAMPARAEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
YOTALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-08-01,5,5
ACHACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
AIQUILE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,5,5
ANTEQUERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
ARAMPAMPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
ARBIETO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,16,16
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
AZURDUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
BELEN DE URMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,106,106
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
BOYUIBE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
CAMARGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,15,15
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,7,7
CARACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,5,5
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
CARIPUYO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
CATACORA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,21,21
CHARAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
CKOCHAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,77,77
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,725,725
COLCAPIRHUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
"COLCHA ""K""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
COLOMI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
COLPA BELGICA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,2,2
COLQUECHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
COLQUIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,6,6
COMARAPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,5,5
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,3,3
COPACABANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,9,9
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,11,11
CORQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,1,1
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-09-01,4,4
