,group,variable,month,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
SAN PEDRO DE BUENA VISTA,consultas prenatales, repetidas,2014-09-01,78,23,101
SAN PEDRO DE CURAHUARA,consultas prenatales, repetidas,2014-09-01,17,2,19
SAN PEDRO DE QUEMES,consultas prenatales, repetidas,2014-09-01,2,0,2
SAN PEDRO DE TIQUINA,consultas prenatales, repetidas,2014-09-01,11,0,11
SAN PEDRO(PND),consultas prenatales, repetidas,2014-09-01,2,4,6
SAN RAFAEL,consultas prenatales, repetidas,2014-09-01,36,0,36
SAN RAMON BENI,consultas prenatales, repetidas,2014-09-01,42,0,42
SAN RAMON SCZ,consultas prenatales, repetidas,2014-09-01,44,0,44
SANTA ANA,consultas prenatales, repetidas,2014-09-01,157,0,157
SANTA CRUZ DE LA SIERRA,consultas prenatales, repetidas,2014-09-01,11407,13,11420
SANTA ROSA,consultas prenatales, repetidas,2014-09-01,46,1,47
SANTA ROSA DEL SARA,consultas prenatales, repetidas,2014-09-01,106,0,106
SANTIAGO DE CALLAPA,consultas prenatales, repetidas,2014-09-01,10,6,16
SANTIAGO DE HUARI,consultas prenatales, repetidas,2014-09-01,55,0,55
SANTIAGO DE HUATA,consultas prenatales, repetidas,2014-09-01,19,0,19
SANTIAGO DE MACHACA,consultas prenatales, repetidas,2014-09-01,13,0,13
SANTIVAÑES,consultas prenatales, repetidas,2014-09-01,31,0,31
SANTUARIO DE QUILLACAS,consultas prenatales, repetidas,2014-09-01,18,4,22
SAPAHAQUI,consultas prenatales, repetidas,2014-09-01,30,6,36
SENA,consultas prenatales, repetidas,2014-09-01,13,0,13
SHINAOTA,consultas prenatales, repetidas,2014-09-01,288,4,292
SICA SICA (VILLA AROMA),consultas prenatales, repetidas,2014-09-01,87,1,88
SICAYA,consultas prenatales, repetidas,2014-09-01,21,0,21
SIPE SIPE,consultas prenatales, repetidas,2014-09-01,418,0,418
SOPACHUY,consultas prenatales, repetidas,2014-09-01,46,6,52
SORACACHI,consultas prenatales, repetidas,2014-09-01,30,7,37
SORATA,consultas prenatales, repetidas,2014-09-01,98,7,105
SUCRE,consultas prenatales, repetidas,2014-09-01,3180,29,3209
TACACHI,consultas prenatales, repetidas,2014-09-01,2,0,2
TACACOMA,consultas prenatales, repetidas,2014-09-01,35,0,35
TACOBAMBA,consultas prenatales, repetidas,2014-09-01,49,5,54
TACOPAYA,consultas prenatales, repetidas,2014-09-01,26,6,32
TAHUA,consultas prenatales, repetidas,2014-09-01,3,1,4
TAPACARI,consultas prenatales, repetidas,2014-09-01,125,15,140
TARABUCO,consultas prenatales, repetidas,2014-09-01,85,15,100
TARACO,consultas prenatales, repetidas,2014-09-01,19,3,22
TARATA,consultas prenatales, repetidas,2014-09-01,64,2,66
TARIJA,consultas prenatales, repetidas,2014-09-01,1871,37,1908
TARVITA,consultas prenatales, repetidas,2014-09-01,57,25,82
TEOPONTE,consultas prenatales, repetidas,2014-09-01,93,5,98
TIAWANACU,consultas prenatales, repetidas,2014-09-01,64,1,65
TINGUIPAYA,consultas prenatales, repetidas,2014-09-01,39,22,61
TIPUANI,consultas prenatales, repetidas,2014-09-01,97,0,97
TIQUIPAYA,consultas prenatales, repetidas,2014-09-01,625,2,627
TIRAQUE (CBBA),consultas prenatales, repetidas,2014-09-01,127,6,133
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, repetidas,2014-09-01,1,0,1
TOCO,consultas prenatales, repetidas,2014-09-01,47,1,48
TODOS SANTOS,consultas prenatales, repetidas,2014-09-01,4,0,4
TOLATA,consultas prenatales, repetidas,2014-09-01,39,0,39
TOLEDO,consultas prenatales, repetidas,2014-09-01,20,3,23
TOMAVE,consultas prenatales, repetidas,2014-09-01,49,15,64
TOMINA,consultas prenatales, repetidas,2014-09-01,51,3,54
TORO TORO,consultas prenatales, repetidas,2014-09-01,31,15,46
TOTORA(CBBA),consultas prenatales, repetidas,2014-09-01,128,8,136
TOTORA(ORR),consultas prenatales, repetidas,2014-09-01,18,5,23
TRIGAL,consultas prenatales, repetidas,2014-09-01,9,1,10
TRINIDAD,consultas prenatales, repetidas,2014-09-01,1203,0,1203
TUPIZA,consultas prenatales, repetidas,2014-09-01,382,10,392
TURCO,consultas prenatales, repetidas,2014-09-01,18,1,19
UMALA,consultas prenatales, repetidas,2014-09-01,23,7,30
UNCIA,consultas prenatales, repetidas,2014-09-01,208,12,220
URIONDO (A. CONCEPCION),consultas prenatales, repetidas,2014-09-01,89,3,92
URUBICHA,consultas prenatales, repetidas,2014-09-01,36,0,36
UYUNI,consultas prenatales, repetidas,2014-09-01,314,14,328
VACAS,consultas prenatales, repetidas,2014-09-01,44,0,44
VALLEGRANDE,consultas prenatales, repetidas,2014-09-01,114,3,117
VIACHA,consultas prenatales, repetidas,2014-09-01,418,0,418
VILA VILA,consultas prenatales, repetidas,2014-09-01,14,1,15
VILLA CHARCAS,consultas prenatales, repetidas,2014-09-01,73,28,101
VILLA MONTES,consultas prenatales, repetidas,2014-09-01,430,9,439
VILLA NUEVA (LOMA ALTA),consultas prenatales, repetidas,2014-09-01,5,0,5
VILLA RIVERO,consultas prenatales, repetidas,2014-09-01,70,1,71
VILLA SERRANO,consultas prenatales, repetidas,2014-09-01,45,17,62
VILLA TUNARI,consultas prenatales, repetidas,2014-09-01,813,0,813
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, repetidas,2014-09-01,43,13,56
VILLAZON,consultas prenatales, repetidas,2014-09-01,394,10,404
VINTO,consultas prenatales, repetidas,2014-09-01,255,0,255
VITICHI,consultas prenatales, repetidas,2014-09-01,41,3,44
WALDO BALLIVIAN,consultas prenatales, repetidas,2014-09-01,7,0,7
WARNES,consultas prenatales, repetidas,2014-09-01,590,0,590
YACO,consultas prenatales, repetidas,2014-09-01,10,12,22
YACUIBA,consultas prenatales, repetidas,2014-09-01,670,1,671
YAMPARAEZ,consultas prenatales, repetidas,2014-09-01,37,10,47
YANACACHI,consultas prenatales, repetidas,2014-09-01,29,0,29
YAPACANI,consultas prenatales, repetidas,2014-09-01,344,22,366
YOCALLA,consultas prenatales, repetidas,2014-09-01,41,4,45
YOTALA,consultas prenatales, repetidas,2014-09-01,55,1,56
YUNCHARA,consultas prenatales, repetidas,2014-09-01,19,22,41
YUNGUYO DE LITORAL,consultas prenatales, repetidas,2014-09-01,0,1,1
ZUDAÑEZ,consultas prenatales, repetidas,2014-09-01,45,5,50
ACACIO,consultas prenatales, repetidas,2014-10-01,30,4,34
ACHACACHI,consultas prenatales, repetidas,2014-10-01,244,2,246
ACHOCALLA,consultas prenatales, repetidas,2014-10-01,32,55,87
AIQUILE,consultas prenatales, repetidas,2014-10-01,215,10,225
ALALAY,consultas prenatales, repetidas,2014-10-01,5,1,6
ALCALA,consultas prenatales, repetidas,2014-10-01,26,1,27
ALTO BENI,consultas prenatales, repetidas,2014-10-01,26,3,29
ANCORAIMES,consultas prenatales, repetidas,2014-10-01,30,2,32
ANDAMARCA,consultas prenatales, repetidas,2014-10-01,9,12,21
ANTEQUERA,consultas prenatales, repetidas,2014-10-01,11,6,17
ANZALDO,consultas prenatales, repetidas,2014-10-01,11,2,13
APOLO,consultas prenatales, repetidas,2014-10-01,105,3,108
ARAMPAMPA,consultas prenatales, repetidas,2014-10-01,13,11,24
ARANI,consultas prenatales, repetidas,2014-10-01,54,3,57
ARBIETO,consultas prenatales, repetidas,2014-10-01,54,6,60
ARQUE,consultas prenatales, repetidas,2014-10-01,49,0,49
ATOCHA,consultas prenatales, repetidas,2014-10-01,30,0,30
AUCAPATA,consultas prenatales, repetidas,2014-10-01,13,2,15
AYATA,consultas prenatales, repetidas,2014-10-01,17,6,23
AYO AYO,consultas prenatales, repetidas,2014-10-01,56,0,56
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, repetidas,2014-10-01,135,9,144
AZURDUY,consultas prenatales, repetidas,2014-10-01,43,18,61
BATALLAS,consultas prenatales, repetidas,2014-10-01,80,4,84
BAURES,consultas prenatales, repetidas,2014-10-01,34,0,34
BELEN DE ANDAMARCA,consultas prenatales, repetidas,2014-10-01,2,1,3
BELEN DE URMIRI,consultas prenatales, repetidas,2014-10-01,1,3,4
BELLA FLOR,consultas prenatales, repetidas,2014-10-01,15,3,18
BERMEJO,consultas prenatales, repetidas,2014-10-01,349,3,352
BETANZOS,consultas prenatales, repetidas,2014-10-01,151,29,180
BOLIVAR,consultas prenatales, repetidas,2014-10-01,7,11,18
BOLPEBRA,consultas prenatales, repetidas,2014-10-01,7,3,10
BOYUIBE,consultas prenatales, repetidas,2014-10-01,22,1,23
BUENA VISTA,consultas prenatales, repetidas,2014-10-01,57,1,58
CABEZAS,consultas prenatales, repetidas,2014-10-01,139,14,153
CAIROMA,consultas prenatales, repetidas,2014-10-01,35,3,38
"CAIZA ""D""",consultas prenatales, repetidas,2014-10-01,12,0,12
CAJUATA,consultas prenatales, repetidas,2014-10-01,87,0,87
CALACOTO,consultas prenatales, repetidas,2014-10-01,7,7,14
CALAMARCA,consultas prenatales, repetidas,2014-10-01,62,3,65
CAMARGO,consultas prenatales, repetidas,2014-10-01,119,6,125
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, repetidas,2014-10-01,16,1,17
CAMIRI,consultas prenatales, repetidas,2014-10-01,198,3,201
CAPINOTA,consultas prenatales, repetidas,2014-10-01,157,2,159
CAQUIAVIRI,consultas prenatales, repetidas,2014-10-01,35,0,35
CARACOLLO,consultas prenatales, repetidas,2014-10-01,148,3,151
CARANAVI,consultas prenatales, repetidas,2014-10-01,421,7,428
CARAPARI,consultas prenatales, repetidas,2014-10-01,109,8,117
CARIPUYO,consultas prenatales, repetidas,2014-10-01,20,14,34
CATACORA,consultas prenatales, repetidas,2014-10-01,4,0,4
CHACARILLA,consultas prenatales, repetidas,2014-10-01,3,2,5
CHALLAPATA,consultas prenatales, repetidas,2014-10-01,184,24,208
CHAQUI,consultas prenatales, repetidas,2014-10-01,27,1,28
CHARAÑA,consultas prenatales, repetidas,2014-10-01,5,1,6
CHAYANTA,consultas prenatales, repetidas,2014-10-01,34,18,52
CHIMORE,consultas prenatales, repetidas,2014-10-01,113,2,115
CHIPAYA,consultas prenatales, repetidas,2014-10-01,7,0,7
CHUA COCANI,consultas prenatales, repetidas,2014-10-01,15,0,15
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, repetidas,2014-10-01,145,0,145
CHUMA,consultas prenatales, repetidas,2014-10-01,22,4,26
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, repetidas,2014-10-01,28,9,37
CKOCHAS,consultas prenatales, repetidas,2014-10-01,33,6,39
CLIZA,consultas prenatales, repetidas,2014-10-01,193,2,195
COBIJA,consultas prenatales, repetidas,2014-10-01,376,221,597
COCAPATA,consultas prenatales, repetidas,2014-10-01,13,7,20
COCHABAMBA,consultas prenatales, repetidas,2014-10-01,6689,469,7158
COIPASA,consultas prenatales, repetidas,2014-10-01,2,0,2
COLCAPIRHUA,consultas prenatales, repetidas,2014-10-01,282,0,282
"COLCHA ""K""",consultas prenatales, repetidas,2014-10-01,52,3,55
COLLANA,consultas prenatales, repetidas,2014-10-01,7,0,7
COLOMI,consultas prenatales, repetidas,2014-10-01,156,5,161
COLPA BELGICA,consultas prenatales, repetidas,2014-10-01,46,0,46
COLQUECHACA,consultas prenatales, repetidas,2014-10-01,137,31,168
COLQUENCHA,consultas prenatales, repetidas,2014-10-01,64,0,64
COLQUIRI,consultas prenatales, repetidas,2014-10-01,75,17,92
COMANCHE,consultas prenatales, repetidas,2014-10-01,7,10,17
COMBAYA,consultas prenatales, repetidas,2014-10-01,3,2,5
CONCEPCION,consultas prenatales, repetidas,2014-10-01,166,9,175
COPACABANA,consultas prenatales, repetidas,2014-10-01,57,2,59
CORIPATA,consultas prenatales, repetidas,2014-10-01,135,1,136
CORO CORO,consultas prenatales, repetidas,2014-10-01,19,10,29
COROICO,consultas prenatales, repetidas,2014-10-01,147,0,147
CORQUE,consultas prenatales, repetidas,2014-10-01,16,15,31
COTAGAITA,consultas prenatales, repetidas,2014-10-01,78,12,90
CRUZ DE MACHACAMARCA,consultas prenatales, repetidas,2014-10-01,1,0,1
CUATRO CAÑADAS,consultas prenatales, repetidas,2014-10-01,206,2,208
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, repetidas,2014-10-01,6,0,6
CUEVO,consultas prenatales, repetidas,2014-10-01,17,2,19
CULPINA,consultas prenatales, repetidas,2014-10-01,79,11,90
CURAHUARA DE CARANGAS,consultas prenatales, repetidas,2014-10-01,25,0,25
CURVA,consultas prenatales, repetidas,2014-10-01,7,4,11
DESAGUADERO,consultas prenatales, repetidas,2014-10-01,45,1,46
EL ALTO,consultas prenatales, repetidas,2014-10-01,6736,670,7406
EL CHORO,consultas prenatales, repetidas,2014-10-01,2,6,8
EL PUENTE(TJA),consultas prenatales, repetidas,2014-10-01,62,8,70
EL VILLAR,consultas prenatales, repetidas,2014-10-01,21,8,29
ENTRE RIOS TRJ,consultas prenatales, repetidas,2014-10-01,171,14,185
ENTRE RIOS CBBA,consultas prenatales, repetidas,2014-10-01,288,0,288
ESCOMA,consultas prenatales, repetidas,2014-10-01,22,0,22
EUCALIPTUS,consultas prenatales, repetidas,2014-10-01,28,0,28
EUREKA (SANTOS MERCADO),consultas prenatales, repetidas,2014-10-01,8,0,8
EXALTACION,consultas prenatales, repetidas,2014-10-01,8,0,8
FILADELFIA,consultas prenatales, repetidas,2014-10-01,36,4,40
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, repetidas,2014-10-01,39,3,42
GUANAY,consultas prenatales, repetidas,2014-10-01,14,110,124
GUAQUI,consultas prenatales, repetidas,2014-10-01,30,4,34
GUAYARAMERIN,consultas prenatales, repetidas,2014-10-01,545,2,547
GUTIERREZ,consultas prenatales, repetidas,2014-10-01,56,3,59
HUACARETA,consultas prenatales, repetidas,2014-10-01,41,13,54
HUACAYA (VILLA DE HUACAYA),consultas prenatales, repetidas,2014-10-01,21,2,23
HUACHACALLA,consultas prenatales, repetidas,2014-10-01,8,0,8
HUANUNI,consultas prenatales, repetidas,2014-10-01,192,0,192
HUARACAJE,consultas prenatales, repetidas,2014-10-01,22,0,22
HUARINA,consultas prenatales, repetidas,2014-10-01,32,1,33
HUATAJATA,consultas prenatales, repetidas,2014-10-01,13,0,13
HUAYLLAMARCA,consultas prenatales, repetidas,2014-10-01,4,0,4
HUMANATA,consultas prenatales, repetidas,2014-10-01,3,2,5
ICHOCA,consultas prenatales, repetidas,2014-10-01,17,2,19
ICLA,consultas prenatales, repetidas,2014-10-01,40,15,55
INCAHUASI,consultas prenatales, repetidas,2014-10-01,45,37,82
INGAVI (HUMAITA),consultas prenatales, repetidas,2014-10-01,4,0,4
INQUISIVI,consultas prenatales, repetidas,2014-10-01,17,19,36
IRUPANA (VILLA DE LANZA),consultas prenatales, repetidas,2014-10-01,106,3,109
IXIAMAS,consultas prenatales, repetidas,2014-10-01,61,3,64
JESUS DE MACHACA,consultas prenatales, repetidas,2014-10-01,61,6,67
LA ASUNTA,consultas prenatales, repetidas,2014-10-01,311,22,333
LA PAZ,consultas prenatales, repetidas,2014-10-01,5426,176,5602
LA RIVERA,consultas prenatales, repetidas,2014-10-01,1,0,1
LAGUNILLAS,consultas prenatales, repetidas,2014-10-01,52,2,54
LAJA,consultas prenatales, repetidas,2014-10-01,46,7,53
LAS CARRERAS,consultas prenatales, repetidas,2014-10-01,28,1,29
LICOMA PAMPA,consultas prenatales, repetidas,2014-10-01,23,0,23
LLALLAGUA,consultas prenatales, repetidas,2014-10-01,283,5,288
LLICA,consultas prenatales, repetidas,2014-10-01,14,5,19
LORETO,consultas prenatales, repetidas,2014-10-01,6,10,16
LURIBAY,consultas prenatales, repetidas,2014-10-01,30,1,31
MACHACAMARCA,consultas prenatales, repetidas,2014-10-01,15,0,15
MACHARETI,consultas prenatales, repetidas,2014-10-01,70,1,71
MAGDALENA,consultas prenatales, repetidas,2014-10-01,120,0,120
MALLA,consultas prenatales, repetidas,2014-10-01,5,4,9
MAPIRI,consultas prenatales, repetidas,2014-10-01,127,4,131
MECAPACA,consultas prenatales, repetidas,2014-10-01,25,18,43
MIZQUE,consultas prenatales, repetidas,2014-10-01,189,2,191
MOCOMOCO,consultas prenatales, repetidas,2014-10-01,29,10,39
MOJINETE,consultas prenatales, repetidas,2014-10-01,2,3,5
MOJOCOYA,consultas prenatales, repetidas,2014-10-01,37,6,43
MONTEAGUDO,consultas prenatales, repetidas,2014-10-01,246,8,254
MOROCHATA,consultas prenatales, repetidas,2014-10-01,12,1,13
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, repetidas,2014-10-01,24,1,25
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, repetidas,2014-10-01,11,6,17
OCURI,consultas prenatales, repetidas,2014-10-01,44,20,64
OMEREQUE,consultas prenatales, repetidas,2014-10-01,29,6,35
ORURO,consultas prenatales, repetidas,2014-10-01,3189,12,3201
PADCAYA,consultas prenatales, repetidas,2014-10-01,99,2,101
PADILLA,consultas prenatales, repetidas,2014-10-01,54,11,65
PAILON,consultas prenatales, repetidas,2014-10-01,231,3,234
PALCA,consultas prenatales, repetidas,2014-10-01,92,3,95
PALOS BLANCOS,consultas prenatales, repetidas,2014-10-01,232,0,232
PAMPA AULLAGAS,consultas prenatales, repetidas,2014-10-01,20,0,20
PAPEL PAMPA,consultas prenatales, repetidas,2014-10-01,26,6,32
PASORAPA,consultas prenatales, repetidas,2014-10-01,4,3,7
PATACAMAYA,consultas prenatales, repetidas,2014-10-01,149,1,150
PAZÑA,consultas prenatales, repetidas,2014-10-01,23,2,25
PELECHUCO,consultas prenatales, repetidas,2014-10-01,29,3,32
POCOATA,consultas prenatales, repetidas,2014-10-01,56,45,101
POCONA,consultas prenatales, repetidas,2014-10-01,31,1,32
POJO (CBBA),consultas prenatales, repetidas,2014-10-01,47,1,48
POOPO,consultas prenatales, repetidas,2014-10-01,30,2,32
PORCO,consultas prenatales, repetidas,2014-10-01,0,105,105
POROMA,consultas prenatales, repetidas,2014-10-01,42,27,69
PORTACHUELO,consultas prenatales, repetidas,2014-10-01,241,0,241
PORVENIR,consultas prenatales, repetidas,2014-10-01,38,5,43
POTOSI,consultas prenatales, repetidas,2014-10-01,1837,16,1853
PRESTO,consultas prenatales, repetidas,2014-10-01,37,36,73
PUCARANI,consultas prenatales, repetidas,2014-10-01,84,36,120
PUERTO ACOSTA,consultas prenatales, repetidas,2014-10-01,21,23,44
PUERTO CARABUCO,consultas prenatales, repetidas,2014-10-01,26,15,41
PUERTO GONZALO MORENO,consultas prenatales, repetidas,2014-10-01,39,15,54
PUERTO PEREZ,consultas prenatales, repetidas,2014-10-01,25,4,29
PUERTO RICO,consultas prenatales, repetidas,2014-10-01,67,4,71
PUERTO SILES,consultas prenatales, repetidas,2014-10-01,3,0,3
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-10-01,569,0,569
PUNA,consultas prenatales, repetidas,2014-10-01,86,6,92
PUNATA,consultas prenatales, repetidas,2014-10-01,345,4,349
QUIABAYA,consultas prenatales, repetidas,2014-10-01,7,0,7
QUILLACOLLO,consultas prenatales, repetidas,2014-10-01,1171,45,1216
QUIME,consultas prenatales, repetidas,2014-10-01,66,0,66
RAVELO,consultas prenatales, repetidas,2014-10-01,38,33,71
REYES,consultas prenatales, repetidas,2014-10-01,87,17,104
RIBERALTA,consultas prenatales, repetidas,2014-10-01,1080,18,1098
ROBORE,consultas prenatales, repetidas,2014-10-01,134,0,134
RURRENABAQUE,consultas prenatales, repetidas,2014-10-01,118,0,118
SABAYA,consultas prenatales, repetidas,2014-10-01,24,0,24
SACABA,consultas prenatales, repetidas,2014-10-01,1451,8,1459
SACABAMBA,consultas prenatales, repetidas,2014-10-01,5,1,6
SACACA,consultas prenatales, repetidas,2014-10-01,79,17,96
SALINAS DE GARCI MENDOZA,consultas prenatales, repetidas,2014-10-01,55,27,82
SAN AGUSTIN,consultas prenatales, repetidas,2014-10-01,4,0,4
SAN ANDRES,consultas prenatales, repetidas,2014-10-01,47,1,48
SAN ANDRES DE MACHACA,consultas prenatales, repetidas,2014-10-01,13,2,15
SAN ANTONIO DE ESMORUCO,consultas prenatales, repetidas,2014-10-01,18,1,19
SAN ANTONIO DE LOMERIO,consultas prenatales, repetidas,2014-10-01,22,16,38
SAN BENITO,consultas prenatales, repetidas,2014-10-01,70,0,70
SAN BORJA,consultas prenatales, repetidas,2014-10-01,246,14,260
SAN BUENA VENTURA,consultas prenatales, repetidas,2014-10-01,75,2,77
SAN CARLOS,consultas prenatales, repetidas,2014-10-01,170,0,170
SAN IGNACIO,consultas prenatales, repetidas,2014-10-01,209,8,217
SAN IGNACIO DE VELASCO,consultas prenatales, repetidas,2014-10-01,417,19,436
SAN JAVIER(BNI),consultas prenatales, repetidas,2014-10-01,6,0,6
SAN JAVIER(STC),consultas prenatales, repetidas,2014-10-01,162,0,162
SAN JOAQUIN,consultas prenatales, repetidas,2014-10-01,41,0,41
SAN JOSE DE CHIQUITOS,consultas prenatales, repetidas,2014-10-01,193,0,193
SAN JUAN DE YAPACANI,consultas prenatales, repetidas,2014-10-01,58,1,59
SAN JULIAN,consultas prenatales, repetidas,2014-10-01,354,4,358
SAN LORENZO(PND),consultas prenatales, repetidas,2014-10-01,27,3,30
SAN LORENZO(TJA),consultas prenatales, repetidas,2014-10-01,147,5,152
SAN LUCAS,consultas prenatales, repetidas,2014-10-01,155,77,232
SAN MATIAS,consultas prenatales, repetidas,2014-10-01,95,0,95
SAN MIGUEL DE VELASCO,consultas prenatales, repetidas,2014-10-01,87,4,91
SAN PABLO DE LIPEZ,consultas prenatales, repetidas,2014-10-01,8,0,8
SAN PEDRO DE BUENA VISTA,consultas prenatales, repetidas,2014-10-01,78,21,99
SAN PEDRO DE CURAHUARA,consultas prenatales, repetidas,2014-10-01,16,3,19
SAN PEDRO DE QUEMES,consultas prenatales, repetidas,2014-10-01,4,0,4
SAN PEDRO DE TIQUINA,consultas prenatales, repetidas,2014-10-01,10,3,13
SAN PEDRO(PND),consultas prenatales, repetidas,2014-10-01,2,3,5
SAN RAFAEL,consultas prenatales, repetidas,2014-10-01,41,7,48
SAN RAMON BENI,consultas prenatales, repetidas,2014-10-01,52,0,52
SAN RAMON SCZ,consultas prenatales, repetidas,2014-10-01,58,0,58
SANTA ANA,consultas prenatales, repetidas,2014-10-01,202,1,203
SANTA CRUZ DE LA SIERRA,consultas prenatales, repetidas,2014-10-01,11123,21,11144
SANTA ROSA,consultas prenatales, repetidas,2014-10-01,40,0,40
SANTA ROSA DEL SARA,consultas prenatales, repetidas,2014-10-01,99,1,100
SANTIAGO DE CALLAPA,consultas prenatales, repetidas,2014-10-01,6,2,8
SANTIAGO DE HUARI,consultas prenatales, repetidas,2014-10-01,45,1,46
SANTIAGO DE HUATA,consultas prenatales, repetidas,2014-10-01,19,1,20
SANTIAGO DE MACHACA,consultas prenatales, repetidas,2014-10-01,9,5,14
SANTIVAÑES,consultas prenatales, repetidas,2014-10-01,33,1,34
SANTUARIO DE QUILLACAS,consultas prenatales, repetidas,2014-10-01,13,2,15
SAPAHAQUI,consultas prenatales, repetidas,2014-10-01,34,8,42
SENA,consultas prenatales, repetidas,2014-10-01,48,0,48
SHINAOTA,consultas prenatales, repetidas,2014-10-01,312,4,316
SICA SICA (VILLA AROMA),consultas prenatales, repetidas,2014-10-01,85,1,86
SICAYA,consultas prenatales, repetidas,2014-10-01,15,1,16
SIPE SIPE,consultas prenatales, repetidas,2014-10-01,442,2,444
SOPACHUY,consultas prenatales, repetidas,2014-10-01,65,3,68
SORACACHI,consultas prenatales, repetidas,2014-10-01,31,3,34
SORATA,consultas prenatales, repetidas,2014-10-01,66,13,79
SUCRE,consultas prenatales, repetidas,2014-10-01,3284,14,3298
TACACHI,consultas prenatales, repetidas,2014-10-01,2,0,2
TACACOMA,consultas prenatales, repetidas,2014-10-01,21,3,24
TACOBAMBA,consultas prenatales, repetidas,2014-10-01,36,12,48
TACOPAYA,consultas prenatales, repetidas,2014-10-01,28,4,32
TAHUA,consultas prenatales, repetidas,2014-10-01,3,0,3
TAPACARI,consultas prenatales, repetidas,2014-10-01,59,11,70
TARABUCO,consultas prenatales, repetidas,2014-10-01,81,14,95
TARACO,consultas prenatales, repetidas,2014-10-01,20,2,22
TARATA,consultas prenatales, repetidas,2014-10-01,58,3,61
TARIJA,consultas prenatales, repetidas,2014-10-01,2153,69,2222
TARVITA,consultas prenatales, repetidas,2014-10-01,59,16,75
TEOPONTE,consultas prenatales, repetidas,2014-10-01,84,6,90
TIAWANACU,consultas prenatales, repetidas,2014-10-01,21,9,30
TINGUIPAYA,consultas prenatales, repetidas,2014-10-01,48,14,62
TIPUANI,consultas prenatales, repetidas,2014-10-01,100,0,100
TIQUIPAYA,consultas prenatales, repetidas,2014-10-01,638,81,719
TIRAQUE (CBBA),consultas prenatales, repetidas,2014-10-01,127,6,133
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, repetidas,2014-10-01,5,0,5
TOCO,consultas prenatales, repetidas,2014-10-01,65,17,82
TODOS SANTOS,consultas prenatales, repetidas,2014-10-01,0,3,3
TOLATA,consultas prenatales, repetidas,2014-10-01,36,0,36
TOLEDO,consultas prenatales, repetidas,2014-10-01,21,4,25
TOMAVE,consultas prenatales, repetidas,2014-10-01,33,12,45
TOMINA,consultas prenatales, repetidas,2014-10-01,61,4,65
TORO TORO,consultas prenatales, repetidas,2014-10-01,38,11,49
TOTORA(CBBA),consultas prenatales, repetidas,2014-10-01,121,3,124
TOTORA(ORR),consultas prenatales, repetidas,2014-10-01,16,4,20
TRINIDAD,consultas prenatales, repetidas,2014-10-01,1172,2,1174
TUPIZA,consultas prenatales, repetidas,2014-10-01,291,16,307
TURCO,consultas prenatales, repetidas,2014-10-01,10,5,15
UMALA,consultas prenatales, repetidas,2014-10-01,11,5,16
UNCIA,consultas prenatales, repetidas,2014-10-01,113,29,142
URIONDO (A. CONCEPCION),consultas prenatales, repetidas,2014-10-01,90,2,92
UYUNI,consultas prenatales, repetidas,2014-10-01,344,9,353
VACAS,consultas prenatales, repetidas,2014-10-01,47,0,47
VIACHA,consultas prenatales, repetidas,2014-10-01,293,11,304
VILA VILA,consultas prenatales, repetidas,2014-10-01,15,5,20
VILLA CHARCAS,consultas prenatales, repetidas,2014-10-01,61,23,84
VILLA MONTES,consultas prenatales, repetidas,2014-10-01,443,7,450
VILLA NUEVA (LOMA ALTA),consultas prenatales, repetidas,2014-10-01,7,4,11
VILLA RIVERO,consultas prenatales, repetidas,2014-10-01,54,1,55
VILLA SERRANO,consultas prenatales, repetidas,2014-10-01,53,18,71
VILLA TUNARI,consultas prenatales, repetidas,2014-10-01,651,3,654
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, repetidas,2014-10-01,62,3,65
VILLAZON,consultas prenatales, repetidas,2014-10-01,358,15,373
VINTO,consultas prenatales, repetidas,2014-10-01,440,1,441
VITICHI,consultas prenatales, repetidas,2014-10-01,18,0,18
WALDO BALLIVIAN,consultas prenatales, repetidas,2014-10-01,8,1,9
YACO,consultas prenatales, repetidas,2014-10-01,10,9,19
YACUIBA,consultas prenatales, repetidas,2014-10-01,533,3,536
YAMPARAEZ,consultas prenatales, repetidas,2014-10-01,43,7,50
YANACACHI,consultas prenatales, repetidas,2014-10-01,34,0,34
YAPACANI,consultas prenatales, repetidas,2014-10-01,315,22,337
YOCALLA,consultas prenatales, repetidas,2014-10-01,41,0,41
YOTALA,consultas prenatales, repetidas,2014-10-01,60,1,61
YUNCHARA,consultas prenatales, repetidas,2014-10-01,11,16,27
