,group,variable,month,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS REPETIDAS,MENORES DE 5 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
SAN PEDRO DE QUEMES,consulta externa,menores de 5 anos,2008-10-01,8,14,0,0,8,14,22
SAN PEDRO DE TIQUINA,consulta externa,menores de 5 anos,2008-10-01,30,40,0,1,30,41,71
SAN PEDRO(PND),consulta externa,menores de 5 anos,2008-10-01,33,52,5,3,38,55,93
SAN RAFAEL,consulta externa,menores de 5 anos,2008-10-01,164,148,16,11,180,159,339
SAN RAMON,consulta externa,menores de 5 anos,2008-10-01,188,192,16,7,204,199,403
SAN RAMON,consulta externa,menores de 5 anos,2008-10-01,107,136,3,2,110,138,248
SANTA ANA,consulta externa,menores de 5 anos,2008-10-01,271,225,3,6,274,231,505
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 5 anos,2008-10-01,20550,18309,3267,3165,23817,21474,45291
SANTA ROSA,consulta externa,menores de 5 anos,2008-10-01,197,165,4,5,201,170,371
SANTA ROSA DEL SARA,consulta externa,menores de 5 anos,2008-10-01,490,500,10,12,500,512,1012
SANTIAGO DE CALLAPA,consulta externa,menores de 5 anos,2008-10-01,63,80,4,1,67,81,148
SANTIAGO DE HUARI,consulta externa,menores de 5 anos,2008-10-01,223,204,11,7,234,211,445
SANTIAGO DE MACHACA,consulta externa,menores de 5 anos,2008-10-01,29,38,1,1,30,39,69
SANTIVAÑES,consulta externa,menores de 5 anos,2008-10-01,44,66,5,5,49,71,120
SANTUARIO DE QUILLACAS,consulta externa,menores de 5 anos,2008-10-01,60,65,3,2,63,67,130
SAPAHAQUI,consulta externa,menores de 5 anos,2008-10-01,113,106,1,1,114,107,221
SENA,consulta externa,menores de 5 anos,2008-10-01,86,112,12,11,98,123,221
SICA SICA (VILLA AROMA),consulta externa,menores de 5 anos,2008-10-01,255,212,6,4,261,216,477
SICAYA,consulta externa,menores de 5 anos,2008-10-01,50,55,0,0,50,55,105
SIPE SIPE,consulta externa,menores de 5 anos,2008-10-01,426,395,164,135,590,530,1120
SOPACHUY,consulta externa,menores de 5 anos,2008-10-01,229,209,3,1,232,210,442
SORACACHI,consulta externa,menores de 5 anos,2008-10-01,208,150,9,2,217,152,369
SORATA,consulta externa,menores de 5 anos,2008-10-01,209,225,9,6,218,231,449
SUCRE,consulta externa,menores de 5 anos,2008-10-01,7162,6532,900,922,8062,7454,15516
TACACHI,consulta externa,menores de 5 anos,2008-10-01,20,10,3,2,23,12,35
TACACOMA,consulta externa,menores de 5 anos,2008-10-01,96,74,0,1,96,75,171
TACOBAMBA,consulta externa,menores de 5 anos,2008-10-01,181,183,2,11,183,194,377
TACOPAYA,consulta externa,menores de 5 anos,2008-10-01,174,162,3,2,177,164,341
TAHUA,consulta externa,menores de 5 anos,2008-10-01,29,31,0,1,29,32,61
TAPACARI,consulta externa,menores de 5 anos,2008-10-01,656,581,25,12,681,593,1274
TARABUCO,consulta externa,menores de 5 anos,2008-10-01,725,696,2,3,727,699,1426
TARACO,consulta externa,menores de 5 anos,2008-10-01,78,43,0,0,78,43,121
TARATA,consulta externa,menores de 5 anos,2008-10-01,85,83,11,7,96,90,186
TARIJA,consulta externa,menores de 5 anos,2008-10-01,4823,5668,572,572,5395,6240,11635
TARVITA,consulta externa,menores de 5 anos,2008-10-01,722,629,54,56,776,685,1461
TEOPONTE,consulta externa,menores de 5 anos,2008-10-01,189,197,18,14,207,211,418
TIAWANACU,consulta externa,menores de 5 anos,2008-10-01,118,120,1,3,119,123,242
TINGUIPAYA,consulta externa,menores de 5 anos,2008-10-01,439,491,5,0,444,491,935
TIPUANI,consulta externa,menores de 5 anos,2008-10-01,170,179,1,2,171,181,352
TIQUIPAYA,consulta externa,menores de 5 anos,2008-10-01,934,846,218,191,1152,1037,2189
TIRAQUE (CBBA),consulta externa,menores de 5 anos,2008-10-01,1008,849,106,77,1114,926,2040
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 5 anos,2008-10-01,6,15,0,2,6,17,23
TOCO,consulta externa,menores de 5 anos,2008-10-01,75,70,5,5,80,75,155
TODOS SANTOS,consulta externa,menores de 5 anos,2008-10-01,3,5,0,1,3,6,9
TOLATA,consulta externa,menores de 5 anos,2008-10-01,68,73,6,2,74,75,149
TOLEDO,consulta externa,menores de 5 anos,2008-10-01,155,123,14,5,169,128,297
TOMAVE,consulta externa,menores de 5 anos,2008-10-01,159,150,9,11,168,161,329
TOMINA,consulta externa,menores de 5 anos,2008-10-01,485,450,7,4,492,454,946
TORO TORO,consulta externa,menores de 5 anos,2008-10-01,254,320,2,7,256,327,583
TOTORA(CBBA),consulta externa,menores de 5 anos,2008-10-01,223,207,91,75,314,282,596
TOTORA(ORR),consulta externa,menores de 5 anos,2008-10-01,110,110,1,4,111,114,225
TRIGAL,consulta externa,menores de 5 anos,2008-10-01,29,33,1,2,30,35,65
TRINIDAD,consulta externa,menores de 5 anos,2008-10-01,3611,2068,290,311,3901,2379,6280
TUPIZA,consulta externa,menores de 5 anos,2008-10-01,818,728,56,46,874,774,1648
TURCO,consulta externa,menores de 5 anos,2008-10-01,93,80,7,2,100,82,182
UMALA,consulta externa,menores de 5 anos,2008-10-01,86,87,0,0,86,87,173
UNCIA,consulta externa,menores de 5 anos,2008-10-01,747,694,8,2,755,696,1451
URIONDO (A. CONCEPCION),consulta externa,menores de 5 anos,2008-10-01,486,498,24,24,510,522,1032
URUBICHA,consulta externa,menores de 5 anos,2008-10-01,272,256,4,3,276,259,535
UYUNI,consulta externa,menores de 5 anos,2008-10-01,405,396,34,31,439,427,866
VACAS,consulta externa,menores de 5 anos,2008-10-01,175,145,7,4,182,149,331
VALLEGRANDE,consulta externa,menores de 5 anos,2008-10-01,182,153,27,46,209,199,408
VIACHA,consulta externa,menores de 5 anos,2008-10-01,723,557,106,61,829,618,1447
VILA VILA,consulta externa,menores de 5 anos,2008-10-01,83,69,1,3,84,72,156
VILLA MONTES,consulta externa,menores de 5 anos,2008-10-01,767,693,43,40,810,733,1543
VILLA NUEVA (LOMA ALTA),consulta externa,menores de 5 anos,2008-10-01,26,38,6,4,32,42,74
VILLA RIVERO,consulta externa,menores de 5 anos,2008-10-01,72,66,9,5,81,71,152
VILLA SERRANO,consulta externa,menores de 5 anos,2008-10-01,396,428,0,3,396,431,827
VILLA TUNARI,consulta externa,menores de 5 anos,2008-10-01,2072,1777,230,156,2302,1933,4235
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,menores de 5 anos,2008-10-01,252,222,11,8,263,230,493
VILLAZON,consulta externa,menores de 5 anos,2008-10-01,882,783,61,52,943,835,1778
VINTO,consulta externa,menores de 5 anos,2008-10-01,372,297,330,314,702,611,1313
VITICHI,consulta externa,menores de 5 anos,2008-10-01,151,143,5,4,156,147,303
WALDO BALLIVIAN,consulta externa,menores de 5 anos,2008-10-01,17,21,0,2,17,23,40
WARNES,consulta externa,menores de 5 anos,2008-10-01,1516,1525,82,109,1598,1634,3232
YACO,consulta externa,menores de 5 anos,2008-10-01,109,77,0,5,109,82,191
YACUIBA,consulta externa,menores de 5 anos,2008-10-01,2160,1972,189,158,2349,2130,4479
YAMPARAEZ,consulta externa,menores de 5 anos,2008-10-01,192,164,10,6,202,170,372
YANACACHI,consulta externa,menores de 5 anos,2008-10-01,55,75,2,3,57,78,135
YAPACANI,consulta externa,menores de 5 anos,2008-10-01,773,601,24,9,797,610,1407
YOCALLA,consulta externa,menores de 5 anos,2008-10-01,96,83,29,31,125,114,239
YOTALA,consulta externa,menores de 5 anos,2008-10-01,151,185,18,19,169,204,373
YUNCHARA,consulta externa,menores de 5 anos,2008-10-01,111,126,14,5,125,131,256
ZUDAÑEZ,consulta externa,menores de 5 anos,2008-10-01,342,281,10,2,352,283,635
ACACIO,consulta externa,menores de 5 anos,2008-11-01,128,143,2,1,130,144,274
ACHACACHI,consulta externa,menores de 5 anos,2008-11-01,375,380,22,22,397,402,799
ACHOCALLA,consulta externa,menores de 5 anos,2008-11-01,87,88,6,2,93,90,183
AIQUILE,consulta externa,menores de 5 anos,2008-11-01,523,519,10,20,533,539,1072
ALALAY,consulta externa,menores de 5 anos,2008-11-01,53,36,0,0,53,36,89
ALCALA,consulta externa,menores de 5 anos,2008-11-01,146,171,1,4,147,175,322
ANCORAIMES,consulta externa,menores de 5 anos,2008-11-01,164,151,2,3,166,154,320
ANDAMARCA,consulta externa,menores de 5 anos,2008-11-01,54,50,4,3,58,53,111
ANTEQUERA,consulta externa,menores de 5 anos,2008-11-01,43,74,1,1,44,75,119
ANZALDO,consulta externa,menores de 5 anos,2008-11-01,90,102,4,5,94,107,201
APOLO,consulta externa,menores de 5 anos,2008-11-01,337,348,5,3,342,351,693
ARAMPAMPA,consulta externa,menores de 5 anos,2008-11-01,122,101,0,2,122,103,225
ARANI,consulta externa,menores de 5 anos,2008-11-01,187,134,3,4,190,138,328
ARBIETO,consulta externa,menores de 5 anos,2008-11-01,243,199,29,23,272,222,494
ARQUE,consulta externa,menores de 5 anos,2008-11-01,341,297,20,23,361,320,681
ASCENCION DE GUARAYOS,consulta externa,menores de 5 anos,2008-11-01,425,377,49,34,474,411,885
ATOCHA,consulta externa,menores de 5 anos,2008-11-01,358,314,89,38,447,352,799
AUCAPATA,consulta externa,menores de 5 anos,2008-11-01,55,47,6,5,61,52,113
AYATA,consulta externa,menores de 5 anos,2008-11-01,138,121,4,2,142,123,265
AYO AYO,consulta externa,menores de 5 anos,2008-11-01,78,52,4,5,82,57,139
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 5 anos,2008-11-01,460,505,13,12,473,517,990
AZURDUY,consulta externa,menores de 5 anos,2008-11-01,466,423,1,0,467,423,890
BATALLAS,consulta externa,menores de 5 anos,2008-11-01,105,83,4,1,109,84,193
BAURES,consulta externa,menores de 5 anos,2008-11-01,70,91,7,11,77,102,179
BELEN DE ANDAMARCA,consulta externa,menores de 5 anos,2008-11-01,12,6,0,0,12,6,18
BELEN DE URMIRI,consulta externa,menores de 5 anos,2008-11-01,40,40,1,0,41,40,81
BELLA FLOR,consulta externa,menores de 5 anos,2008-11-01,31,32,3,0,34,32,66
BERMEJO,consulta externa,menores de 5 anos,2008-11-01,1003,988,55,70,1058,1058,2116
BETANZOS,consulta externa,menores de 5 anos,2008-11-01,765,667,15,13,780,680,1460
BOLIVAR,consulta externa,menores de 5 anos,2008-11-01,212,194,0,0,212,194,406
BOLPEBRA,consulta externa,menores de 5 anos,2008-11-01,52,50,3,2,55,52,107
BOYUIBE,consulta externa,menores de 5 anos,2008-11-01,71,72,6,5,77,77,154
BUENA VISTA,consulta externa,menores de 5 anos,2008-11-01,350,323,28,25,378,348,726
CABEZAS,consulta externa,menores de 5 anos,2008-11-01,484,463,43,50,527,513,1040
CAIROMA,consulta externa,menores de 5 anos,2008-11-01,171,155,5,0,176,155,331
"CAIZA ""D""",consulta externa,menores de 5 anos,2008-11-01,203,163,12,6,215,169,384
CAJUATA,consulta externa,menores de 5 anos,2008-11-01,203,187,12,4,215,191,406
CALACOTO,consulta externa,menores de 5 anos,2008-11-01,84,75,0,0,84,75,159
CALAMARCA,consulta externa,menores de 5 anos,2008-11-01,167,186,20,6,187,192,379
CAMARGO,consulta externa,menores de 5 anos,2008-11-01,326,353,2,1,328,354,682
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 5 anos,2008-11-01,61,58,2,0,63,58,121
CAMIRI,consulta externa,menores de 5 anos,2008-11-01,898,843,65,58,963,901,1864
CAPINOTA,consulta externa,menores de 5 anos,2008-11-01,324,224,54,27,378,251,629
CAQUIAVIRI,consulta externa,menores de 5 anos,2008-11-01,106,77,3,0,109,77,186
CARACOLLO,consulta externa,menores de 5 anos,2008-11-01,235,210,43,24,278,234,512
CARANAVI,consulta externa,menores de 5 anos,2008-11-01,769,728,80,74,849,802,1651
CARANGAS,consulta externa,menores de 5 anos,2008-11-01,2,1,2,0,4,1,5
CARAPARI,consulta externa,menores de 5 anos,2008-11-01,377,341,13,8,390,349,739
CARIPUYO,consulta externa,menores de 5 anos,2008-11-01,265,229,3,0,268,229,497
CARMEN RIVERO TORREZ,consulta externa,menores de 5 anos,2008-11-01,101,78,2,6,103,84,187
CATACORA,consulta externa,menores de 5 anos,2008-11-01,16,19,4,1,20,20,40
CHACARILLA,consulta externa,menores de 5 anos,2008-11-01,11,12,7,1,18,13,31
CHALLAPATA,consulta externa,menores de 5 anos,2008-11-01,453,387,5,0,458,387,845
CHAQUI,consulta externa,menores de 5 anos,2008-11-01,160,118,0,0,160,118,278
CHARAGUA,consulta externa,menores de 5 anos,2008-11-01,816,1031,42,63,858,1094,1952
CHARAÑA,consulta externa,menores de 5 anos,2008-11-01,30,38,2,1,32,39,71
CHAYANTA,consulta externa,menores de 5 anos,2008-11-01,407,424,2,5,409,429,838
CHIMORE,consulta externa,menores de 5 anos,2008-11-01,579,538,14,9,593,547,1140
CHIPAYA,consulta externa,menores de 5 anos,2008-11-01,28,28,0,0,28,28,56
CHOQUE COTA,consulta externa,menores de 5 anos,2008-11-01,38,19,0,0,38,19,57
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 5 anos,2008-11-01,303,248,37,35,340,283,623
CHUMA,consulta externa,menores de 5 anos,2008-11-01,129,124,0,0,129,124,253
CLIZA,consulta externa,menores de 5 anos,2008-11-01,285,275,38,23,323,298,621
COBIJA,consulta externa,menores de 5 anos,2008-11-01,930,790,136,170,1066,960,2026
COCHABAMBA,consulta externa,menores de 5 anos,2008-11-01,9700,8962,4027,3502,13727,12464,26191
COIPASA,consulta externa,menores de 5 anos,2008-11-01,12,15,0,0,12,15,27
COLCAPIRHUA,consulta externa,menores de 5 anos,2008-11-01,313,183,413,345,726,528,1254
"COLCHA ""K""",consulta externa,menores de 5 anos,2008-11-01,236,185,8,5,244,190,434
COLLANA,consulta externa,menores de 5 anos,2008-11-01,20,18,1,0,21,18,39
COLOMI,consulta externa,menores de 5 anos,2008-11-01,198,167,51,48,249,215,464
COLPA BELGICA,consulta externa,menores de 5 anos,2008-11-01,168,174,38,44,206,218,424
COLQUECHACA,consulta externa,menores de 5 anos,2008-11-01,816,767,9,8,825,775,1600
COLQUENCHA,consulta externa,menores de 5 anos,2008-11-01,110,138,6,8,116,146,262
COLQUIRI,consulta externa,menores de 5 anos,2008-11-01,288,295,34,35,322,330,652
COMANCHE,consulta externa,menores de 5 anos,2008-11-01,24,27,1,0,25,27,52
COMARAPA,consulta externa,menores de 5 anos,2008-11-01,337,317,55,45,392,362,754
COMBAYA,consulta externa,menores de 5 anos,2008-11-01,70,41,1,0,71,41,112
CONCEPCION,consulta externa,menores de 5 anos,2008-11-01,194,202,5,12,199,214,413
COPACABANA,consulta externa,menores de 5 anos,2008-11-01,114,85,0,0,114,85,199
CORIPATA,consulta externa,menores de 5 anos,2008-11-01,285,290,8,12,293,302,595
CORO CORO,consulta externa,menores de 5 anos,2008-11-01,125,109,1,0,126,109,235
COROICO,consulta externa,menores de 5 anos,2008-11-01,213,153,68,68,281,221,502
CORQUE,consulta externa,menores de 5 anos,2008-11-01,167,106,17,18,184,124,308
COTAGAITA,consulta externa,menores de 5 anos,2008-11-01,486,470,8,8,494,478,972
COTOCA,consulta externa,menores de 5 anos,2008-11-01,913,789,53,60,966,849,1815
CUATRO CAÑADAS,consulta externa,menores de 5 anos,2008-11-01,405,376,19,94,424,470,894
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 5 anos,2008-11-01,36,31,1,0,37,31,68
CUEVO,consulta externa,menores de 5 anos,2008-11-01,78,57,6,10,84,67,151
CULPINA,consulta externa,menores de 5 anos,2008-11-01,408,431,4,3,412,434,846
CURAHUARA DE CARANGAS,consulta externa,menores de 5 anos,2008-11-01,102,85,0,5,102,90,192
CURVA,consulta externa,menores de 5 anos,2008-11-01,51,46,0,0,51,46,97
DESAGUADERO,consulta externa,menores de 5 anos,2008-11-01,63,71,0,0,63,71,134
EL ALTO,consulta externa,menores de 5 anos,2008-11-01,10732,9741,2216,2085,12948,11826,24774
EL CHORO,consulta externa,menores de 5 anos,2008-11-01,96,88,11,4,107,92,199
EL PUENTE(STC),consulta externa,menores de 5 anos,2008-11-01,393,371,8,3,401,374,775
EL PUENTE(TJA),consulta externa,menores de 5 anos,2008-11-01,253,239,36,35,289,274,563
EL TORNO,consulta externa,menores de 5 anos,2008-11-01,1025,949,70,54,1095,1003,2098
EL VILLAR,consulta externa,menores de 5 anos,2008-11-01,179,158,1,1,180,159,339
ENTRE RIOS,consulta externa,menores de 5 anos,2008-11-01,510,484,74,68,584,552,1136
ENTRE RIOS,consulta externa,menores de 5 anos,2008-11-01,492,505,23,14,515,519,1034
ESCARA,consulta externa,menores de 5 anos,2008-11-01,1,2,0,0,1,2,3
ESMERALDA,consulta externa,menores de 5 anos,2008-11-01,0,1,0,0,0,1,1
EUCALIPTUS,consulta externa,menores de 5 anos,2008-11-01,155,121,17,9,172,130,302
EUREKA (SANTOS MERCADO),consulta externa,menores de 5 anos,2008-11-01,18,17,0,0,18,17,35
EXALTACION,consulta externa,menores de 5 anos,2008-11-01,53,60,4,4,57,64,121
FERNANDEZ ALONSO,consulta externa,menores de 5 anos,2008-11-01,565,543,7,9,572,552,1124
FILADELFIA,consulta externa,menores de 5 anos,2008-11-01,120,114,1,0,121,114,235
GENERAL SAAVEDRA,consulta externa,menores de 5 anos,2008-11-01,541,494,3,4,544,498,1042
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 5 anos,2008-11-01,181,151,3,2,184,153,337
GUANAY,consulta externa,menores de 5 anos,2008-11-01,140,161,4,5,144,166,310
GUAQUI,consulta externa,menores de 5 anos,2008-11-01,62,49,3,5,65,54,119
GUAYARAMERIN,consulta externa,menores de 5 anos,2008-11-01,1051,831,65,58,1116,889,2005
GUTIERREZ,consulta externa,menores de 5 anos,2008-11-01,421,465,8,7,429,472,901
HUACARETA,consulta externa,menores de 5 anos,2008-11-01,167,147,25,40,192,187,379
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 5 anos,2008-11-01,69,117,1,2,70,119,189
HUACHACALLA,consulta externa,menores de 5 anos,2008-11-01,36,15,0,1,36,16,52
HUANUNI,consulta externa,menores de 5 anos,2008-11-01,361,355,120,112,481,467,948
HUARACAJE,consulta externa,menores de 5 anos,2008-11-01,127,99,9,4,136,103,239
HUAYLLAMARCA,consulta externa,menores de 5 anos,2008-11-01,62,51,3,1,65,52,117
ICHOCA,consulta externa,menores de 5 anos,2008-11-01,38,41,1,0,39,41,80
ICLA,consulta externa,menores de 5 anos,2008-11-01,459,522,4,8,463,530,993
INCAHUASI,consulta externa,menores de 5 anos,2008-11-01,733,691,2,3,735,694,1429
INGAVI (HUMAITA),consulta externa,menores de 5 anos,2008-11-01,27,14,6,0,33,14,47
INQUISIVI,consulta externa,menores de 5 anos,2008-11-01,165,169,2,2,167,171,338
IRUPANA (VILLA DE LANZA),consulta externa,menores de 5 anos,2008-11-01,305,290,5,7,310,297,607
IXIAMAS,consulta externa,menores de 5 anos,2008-11-01,320,299,12,16,332,315,647
JESUS DE MACHACA,consulta externa,menores de 5 anos,2008-11-01,211,218,5,3,216,221,437
LA ASUNTA,consulta externa,menores de 5 anos,2008-11-01,743,732,60,33,803,765,1568
LA GUARDIA,consulta externa,menores de 5 anos,2008-11-01,1593,1408,89,70,1682,1478,3160
LA PAZ,consulta externa,menores de 5 anos,2008-11-01,14157,13968,3512,3721,17669,17689,35358
LA RIVERA,consulta externa,menores de 5 anos,2008-11-01,3,7,0,0,3,7,10
LAGUNILLAS,consulta externa,menores de 5 anos,2008-11-01,208,202,14,4,222,206,428
LAJA,consulta externa,menores de 5 anos,2008-11-01,149,124,9,7,158,131,289
LAS CARRERAS,consulta externa,menores de 5 anos,2008-11-01,92,97,5,5,97,102,199
LICOMA PAMPA,consulta externa,menores de 5 anos,2008-11-01,25,29,3,2,28,31,59
LLALLAGUA,consulta externa,menores de 5 anos,2008-11-01,577,507,12,14,589,521,1110
LLICA,consulta externa,menores de 5 anos,2008-11-01,59,58,2,1,61,59,120
LORETO,consulta externa,menores de 5 anos,2008-11-01,146,164,1,2,147,166,313
LURIBAY,consulta externa,menores de 5 anos,2008-11-01,137,119,18,17,155,136,291
MACHACAMARCA,consulta externa,menores de 5 anos,2008-11-01,62,63,1,2,63,65,128
MACHARETI,consulta externa,menores de 5 anos,2008-11-01,297,259,8,8,305,267,572
MAGDALENA,consulta externa,menores de 5 anos,2008-11-01,226,170,8,8,234,178,412
MAIRANA,consulta externa,menores de 5 anos,2008-11-01,164,156,3,2,167,158,325
MALLA,consulta externa,menores de 5 anos,2008-11-01,60,40,0,0,60,40,100
MAPIRI,consulta externa,menores de 5 anos,2008-11-01,238,252,7,6,245,258,503
MECAPACA,consulta externa,menores de 5 anos,2008-11-01,134,109,11,17,145,126,271
MINEROS,consulta externa,menores de 5 anos,2008-11-01,446,345,4,4,450,349,799
MIZQUE,consulta externa,menores de 5 anos,2008-11-01,426,415,51,53,477,468,945
MOCOMOCO,consulta externa,menores de 5 anos,2008-11-01,83,104,2,1,85,105,190
MOJINETE,consulta externa,menores de 5 anos,2008-11-01,17,24,2,2,19,26,45
MOJOCOYA,consulta externa,menores de 5 anos,2008-11-01,206,220,11,14,217,234,451
MONTEAGUDO,consulta externa,menores de 5 anos,2008-11-01,745,591,94,67,839,658,1497
MONTERO,consulta externa,menores de 5 anos,2008-11-01,2396,1957,412,227,2808,2184,4992
MORO MORO,consulta externa,menores de 5 anos,2008-11-01,30,40,0,1,30,41,71
MOROCHATA,consulta externa,menores de 5 anos,2008-11-01,369,403,161,150,530,553,1083
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 5 anos,2008-11-01,43,31,0,0,43,31,74
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 5 anos,2008-11-01,18,21,0,0,18,21,39
OCURI,consulta externa,menores de 5 anos,2008-11-01,546,493,14,5,560,498,1058
OKINAWA,consulta externa,menores de 5 anos,2008-11-01,376,354,4,3,380,357,737
OMEREQUE,consulta externa,menores de 5 anos,2008-11-01,129,101,3,1,132,102,234
ORURO,consulta externa,menores de 5 anos,2008-11-01,4715,4009,505,493,5220,4502,9722
PADCAYA,consulta externa,menores de 5 anos,2008-11-01,419,430,20,19,439,449,888
PADILLA,consulta externa,menores de 5 anos,2008-11-01,344,347,5,7,349,354,703
PAILON,consulta externa,menores de 5 anos,2008-11-01,400,404,3,8,403,412,815
PALCA,consulta externa,menores de 5 anos,2008-11-01,132,129,5,2,137,131,268
PALOS BLANCOS,consulta externa,menores de 5 anos,2008-11-01,825,670,84,30,909,700,1609
PAMPA AULLAGAS,consulta externa,menores de 5 anos,2008-11-01,64,35,3,0,67,35,102
PAMPA GRANDE,consulta externa,menores de 5 anos,2008-11-01,141,129,1,0,142,129,271
PAPEL PAMPA,consulta externa,menores de 5 anos,2008-11-01,86,84,1,2,87,86,173
PASORAPA,consulta externa,menores de 5 anos,2008-11-01,83,68,8,7,91,75,166
PATACAMAYA,consulta externa,menores de 5 anos,2008-11-01,246,210,2,0,248,210,458
PAZÑA,consulta externa,menores de 5 anos,2008-11-01,140,138,12,8,152,146,298
PELECHUCO,consulta externa,menores de 5 anos,2008-11-01,124,100,0,0,124,100,224
POCOATA,consulta externa,menores de 5 anos,2008-11-01,517,547,11,7,528,554,1082
POCONA,consulta externa,menores de 5 anos,2008-11-01,201,169,5,5,206,174,380
POJO (CBBA),consulta externa,menores de 5 anos,2008-11-01,179,162,15,13,194,175,369
POOPO,consulta externa,menores de 5 anos,2008-11-01,100,104,5,11,105,115,220
PORCO,consulta externa,menores de 5 anos,2008-11-01,157,178,6,5,163,183,346
POROMA,consulta externa,menores de 5 anos,2008-11-01,452,455,3,1,455,456,911
PORONGO,consulta externa,menores de 5 anos,2008-11-01,211,177,71,70,282,247,529
PORTACHUELO,consulta externa,menores de 5 anos,2008-11-01,485,532,65,81,550,613,1163
PORVENIR,consulta externa,menores de 5 anos,2008-11-01,128,106,13,8,141,114,255
POSTRER VALLE,consulta externa,menores de 5 anos,2008-11-01,43,33,0,0,43,33,76
POTOSI,consulta externa,menores de 5 anos,2008-11-01,3270,3005,310,280,3580,3285,6865
PRESTO,consulta externa,menores de 5 anos,2008-11-01,412,336,7,1,419,337,756
PUCARA,consulta externa,menores de 5 anos,2008-11-01,19,25,0,0,19,25,44
PUCARANI,consulta externa,menores de 5 anos,2008-11-01,223,175,6,2,229,177,406
PUERTO ACOSTA,consulta externa,menores de 5 anos,2008-11-01,159,132,3,5,162,137,299
PUERTO CARABUCO,consulta externa,menores de 5 anos,2008-11-01,152,123,2,3,154,126,280
PUERTO GONZALO MORENO,consulta externa,menores de 5 anos,2008-11-01,140,140,2,0,142,140,282
PUERTO PEREZ,consulta externa,menores de 5 anos,2008-11-01,36,35,2,1,38,36,74
PUERTO QUIJARRO,consulta externa,menores de 5 anos,2008-11-01,276,259,10,9,286,268,554
PUERTO RICO,consulta externa,menores de 5 anos,2008-11-01,176,108,27,18,203,126,329
PUERTO SILES,consulta externa,menores de 5 anos,2008-11-01,59,60,5,10,64,70,134
PUERTO SUAREZ,consulta externa,menores de 5 anos,2008-11-01,322,285,40,36,362,321,683
PUERTO VILLARROEL,consulta externa,menores de 5 anos,2008-11-01,1414,1287,72,59,1486,1346,2832
PUNA,consulta externa,menores de 5 anos,2008-11-01,876,682,32,16,908,698,1606
PUNATA,consulta externa,menores de 5 anos,2008-11-01,551,473,71,47,622,520,1142
QUIABAYA,consulta externa,menores de 5 anos,2008-11-01,45,53,0,0,45,53,98
QUILLACOLLO,consulta externa,menores de 5 anos,2008-11-01,878,749,425,358,1303,1107,2410
QUIME,consulta externa,menores de 5 anos,2008-11-01,139,144,0,4,139,148,287
QUIRUSILLAS,consulta externa,menores de 5 anos,2008-11-01,36,40,1,0,37,40,77
RAVELO,consulta externa,menores de 5 anos,2008-11-01,501,406,2,1,503,407,910
REYES,consulta externa,menores de 5 anos,2008-11-01,229,194,66,49,295,243,538
RIBERALTA,consulta externa,menores de 5 anos,2008-11-01,2297,2040,533,508,2830,2548,5378
ROBORE,consulta externa,menores de 5 anos,2008-11-01,350,311,12,16,362,327,689
RURRENABAQUE,consulta externa,menores de 5 anos,2008-11-01,349,308,49,33,398,341,739
SABAYA,consulta externa,menores de 5 anos,2008-11-01,50,37,0,1,50,38,88
SACABA,consulta externa,menores de 5 anos,2008-11-01,1158,1128,222,211,1380,1339,2719
SACABAMBA,consulta externa,menores de 5 anos,2008-11-01,79,64,6,2,85,66,151
SACACA,consulta externa,menores de 5 anos,2008-11-01,607,608,7,6,614,614,1228
SAIPINA,consulta externa,menores de 5 anos,2008-11-01,77,76,5,1,82,77,159
SALINAS DE GARCI MENDOZA,consulta externa,menores de 5 anos,2008-11-01,210,244,4,1,214,245,459
SAMAIPATA,consulta externa,menores de 5 anos,2008-11-01,135,96,5,7,140,103,243
SAN AGUSTIN,consulta externa,menores de 5 anos,2008-11-01,50,39,4,1,54,40,94
SAN ANDRES,consulta externa,menores de 5 anos,2008-11-01,334,298,17,16,351,314,665
SAN ANDRES DE MACHACA,consulta externa,menores de 5 anos,2008-11-01,64,48,0,1,64,49,113
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 5 anos,2008-11-01,61,54,3,0,64,54,118
SAN ANTONIO DE LOMERIO,consulta externa,menores de 5 anos,2008-11-01,105,99,1,0,106,99,205
SAN BENITO,consulta externa,menores de 5 anos,2008-11-01,225,207,27,19,252,226,478
SAN BORJA,consulta externa,menores de 5 anos,2008-11-01,604,617,58,66,662,683,1345
