,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,TOTALES,TOTALES,TOTALES
VITICHI,consulta externa,personas de 60 anos y mas,2008-09-01,56,104,2,8,58,112,170
WALDO BALLIVIAN,consulta externa,personas de 60 anos y mas,2008-09-01,12,14,1,3,13,17,30
WARNES,consulta externa,personas de 60 anos y mas,2008-09-01,205,187,130,99,335,286,621
YACO,consulta externa,personas de 60 anos y mas,2008-09-01,61,46,4,4,65,50,115
YACUIBA,consulta externa,personas de 60 anos y mas,2008-09-01,474,546,139,193,613,739,1352
YAMPARAEZ,consulta externa,personas de 60 anos y mas,2008-09-01,66,106,8,13,74,119,193
YANACACHI,consulta externa,personas de 60 anos y mas,2008-09-01,24,18,3,0,27,18,45
YAPACANI,consulta externa,personas de 60 anos y mas,2008-09-01,225,159,9,8,234,167,401
YOCALLA,consulta externa,personas de 60 anos y mas,2008-09-01,64,100,2,4,66,104,170
YOTALA,consulta externa,personas de 60 anos y mas,2008-09-01,40,74,8,16,48,90,138
YUNCHARA,consulta externa,personas de 60 anos y mas,2008-09-01,7,18,0,1,7,19,26
ZUDAÑEZ,consulta externa,personas de 60 anos y mas,2008-09-01,31,55,1,6,32,61,93
ACACIO,consulta externa,personas de 60 anos y mas,2008-10-01,29,30,4,3,33,33,66
ACHACACHI,consulta externa,personas de 60 anos y mas,2008-10-01,327,306,57,48,384,354,738
ACHOCALLA,consulta externa,personas de 60 anos y mas,2008-10-01,19,15,1,0,20,15,35
AIQUILE,consulta externa,personas de 60 anos y mas,2008-10-01,132,170,34,41,166,211,377
ALALAY,consulta externa,personas de 60 anos y mas,2008-10-01,4,8,0,0,4,8,12
ALCALA,consulta externa,personas de 60 anos y mas,2008-10-01,33,53,0,0,33,53,86
ANCORAIMES,consulta externa,personas de 60 anos y mas,2008-10-01,92,92,18,24,110,116,226
ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-10-01,21,35,4,3,25,38,63
ANTEQUERA,consulta externa,personas de 60 anos y mas,2008-10-01,9,14,0,1,9,15,24
ANZALDO,consulta externa,personas de 60 anos y mas,2008-10-01,21,32,1,0,22,32,54
APOLO,consulta externa,personas de 60 anos y mas,2008-10-01,79,58,9,14,88,72,160
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2008-10-01,16,23,0,0,16,23,39
ARANI,consulta externa,personas de 60 anos y mas,2008-10-01,18,29,0,3,18,32,50
ARBIETO,consulta externa,personas de 60 anos y mas,2008-10-01,24,70,14,31,38,101,139
ARQUE,consulta externa,personas de 60 anos y mas,2008-10-01,21,28,0,0,21,28,49
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2008-10-01,20,22,15,13,35,35,70
ATOCHA,consulta externa,personas de 60 anos y mas,2008-10-01,76,78,52,43,128,121,249
AUCAPATA,consulta externa,personas de 60 anos y mas,2008-10-01,22,25,3,2,25,27,52
AYATA,consulta externa,personas de 60 anos y mas,2008-10-01,35,41,2,4,37,45,82
AYO AYO,consulta externa,personas de 60 anos y mas,2008-10-01,43,39,5,7,48,46,94
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2008-10-01,57,101,8,14,65,115,180
AZURDUY,consulta externa,personas de 60 anos y mas,2008-10-01,74,119,0,4,74,123,197
BATALLAS,consulta externa,personas de 60 anos y mas,2008-10-01,48,26,14,4,62,30,92
BAURES,consulta externa,personas de 60 anos y mas,2008-10-01,16,24,11,24,27,48,75
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-10-01,10,9,0,2,10,11,21
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2008-10-01,17,7,0,1,17,8,25
BELLA FLOR,consulta externa,personas de 60 anos y mas,2008-10-01,3,7,0,0,3,7,10
BERMEJO,consulta externa,personas de 60 anos y mas,2008-10-01,376,107,230,70,606,177,783
BETANZOS,consulta externa,personas de 60 anos y mas,2008-10-01,287,388,55,75,342,463,805
BOLIVAR,consulta externa,personas de 60 anos y mas,2008-10-01,13,21,0,0,13,21,34
BOLPEBRA,consulta externa,personas de 60 anos y mas,2008-10-01,5,2,0,0,5,2,7
BOYUIBE,consulta externa,personas de 60 anos y mas,2008-10-01,37,45,7,18,44,63,107
BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-10-01,91,65,22,21,113,86,199
CABEZAS,consulta externa,personas de 60 anos y mas,2008-10-01,45,38,12,9,57,47,104
CAIROMA,consulta externa,personas de 60 anos y mas,2008-10-01,57,44,1,1,58,45,103
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2008-10-01,95,154,7,15,102,169,271
CAJUATA,consulta externa,personas de 60 anos y mas,2008-10-01,59,84,1,9,60,93,153
CALACOTO,consulta externa,personas de 60 anos y mas,2008-10-01,50,55,2,2,52,57,109
CALAMARCA,consulta externa,personas de 60 anos y mas,2008-10-01,57,53,9,15,66,68,134
CAMARGO,consulta externa,personas de 60 anos y mas,2008-10-01,216,333,9,21,225,354,579
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2008-10-01,42,77,0,4,42,81,123
CAMIRI,consulta externa,personas de 60 anos y mas,2008-10-01,865,772,91,93,956,865,1821
CAPINOTA,consulta externa,personas de 60 anos y mas,2008-10-01,54,55,30,37,84,92,176
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2008-10-01,33,38,4,0,37,38,75
CARACOLLO,consulta externa,personas de 60 anos y mas,2008-10-01,67,47,24,12,91,59,150
CARANAVI,consulta externa,personas de 60 anos y mas,2008-10-01,326,178,35,17,361,195,556
CARANGAS,consulta externa,personas de 60 anos y mas,2008-10-01,4,8,0,2,4,10,14
CARAPARI,consulta externa,personas de 60 anos y mas,2008-10-01,27,49,2,0,29,49,78
CARIPUYO,consulta externa,personas de 60 anos y mas,2008-10-01,20,24,1,1,21,25,46
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2008-10-01,14,15,3,3,17,18,35
CATACORA,consulta externa,personas de 60 anos y mas,2008-10-01,7,10,4,5,11,15,26
CHACARILLA,consulta externa,personas de 60 anos y mas,2008-10-01,3,1,0,0,3,1,4
CHALLAPATA,consulta externa,personas de 60 anos y mas,2008-10-01,284,231,42,69,326,300,626
CHAQUI,consulta externa,personas de 60 anos y mas,2008-10-01,54,62,1,3,55,65,120
CHARAGUA,consulta externa,personas de 60 anos y mas,2008-10-01,101,95,9,5,110,100,210
CHARAÑA,consulta externa,personas de 60 anos y mas,2008-10-01,15,15,4,1,19,16,35
CHAYANTA,consulta externa,personas de 60 anos y mas,2008-10-01,63,72,1,0,64,72,136
CHIMORE,consulta externa,personas de 60 anos y mas,2008-10-01,87,63,1,0,88,63,151
CHIPAYA,consulta externa,personas de 60 anos y mas,2008-10-01,3,3,0,0,3,3,6
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2008-10-01,29,22,0,4,29,26,55
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2008-10-01,80,66,64,31,144,97,241
CHUMA,consulta externa,personas de 60 anos y mas,2008-10-01,55,66,3,7,58,73,131
CLIZA,consulta externa,personas de 60 anos y mas,2008-10-01,65,61,24,14,89,75,164
COBIJA,consulta externa,personas de 60 anos y mas,2008-10-01,166,274,55,73,221,347,568
COCHABAMBA,consulta externa,personas de 60 anos y mas,2008-10-01,6039,7368,6638,9101,12677,16469,29146
COIPASA,consulta externa,personas de 60 anos y mas,2008-10-01,3,1,0,0,3,1,4
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2008-10-01,118,87,191,113,309,200,509
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2008-10-01,93,76,13,3,106,79,185
COLLANA,consulta externa,personas de 60 anos y mas,2008-10-01,26,24,12,11,38,35,73
COLOMI,consulta externa,personas de 60 anos y mas,2008-10-01,17,16,3,0,20,16,36
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2008-10-01,51,10,3,4,54,14,68
COLQUECHACA,consulta externa,personas de 60 anos y mas,2008-10-01,60,102,0,1,60,103,163
COLQUENCHA,consulta externa,personas de 60 anos y mas,2008-10-01,48,73,10,8,58,81,139
COLQUIRI,consulta externa,personas de 60 anos y mas,2008-10-01,58,76,3,5,61,81,142
COMANCHE,consulta externa,personas de 60 anos y mas,2008-10-01,26,23,2,3,28,26,54
COMARAPA,consulta externa,personas de 60 anos y mas,2008-10-01,131,173,12,40,143,213,356
COMBAYA,consulta externa,personas de 60 anos y mas,2008-10-01,27,33,9,9,36,42,78
CONCEPCION,consulta externa,personas de 60 anos y mas,2008-10-01,45,39,6,11,51,50,101
COPACABANA,consulta externa,personas de 60 anos y mas,2008-10-01,38,48,0,0,38,48,86
CORIPATA,consulta externa,personas de 60 anos y mas,2008-10-01,71,71,28,16,99,87,186
CORO CORO,consulta externa,personas de 60 anos y mas,2008-10-01,28,37,2,0,30,37,67
COROICO,consulta externa,personas de 60 anos y mas,2008-10-01,102,109,102,105,204,214,418
CORQUE,consulta externa,personas de 60 anos y mas,2008-10-01,62,54,6,4,68,58,126
COTAGAITA,consulta externa,personas de 60 anos y mas,2008-10-01,222,413,19,19,241,432,673
COTOCA,consulta externa,personas de 60 anos y mas,2008-10-01,160,167,21,37,181,204,385
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2008-10-01,26,39,5,2,31,41,72
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2008-10-01,7,18,1,1,8,19,27
CUEVO,consulta externa,personas de 60 anos y mas,2008-10-01,36,60,9,13,45,73,118
CULPINA,consulta externa,personas de 60 anos y mas,2008-10-01,87,131,0,0,87,131,218
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2008-10-01,30,25,0,0,30,25,55
CURVA,consulta externa,personas de 60 anos y mas,2008-10-01,2,8,0,1,2,9,11
DESAGUADERO,consulta externa,personas de 60 anos y mas,2008-10-01,35,34,2,1,37,35,72
EL ALTO,consulta externa,personas de 60 anos y mas,2008-10-01,1774,2075,1138,1320,2912,3395,6307
EL CHORO,consulta externa,personas de 60 anos y mas,2008-10-01,53,52,1,2,54,54,108
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2008-10-01,39,38,1,0,40,38,78
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2008-10-01,41,79,3,1,44,80,124
EL TORNO,consulta externa,personas de 60 anos y mas,2008-10-01,267,272,106,95,373,367,740
EL VILLAR,consulta externa,personas de 60 anos y mas,2008-10-01,39,89,2,0,41,89,130
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-10-01,51,37,8,1,59,38,97
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-10-01,126,134,6,6,132,140,272
ESCARA,consulta externa,personas de 60 anos y mas,2008-10-01,0,4,0,1,0,5,5
ESMERALDA,consulta externa,personas de 60 anos y mas,2008-10-01,7,5,1,0,8,5,13
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2008-10-01,36,34,4,4,40,38,78
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2008-10-01,1,2,0,0,1,2,3
EXALTACION,consulta externa,personas de 60 anos y mas,2008-10-01,3,7,1,2,4,9,13
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2008-10-01,55,44,2,3,57,47,104
FILADELFIA,consulta externa,personas de 60 anos y mas,2008-10-01,3,6,0,0,3,6,9
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2008-10-01,33,41,0,0,33,41,74
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2008-10-01,36,61,6,3,42,64,106
GUANAY,consulta externa,personas de 60 anos y mas,2008-10-01,51,19,20,25,71,44,115
GUAQUI,consulta externa,personas de 60 anos y mas,2008-10-01,45,54,7,5,52,59,111
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2008-10-01,243,336,142,169,385,505,890
GUTIERREZ,consulta externa,personas de 60 anos y mas,2008-10-01,56,93,2,2,58,95,153
HUACARETA,consulta externa,personas de 60 anos y mas,2008-10-01,48,81,16,20,64,101,165
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2008-10-01,32,53,1,0,33,53,86
HUACHACALLA,consulta externa,personas de 60 anos y mas,2008-10-01,68,65,29,10,97,75,172
HUANUNI,consulta externa,personas de 60 anos y mas,2008-10-01,180,240,204,187,384,427,811
HUARACAJE,consulta externa,personas de 60 anos y mas,2008-10-01,12,7,0,0,12,7,19
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2008-10-01,28,29,1,2,29,31,60
ICHOCA,consulta externa,personas de 60 anos y mas,2008-10-01,23,14,6,0,29,14,43
ICLA,consulta externa,personas de 60 anos y mas,2008-10-01,34,84,6,5,40,89,129
INCAHUASI,consulta externa,personas de 60 anos y mas,2008-10-01,103,182,0,1,103,183,286
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2008-10-01,1,1,0,2,1,3,4
INQUISIVI,consulta externa,personas de 60 anos y mas,2008-10-01,46,29,0,1,46,30,76
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2008-10-01,92,82,7,4,99,86,185
IXIAMAS,consulta externa,personas de 60 anos y mas,2008-10-01,16,13,0,0,16,13,29
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2008-10-01,169,216,59,69,228,285,513
LA ASUNTA,consulta externa,personas de 60 anos y mas,2008-10-01,49,35,11,0,60,35,95
LA GUARDIA,consulta externa,personas de 60 anos y mas,2008-10-01,107,111,18,11,125,122,247
LA PAZ,consulta externa,personas de 60 anos y mas,2008-10-01,9985,11747,12183,16138,22168,27885,50053
LA RIVERA,consulta externa,personas de 60 anos y mas,2008-10-01,2,2,0,0,2,2,4
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2008-10-01,36,48,0,0,36,48,84
LAJA,consulta externa,personas de 60 anos y mas,2008-10-01,34,39,11,15,45,54,99
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2008-10-01,30,60,11,7,41,67,108
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2008-10-01,23,11,0,0,23,11,34
LLALLAGUA,consulta externa,personas de 60 anos y mas,2008-10-01,41,54,18,8,59,62,121
LLICA,consulta externa,personas de 60 anos y mas,2008-10-01,55,51,3,2,58,53,111
LORETO,consulta externa,personas de 60 anos y mas,2008-10-01,12,14,1,0,13,14,27
LURIBAY,consulta externa,personas de 60 anos y mas,2008-10-01,91,102,13,8,104,110,214
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2008-10-01,55,73,24,41,79,114,193
MACHARETI,consulta externa,personas de 60 anos y mas,2008-10-01,41,40,1,1,42,41,83
MAGDALENA,consulta externa,personas de 60 anos y mas,2008-10-01,23,11,44,65,67,76,143
MAIRANA,consulta externa,personas de 60 anos y mas,2008-10-01,44,74,0,0,44,74,118
MALLA,consulta externa,personas de 60 anos y mas,2008-10-01,9,12,1,1,10,13,23
MAPIRI,consulta externa,personas de 60 anos y mas,2008-10-01,38,26,2,0,40,26,66
MECAPACA,consulta externa,personas de 60 anos y mas,2008-10-01,50,50,10,7,60,57,117
MINEROS,consulta externa,personas de 60 anos y mas,2008-10-01,14,16,0,1,14,17,31
MIZQUE,consulta externa,personas de 60 anos y mas,2008-10-01,61,71,4,9,65,80,145
MOCOMOCO,consulta externa,personas de 60 anos y mas,2008-10-01,86,94,5,8,91,102,193
MOJINETE,consulta externa,personas de 60 anos y mas,2008-10-01,2,12,0,2,2,14,16
MOJOCOYA,consulta externa,personas de 60 anos y mas,2008-10-01,41,88,5,12,46,100,146
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2008-10-01,382,504,79,148,461,652,1113
MONTERO,consulta externa,personas de 60 anos y mas,2008-10-01,924,308,177,362,1101,670,1771
MORO MORO,consulta externa,personas de 60 anos y mas,2008-10-01,16,32,0,0,16,32,48
MOROCHATA,consulta externa,personas de 60 anos y mas,2008-10-01,38,44,2,5,40,49,89
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2008-10-01,16,7,1,2,17,9,26
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2008-10-01,2,4,0,0,2,4,6
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2008-10-01,12,3,1,0,13,3,16
OCURI,consulta externa,personas de 60 anos y mas,2008-10-01,45,71,1,3,46,74,120
OKINAWA,consulta externa,personas de 60 anos y mas,2008-10-01,87,115,3,7,90,122,212
OMEREQUE,consulta externa,personas de 60 anos y mas,2008-10-01,21,37,2,1,23,38,61
ORURO,consulta externa,personas de 60 anos y mas,2008-10-01,3596,4126,1963,2369,5559,6495,12054
PADCAYA,consulta externa,personas de 60 anos y mas,2008-10-01,52,74,3,14,55,88,143
PADILLA,consulta externa,personas de 60 anos y mas,2008-10-01,255,334,13,24,268,358,626
PAILON,consulta externa,personas de 60 anos y mas,2008-10-01,31,34,5,3,36,37,73
PALCA,consulta externa,personas de 60 anos y mas,2008-10-01,30,44,14,4,44,48,92
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2008-10-01,140,90,38,18,178,108,286
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2008-10-01,6,15,0,1,6,16,22
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2008-10-01,25,37,1,3,26,40,66
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2008-10-01,40,39,0,0,40,39,79
PASORAPA,consulta externa,personas de 60 anos y mas,2008-10-01,20,30,0,0,20,30,50
PATACAMAYA,consulta externa,personas de 60 anos y mas,2008-10-01,73,49,0,2,73,51,124
PAZÑA,consulta externa,personas de 60 anos y mas,2008-10-01,42,40,30,29,72,69,141
PELECHUCO,consulta externa,personas de 60 anos y mas,2008-10-01,13,9,0,0,13,9,22
POCOATA,consulta externa,personas de 60 anos y mas,2008-10-01,94,118,5,2,99,120,219
POCONA,consulta externa,personas de 60 anos y mas,2008-10-01,27,79,11,4,38,83,121
POJO (CBBA),consulta externa,personas de 60 anos y mas,2008-10-01,22,22,0,0,22,22,44
POOPO,consulta externa,personas de 60 anos y mas,2008-10-01,45,75,15,14,60,89,149
PORCO,consulta externa,personas de 60 anos y mas,2008-10-01,16,22,0,0,16,22,38
POROMA,consulta externa,personas de 60 anos y mas,2008-10-01,80,83,5,22,85,105,190
PORONGO,consulta externa,personas de 60 anos y mas,2008-10-01,37,37,10,11,47,48,95
PORTACHUELO,consulta externa,personas de 60 anos y mas,2008-10-01,165,169,132,111,297,280,577
PORVENIR,consulta externa,personas de 60 anos y mas,2008-10-01,4,3,2,2,6,5,11
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2008-10-01,22,40,0,1,22,41,63
POTOSI,consulta externa,personas de 60 anos y mas,2008-10-01,2129,2673,1108,1488,3237,4161,7398
PRESTO,consulta externa,personas de 60 anos y mas,2008-10-01,56,127,0,0,56,127,183
PUCARA,consulta externa,personas de 60 anos y mas,2008-10-01,31,57,2,2,33,59,92
PUCARANI,consulta externa,personas de 60 anos y mas,2008-10-01,43,51,6,2,49,53,102
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2008-10-01,154,124,36,31,190,155,345
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2008-10-01,51,57,4,11,55,68,123
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2008-10-01,29,58,3,1,32,59,91
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2008-10-01,27,24,4,2,31,26,57
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2008-10-01,79,57,7,5,86,62,148
PUERTO RICO,consulta externa,personas de 60 anos y mas,2008-10-01,32,16,9,3,41,19,60
PUERTO SILES,consulta externa,personas de 60 anos y mas,2008-10-01,4,6,1,2,5,8,13
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2008-10-01,97,106,13,16,110,122,232
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2008-10-01,47,51,2,4,49,55,104
PUNA,consulta externa,personas de 60 anos y mas,2008-10-01,179,283,10,16,189,299,488
PUNATA,consulta externa,personas de 60 anos y mas,2008-10-01,200,289,62,70,262,359,621
QUIABAYA,consulta externa,personas de 60 anos y mas,2008-10-01,12,18,0,0,12,18,30
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2008-10-01,490,719,272,522,762,1241,2003
QUIME,consulta externa,personas de 60 anos y mas,2008-10-01,29,23,2,0,31,23,54
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2008-10-01,20,21,6,16,26,37,63
RAVELO,consulta externa,personas de 60 anos y mas,2008-10-01,74,127,1,1,75,128,203
REYES,consulta externa,personas de 60 anos y mas,2008-10-01,105,121,101,60,206,181,387
RIBERALTA,consulta externa,personas de 60 anos y mas,2008-10-01,467,559,51,87,518,646,1164
ROBORE,consulta externa,personas de 60 anos y mas,2008-10-01,94,113,32,32,126,145,271
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2008-10-01,135,107,62,83,197,190,387
SABAYA,consulta externa,personas de 60 anos y mas,2008-10-01,18,37,0,1,18,38,56
SACABA,consulta externa,personas de 60 anos y mas,2008-10-01,208,290,146,182,354,472,826
SACABAMBA,consulta externa,personas de 60 anos y mas,2008-10-01,24,66,4,3,28,69,97
SACACA,consulta externa,personas de 60 anos y mas,2008-10-01,47,60,1,2,48,62,110
SAIPINA,consulta externa,personas de 60 anos y mas,2008-10-01,5,12,0,0,5,12,17
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2008-10-01,44,60,7,7,51,67,118
SAMAIPATA,consulta externa,personas de 60 anos y mas,2008-10-01,65,47,5,3,70,50,120
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2008-10-01,8,19,0,0,8,19,27
SAN ANDRES,consulta externa,personas de 60 anos y mas,2008-10-01,11,15,0,6,11,21,32
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2008-10-01,61,94,8,6,69,100,169
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2008-10-01,6,9,0,1,6,10,16
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2008-10-01,17,59,0,0,17,59,76
SAN BENITO,consulta externa,personas de 60 anos y mas,2008-10-01,20,31,8,7,28,38,66
SAN BORJA,consulta externa,personas de 60 anos y mas,2008-10-01,116,111,174,129,290,240,530
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2008-10-01,42,59,20,25,62,84,146
SAN CARLOS,consulta externa,personas de 60 anos y mas,2008-10-01,223,221,23,41,246,262,508
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2008-10-01,133,144,54,43,187,187,374
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2008-10-01,311,354,41,54,352,408,760
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2008-10-01,16,12,0,0,16,12,28
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2008-10-01,51,68,4,3,55,71,126
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2008-10-01,56,94,240,820,296,914,1210
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2008-10-01,72,95,4,16,76,111,187
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2008-10-01,27,15,30,11,57,26,83
SAN JULIAN,consulta externa,personas de 60 anos y mas,2008-10-01,87,83,8,8,95,91,186
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2008-10-01,9,28,0,5,9,33,42
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2008-10-01,43,49,11,5,54,54,108
SAN LUCAS,consulta externa,personas de 60 anos y mas,2008-10-01,187,349,11,10,198,359,557
SAN MATIAS,consulta externa,personas de 60 anos y mas,2008-10-01,29,59,1,0,30,59,89
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2008-10-01,56,77,82,108,138,185,323
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2008-10-01,22,25,6,7,28,32,60
SAN PEDRO,consulta externa,personas de 60 anos y mas,2008-10-01,132,89,15,7,147,96,243
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-10-01,33,77,1,0,34,77,111
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2008-10-01,32,30,6,2,38,32,70
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2008-10-01,6,8,0,1,6,9,15
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2008-10-01,40,42,7,3,47,45,92
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2008-10-01,14,20,1,0,15,20,35
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2008-10-01,12,22,0,1,12,23,35
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-10-01,19,22,2,1,21,23,44
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-10-01,2,1,0,0,2,1,3
SANTA ANA,consulta externa,personas de 60 anos y mas,2008-10-01,104,70,4,1,108,71,179
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2008-10-01,4634,7992,3111,6458,7745,14450,22195
SANTA ROSA,consulta externa,personas de 60 anos y mas,2008-10-01,78,86,13,9,91,95,186
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2008-10-01,63,49,3,0,66,49,115
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2008-10-01,28,19,2,1,30,20,50
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2008-10-01,84,104,28,18,112,122,234
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2008-10-01,38,24,1,0,39,24,63
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2008-10-01,21,42,3,9,24,51,75
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2008-10-01,8,15,0,0,8,15,23
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2008-10-01,44,39,3,0,47,39,86
SENA,consulta externa,personas de 60 anos y mas,2008-10-01,4,9,1,0,5,9,14
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2008-10-01,70,72,4,5,74,77,151
SICAYA,consulta externa,personas de 60 anos y mas,2008-10-01,10,26,0,0,10,26,36
SIPE SIPE,consulta externa,personas de 60 anos y mas,2008-10-01,32,51,16,14,48,65,113
SOPACHUY,consulta externa,personas de 60 anos y mas,2008-10-01,54,109,0,1,54,110,164
SORACACHI,consulta externa,personas de 60 anos y mas,2008-10-01,17,15,2,1,19,16,35
SORATA,consulta externa,personas de 60 anos y mas,2008-10-01,66,86,6,5,72,91,163
SUCRE,consulta externa,personas de 60 anos y mas,2008-10-01,2924,7272,1934,2894,4858,10166,15024
TACACHI,consulta externa,personas de 60 anos y mas,2008-10-01,2,4,5,4,7,8,15
TACACOMA,consulta externa,personas de 60 anos y mas,2008-10-01,25,27,5,1,30,28,58
TACOBAMBA,consulta externa,personas de 60 anos y mas,2008-10-01,31,55,1,3,32,58,90
TACOPAYA,consulta externa,personas de 60 anos y mas,2008-10-01,19,36,1,2,20,38,58
TAHUA,consulta externa,personas de 60 anos y mas,2008-10-01,5,10,0,0,5,10,15
TAPACARI,consulta externa,personas de 60 anos y mas,2008-10-01,50,63,4,0,54,63,117
TARABUCO,consulta externa,personas de 60 anos y mas,2008-10-01,123,201,24,29,147,230,377
TARACO,consulta externa,personas de 60 anos y mas,2008-10-01,77,41,0,0,77,41,118
TARATA,consulta externa,personas de 60 anos y mas,2008-10-01,19,27,6,7,25,34,59
