,group,variable,month,TOTAL 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTAL 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,16,6,22
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,2,2,4
SAN JAVIER(STC),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,10,13
SAN JOAQUIN,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,12,0,12
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,93,0,93
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,2,6,8
SAN JULIAN,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,28,12,40
SAN LORENZO(PND),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,0,9,9
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,18,6,24
SAN LUCAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,53,50,103
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,15,9,24
SAN PEDRO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,27,2,29
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,41,18,59
SAN PEDRO DE CURAHUARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,2,0,2
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,0,4,4
SAN PEDRO(PND),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,1,0,1
SAN RAFAEL,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,7,6,13
SAN RAMON SCZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,5,0,5
SANTA ANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,5,0,5
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,714,295,1009
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,8,1,9
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,6,10,16
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,5,8,13
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,2,1,3
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,2,1,3
SANTIVAÑES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,4,0,4
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,4,7
SAPAHAQUI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,1,4,5
SENA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,4,12,16
SHINAOTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,8,1,9
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,10,153,163
SICAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,1,5,6
SIPE SIPE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,21,7,28
SOPACHUY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,8,11
SORACACHI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,10,0,10
SORATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,1,16,17
SUCRE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,175,438,613
TACACOMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,1,4
TACOBAMBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,0,2,2
TACOPAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,1,3,4
TAPACARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,8,11
TARABUCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,4,16,20
TARACO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,6,1,7
TARATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,4,1,5
TARIJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,224,37,261
TARVITA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,17,26,43
TEOPONTE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,0,3
TIAWANACU,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,2,5
TINGUIPAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,0,5,5
TIPUANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,5,1,6
TIQUIPAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,32,25,57
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,2,5
TOCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,1,4
TOMAVE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,3,6
TOMINA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,2,11,13
TOTORA(CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,11,8,19
TOTORA(ORR),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,8,7,15
TRINIDAD,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,28,6,34
TUPIZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,30,32,62
TURCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,1,0,1
UNCIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,0,3,3
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,8,10,18
URUBICHA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,1,0,1
UYUNI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,1,4
VACAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,0,1,1
VALLEGRANDE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,9,3,12
VIACHA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,45,62,107
VILLA CHARCAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,10,10,20
VILLA MONTES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,23,26,49
VILLA NUEVA (LOMA ALTA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,1,1,2
VILLA RIVERO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,3,4,7
VILLA SERRANO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,11,9,20
VILLA TUNARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,57,10,67
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,1,2,3
VILLAZON,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,53,57,110
VINTO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,9,10,19
VITICHI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,4,1,5
WARNES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,62,9,71
YACUIBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,64,16,80
YAMPARAEZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,5,7,12
YOTALA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,4,7,11
YUNCHARA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,0,9,9
ZUDAÑEZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-10-01,7,7,14
ACACIO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,5,14,19
ACHACACHI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,1,5
ACHOCALLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,18,4,22
AIQUILE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,11,15
ALALAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,2,2
ALCALA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,1,2
ALTO BENI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,8,4,12
ANCORAIMES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,5,5,10
ANDAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
ANTEQUERA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,4,6
ANZALDO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,9,9
ARAMPAMPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,3,4
ARANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,11,30,41
ARBIETO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,15,18
ARQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,8,11
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,26,3,29
ATOCHA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,6,19,25
AUCAPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,6,3,9
AYATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,2,3
AYO AYO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,6,11,17
AZURDUY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,10,17,27
BATALLAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,8,21,29
BAURES,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,5,14
BELLA FLOR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,4,6
BERMEJO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,19,10,29
BETANZOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,38,66,104
BOLIVAR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,3,4
BOLPEBRA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,3,4
BOYUIBE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,0,3
BUENA VISTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,0,2
CABEZAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,10,24,34
CAIROMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,6,0,6
CAJUATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,1,4
CALACOTO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,4,4
CALAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,1,3
CAMARGO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,8,4,12
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,7,1,8
CAMIRI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,5,1,6
CAPINOTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,5,9
CAQUIAVIRI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,4,13
CARACOLLO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,6,10
CARANAVI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,44,18,62
CARAPARI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,10,7,17
CARIPUYO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,7,32,39
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,2,3
CATACORA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
CHACARILLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,0,2
CHALLAPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,9,12
CHAQUI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
CHARAGUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,27,28
CHARAÑA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,6,9
CHAYANTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,42,43
CHIMORE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,20,0,20
CHIPAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,1,2
CHOQUE COTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
CHUA COCANI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,0,9
CHUMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,0,3
CKOCHAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,6,8,14
CLIZA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,10,19
COBIJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,21,12,33
COCAPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,20,17,37
COCHABAMBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,171,50,221
COLCAPIRHUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,36,13,49
"COLCHA ""K""",vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,1,5
COLLANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
COLOMI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,8,4,12
COLPA BELGICA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,1,1
COLQUECHACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,7,16,23
COLQUENCHA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
COLQUIRI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,3,5
COPACABANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,8,15,23
CORIPATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,19,0,19
CORO CORO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,7,9
COROICO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,7,16,23
CORQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,3,6
COTAGAITA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,23,31,54
COTOCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,20,8,28
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,3,12
CUCHUMUELA (V. G. VILLARROEL),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,1,2
CUEVO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,2,6
CULPINA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,1,1
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,5,6
CURVA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
DESAGUADERO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,209,313,522
EL CHORO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
EL PUENTE(STC),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,6,1,7
EL PUENTE(TJA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,2,6
EL TORNO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,51,13,64
EL VILLAR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,4,6
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,14,18
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,2,11
EUCALIPTUS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,5,2,7
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,8,8
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,11,2,13
FILADELFIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,6,7
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,7,1,8
GUANAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,15,2,17
GUAQUI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,0,3
GUAYARAMERIN,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,79,88
GUTIERREZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,2,4
HUACARETA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,12,1,13
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,1,2
HUACHACALLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,0,2
HUANUNI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,12,31,43
HUARACAJE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,7,8
HUARINA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,5,8
HUATAJATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,0,2
HUAYLLAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,2,6
HUMANATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,1,1
ICHOCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,1,1
ICLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,10,13,23
INCAHUASI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,38,32,70
INQUISIVI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,0,3
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,8,1,9
IXIAMAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,11,1,12
JESUS DE MACHACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,5,1,6
LA ASUNTA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,18,7,25
LA GUARDIA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,35,0,35
LA PAZ,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,246,78,324
LAGUNILLAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
LAJA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,7,5,12
LAS CARRERAS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,1,5
LICOMA PAMPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,0,2
LLALLAGUA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,13,95,108
LORETO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
LURIBAY,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,0,2
MACHACAMARCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,2,2
MACHARETI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,7,10,17
MAGDALENA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,3,5
MAIRANA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,0,9
MAPIRI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,22,42,64
MECAPACA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,2,6
MINEROS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,7,1,8
MIZQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,5,3,8
MOCOMOCO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,17,20,37
MOJINETE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,0,1
MOJOCOYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,1,4
MONTEAGUDO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,24,15,39
MONTERO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,58,1,59
MORO MORO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,1,4
MOROCHATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,13,13
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,3,7
OCURI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,7,2,9
OKINAWA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,9,18
OMEREQUE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,5,10,15
ORURO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,114,33,147
PADCAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,21,2,23
PADILLA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,5,6,11
PAILON,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,13,0,13
PALCA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,11,0,11
PALOS BLANCOS,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,11,4,15
PAMPA GRANDE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,1,3
PAPEL PAMPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,2,6
PASORAPA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,6,8
PATACAMAYA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,9,6,15
PAZÑA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,3,3
POCOATA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,7,7
POCONA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,4,11,15
POJO (CBBA),vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,6,9,15
POOPO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,2,2,4
POROMA,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,29,35,64
PORONGO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,0,4,4
PORVENIR,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,3,0,3
POSTRER VALLE,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,1,2,3
POTOSI,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,68,51,119
PRESTO,vacunacion en ninos de 4 anos,      antipoliomielitica 5ta dosis,2014-11-01,6,22,28
