,group,variable,month,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,1. NRO DE NEONATOS (MENOR DE 7 DIAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
CAIROMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
CAJUATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,0,2,0,2
CAMARGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,7,8,7,8,15
CARMEN RIVERO TORREZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
CHARAGUA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,12,9,12,9,21
CHULUMANI (V. DE LA LIBERTAD),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
CHUMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,0,1,0,1
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,56,58,56,58,114
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
COMARAPA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,10,8,10,8,18
CONCEPCION,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,18,15,18,15,33
COROICO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,8,1,8,9
COTOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,36,34,36,34,70
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,9,6,9,6,15
CULPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,5,6,5,6,11
EL ALTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,216,231,216,231,447
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,4,2,4,6
EL VILLAR,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
ESCOMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,2,1,2,3
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,4,5,4,5,9
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,5,8,5,8,13
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
HUACARETA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,2,2,2,4
HUANUNI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,6,3,6,3,9
ICLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,8,10,8,10,18
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,0,1,0,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,30,18,30,18,48
LA PAZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,58,63,58,63,121
LAJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,6,2,6,8
LICOMA PAMPA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
LURIBAY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
MACHARETI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,0,2,0,2
MAIRANA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,4,9,4,9,13
MALLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
MINEROS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,13,8,13,8,21
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,0,2,0,2
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
MONTEAGUDO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,18,13,18,13,31
MONTERO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,13,22,13,22,35
ORURO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,45,56,45,56,101
PADILLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,3,6,3,6,9
PAILON,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,1,2,1,3
PAPEL PAMPA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,3,4,3,4,7
POROMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,3,4,3,4,7
PORONGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,4,2,4,6
PRESTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
PUCARANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
PUERTO QUIJARRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,6,9,6,9,15
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,34,28,34,28,62
ROBORE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,5,5,5,5,10
SACABA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,55,47,55,47,102
SAIPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
SAN BORJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,4,2,4,6
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,2,2,2,4
SAN JAVIER(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,9,7,9,7,16
SAN JUAN DE YAPACANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,2,1,2,3
SAN JULIAN,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,22,18,22,18,40
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,11,10,11,10,21
SAN MATIAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,5,1,5,6
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,3,2,3,2,5
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,174,147,174,147,321
SANTA ROSA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,4,3,4,3,7
SANTA ROSA DEL SARA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,1,0,1,1
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,2,1,2,3
SOPACHUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,4,1,4,1,5
SUCRE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,161,151,161,151,312
TARABUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,5,3,5,3,8
TARVITA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,5,2,5,7
TOMINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,3,1,3,4
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,3,2,3,5
URUBICHA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,0,1,0,1
VALLEGRANDE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,1,1,1,2
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,11,6,11,6,17
VILLA SERRANO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,2,1,2,3
VILLA TUNARI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,1,2,1,3
WARNES,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,42,52,42,52,94
YACUIBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,2,2,2,4
YAMPARAEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,0,2,0,2,2
YOTALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,5,1,5,1,6
ZUDAÑEZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-07-01,2,2,2,2,4
AIQUILE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,17,9,17,9,26
ALCALA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
APOLO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,0,2,0,2
ASCENCION DE GUARAYOS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,13,10,13,10,23
AYATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,7,5,7,12
AZURDUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,6,5,6,11
BOYUIBE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,0,2,0,2
CABEZAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,5,3,5,8
CAIROMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
CAMARGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,15,9,15,9,24
CAMATAQUI (C. VILLA ABECIA),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
CARMEN RIVERO TORREZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,0,2,0,2
CHARAGUA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,9,9,9,9,18
CHUA COCANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,2,2,2,4
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,55,47,55,47,102
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
COMARAPA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,8,9,8,9,17
CONCEPCION,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,24,14,24,14,38
COPACABANA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
CORIPATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
COROICO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,3,5,3,8
COTOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,30,26,30,26,56
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,8,13,8,13,21
CULPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,6,4,6,4,10
CURVA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
EL ALTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,311,261,311,261,572
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,4,0,4,4
EL VILLAR,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,4,5,4,5,9
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,4,5,4,9
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,2,0,2,2
HUACARETA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,2,3,2,5
HUANUNI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,9,7,9,7,16
ICHOCA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
ICLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,4,1,4,5
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,8,6,8,6,14
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,5,2,5,7
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,12,13,12,13,25
LA PAZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,71,81,71,81,152
LAGUNILLAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
LAJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,2,5,2,7
MACHARETI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,0,3,0,3
MAIRANA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,10,9,10,9,19
MINEROS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,6,7,6,7,13
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,2,0,2,2
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,4,2,4,6
MONTEAGUDO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,12,11,12,11,23
MONTERO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,17,20,17,20,37
OMEREQUE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,2,1,2,3
ORURO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,36,33,36,33,69
PADILLA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,6,3,6,9
PAILON,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,1,2,1,3
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,4,2,4,2,6
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
POROMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,7,1,7,1,8
PORONGO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,1,0,1,1
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,8,3,8,3,11
PRESTO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,6,1,6,7
PUCARANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,0,2,0,2
PUERTO QUIJARRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,5,3,5,3,8
PUERTO SUAREZ,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,11,5,11,5,16
QUIME,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,0,3,0,3
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,26,27,26,27,53
ROBORE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,7,5,7,5,12
SACABA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,57,48,57,48,105
SAIPINA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,1,2,1,3
SAN BORJA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,2,2,2,4
SAN BUENA VENTURA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,4,3,4,3,7
SAN JAVIER(STC),enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,6,7,6,7,13
SAN JOSE DE CHIQUITOS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,7,9,7,9,16
SAN JUAN DE YAPACANI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,2,0,2,2
SAN JULIAN,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,20,16,20,16,36
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,13,11,13,11,24
SAN MATIAS,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,6,5,6,5,11
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,2,5,2,5,7
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,116,115,116,115,231
SANTA ROSA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,0,3,0,3,3
SANTA ROSA DEL SARA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,1,1,1,2
SOPACHUY,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,2,3,2,5
SORATA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,1,3,1,4
SUCRE,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,123,109,123,109,232
TACACOMA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,3,0,3,0,3
TACOPAYA,enf congenitas del metabolismo,nro de neonatos (menor de 7 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-08-01,1,0,1,0,1
