,group,variable,month,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,2,1,2,1,3
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,2,5,2,5,7
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,52,58,52,58,110
LAJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,3,4,3,4,7
LICOMA PAMPA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,2,1,2,3
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,6,2,6,2,8
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,7,4,7,4,11
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,5,5,5,5,10
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,7,1,7,1,8
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,3,1,3,1,4
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
PUCARANI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
PUERTO QUIJARRO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,4,5,4,5,9
QUIABAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,4,4,4,4,8
ROBORE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,2,1,2,1,3
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,4,3,4,3,7
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,42,40,42,40,82
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,3,1,3,4
SORATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,3,0,3,3
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,7,11,7,11,18
TACOPAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,0,1,0,1
TARVITA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,0,1,0,1
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,3,1,3,1,4
TOTORA(ORR),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,0,1,0,1
VILLA MONTES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,2,1,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,0,1,0,1
WARNES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,2,2,2,2,4
YANACACHI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,2,0,2,0,2
YOTALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,1,1,1,1,2
ZUDAÑEZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-11-01,0,1,0,1,1
ACHACACHI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,1,0,1,1
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,1,1,1,2
AYO AYO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
CAIROMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,0,2,0,2
CAMATAQUI (C. VILLA ABECIA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,1,0,1,1
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,3,1,3,4
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,4,2,4,6
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,3,1,3,4
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,51,47,51,47,98
ESCOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,0,2,0,2
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,3,0,3,3
GENERAL SAAVEDRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
HUACARETA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,1,0,1,1
ICHOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,3,1,3,4
IRUPANA (VILLA DE LANZA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,1,0,1,1
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,3,2,3,2,5
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,58,53,58,53,111
LAJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,3,4,3,7
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,1,1,1,2
MALLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,3,10,3,10,13
ORURO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,2,0,2,2
PAPEL PAMPA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,1,0,1,1
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,5,2,5,2,7
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,2,1,2,3
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,4,5,4,5,9
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,1,0,1,1
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,0,2,0,2
QUIABAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,2,0,2,2
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,3,3,3,3,6
SAN JOSE DE CHIQUITOS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,6,5,6,5,11
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,5,6,5,6,11
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,36,38,36,38,74
SANTIAGO DE HUATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,2,1,2,3
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,3,0,3,3
SORATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,3,1,3,1,4
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,10,12,10,12,22
TACACOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,2,2,2,2,4
TARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,10,11,10,11,21
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,4,1,4,5
WARNES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
YACO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-12-01,1,0,1,0,1
