,group,variable,month,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTALES
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,9.0,19.0,28.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,46.0,81.0,127.0
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,0.0,1.0
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,10.0,12.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,86.0,124.0,210.0
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,5.0,4.0,9.0
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,1.0,3.0
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,5.0,7.0
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,2.0,2.0
POCOATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,5.0,13.0,18.0
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,3.0,6.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,51.0,64.0,115.0
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,0.0,1.0
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,17.0,24.0,41.0
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,3.0,4.0
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,18.0,37.0,55.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,6.0,5.0,11.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,0.0,1.0
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,7.0,14.0,21.0
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,21.0,32.0,53.0
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,1.0,2.0
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,12.0,7.0,19.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,40.0,76.0,116.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,21.0,14.0,35.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,34.0,96.0,130.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,10.0,18.0,28.0
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,1.0,2.0
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,1.0,4.0
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,1.0,2.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,22.0,33.0,55.0
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,4.0,6.0
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,15.0,18.0
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,12.0,15.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,9.0,31.0,40.0
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,2.0,2.0
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,7.0,9.0,16.0
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,5.0,12.0,17.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,7.0,9.0
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,7.0,9.0
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,4.0,7.0,11.0
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,2.0,3.0
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,6.0,13.0,19.0
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,7.0,9.0
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,4.0,4.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1040.0,1797.0,2837.0
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,6.0,1.0,7.0
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,2.0,3.0
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,3.0,3.0
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,0.0,1.0
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,15.0,17.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,11.0,37.0,48.0
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,2.0,2.0
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,6.0,7.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,63.0,87.0,150.0
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,8.0,5.0,13.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,7.0,8.0
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,2.0,4.0
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,3.0,6.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,195.0,317.0,512.0
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,2.0,2.0
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,4.0,6.0,10.0
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,2.0,1.0,3.0
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,18.0,28.0,46.0
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,10.0,13.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,20.0,17.0,37.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,16.0,31.0,47.0
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,0.0,1.0,1.0
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,4.0,22.0,26.0
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,3.0,6.0,9.0
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,61.0,40.0,101.0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,23.0,14.0,37.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,64.0,149.0,213.0
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,15.0,17.0,32.0
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,0.0,1.0
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-05-01,1.0,0.0,1.0
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,3.0,5.0
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,3.0,4.0
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,0.0,3.0
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,3.0,3.0
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,0.0,1.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,3.0,3.0
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,3.0,4.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,55.0,80.0,135.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,5.0,6.0
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,1.0,3.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,4.0,7.0
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,5.0,7.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,5.0,21.0,26.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,43.0,56.0,99.0
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,5.0,7.0
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,3.0,4.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,6.0,9.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,1.0,3.0
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,6.0,12.0,18.0
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,4.0,8.0,12.0
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,27.0,57.0,84.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,337.0,360.0,697.0
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,5.0,4.0,9.0
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,7.0,4.0,11.0
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,2.0,4.0
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,5.0,6.0
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,7.0,10.0
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,3.0,5.0
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,0.0,1.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,3.0,4.0
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,9.0,6.0,15.0
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,9.0,10.0
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,4.0,5.0
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,1.0,2.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,184.0,176.0,360.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,22.0,37.0,59.0
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,1.0,3.0
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,9.0,12.0,21.0
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,0.0,1.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,7.0,27.0,34.0
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,3.0,4.0
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,0.0,1.0
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,10.0,13.0
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,4.0,4.0,8.0
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,3.0,5.0
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,8.0,9.0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,19.0,43.0,62.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,234.0,395.0,629.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,5.0,3.0,8.0
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,5.0,6.0
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,3.0,4.0
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,2.0,3.0
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,4.0,2.0,6.0
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,5.0,6.0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,6.0,22.0,28.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,26.0,51.0,77.0
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,9.0,10.0
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,81.0,143.0,224.0
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,5.0,5.0,10.0
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,0.0,1.0
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,4.0,6.0
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,3.0,6.0
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,0.0,1.0
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,10.0,19.0,29.0
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,4.0,2.0,6.0
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,3.0,4.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,44.0,74.0,118.0
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,0.0,1.0
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,16.0,16.0,32.0
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,1.0,1.0
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,8.0,23.0,31.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,5.0,3.0,8.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,1.0,3.0
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,7.0,16.0,23.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,5.0,8.0
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,0.0,2.0
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,11.0,10.0,21.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,7.0,9.0,16.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,14.0,14.0,28.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,21.0,62.0,83.0
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,0.0,1.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,14.0,23.0,37.0
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,0.0,2.0,2.0
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,1.0,4.0
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,5.0,8.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,13.0,19.0,32.0
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,1.0,3.0
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,5.0,9.0,14.0
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,6.0,10.0,16.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,29.0,25.0,54.0
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,1.0,3.0
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,2.0,8.0,10.0
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,15.0,21.0,36.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,4.0,4.0,8.0
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,4.0,0.0,4.0
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,6.0,6.0,12.0
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,4.0,0.0,4.0
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,13.0,16.0
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,1.0,3.0,4.0
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,3.0,4.0,7.0
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-06-01,6.0,14.0,20.0
