,group,variable,month,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTALES
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,1,2
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,11,12
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,84,212,296
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,2,4
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,9,13
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,21,29,50
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,6,9
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,8,9,17
ESCARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,2,2
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,5,9
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,9,17,26
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,7,2,9
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,10,13
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,2,2
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,14,15,29
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,8,12
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,4,4
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,2,4
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,5,6,11
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,14,17
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,33,43,76
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,292,666,958
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,8,11
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,63,92,155
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,7,11
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,8,10
MALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,1,1
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,1,1
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,8,14,22
MOJINETE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,8,14,22
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,12,24,36
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,8,12,20
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,5,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,11,34,45
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,12,30,42
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,1,1
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,0,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,1,3
POCOATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,8,10
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,4,6
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,3,7
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,69,93,162
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,6,7
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,13,25,38
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,5,8
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,7,13,20
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,5,8,13
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,5,5,10
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,8,9
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,14,24,38
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,6,9
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,5,3,8
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,6,10,16
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,8,7,15
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,4,5
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,1,2
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,11,11
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,5,13,18
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,3,5
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,4,6
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,6,9
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,2,2
SAN AGUSTIN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,4,4
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,21,24
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,6,10
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,2,6
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,9,12
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,14,18,32
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,4,4
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,2,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,6,8,14
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,4,7
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,6,4,10
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,6,10
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,8,12
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,13,31,44
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,5,6
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,4,7
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,19,24,43
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,21,36,57
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,3,3
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,26,62,88
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,126,256,382
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,1,2
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,23,34,57
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,9,11,20
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,54,77,131
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,8,15,23
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,4,8
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,7,7
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,8,6,14
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,4,5
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,0,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,14,48,62
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,8,17,25
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,5,5
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,37,74,111
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,4,4
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,3,1,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,1,1,2
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,5,2,7
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,0,0
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,5,15,20
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,6,10
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,7,7
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,5,15,20
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,1,1
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,2,1,3
YACO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,29,21,50
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,4,11,15
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,5,15,20
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-10-01,10,15,25
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,26,24,50
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,10,12
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,2,5
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,1,3
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,1,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,0,0
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,6,11
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,40,18,58
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,30,34
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,7,11
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,10,11
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,8,13
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,9,14
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,5,10
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,5,6
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,0,0
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,7,32,39
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,6,6,12
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,0,0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,1,1
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,12,16
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,4,8
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,7,11
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,8,13
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,3,8
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,5,8
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,4,7
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,1,3
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,12,17
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,137,308,445
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,6,7
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,6,7
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,2,3
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,4,7
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,0,3
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,9,20,29
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,7,8
COMBAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,1,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,6,10
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,4,8
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,11,11,22
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,2,2
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,6,11
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,0,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,10,14
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,2,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,110,204,314
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,2,3
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,2,2
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,11,14
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,15,31,46
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,9,6,15
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,24,38,62
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,4,6
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,4,6
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,25,26,51
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,2,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,4,5
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,7,12
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,18,17,35
HUARACAJE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,0,3
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,0,0
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,7,10,17
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,5,9
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,0,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,12,14,26
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,12,14,26
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,207,378,585
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,0,1
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,10,11,21
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,3,4
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,3,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,3,6
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,16,19
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,7,8
MALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,0,0
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,0,0
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,8,8,16
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,6,7,13
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,0,0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,9,12,21
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,2,2
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,1,2
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,5,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,24,52,76
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,16,34,50
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,1,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,0,2
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,6,7
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,5,7
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,2,5
POCOATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,5,6
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,2,3
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,3,3
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,3,8
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,5,8
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,2,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,127,143,270
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,17,11,28
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,14,28,42
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,4,5
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,8,25,33
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,5,6
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,0,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,2,5
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,16,21
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,2,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,1,2
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,6,18,24
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,4,8
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,13,12,25
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,2,4
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,1,5,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,13,17
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,0,0
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,5,9
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,7,4,11
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,4,6
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,4,7
SAN AGUSTIN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,0,2,2
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,2,2,4
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,4,3,7
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,9,7,16
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,5,10,15
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-11-01,3,3,6
