,group,variable,month,L 17.3 PENTAVALENTE 2DA. DOSIS,L 17.3 PENTAVALENTE 2DA. DOSIS,TOTALES
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,1,3,4
OCURI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,8,12,20
OKINAWA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,21,2,23
OMEREQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,9,11
ORURO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,562,13,575
PADCAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,19,10,29
PADILLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,12,5,17
PAILON,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,35,28,63
PALCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,17,5,22
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,52,18,70
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,5,0,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,17,1,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,4,6
PASORAPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,38,14,52
PAZÑA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,10,1,11
PELECHUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,12,5,17
POCOATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,15,57,72
POCONA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,12,14,26
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,23,7,30
POOPO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,2,9
PORCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,23,0,23
POROMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,11,13,24
PORONGO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,22,13,35
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,49,4,53
PORVENIR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,9,1,10
POTOSI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,464,24,488
PRESTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,16,18
PUCARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,1,1,2
PUCARANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,34,23,57
PUERTO ACOSTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,9,18,27
PUERTO CARABUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,13,12,25
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,6,5,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,4,6,10
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,20,16,36
PUERTO RICO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,15,3,18
PUERTO SILES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,1,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,25,11,36
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,133,8,141
PUNA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,26,14,40
PUNATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,53,0,53
QUIABAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,1,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,227,10,237
QUIME,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,4,12,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,0,2
RAVELO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,8,23,31
REYES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,28,14,42
RIBERALTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,281,54,335
ROBORE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,32,0,32
RURRENABAQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,39,9,48
SABAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,0,7
SACABA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,254,54,308
SACABAMBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,6,0,6
SACACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,12,20,32
SAIPINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,9,3,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,5,13,18
SAMAIPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,10,3,13
SAN AGUSTIN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,0,2,2
SAN ANDRES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,19,9,28
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,4,2,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,0,7
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,5,9,14
SAN BENITO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,11,3,14
SAN BORJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,99,23,122
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,18,7,25
SAN CARLOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,38,2,40
SAN IGNACIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,51,9,60
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,89,29,118
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,5,12
SAN JAVIER(STC),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,38,0,38
SAN JOAQUIN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,15,1,16
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,44,1,45
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,21,4,25
SAN JULIAN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,72,31,103
SAN LORENZO(PND),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,4,1,5
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,33,6,39
SAN LUCAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,37,38,75
SAN MATIAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,32,6,38
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,18,3,21
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,4,0,4
SAN PEDRO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,24,0,24
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,44,57,101
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,2,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,4,6
SAN PEDRO(PND),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,0,3,3
SAN RAFAEL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,12,4,16
SAN RAMON BENI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,9,7,16
SAN RAMON SCZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,20,0,20
SANTA ANA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,47,8,55
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3090,117,3207
SANTA ROSA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,27,3,30
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,32,5,37
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,0,12,12
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,8,5,13
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,10,2,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,4,0,4
SANTIVAÑES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,0,3
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,4,6
SAPAHAQUI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,3,6
SENA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,6,1,7
SHINAOTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,56,7,63
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,21,23,44
SICAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,1,8
SIPE SIPE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,97,4,101
SOPACHUY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,2,5
SORACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,11,18
SORATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,8,31,39
SUCRE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,527,11,538
TACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,4,5,9
TACOBAMBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,8,15
TACOPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,8,15
TAHUA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,1,0,1
TAPACARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,35,13,48
TARABUCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,13,13,26
TARACO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,1,4
TARATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,10,3,13
TARIJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,430,28,458
TARVITA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,18,12,30
TEOPONTE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,12,19,31
TIAWANACU,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,10,6,16
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,36,17,53
TIPUANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,21,4,25
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,117,17,134
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,20,21,41
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,0,2
TOCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,3,5
TOLATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,6,3,9
TOLEDO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,6,1,7
TOMAVE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,15,8,23
TOMINA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,10,13
TORO TORO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,6,21,27
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,19,6,25
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,0,2,2
TRIGAL,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,202,15,217
TUPIZA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,64,9,73
TURCO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,1,4
UMALA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,3,3,6
UNCIA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,39,1,40
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,14,4,18
URUBICHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,8,4,12
UYUNI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,41,5,46
VACAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,11,18
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,25,3,28
VIACHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,105,9,114
VILA VILA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,3,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,15,13,28
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,70,21,91
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,1,1,2
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,13,5,18
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,14,7,21
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,150,23,173
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,17,6,23
VILLAZON,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,58,6,64
VINTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,100,4,104
VITICHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,7,6,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,1,1,2
WARNES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,217,20,237
YACO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,2,4,6
YACUIBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,115,21,136
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,8,4,12
YAPACANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,119,5,124
YOCALLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,8,5,13
YOTALA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,5,2,7
YUNCHARA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,0,7,7
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-10-01,1,5,6
ACACIO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,3,15,18
ACHACACHI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,34,29,63
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,19,11,30
AIQUILE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,31,9,40
ALALAY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,4,5
ALCALA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,3,2,5
ALTO BENI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,12,2,14
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,15,15,30
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,4,2,6
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,7,0,7
ANZALDO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,6,7
APOLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,16,17,33
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,5,3,8
ARANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,20,3,23
ARBIETO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,9,14,23
ARQUE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,16,7,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,49,4,53
ATOCHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,19,8,27
AUCAPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,4,5
AYATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,6,14,20
AYO AYO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,10,4,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,16,20,36
AZURDUY,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,10,9,19
BATALLAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,17,4,21
BAURES,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,12,1,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,2,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,3,4
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,0,1,1
BERMEJO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,41,14,55
BETANZOS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,46,32,78
BOLIVAR,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,5,6
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,3,2,5
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,15,11,26
CABEZAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,36,47,83
CAIROMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,8,2,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,8,5,13
CAJUATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,13,1,14
CALACOTO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,5,6,11
CALAMARCA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,18,5,23
CAMARGO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,22,1,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,66,3,69
CAPINOTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,39,5,44
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,3,10,13
CARACOLLO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,22,10,32
CARANAVI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,68,33,101
CARAPARI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,16,17,33
CARIPUYO,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,8,21,29
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,7,10,17
CATACORA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,42,20,62
CHAQUI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,8,1,9
CHARAGUA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,27,64,91
CHARAÑA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,8,21,29
CHIMORE,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,44,8,52
CHIPAYA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,5,2,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,27,16,43
CHUMA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,6,5,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,7,15,22
CKOCHAS,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,25,12,37
CLIZA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,19,9,28
COBIJA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,106,25,131
COCAPATA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,13,27,40
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1224,4,1228
COIPASA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,109,2,111
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,16,2,18
COLLANA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,1,0,1
COLOMI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,25,8,33
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,15,5,20
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,24,56,80
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,9,0,9
COLQUIRI,vacunaciones en menores de 1 ano,l 17.3       pentavalente 2da. dosis,2012-11-01,17,15,32
