,group,variable,month,L 17.4 PENTAVALENTE 3RA. DOSIS,L 17.4 PENTAVALENTE 3RA. DOSIS,TOTALES
TAPACARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,16,14,30
TARABUCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,19,17,36
TARACO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,4,1,5
TARATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,13,2,15
TARIJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,277,12,289
TARVITA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,14,14,28
TEOPONTE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,15,13,28
TIAWANACU,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,20,9,29
TINGUIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,36,23,59
TIPUANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,17,3,20
TIQUIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,75,22,97
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,21,11,32
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,1,0,1
TOCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,9,2,11
TOLATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,9,2,11
TOLEDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,5,0,5
TOMAVE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,14,14,28
TOMINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,10,5,15
TORO TORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,3,27,30
TOTORA(CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,26,11,37
TOTORA(ORR),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,2,1,3
TRIGAL,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,224,12,236
TUPIZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,68,14,82
TURCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,2,1,3
UMALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,2,11,13
UNCIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,26,8,34
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,11,9,20
URUBICHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,18,8,26
UYUNI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,56,2,58
VACAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,7,7,14
VALLEGRANDE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,23,1,24
VIACHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,76,22,98
VILA VILA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,4,4,8
VILLA CHARCAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,29,18,47
VILLA MONTES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,60,11,71
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,0,7,7
VILLA RIVERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,13,2,15
VILLA SERRANO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,8,9,17
VILLA TUNARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,126,33,159
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,9,6,15
VILLAZON,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,56,6,62
VINTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,78,0,78
VITICHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,14,4,18
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,3,0,3
WARNES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,178,26,204
YACO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,4,7,11
YACUIBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,156,25,181
YAMPARAEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,5,3,8
YANACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,4,0,4
YAPACANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,82,11,93
YOCALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,10,8,18
YOTALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,10,4,14
YUNCHARA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,0,6,6
ZUDAÑEZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-09-01,5,6,11
ACACIO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,10,13
ACHACACHI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,47,24,71
ACHOCALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,11,9,20
AIQUILE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,30,22,52
ALALAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,4,5
ALCALA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,5,3,8
ALTO BENI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,28,2,30
ANCORAIMES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,25,3,28
ANDAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,4,7
ANTEQUERA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,0,4
ANZALDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,7,5,12
APOLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,25,18,43
ARAMPAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,5,9,14
ARANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,11,0,11
ARBIETO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,10,6,16
ARQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,15,8,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,58,0,58
ATOCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,19,5,24
AUCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,4,8
AYATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,6,8,14
AYO AYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,11,2,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,34,28,62
AZURDUY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,15,6,21
BATALLAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,16,8,24
BAURES,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,19,6,25
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,2,2,4
BELLA FLOR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,4,4
BERMEJO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,60,37,97
BETANZOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,38,24,62
BOLIVAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,7,11
BOLPEBRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,7,1,8
BUENA VISTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,26,4,30
CABEZAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,33,84,117
CAIROMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,13,8,21
"CAIZA ""D""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,13,16
CAJUATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,16,3,19
CALACOTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,5,9
CALAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,14,4,18
CAMARGO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,20,3,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,2,5
CAMIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,84,3,87
CAPINOTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,42,9,51
CAQUIAVIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,8,11
CARACOLLO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,20,11,31
CARANAVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,81,26,107
CARANGAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,20,7,27
CARIPUYO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,17,21
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,7,10,17
CHALLAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,40,19,59
CHAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,8,6,14
CHARAGUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,26,72,98
CHARAÑA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,3,3
CHAYANTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,16,24,40
CHIMORE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,34,3,37
CHIPAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,3,4
CHOQUE COTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,10,1,11
CHUMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,10,14
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,9,8,17
CKOCHAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,29,13,42
CLIZA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,25,5,30
COBIJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,133,19,152
COCAPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,12,28,40
COCHABAMBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1354,5,1359
COIPASA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,2,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,91,7,98
"COLCHA ""K""",vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,16,3,19
COLLANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,1,4
COLOMI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,18,6,24
COLPA BELGICA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,9,19,28
COLQUECHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,28,52,80
COLQUENCHA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,15,0,15
COLQUIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,12,28,40
COMANCHE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,8,0,8
COMARAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,25,14,39
COMBAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,46,7,53
COPACABANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,11,11,22
CORIPATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,14,0,14
CORO CORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,6,11,17
COROICO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,20,1,21
CORQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,6,4,10
COTAGAITA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,18,15,33
COTOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,143,19,162
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,52,14,66
CUEVO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,10,4,14
CULPINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,36,25,61
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,7,0,7
CURVA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,7,8
DESAGUADERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,7,3,10
EL ALTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1559,173,1732
EL CHORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,12,13
EL PUENTE(STC),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,14,0,14
EL PUENTE(TJA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,21,3,24
EL TORNO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,119,6,125
EL VILLAR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,6,2,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,30,13,43
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,82,7,89
ESCOMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,5,5,10
ESMERALDA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,3,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,7,0,7
EXALTACION,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,2,4,6
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,22,8,30
FILADELFIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,9,6,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,40,6,46
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,7,9,16
GUANAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,19,15,34
GUAQUI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,5,4,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,121,23,144
GUTIERREZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,31,8,39
HUACARETA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,16,5,21
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,5,6
HUACHACALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,61,4,65
HUARACAJE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,13,0,13
HUARINA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,5,2,7
HUAYLLAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,2,2
HUMANATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,4,4
ICHOCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,0,7,7
ICLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,7,8,15
INCAHUASI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,15,17,32
INQUISIVI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,19,20
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,2,5
IXIAMAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,17,0,17
JESUS DE MACHACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,16,1,17
LA ASUNTA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,33,4,37
LA GUARDIA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,171,6,177
LA PAZ,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1320,15,1335
LAGUNILLAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,11,8,19
LAJA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,21,8,29
LAS CARRERAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,6,0,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,2,6
LLALLAGUA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,52,26,78
LLICA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,13,1,14
LORETO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,19,20
LURIBAY,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,2,3,5
MACHACAMARCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,5,0,5
MACHARETI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,15,7,22
MAGDALENA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,35,1,36
MAIRANA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,22,1,23
MALLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,1,4,5
MAPIRI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,30,0,30
MECAPACA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,11,7,18
MINEROS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,70,3,73
MIZQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,45,40,85
MOCOMOCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,12,9,21
MOJINETE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,1,4
MOJOCOYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,7,11
MONTEAGUDO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,39,3,42
MONTERO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,278,4,282
MORO MORO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,4,2,6
MOROCHATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,8,22,30
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,2,8,10
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,2,1,3
OCURI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,16,27,43
OKINAWA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,28,9,37
OMEREQUE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,9,12
ORURO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,617,14,631
PADCAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,31,8,39
PADILLA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,12,5,17
PAILON,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,29,43,72
PALCA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,22,9,31
PALOS BLANCOS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,32,20,52
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,2,1,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,12,1,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,5,6,11
PASORAPA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,20,8,28
PAZÑA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,5,0,5
PELECHUCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,9,5,14
POCOATA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,17,32,49
POCONA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,11,11,22
POJO (CBBA),vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,12,8,20
POOPO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,7,1,8
PORCO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,13,0,13
POROMA,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,9,18,27
PORONGO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,15,17,32
PORTACHUELO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,41,5,46
PORVENIR,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,11,0,11
POSTRER VALLE,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,3,6
POTOSI,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,525,34,559
PRESTO,vacunaciones en menores de 1 ano,l 17.4       pentavalente 3ra. dosis,2012-10-01,3,8,11
