,group,variable,month,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,L 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,68,41,109
SANTA ROSA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,0,2,2
SOPACHUY,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,5,3,8
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,1,3
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,2,1,3
TUPIZA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,1,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,0,1,1
VIACHA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,0,2,2
VILLA CHARCAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,5,0,5
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,4,2,6
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,4,1,5
YOTALA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,0,2,2
ZUDAÑEZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-11-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,2,4
BUENA VISTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
CARACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,5,4,9
CHIMORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,1,3
CHUMA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,3,0,3
COCAPATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,10,8,18
COLCAPIRHUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,3,1,4
COLPA BELGICA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
COROICO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,4,0,4
CULPINA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,9,9,18
EL TORNO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,5,1,6
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
GUANAY,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
HUACARETA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
HUMANATA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,3,1,4
LA PAZ,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,4,3,7
LLALLAGUA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
MACHACAMARCA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,3,3,6
ORURO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,0,2
PAILON,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
PORONGO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,1,2
PORTACHUELO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,1,2
POTOSI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,3,1,4
PUCARANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,5,2,7
RAVELO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
RIBERALTA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
ROBORE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
SACABA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,4,6
SAN BORJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,3,0,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,1,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
SAN JULIAN,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,1,3
SAN MATIAS,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,44,37,81
SENA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,7,4,11
TARABUCO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,4,4,8
TIAWANACU,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,0,1,1
TOMINA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,3,2,5
VILLA MONTES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,1,2
VINTO,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,1,0,1
WARNES,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,5,0,5
YACUIBA,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,1,3
YAPACANI,tuberculosis y lepra,l 23.9       no de tbp baar (+) nuevos curados,2012-12-01,2,1,3
