,group,variable,month,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
MIZQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,15,13,28
MOCOMOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,1,2
MOJINETE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,1,1
MOJOCOYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,5,7,12
MONTEAGUDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,32,33,65
MONTERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,71,67,138
MORO MORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
MOROCHATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,4,0,4
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,3,4
OCURI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,3,6
OKINAWA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,12,6,18
OMEREQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,3,3
ORURO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,93,117,210
PADCAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,12,14,26
PADILLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,13,19
PAILON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,6,8
PALCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,14,12,26
PAMPA AULLAGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,4,5
PASORAPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,1,2
PATACAMAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,10,7,17
PAZÑA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,5,1,6
POCOATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,13,19,32
POCONA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,1,2
POJO (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,1,4
POOPO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,1,1
PORCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
POROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,16,8,24
PORONGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,5,9,14
PORTACHUELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,10,9,19
PORVENIR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,5,5,10
POSTRER VALLE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,78,29,107
PRESTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,8,3,11
PUCARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,1,1
PUCARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,7,7,14
PUERTO CARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,4,6
PUERTO GONZALO MORENO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,2,8
PUERTO PEREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,4,3,7
PUERTO QUIJARRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,5,11
PUERTO RICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,8,2,10
PUERTO SUAREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,7,5,12
PUERTO VILLARROEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,47,33,80
PUNA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,9,10,19
PUNATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,9,16,25
QUIABAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,76,40,116
QUIME,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,2,2
QUIRUSILLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,3,3
RAVELO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,12,13,25
REYES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,4,2,6
RIBERALTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,52,33,85
ROBORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,5,6
RURRENABAQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,7,13
SABAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,1,1
SACABA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,45,50,95
SACABAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,3,3
SACACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,8,8,16
SAIPINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,9,12
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,3,4
SAMAIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,1,4
SAN AGUSTIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
SAN ANTONIO DE ESMORUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,9,15
SAN BENITO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,4,4,8
SAN BORJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,12,19,31
SAN BUENA VENTURA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
SAN CARLOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,12,18
SAN IGNACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,7,2,9
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,8,8,16
SAN JAVIER(BNI),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,1,4
SAN JAVIER(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,4,7
SAN JOAQUIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,5,11
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,9,17,26
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,5,7
SAN JULIAN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,38,36,74
SAN LORENZO(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,8,8,16
SAN LUCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,16,12,28
SAN MATIAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,1,7
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,5,1,6
SAN PEDRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,9,11,20
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,14,10,24
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,1,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,0,2
SAN PEDRO(PND),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
SAN RAFAEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,1,2
SAN RAMON SCZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,7,7,14
SANTA ANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,9,2,11
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,570,517,1087
SANTA ROSA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,4,2,6
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,13,3,16
SANTIAGO DE HUARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,1,3
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
SANTIAGO DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,3,4
SANTIVAÑES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,2,3
SANTUARIO DE QUILLACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,2,4
SAPAHAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,20,10,30
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,1,2
SIPE SIPE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,7,11,18
SOPACHUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,4,7
SORACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,4,10,14
SORATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,16,3,19
SUCRE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,172,188,360
TACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
TACACOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,1,4
TACOBAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,2,4
TACOPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,4,2,6
TAPACARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,8,10
TARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,19,11,30
TARACO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
TARATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,4,3,7
TARIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,84,78,162
TARVITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,9,21,30
TEOPONTE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,10,4,14
TIAWANACU,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,9,9,18
TINGUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,6,12
TIPUANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,16,5,21
TIQUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,33,20,53
TIRAQUE (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,6,9
TOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,2,4
TOLEDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,2,5
TOMAVE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,12,14,26
TOMINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,5,14,19
TORO TORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,3,4
TOTORA(CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,10,16
TOTORA(ORR),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,1,3
TRIGAL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,62,19,81
TUPIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,53,26,79
TURCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,2,2
UNCIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,7,3,10
URIONDO (A. CONCEPCION),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,6,12
URUBICHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,5,6,11
UYUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,7,13
VACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,7,3,10
VIACHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,11,16,27
VILA VILA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,7,10
VILLA MONTES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,42,34,76
VILLA RIVERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,0,8,8
VILLA SERRANO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,10,9,19
VILLA TUNARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,59,51,110
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,8,1,9
VILLAZON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,25,25,50
VINTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,13,17,30
VITICHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,4,6
WARNES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,47,31,78
YACO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,2,4
YACUIBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,102,107,209
YAMPARAEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,3,1,4
YANACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,6,4,10
YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,62,86,148
YOCALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,5,6,11
YOTALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,4,5,9
YUNCHARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,2,4,6
ZUDAÑEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-10-01,5,2,7
ACACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,6,8
ACHACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,21,12,33
ACHOCALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,7,3,10
AIQUILE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,2,5
ALCALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,1,2
ALTO BENI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,4,4,8
ANCORAIMES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,7,12,19
ANDAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,0,1
ANZALDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,0,2
APOLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,4,6
ARAMPAMPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,2,4
ARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,1,3
ARBIETO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,2,5
ARQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,0,3,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,15,13,28
ATOCHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,0,2
AUCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,5,0,5
AYATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,8,4,12
AZURDUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,3,5
BATALLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,6,6,12
BELEN DE URMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,0,2
BERMEJO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,32,45,77
BETANZOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,7,8,15
BOLIVAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,10,3,13
BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,28,1,29
CABEZAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,11,10,21
CAIROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,1,3
CAJUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,4,3,7
CALAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,0,3
CAMARGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,7,5,12
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,4,2,6
CAMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,8,5,13
CAPINOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,8,15,23
CARACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,4,7,11
CARANAVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,68,46,114
CARAPARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,7,9,16
CARIPUYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,5,5,10
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,0,1
CHALLAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,5,4,9
CHAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,6,6,12
CHARAGUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,10,11,21
CHAYANTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,5,2,7
CHIMORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,9,2,11
CHIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,1,3
CHOQUE COTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,16,10,26
CHUMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,1,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,5,2,7
CKOCHAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,5,8
CLIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,4,18,22
COBIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,21,21,42
COCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,6,6,12
COCHABAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,172,167,339
COLCAPIRHUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,13,14,27
"COLCHA ""K""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,10,16,26
COLLANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,0,2
COLOMI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,3,6
COLPA BELGICA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,1,2
COLQUECHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,7,11,18
COLQUENCHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,0,2
COLQUIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,4,1,5
COMARAPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,4,3,7
COMBAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,0,3
CONCEPCION,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,6,5,11
CORIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,8,3,11
CORO CORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,0,1
COROICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,22,13,35
CORQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,1,2
COTAGAITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,6,9,15
COTOCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,44,23,67
CUATRO CAÑADAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,4,12,16
CUEVO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,0,1,1
CULPINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,13,15,28
CURAHUARA DE CARANGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,3,5
DESAGUADERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,5,2,7
EL ALTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,317,245,562
EL CHORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,2,3
EL PUENTE(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,0,2
EL PUENTE(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,5,4,9
EL TORNO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,46,35,81
EL VILLAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,15,15,30
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,13,9,22
ESCOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,3,6
EUCALIPTUS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,2,5
EUREKA (SANTOS MERCADO),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,36,3,39
FILADELFIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,6,2,8
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,1,3
GUANAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,5,2,7
GUAYARAMERIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,12,11,23
GUTIERREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,5,0,5
HUACARETA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,11,16,27
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,2,3,5
HUACHACALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,4,1,5
HUANUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,19,9,28
HUARINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,3,3,6
HUAYLLAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-11-01,1,0,1
