,group,variable,month,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
AYATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,2,4
BETANZOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,1,3
CAJUATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
CALAMARCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,1,2
CAMARGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,1,2
CAPINOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
CARACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,8,6,14
CARAPARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,1,3
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
CHALLAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,2,3
CHAYANTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,5,1,6
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,1,2
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,5,2,7
COCAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,36,10,46
COLCAPIRHUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
COMARAPA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
COPACABANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,3,4
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,1,2
CORQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
CULPINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,49,15,64
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,3,3,6
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,5,2,7
EXALTACION,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,4,0,4
HUANUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
HUARINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,3,1,4
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,6,4,10
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,59,36,95
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
LURIBAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
MAPIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
MINEROS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,4,0,4
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,8,10
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,7,9
PAILON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,5,2,7
PATACAMAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
POOPO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
POROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
PORVENIR,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,11,10,21
PUCARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,5,3,8
QUIABAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,3,5,8
QUIME,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,4,6
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,5,7
SAN ANDRES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
SAN BENITO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
SAN JAVIER(BNI),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,1,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,3,2,5
SAN LORENZO(PND),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,1,2
SAN PABLO DE LIPEZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,102,66,168
SANTA ROSA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,2,3
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,5,0,5
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,9,3,12
TACACOMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,4,0,4
TACOBAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
TARATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,5,3,8
TEOPONTE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
TIAWANACU,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
TINGUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,7,2,9
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
TIRAQUE (CBBA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
TOLATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
TORO TORO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,8,2,10
TUPIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
URUBICHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
UYUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
VACAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,4,4
VILLAZON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,2,0,2
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,8,8,16
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,4,6,10
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,9,4,13
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,1,3
ACHOCALLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
ALTO BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,2,2
ARBIETO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,0,2
ARQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
AZURDUY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
BATALLAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,4,0,4
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,0,2
"CAIZA ""D""",tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,2,2
CALAMARCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,2,4
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,3,4,7
CARAPARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,3,0,3
CHALLAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
CHARAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
CHAYANTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,4,4
CKOCHAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
CLIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,3,2,5
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,35,6,41
"COLCHA ""K""",tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
COLOMI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,2,3
CULPINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,31,24,55
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,3,1,4
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
EUCALIPTUS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
FILADELFIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
HUANUNI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,0,2
HUARINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
ICLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,2,4
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,5,1,6
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,67,25,92
LAJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
LURIBAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,2,2
MAIRANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,2,2
MIZQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,0,2
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,4,2,6
OKINAWA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,4,5,9
PADCAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
PALCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
POCOATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,1,3
PORCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
POROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,3,0,3
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,15,11,26
PRESTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
PUCARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
PUERTO CARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,2,4
PUERTO RICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,4,2,6
PUNA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
PUNATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,1,2
REYES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,0,2
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,5,4,9
ROBORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,6,3,9
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,4,5,9
SAN IGNACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,3,5
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,2,2
SAN MATIAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,67,49,116
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,3,0,3
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,2,3
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,8,9,17
TACOBAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
TACOPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
TARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,6,10,16
TARVITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
TEOPONTE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,4,0,4
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
TOMAVE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
TOMINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
TORO TORO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,7,2,9
TUPIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,2,0,2
VIACHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,3,0,3
VILLA RIVERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,9,2,11
VINTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,0,1,1
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,4,6,10
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-09-01,5,7,12
ACACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,4,1,5
ALTO BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
ANTEQUERA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
ARBIETO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,4,0,4
ATOCHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,1,2
AYATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
BATALLAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,2,2
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
CABEZAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,1,2
CAJUATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,0,2
CALAMARCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,1,2
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,11,6,17
CHALLAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,2,4
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,5,0,5
CLIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,1,3
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,38,10,48
COLCAPIRHUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,1,4
"COLCHA ""K""",tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
COLQUECHACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
CONCEPCION,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,0,3
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,0,2
COTAGAITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,2,5
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,3,0,3
CULPINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,1,2
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,38,26,64
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,4,0,4
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
GUANAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
INCAHUASI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-10-01,0,1,1
